,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Laala's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,773","Aug 27, 2012","Jul 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2022",,Hardcover,view,/book/show/18774964-a-man-called-ove
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,"Keller, Timothy J.",0525952470,9780525952473,0525952470,288        pp,4.48,"39,437","Nov 01, 2011","Nov 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 05, 2022",,Hardcover,view,/book/show/11389341-the-meaning-of-marriage
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orientalism,"Said, Edward W.",0141187425,9780141187426,0141187425,432        pp,4.11,"25,318",1978,Apr 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 26, 2022",,Paperback,view,/book/show/53237269-orientalism
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Poems of Dorothy Parker,"Parker, Dorothy",0141180226,9780141180229,0141180226,408        pp,4.36,"1,869",1944,"Jan 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2022",,Paperback,view,/book/show/883196.The_Complete_Poems_of_Dorothy_Parker
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Panic Years: Dates, Doubts, and the Mother of All Decisions","Frizzell, Nell",1250268125,9781250268129,1250268125,272        pp,3.54,"5,615","Feb 09, 2021","Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 23, 2022",,Hardcover,view,/book/show/52863327-the-panic-years
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hundred Thousand Kingdoms        (Inheritance, #1)","Jemisin, N.K.*",0316043915,9780316043915,0316043915,427        pp,3.90,"74,768","Feb 25, 2010","Feb 25, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2022",,Paperback,view,/book/show/6437061-the-hundred-thousand-kingdoms
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Had Your Face,"Cha, Frances*",0593129466,9780593129463,0593129466,288        pp,3.75,"51,371","Apr 21, 2020","Apr 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2022",,Hardcover,view,/book/show/52696537-if-i-had-your-face
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What My Mother and I Don't Talk About: Fifteen Writers Break the Silence,"Filgate, Michele*",1982107340,9781982107345,1982107340,288        pp,3.80,"13,738","Apr 30, 2019","Apr 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2022",,Hardcover,view,/book/show/42201997-what-my-mother-and-i-don-t-talk-about
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,604","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 06, 2022",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Bad Kids: Toddler Discipline Without Shame,"Lansbury, Janet",1499351119,9781499351118,1499351119,162        pp,4.27,"10,164","Jan 01, 2014",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 06, 2022",,Paperback,view,/book/show/23275206-no-bad-kids
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orwell's Roses,"Solnit, Rebecca",,,,320        pp,4.17,"3,673","Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2022",,Hardcover,view,/book/show/56557019-orwell-s-roses
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Evolution Of Desire: Strategies of Human Mating,"Buss, David M.",046500802X,9780465008025,046500802X,354        pp,4.16,"3,403",1994,"Jun 26, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 09, 2022",,Paperback,view,/book/show/27491.The_Evolution_Of_Desire
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"This Is Your Brain on Birth Control: The Surprising Science of Women, Hormones, and the Law of Unintended Consequences","Hill, Sarah E.",0525536035,9780525536031,0525536035,310        pp,4.08,"8,341","Oct 01, 2019","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 09, 2022",,Hardcover,view,/book/show/43982429-this-is-your-brain-on-birth-control
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,"Levine, Amir",1585428485,9781585428489,1585428485,304        pp,4.15,"86,832","Dec 30, 2010","Dec 30, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 29, 2022",,Hardcover,view,/book/show/9547888-attached
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scary Smart: The Future of Artificial Intelligence and How You Can Save Our World,"Gawdat, Mo",,,,336        pp,3.81,"1,850","Sep 30, 2021","Sep 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Kindle Edition,view,/book/show/58690362-scary-smart
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burnout: The Secret to Unlocking the Stress Cycle,"Nagoski, Emily*",198481706X,9781984817068,198481706X,277        pp,3.96,"52,445","Mar 14, 2019","Mar 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Hardcover,view,/book/show/42397849-burnout
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There There,"Orange, Tommy*",,,,294        pp,3.98,"181,638","Jun 05, 2018","Jun 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 23, 2022",,Hardcover,view,/book/show/36692478-there-there
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales from the Café        (Before the Coffee Gets Cold, #2)","Kawaguchi, Toshikazu",1529050863,9781529050868,1529050863,192        pp,4.00,"74,364","Mar 14, 2017","Sep 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 22, 2022",,Paperback,view,/book/show/54373691-tales-from-the-caf
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,721","Dec 06, 2015","Sep 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 11, 2022",,Paperback,view,/book/show/44421460-before-the-coffee-gets-cold
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Freedom: Four Songs of Care and Constraint,"Nelson, Maggie",1644450623,9781644450628,1644450623,288        pp,4.01,"2,309","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2021",,Hardcover,view,/book/show/56269292-on-freedom
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Against White Feminism: Notes on Disruption,"Zakaria, Rafia",1324006617,9781324006619,1324006617,256        pp,4.31,"3,366","Aug 17, 2021","Aug 17, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2021",,Hardcover,view,/book/show/55298403-against-white-feminism
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beautiful World, Where Are You","Rooney, Sally*",0374602603,9780374602604,0374602603,356        pp,3.54,"388,558","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2021",,Hardcover,view,/book/show/56597885-beautiful-world-where-are-you
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Joy of Being Selfish: Why You Need Boundaries and How to Set Them,"Elman, Michelle*",1787396789,9781787396784,B08KYF8PXR,195        pp,4.24,"1,155","Feb 04, 2021","Feb 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Oct 10, 2021","Oct 10, 2021",,Kindle Edition,view,/book/show/56941478-the-joy-of-being-selfish
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Realm of Hungry Ghosts: Close Encounters with Addiction,"Maté, Gabor",0676977405,9780676977400,0676977405,480        pp,4.50,"17,982","Feb 12, 2007","Feb 12, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2021",,Hardcover,view,/book/show/617702.In_the_Realm_of_Hungry_Ghosts
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Need to Talk About Money,"Uwagba, Otegha*",0008350388,9780008350383,0008350388,304        pp,4.10,"1,196","May 13, 2021","May 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 09, 2021",,Hardcover,view,/book/show/46202164-we-need-to-talk-about-money
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Library,"Haig, Matt*",,,,288        pp,4.00,"1,767,223","Aug 13, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 05, 2021",,Hardcover,view,/book/show/52578297-the-midnight-library
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Madness of Grief: A Memoir of Love and Loss,"Coles, Richard",1474619622,9781474619622,1474619622,192        pp,4.29,"2,343",2022,"Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 05, 2021",,Hardcover,view,/book/show/55870757-the-madness-of-grief
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl One,"Murphy, Sara Flannery*",0374601747,9780374601744,0374601747,368        pp,3.72,"4,937","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2021",,Hardcover,view,/book/show/54785541-girl-one
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0349142920,9780349142920,0349142920,388        pp,4.08,"1,175,392","Sep 12, 2017","Jan 01, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jun 14, 2021","Jun 17, 2021","Jun 14, 2021",,Paperback,view,/book/show/36509779-little-fires-everywhere
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Do Humankind's Best Days Lie Ahead?,"Pinker, Steven*",1786070766,9781786070760,1786070766,128        pp,3.36,"1,600","Jun 07, 2016","Nov 03, 2016",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Where do I even start with this book?! From the first few pages I was already in a rage. So much so that I actually stopped reading for MONTHS, then pWhere do I even start with this book?! From the first few pages I was already in a rage. So much so that I actually stopped reading for MONTHS, then picked it up again this week to see if I could get through it. The rage tripled. This is a transcript of a “debate”, but I use that term very loosely because this wouldn’t pass the standard of most university debating societies. The balatant and continued tones of racism and whiteness, and a focus on the West being “good”/affluent, and that poor countries should be pitied — infuriated me, because it had fuck all context. No mention of wars — they actually claimed that this was the biggest time of peace at one point?! — or conflicts, or genocide. These are meant to be some of the worlds best thinkers — LOL. It’s three white guys and one mixed race man talking around themselves in circles. No one won. Everyone’s time was wasted. ...more",Notes are private!,0,5,1,"Jun 14, 2021","Jun 14, 2021","Jun 14, 2021",,Mass Market Paperback,view (with text),/book/show/33137705-do-humankind-s-best-days-lie-ahead
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maybe You Should Talk to Someone: A Therapist, her Therapist, and Our Lives Revealed","Gottlieb, Lori*",1911617044,9781911617044,1911617044,432        pp,4.38,"323,538","Apr 02, 2019","Jan 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When I started reading this, because of the title and the fact that it’s nonfiction, I thought it would have more emphasis on therapy. However, it’s mWhen I started reading this, because of the title and the fact that it’s nonfiction, I thought it would have more emphasis on therapy. However, it’s much more of a storytelling narrative, with her story and her patients’ stories intertwined.It was a solid read, easy to get through, and was written with a self-awareness rarely shared, which I would hope would encourage readers to self-reflect as well. It was also occasionally peppered with solid psychology, and generic but genuine therapeutic advice. An overall great read. ...more",Notes are private!,0,3,1,"Jun 11, 2021","Jun 13, 2021","Jun 12, 2021",,Paperback,view (with text),/book/show/40946138-maybe-you-should-talk-to-someone
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recollections of My Nonexistence: A Memoir,"Solnit, Rebecca",0593083334,9780593083338,0593083334,256        pp,4.21,"7,072","Mar 10, 2020","Mar 10, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 27, 2022","Oct 27, 2022","Mar 06, 2021",,Hardcover,view,/book/show/49985046-recollections-of-my-nonexistence
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Anastasia, Look in the Mirror","Brown, Carly*",,9781910416143,,28        pp,5.00,6,unknown,"Jul 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Jan 08, 2021not set","Jan 08, 2021",,Paperback,view,/book/show/56433931-anastasia-look-in-the-mirror
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Mad Lady's Garland,"Pitter, Ruth",,,,75        pp,5.00,1,1934,1934,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2021",,Hardcover,view,/book/show/56084427-a-mad-lady-s-garland
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Celestial Bodies,"Alharthi, Jokha",1948226944,9781948226943,1948226944,256        pp,3.42,"15,071",2010,"Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2020",,Paperback,view,/book/show/49382648-celestial-bodies
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,238","Feb 07, 2017","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2020",,Kindle Edition,view,/book/show/34051011-pachinko
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,527","Apr 03, 2018","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2020",,Paperback,view,/book/show/40180098-the-overstory
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Emotion of Great Delight,"Mafi, Tahereh",006297243X,9780062972439,,256        pp,3.69,"10,225","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2020",,ebook,view,/book/show/52035051-an-emotion-of-great-delight
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,"Lerner, Harriet",006074104X,9780060741044,006074104X,239        pp,4.10,"26,524",1985,"May 03, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2020",,Paperback,view,/book/show/31312.The_Dance_of_Anger
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transcendent Kingdom,"Gyasi, Yaa*",,,,264        pp,4.11,"146,890","Aug 31, 2020","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2020",,Hardcover,view,/book/show/48570454-transcendent-kingdom
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Do You Like Me Now?,"Bourne, Holly*",1473667720,9781473667723,1473667720,368        pp,3.71,"12,780","Apr 23, 2018","Jun 14, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Aug 26, 2020","Aug 26, 2020","Aug 26, 2020",,Hardcover,view,/book/show/34538386-how-do-you-like-me-now
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Kolk, Bessel van der",0670785938,9780670785933,0670785938,464        pp,4.40,"182,973","Jun 12, 2014","Sep 25, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2020",,Hardcover,view,/book/show/18693771-the-body-keeps-the-score
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pull of the Stars,"Donoghue, Emma*",0316499013,9780316499019,0316499013,295        pp,3.96,"79,466","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2020",,Hardcover,view,/book/show/52722079-the-pull-of-the-stars
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Offshore Grounds,"Veselka, Vanessa*",0525658076,9780525658078,0525658076,448        pp,3.59,"1,906","Aug 25, 2020","Aug 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 09, 2020",,Hardcover,view,/book/show/49348747-the-great-offshore-grounds
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disobedience,"Alderman, Naomi*",,,,277        pp,3.69,"12,216","Sep 05, 2006","Apr 05, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 30, 2020",,Paperback,view,/book/show/1030836.Disobedience
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,350","May 19, 2020","May 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 10, 2021",not set,"Jul 21, 2020",,Kindle Edition,view,/book/show/51901147-the-ballad-of-songbirds-and-snakes
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Won’t You Apologize?: Healing Big Betrayals and Everyday Hurts,"Lerner, Harriet",1501129597,9781501129599,1501129597,208        pp,4.31,"4,283","Jan 10, 2017","Jan 10, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 26, 2020","Jul 28, 2020","Jul 20, 2020",,Hardcover,view,/book/show/29430730-why-won-t-you-apologize
