,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Malcolm's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful Little Fools,"Cantor, Jillian*",0063051257,9780063051256,0063051257,336        pp,4.02,"11,592","Feb 01, 2022","Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 27, 2022","Mar 14, 2022","Feb 16, 2022",,Hardcover,view,/book/show/57676821-beautiful-little-fools
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookseller's Secret,"Gable, Michelle*",1525806467,9781525806469,1525806467,400        pp,3.28,"4,986","Aug 17, 2021","Aug 17, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2022","Feb 16, 2022","Feb 10, 2022",,Paperback,view,/book/show/55004488-the-bookseller-s-secret
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sunlit Night,"Knight, Rebecca Dinerstein",1632861127,9781632861122,1632861127,272        pp,3.28,"2,565","Jun 02, 2015","Jun 02, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2022","Feb 10, 2022","Feb 04, 2022",,Hardcover,view,/book/show/22929706-the-sunlit-night
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winners        (Beartown, #3)","Backman, Fredrik*",1982112794,9781982112790,1982112794,673        pp,4.46,"110,844",2022,"Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2022",,Hardcover,view,/book/show/60209470-the-winners
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",059331817X,9780593318171,059331817X,303        pp,3.75,"336,649","Mar 02, 2021","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 27, 2022","Feb 04, 2022","Jan 27, 2022",,Hardcover,view,/book/show/54120408-klara-and-the-sun
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Postmistress of Paris,"Clayton, Meg Waite*",0062946986,9780062946980,0062946986,416        pp,3.75,"11,362","Nov 30, 2021","Nov 30, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 14, 2022","Jan 21, 2022","Dec 25, 2021",,Hardcover,view,/book/show/56645924-the-postmistress-of-paris
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lincoln Highway,"Towles, Amor*",0735222355,9780735222359,0735222355,576        pp,4.23,"259,050","Oct 05, 2021","Oct 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 25, 2021","Dec 31, 2021","Dec 25, 2021",,Hardcover,view,/book/show/57109107-the-lincoln-highway
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Apothecary,"Penner, Sarah *",0778311015,9780778311010,0778311015,301        pp,3.75,"369,343","Mar 02, 2021","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2021","Dec 25, 2021","Dec 21, 2021",,Hardcover,view,/book/show/53288434-the-lost-apothecary
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anthem,"Hawley, Noah*",1538711516,9781538711514,1538711516,427        pp,3.51,"6,461","Jan 04, 2022","Jan 04, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2022","Jan 27, 2022","Dec 06, 2021",,Hardcover,view,/book/show/57941459-anthem
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Precious Days: Essays,"Patchett, Ann",0063092786,9780063092785,0063092786,320        pp,4.44,"36,765","Nov 23, 2021","Nov 23, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 05, 2021","Dec 09, 2021","Dec 05, 2021",,Hardcover,view,/book/show/56922687-these-precious-days
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Late City,"Butler, Robert Olen*",080215882X,9780802158826,080215882X,304        pp,4.05,631,"Sep 07, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 17, 2021","Dec 21, 2021","Dec 01, 2021",,Hardcover,view,/book/show/57500767-late-city
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Deep Green Sea: A Novel,"Butler, Robert Olen*",0805031308,9780805031300,0805031308,240        pp,3.34,271,"Jan 15, 1998","Jan 15, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 28, 2021","Dec 05, 2021","Nov 28, 2021",,Hardcover,view,/book/show/1063831.The_Deep_Green_Sea
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Orenda        (Bird Family Trilogy, #3)","Boyden, Joseph",0670064181,9780670064182,0670064181,490        pp,4.22,"18,321","Sep 10, 2013","Sep 10, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2021",,Hardcover,view,/book/show/17661831-the-orenda
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Through Black Spruce        (Bird Family Trilogy, #2)","Boyden, Joseph",0670020575,9780670020577,0670020575,359        pp,4.12,"15,095","Sep 09, 2008","Sep 09, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2021",,Hardcover,view,/book/show/3479967-through-black-spruce
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never,"Follett, Ken*",0593300017,9780593300015,0593300017,802        pp,4.08,"56,286","Nov 09, 2021","Nov 09, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 31, 2021","Jan 14, 2022","Nov 14, 2021",,Hardcover,view,/book/show/57747930-never
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horseman,"Henry, Christina*",1789095972,9781789095975,1789095972,336        pp,3.72,"6,956","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,Hardcover,view,/book/show/58168676-horseman
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Celine,"Heller, Peter",0451493893,9780451493897,0451493893,334        pp,3.78,"13,881","Mar 07, 2017","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2021",,Hardcover,view,/book/show/30687930-celine
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",1443466093,9781443466097,1443466093,255        pp,4.08,"231,534","Apr 05, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 16, 2022","Apr 19, 2022","Sep 01, 2021",,Hardcover,view,/book/show/58714493-sea-of-tranquility
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Fire in the Night,"Swann, Christopher*",1643857568,9781643857565,1643857568,280        pp,3.99,983,"Sep 07, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 25, 2021","Sep 26, 2021","Aug 31, 2021",,Hardcover,view,/book/show/56362117-a-fire-in-the-night
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matrix,"Groff, Lauren*",1594634491,9781594634499,1594634491,260        pp,3.68,"56,687","Sep 07, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 13, 2021","Sep 17, 2021","Aug 18, 2021",,Hardcover,view,/book/show/57185348-matrix
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Whispering Door,"Klune, T.J.*",1250217342,9781250217349,1250217342,384        pp,4.16,"224,029","Sep 21, 2021","Sep 21, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Sep 30, 2021","Oct 04, 2021","Aug 18, 2021",,Hardcover,view,/book/show/53205888-under-the-whispering-door
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bewilderment,"Powers, Richard",0393881148,9780393881141,0393881148,278        pp,3.92,"59,179","Sep 21, 2021","Sep 21, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Oct 04, 2021","Oct 10, 2021","Aug 18, 2021",,Hardcover,view,/book/show/56404444-bewilderment
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sentence,"Erdrich, Louise",006267112X,9780062671127,006267112X,387        pp,3.96,"68,599","Nov 09, 2021","Nov 09, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Dec 09, 2021","Dec 17, 2021","Aug 18, 2021",,Hardcover,view,/book/show/56816904-the-sentence
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Spindle Splintered        (Fractured Fables, #1)","Harrow, Alix E.*",1250765358,9781250765352,1250765358,119        pp,3.62,"31,690","Oct 05, 2021","Oct 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2021","Oct 28, 2021","Aug 18, 2021",,Hardcover,view,/book/show/56179356-a-spindle-splintered
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reading List,"Adams, Sara Nisha*",0063025280,9780063025288,0063025280,368        pp,4.08,"101,463","Jul 22, 2021","Aug 03, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is why we read! Don’t let this one pass you by.,Notes are private!,0,10,1,"Aug 13, 2021","Aug 17, 2021","Aug 03, 2021",,Hardcover,view (with text),/book/show/55276648-the-reading-list
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fugitives of the Heart,"Gay, William",1604892730,9781604892734,1604892730,240        pp,4.37,91,unknown,Jun 2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2021","Aug 08, 2021","Jul 21, 2021",,Hardcover,view,/book/show/57434539-fugitives-of-the-heart
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Razorblade Tears,"Cosby, S.A.*",,,,336        pp,4.10,"92,478","Jul 06, 2021","Jul 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jul 20, 2021","Jul 25, 2021","Jul 12, 2021",,Hardcover,view,/book/show/54860585-razorblade-tears
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wingwalkers,"Brown, Taylor*",1250274591,9781250274595,1250274591,320        pp,3.70,397,"Apr 19, 2022","Apr 19, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 05, 2022","May 14, 2022","Jul 08, 2021",,Hardcover,view,/book/show/57693305-wingwalkers
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One Hundred Years of Lenni and Margot,"Cronin, Marianne*",006309276X,9780063092761,006309276X,326        pp,4.30,"96,032","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2021",,Hardcover,view,/book/show/55577668-the-one-hundred-years-of-lenni-and-margot
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guide,"Heller, Peter",0525657762,9780525657767,0525657762,257        pp,3.63,"17,246","Aug 24, 2021","Aug 24, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 06, 2021","Sep 08, 2021","Jun 29, 2021",,Hardcover,view,/book/show/56098122-the-guide
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Forest of Vanishing Stars,"Harmel, Kristin*",198215893X,9781982158934,198215893X,376        pp,4.26,"70,622","Jul 06, 2021","Jul 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 25, 2021","Jul 30, 2021","Jun 29, 2021",,Hardcover,view,/book/show/55711683-the-forest-of-vanishing-stars
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Missing Treasures of Amy Ashton,"Ray, Eleanor*",1982163526,9781982163525,1982163526,320        pp,3.87,"6,168","Feb 04, 2021","Jun 08, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 11, 2021","Jul 15, 2021","Jun 25, 2021",,Hardcover,view,/book/show/55711691-the-missing-treasures-of-amy-ashton
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Woman in Moscow,"Williams, Beatriz*",0063020785,9780063020788,0063020785,448        pp,4.06,"21,525","Jun 01, 2021","Jun 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 30, 2021","Aug 04, 2021","Jun 24, 2021",,Hardcover,view,/book/show/55200703-our-woman-in-moscow
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Thousand Crimes of Ming Tsu,"Lin, Tom*",0316542156,9780316542159,0316542156,275        pp,3.72,"4,330","Jun 01, 2021","Jun 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 15, 2021","Jul 20, 2021","Jun 21, 2021",,Hardcover,view,/book/show/55643292-the-thousand-crimes-of-ming-tsu
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maidens,"Michaelides, Alex*",1250304458,9781250304452,1250304458,337        pp,3.63,"332,072","Jun 03, 2021","Jun 15, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jun 16, 2021","Jun 20, 2021","Jun 05, 2021",,Hardcover,view,/book/show/45300567-the-maidens
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Slow Fire Burning,"Hawkins, Paula*",073521123X,9780735211230,073521123X,307        pp,3.50,"154,728","Aug 24, 2021","Aug 31, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 08, 2021","Sep 13, 2021","Jun 05, 2021",,Hardcover,view,/book/show/56213354-a-slow-fire-burning
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fair Warning,"Butler, Robert Olen*",0871138336,9780871138330,0871138336,240        pp,3.02,160,2002,"Jan 09, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 05, 2021","Jun 09, 2021","Jun 05, 2021",,Hardcover,view,/book/show/1261700.Fair_Warning
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl in the Walls,"Gnuse, A.J.",0063031809,9780063031807,0063031809,336        pp,3.38,"4,050","Mar 18, 2021","May 11, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Jun 2021,"Jun 05, 2021","May 26, 2021",,Hardcover,view,/book/show/54870200-girl-in-the-walls
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once There Were Wolves,"McConaghy, Charlotte*",1250244145,9781250244147,1250244145,258        pp,4.11,"85,481","Aug 03, 2021","Aug 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 08, 2021","Aug 13, 2021","May 21, 2021",,Hardcover,view,/book/show/54860573-once-there-were-wolves
