,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Huongta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Làm đĩ,"Vũ, Trọng Phụng",,,,220        pp,3.93,"1,090",Mar 1936,Mar 2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[ebook] “Không nghe Cave kể chuyện” :)))Ai sẽ là Vũ Trọng Phụng, Vũ Bằng, Nam Cao, Tố Hữu…. Của thế kỷ này nhỉ? Bây giờ người ta đi hát, đi rap, đi là[ebook] “Không nghe Cave kể chuyện” :)))Ai sẽ là Vũ Trọng Phụng, Vũ Bằng, Nam Cao, Tố Hữu…. Của thế kỷ này nhỉ? Bây giờ người ta đi hát, đi rap, đi làm podcast hết rồi mà?...more",Notes are private!,0,1,1,"Jan 23, 2024","Jan 24, 2024","Jan 23, 2024",,Paperback,view (with text),/book/show/12349025-l-m
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nhà thờ Đức bà Pari,"Hugo, Victor",,,,722        pp,4.02,"201,144","Mar 16, 1831",Feb 2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2024",not set,"Jan 23, 2024",,Paperback,view,/book/show/15840985-nh-th-c-b-pari
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,451 độ F,"Bradbury, Ray",6046938716,9786046938712,,229        pp,3.97,"2,417,165","Oct 19, 1953","Jan 24, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/24678653-451-f
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Con đường đau khổ,"Tolstoy, Aleksey Nikolayevich",,,,unknown,4.07,474,1941,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/58723686-con-ng-au-kh
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Người thầy,"Vịnh, Nguyễn Chí",,9786045192375,,491        pp,4.33,9,unknown,Aug 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[Ebook] Mình đã đọc Điệp viên hoàn hảo năm 2020 và có một chút cấn trong lòng về đoạn cuối, vì nghĩ bác Ẩn có không hài lòng... Giờ mới xem lại, tác g[Ebook] Mình đã đọc Điệp viên hoàn hảo năm 2020 và có một chút cấn trong lòng về đoạn cuối, vì nghĩ bác Ẩn có không hài lòng... Giờ mới xem lại, tác giả không phải người Việt.Trong Người Thầy thì viết một chút về bác Ẩn thôi, nhưng sau 1975, bác Ẩn vẫn tiếp tục cống hiến cho đất nước, vẫn rất tâm huyết với mối quan hệ Việt Mỹ. Để vận hành một bộ máy, có thể có những giai đoạn không hợp lý với người này người kia, nhưng các bác ấy đã làm mọi điều vì Đất Nước. Sau đấy cũng đi xem tập Người đương thời về bác Ẩn, mới thấy cách nói chuyện của bác cực kỳ hóm hỉnh, thu hút. Mình còn thấy được cái run của cô Tạ Bích Loan, một số câu hỏi còn hơi kiểu non nớt :) Cũng vô tình vừa đọc xong ""Hảo nữ Trung Hoa"", trong đó có nhắc tới vụ cách mạng, Đảng sắp xếp kết hôn, những người phụ nữ. Và mình lại bắt gặp bóng dáng bà Thanh, bà Xuân trong đó. Đất nước mình cũng nhiều đau thương lắm, nhưng tuỳ góc nhìn, tuỳ cách viết...Và mọi thứ, cách mạng màu, nhân tố lạ.. tất cả những điều có thể ảnh hưởng tới đất nước này, thì các Cụ nhà mình đã có sẵn kịch bản trong đầu từ nhiều năm trước rồi. Phim cung đấu không có cửa đứng so kèo với các Cụ nhà mình.Đọc để yên tâm hơn.Tiếc là bác Vịnh mất sớm quá, mất một đời người để xây dựng, tích luỹ được một con người có tầm nhìn như thế, lẽ ra bác có thể sống tiếp cùng đất nước tới ít nhất 20 năm nữa. Quá đáng tiếc....more",Notes are private!,0,1,1,"Jan 25, 2024","Jan 31, 2024","Dec 24, 2023",,Paperback,view (with text),/book/show/200826455-ng-i-th-y
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sông Đông Êm Đềm,"Sholokhov, Mikhail",,,,"1,490        pp",4.10,"12,352",1928,Dec 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 24, 2023",,Boxset,view,/book/show/25574719-s-ng-ng-m-m
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Văn minh vật chất của người Việt,"Thượng, Phan Cẩm",,,,663        pp,4.20,69,"Jun 01, 2011",Jun 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Paperback,view,/book/show/17904279-v-n-minh-v-t-ch-t-c-a-ng-i-vi-t
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamlet,"Shakespeare, William",0521618746,9780521618748,0521618746,289        pp,4.02,"952,044",1601,"Dec 19, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 23, 2023",not set,"Dec 23, 2023",,Paperback,view,/book/show/1420.Hamlet
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chiến Tranh Và Hòa Bình,"Tolstoy, Leo",,,,"1,968        pp",4.16,"328,078",1868,Mar 2010,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,[Ebook] Parfait!Khi nào thì con người có thể viết được một cuốn sách khác so sánh được với Chiến tranh và Hoà bình?Khi nào thì AI viết được một cuốn s[Ebook] Parfait!Khi nào thì con người có thể viết được một cuốn sách khác so sánh được với Chiến tranh và Hoà bình?Khi nào thì AI viết được một cuốn sách vượt qua được Chiến tranh và Hoà bình?...more,Notes are private!,0,0,1,"Dec 24, 2023","Jan 23, 2024","Dec 23, 2023",,Hardcover,view (with text),/book/show/25119316-chi-n-tranh-v-h-a-b-nh
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hảo nữ Trung Hoa,Xinran,,,,408        pp,4.31,"12,053","Oct 02, 2002",2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[Ebook]Thực ra, mình thấy hơi cấn cấn vì tác giả. Kiểu phản ứng của tác giả, giống như là người ngoại cuộc, chính bản thân cô ấy cũng không nghĩ đang [Ebook]Thực ra, mình thấy hơi cấn cấn vì tác giả. Kiểu phản ứng của tác giả, giống như là người ngoại cuộc, chính bản thân cô ấy cũng không nghĩ đang sống cùng một thế kỷ với một cô sinh viên. Cô ấy là một nhà báo, nhưng nói chuyện với một cô sinh viên lại ""mù tịt"". Tất nhiên bạn sinh viên ấy là một svien điển hình, nhưng đây cũng chỉ là một ví dụ trong các câu chuyện khác. Có một từ trong cuốn này, mình đã biết nó ảnh hưởng tới Bố mình rất nhiều: ""Đấu tố"". Người ta bảo VN đi sau TQ một thời gian... Cũng khó nói quá...“Tôi há hốc miệng ngồi nghe Kim Soái tiết lộ về thế giới của những người tháp tùng và thư ký riêng. Tôi không thể tưởng tượng nổi là tôi và cô gái này đang sống trong cùng một thế kỷ, nói gì là trong cùng một đất nước. “Chuyện này thực thế sao?” Tôi lắp bắp hỏi.Kim Soái sửng sốt trước sự mù tịt của tôi.”...more",Notes are private!,0,1,1,"Jan 25, 2024","Jan 27, 2024","Dec 15, 2023",,Paperback,view (with text),/book/show/13512958-h-o-n-trung-hoa
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gánh Gánh... Gồng Gồng...,"Phuong, Xuan",,9786046867975,,308        pp,4.70,362,unknown,2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Paperback,view,/book/show/58022482-g-nh-g-nh-g-ng-g-ng
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mai-nương Lệ-cốt,"Prévost d'Exiles, Antoine Franç",,,,272        pp,3.42,"13,044",1731,"Nov 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Paperback,view,/book/show/49756861-mai-n-ng-l--c-t
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ảo ảnh của thanh xuân,"Inui, Kurumi",,,,288        pp,3.69,365,Mar 2004,"Sep 09, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,,view,/book/show/31831918-o-nh-c-a-thanh-xu-n
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bốn mươi năm nói láo,"Vũ, Bằng",,,,394        pp,3.91,100,"Jan 01, 1969",2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[Ebook] Thực sự là đọc xong, rồi tìm hiểu về con người Vũ Bằng, xong cảm thấy rất rất buồn, đầy tiếc nuối :((Bác Vũ Bằng đã yêu nước Việt Nam mình bao[Ebook] Thực sự là đọc xong, rồi tìm hiểu về con người Vũ Bằng, xong cảm thấy rất rất buồn, đầy tiếc nuối :((Bác Vũ Bằng đã yêu nước Việt Nam mình bao nhiêu, yêu Bắc Việt bao nhiêu. Vì cách mạng mà đi vào miền Nam, rồi cuối cùng không được trở về, rồi tận sau khi đã mất mới được công nhận. 40 năm đầy hào sảng.https://baophapluat.vn/hanh-trinh-kho...https://tienphong.vn/vi-sao-nha-van-v......more",Notes are private!,0,0,1,"Dec 10, 2023","Dec 23, 2023","Dec 09, 2023",,,view (with text),/book/show/11832860-b-n-m-i-n-m-n-i-l-o
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"El silencio de la ciudad blanca        (La trilogía de La ciudad blanca, #1)","García Sáenz de Urturi, Eva",,,B01CP52KF0,509        pp,4.28,"29,194","Apr 12, 2016","Apr 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Kindle Edition,view,/book/show/29794850-el-silencio-de-la-ciudad-blanca
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mặt nạ Zorro        (Zorro, #1)","McCulley, Johnston",6044774228,9786044774220,6044774228,296        pp,3.99,"6,749","Sep 13, 1919","Nov 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/203123605-m-t-n-zorro
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Những Chuyện Bựa Thời Sinh Viên,"Hà, Song",,,,400        pp,3.85,13,unknown,Jan 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/43237002-nh-ng-chuy-n-b-a-th-i-sinh-vi-n
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bỉ Vỏ,"Hồng, Nguyên",,,,179        pp,3.98,"1,198",1938,2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[Ebook] Kiểu, đời là thế… Tình tiết chặt thật, phim VN lấy mấy cái này làm kịch bản vẫn rất hợp. Chỉ là muốn cho mng sống tích cực hơn thì đổi cái kết[Ebook] Kiểu, đời là thế… Tình tiết chặt thật, phim VN lấy mấy cái này làm kịch bản vẫn rất hợp. Chỉ là muốn cho mng sống tích cực hơn thì đổi cái kết đi thôi.Mấy đội bỉ vỏ nói chuyện với nhau mà dùng từ khác, làm mình đọc hơi khó bắt....more",Notes are private!,0,2,1,"Dec 07, 2023","Dec 08, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/13256917-b-v
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tình Yêu và Toán Học: Trái Tim của Thực Tại Ẩn Giấu,"Frenkel, Edward",,9786049432354,,390        pp,3.68,"3,562","Oct 01, 2013",Dec 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,,view,/book/show/28088642-t-nh-y-u-v-to-n-h-c
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nếu một đêm đông có người lữ khách,"Calvino, Italo",,,,402        pp,4.03,"97,935","Jun 02, 1979",May 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/12107753-n-u-m-t-m-ng-c-ng-i-l-kh-ch
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Triệu Phú Khu Ổ Chuột,"Swarup, Vikas",,,,448        pp,4.02,"35,810",Apr 2005,Mar 2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[Ebook]Có những câu hỏi dành cho người giàuVà có những câu hỏi dành cho người nghèoGay cấn với hồi hộp ghê.Đó chỉ là cách để kể những câu chuyện, nhữn[Ebook]Có những câu hỏi dành cho người giàuVà có những câu hỏi dành cho người nghèoGay cấn với hồi hộp ghê.Đó chỉ là cách để kể những câu chuyện, những chặng đường trong cuộc đời.(Còn về ctrinh thì, chúng ta cũng có thể vô tình lướt qua đáp án ở thời điểm nào đó trong đời, nhưng chỉ có Thomas là nhớ :)...more",Notes are private!,0,1,1,Dec 2023,"Dec 03, 2023","Nov 28, 2023",,Paperback,view (with text),/book/show/12079127-tri-u-ph-khu-chu-t
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Qua Pixar là vô cực,"Levy, Lawrence*",,,,330        pp,4.24,"7,145","Nov 01, 2016",Oct 2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Paperback,view,/book/show/36444598-qua-pixar-l-v-c-c
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cuộc đời và Số phận,"Grossman, Vasily",,9786043918007,,826        pp,4.45,"13,037",1960,"Sep 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/198970861-cu-c-i-v-s-ph-n
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giáo dục tình cảm,"Flaubert, Gustave",,,,547        pp,3.81,"22,280","Apr 15, 1869",Jan 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Paperback,view,/book/show/60025315-gi-o-d-c-t-nh-c-m
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cuộc đời chín ngày,"Cohen, Thierry",,,,300        pp,3.49,"1,916",2007,2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Paperback,view,/book/show/13400017-cu-c-i-ch-n-ng-y
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Niên lịch miền gió cát,"Leopold, Aldo",,,,257        pp,4.30,"32,218",1949,Jun 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Paperback,view,/book/show/54778205-ni-n-l-ch-mi-n-gi-c-t
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ở Nơi Quỷ Sứ Giặc Non,"Sendak, Maurice",6045338006,9786045338001,6045338006,48        pp,4.24,"1,003,685","Apr 09, 1963",Jun 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,Paperback,view,/book/show/25803002-n-i-qu-s-gi-c-non
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chân trần chí thép,"Zumwalt, James G.",,,,376        pp,4.40,169,"Apr 26, 2010",Aug 2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thực ra lúc đầu, mình lại tưởng là sách viết dựa trên lời của những người cựu binh Mỹ cơ, hoá ra lại là sách người Mỹ nhưng phỏng vấn cựu binh Việt.HoThực ra lúc đầu, mình lại tưởng là sách viết dựa trên lời của những người cựu binh Mỹ cơ, hoá ra lại là sách người Mỹ nhưng phỏng vấn cựu binh Việt.Hoá ra, người Mỹ vẫn coi người Việt là ""kẻ thù"", phía mình thì lại không cảm thấy điều đó :))“Cơ thể người Việt chúng tôi nhỏ lắm”, ông nói. “Nếu cứ chứa chất thù hận thì đâu còn chỗ cho tình yêu thương”. Ông Hùng giải thích rằng bản chất của người Việt không cho phép nỗi đắng cay và lòng hận thù che khuất hy vọng vào tương lai.”...more",Notes are private!,0,0,1,"Nov 21, 2023","Nov 23, 2023","Jul 01, 2023",,Paperback,view (with text),/book/show/29850330-ch-n-tr-n-ch-th-p
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lịch sử nước ta,Hồ Chí Minh,,,,28        pp,4.50,10,unknown,2015,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2023",,Paperback,view,/book/show/36236744-l-ch-s-n-c-ta
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nửa Kia Biệt Tích,"Bennett, Brit*",,,,504        pp,4.15,"753,536","Jun 02, 2020","Apr 27, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,"May 21, 2023","May 28, 2023","May 21, 2023",,Paperback,view (with text),/book/show/60891059-n-a-kia-bi-t-t-ch
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sáu Người Đi Khắp Thế Gian        (Tập 1),"Michener, James A.",,8936024918705,B00FAPLPMW,344        pp,4.10,541,unknown,"Jul 18, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 28, 2023","Nov 06, 2023","Apr 28, 2023",,Paperback,view,/book/show/15757665-s-u-ng-i-i-kh-p-th-gian
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shuggie Bain - chiếc linh hồn nhỏ,"Stuart, Douglas*",6043496151,9786043496154,6043496151,680        pp,4.31,"151,868","Feb 11, 2020",2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mình hơi bức xúc cái bìa của NXB Văn Học.Tên gốc của sách không có - Chiếc linh hồn nhỏ - Mình không hiểu việc thêm dòng này vào bản dịch. Nó làm cho Mình hơi bức xúc cái bìa của NXB Văn Học.Tên gốc của sách không có - Chiếc linh hồn nhỏ - Mình không hiểu việc thêm dòng này vào bản dịch. Nó làm cho mình thực sự hoang mang khi đọc.Cũng không hẳn là Shuggie Bain, mà phải là, Shuggie Bain và cuộc đời nguời mẹ của cậu. ...more",Notes are private!,0,1,1,"Apr 25, 2023","May 23, 2023","Apr 25, 2023",,Paperback,view (with text),/book/show/61119490-shuggie-bain---chi-c-linh-h-n-nh
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dưới Cánh Cửa Thầm Thì,"Klune, T.J.*",,9786043924190,,664        pp,4.16,"224,088","Sep 21, 2021","Mar 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 13, 2023",,Paperback,view,/book/show/124928342-d-i-c-nh-c-a-th-m-th
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hiệu Sách Cuối Cùng Ở London,"Martin, Madeline*",,9786043497564,,402        pp,4.15,"70,878","Apr 06, 2021",2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/63231565-hi-u-s-ch-cu-i-c-ng-london
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Len chùi        (Tháp giống, #1)","Howey, Hugh*",,9786043910810,,632        pp,4.22,"212,433","Jan 27, 2012",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2023",,Paperback,view,/book/show/123168930-len-ch-i
