,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Moonkiszt's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Abide with Me,"Strout, Elizabeth*",0812971825,9780812971828,0812971825,320        pp,3.90,"16,746","Mar 14, 2006","Mar 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/203064.Abide_with_Me
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lilli de Jong,"Benton, Janet*",0385541457,9780385541459,0385541457,352        pp,3.98,"4,657","May 16, 2017","May 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/31752152-lilli-de-jong
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shelterwood,"Wingate, Lisa*",0593726502,9780593726501,0593726502,368        pp,4.21,247,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/198563674-shelterwood
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Widow,"King, Francis",0749000244,9780749000240,0749000244,288        pp,4.00,5,"Jun 29, 1961","Sep 19, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/11543666-the-widow
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Scottish Ladies' Detective Agency        (The Scottish Ladies' Detective Agency, #1)","Travers, Lydia",1803148667,,B0BT57ZCF5,340        pp,3.95,"1,546","Apr 27, 2023","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/104307260-the-scottish-ladies-detective-agency
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clock Dance,"Tyler, Anne*",1784742449,9781784742447,1784742449,292        pp,3.58,"40,455","Jul 10, 2018","Jul 12, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,RTC. . .,Notes are private!,0,3,1,"Apr 05, 2024","Apr 09, 2024","Apr 05, 2024",,Paperback,view (with text),/book/show/36645972-clock-dance
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eye of the Needle,"Follett, Ken*",006074815X,9780060748159,006074815X,368        pp,4.20,"156,606","May 23, 1978","Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/92364.Eye_of_the_Needle
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dust Tracks on a Road,"Hurston, Zora Neale",,,0060854081,324        pp,4.11,"7,863",1942,"Jan 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/58399.Dust_Tracks_on_a_Road
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vera Wong's Unsolicited Advice for Murderers,"Sutanto, Jesse Q*",0593549228,9780593549223,0593549228,339        pp,4.05,"82,995","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/61827543-vera-wong-s-unsolicited-advice-for-murderers
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Flygirl,"Ankeny, Susan Tate",0806542845,9780806542843,B0CFGCGK55,304        pp,4.33,24,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/196406258-american-flygirl
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eyes of the Amaryllis,"Babbitt, Natalie",0374422389,9780374422387,0374422389,144        pp,3.90,969,"Nov 01, 1977","May 01, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Many folks love Tuck Everlasting most of this author's works. . .but this one is my favorite. My maternal grandma was a reader and made sure I never lMany folks love Tuck Everlasting most of this author's works. . .but this one is my favorite. My maternal grandma was a reader and made sure I never lacked for books. Every visit started with a quick run to a bookseller or library where she would acquaint me with her childhood favorites, but who was ever interested in my developing tastes. As it happened I was mostly out of Natalie Babbitt's target audience by a few years, but I was a babysitter that loved to read to my charges, and that's how I discovered this one.The idea of a disappearing ship that continues to sail the sea at the bottom, kept in place by love and promises and a home on the shore. . .where a grandma and a grandgirl who looks just like her? Spirit whispers, phantom guides who watch and guard, and an ocean that tosses out a ""big, green smile"" when at peace, well that hits too close to my heart to not be a favorite.So, a happy reunion this week, with NB, Geneva, Jenny, Seward and the Captain. Oh, and the head of the Amaryllis (which looks just like young Geneva), and her all-seeing eyes. . . . .52:8...more",Notes are private!,0,3,1,"Apr 03, 2024","Apr 03, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/25237.The_Eyes_of_the_Amaryllis
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sorceress Comes to Call,"Kingfisher, T.",1250244072,9781250244079,1250244072,336        pp,4.55,96,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/195790847-a-sorceress-comes-to-call
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Within Arm's Reach,"Napolitano, Ann*",0593732499,9780593732496,0593732499,352        pp,3.41,690,2004,"Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/203019737-within-arm-s-reach
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Train Dreams: A Novella,"Johnson, Denis",1427213771,9781427213778,1427213771,0        pp,3.90,"23,991",2002,"Aug 30, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Audio CD,view,/book/show/11223378-train-dreams
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Morgan's Book Brigade,"Charles, Janet Skeslien*",166800898X,9781668008980,166800898X,336        pp,4.27,289,"May 07, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/199798905-miss-morgan-s-book-brigade
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunchback of Notre-Dame,"Hugo, Victor",0451527887,9780451527882,0451527887,510        pp,4.02,"201,131","Mar 16, 1831","Apr 10, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/30597.The_Hunchback_of_Notre_Dame
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Noodles: A Cambodian Memoir of Love, Loss, and Family Recipes","Nguon, Chantha",1643753495,9781643753492,1643753495,304        pp,4.35,290,"Feb 20, 2024","Feb 20, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In the 70's Pol Pot's name mentioned in the news could stun a room into silence. . .his reign of terror was known to be brutal but details were few wiIn the 70's Pol Pot's name mentioned in the news could stun a room into silence. . .his reign of terror was known to be brutal but details were few with hardly a word slipping to the world at large, said those reporters who did. It has taken all these years for someone's story to cross my too-narrow awareness, to pull my ears to their words, my eyes to the terrible screen of their experience, and thankfully to their survival built one meal at a time, no matter the time and horror between. Chantha Nguon is a relentless warrior woman as her circle of women taught her to be. . .and she became just about the last woman standing out of her family. Yet she remembered - she kept all those memories of their wise words, the tastes and smells they created, the songs they sang, and their brave and rash actions - keeping all these in her heart. She was battered down on every level - she remained focused on the one goal: to survive. She did. She got back up, she remained, she persisted, and when the goal was achieved, she looked back and began to make spaces into which others could move forward and hold a place. She writes mixing heartbreak and sensual joy. She paints a bleak picture, with flashes of intense winks of smell, taste, textures and sounds shining from the bleak frames. . .bright bits of her own hopes, foundation for her remarkable patience and resilience in the face of utter terror.Her use of the ""recipe"" format delighted me. Through that she touched through my heart to the hearts of anyone who has ever personally prepared my next meal - most likely a loved one - this is a format that can be understood in most any language. And with a stroke of genius she turns it into a metaphor for her basics - ingredients and actions: what is needed to take down a society, what is needed to build it up, what is needed to survive, what is needed to thrive.We didn't know we missed her voice until we heard her story, songs. . .and to remind us of our human connection she generously invites us to her table with one of her family's most sacred truths: their recipes for surviving. *A sincere thank you to Chantha Nguon, Algonquin Books, and NetGalley for an ARC to read and independently . #SlowNoodles #NetGalley...more",Notes are private!,0,3,1,"Mar 30, 2024","Apr 03, 2024","Mar 30, 2024",,Hardcover,view (with text),/book/show/173404032-slow-noodles
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Salaryman's Wife        (Rei Shimura #1),"Massey, Sujata*",0061044431,9780061044434,B002VF2S3Y,432        pp,3.63,"3,433",1997,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Mar 29, 2024",,Paperback,view,/book/show/412242.The_Salaryman_s_Wife
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shakespeare: The Man Who Pays the Rent,"Dench, Judi",1250325773,9781250325778,1250325773,400        pp,4.59,912,"Oct 26, 2023","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Mar 29, 2024",,Hardcover,view,/book/show/127280282-shakespeare
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.36,715,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/195474144-table-for-two
