,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Perri's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Puppets of Spelhorst,"DiCamillo, Kate*",,9781536216752,1536216755,149        pp,4.21,"3,348","Oct 10, 2023","Oct 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This read to me like a debut book rather than an addition to DiCamillo’s wonderful list of JF reads. Though it had some writing I enjoyed and themes oThis read to me like a debut book rather than an addition to DiCamillo’s wonderful list of JF reads. Though it had some writing I enjoyed and themes of interest, I wonder if kids would enjoy it. That one of my favorite authors, Ann Patchett, gives is a nod makes me even more confused. The ending pushed it from “OK” to a three star readEdit: After consideration, I do think DiCamillo achieves the goal of introducing a ""modern"" fairy tale to a new audience. It's funny, her debut novel ,i> Because of Winn-Dixie  remains my favorite by her...more",Notes are private!,0,1,2,"Feb 13, 2024not set","Feb 15, 2024not set","Feb 13, 2024",,Hardcover,view (with text),/book/show/128125963-the-puppets-of-spelhorst
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overnight Guest,"Gudenkauf, Heather*",,,B08ZSQLZBS,337        pp,4.04,"99,146","Jan 25, 2022","Jan 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was like two thrillers for the price of one. It was fun to guess how they would eventually intersect and I liked the two very different setting iThis was like two thrillers for the price of one. It was fun to guess how they would eventually intersect and I liked the two very different setting in coldest winter and sweltering summer. I just wish it had wrapped up sooner. By the 80% mark I was tired of it and stretching my credibility. ...more,Notes are private!,0,1,1,"Feb 15, 2024","Feb 25, 2024","Feb 13, 2024",,Kindle Edition,view (with text),/book/show/57677070-the-overnight-guest
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fighter,"Smith, Michael Farris*",0316432342,9780316432344,0316432342,256        pp,4.04,"1,294","Mar 20, 2018","Mar 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/35604673-the-fighter
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rooted: Life at the Crossroads of Science, Nature, and Spirit","Haupt, Lyanda Lynn*",0316426482,9780316426480,0316426482,240        pp,4.05,"2,855","May 04, 2021","May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Rooted is a reminder to center, but also to challenge yourself. (With roots firmly established, we gain the freedom to stretch ourselves). It’s a deepRooted is a reminder to center, but also to challenge yourself. (With roots firmly established, we gain the freedom to stretch ourselves). It’s a deeply introspective book that I found almost poetic in nature and with nature. Looks like I’ve been reading this book for almost two months because I was reading it slow and letting it sink in. A little bit woo- woo is OK with me. In this time and age, I can use a bit of that. “Hope is not a remedy or even a substitute for the despair and anxiety we face in the modern world, but a companion to these things. Mature hope involves a willingness to allow that brokenness and beauty sometimes intertwine.”...more",Notes are private!,0,9,1,"Jan 26, 2024","Mar 15, 2024","Jan 26, 2024",,Hardcover,view (with text),/book/show/55277028-rooted
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Writer's Garden: How Gardens Inspired our Best-loved Authors,"Bennett, Jackie",0711234949,9780711234949,0711234949,176        pp,4.15,152,"Nov 01, 2014","Nov 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What is it about readers and gardeners? Books and plants seem to combine so naturally for so many people. Maybe it’s because they are somewhat solitarWhat is it about readers and gardeners? Books and plants seem to combine so naturally for so many people. Maybe it’s because they are somewhat solitary activities which encourage introversion and self-reflection? Anyway, there’s a fabulous new book at the library: The Writer’s Garden, since apparently, there’s a connection between authors and gardening as well. A chapter is devoted to more than twenty authors, such as Roald Dahl, Agatha Christie, Ernest Hemingway, and Virginia Wolfe. We learn about their gardens and grounds, and gain an understanding how it may have influenced their thinking and inspired their writing.  Sometimes there’s a direct link between the author and the book. Jane Austin’s time in brother’s elegant Park Estate surely influenced garden themes in Pride and Prejudice and Mansfield Park. Other garden influences are more oblique. For example, Karen Blixen shares her passion for the beauty of nature in her book Out of Africa, based on her time spent in Kenya. So, it’s not surprising that her gardens in her native Denmark reflected an understanding of the importance of creating natural habitats and biodiversity remarkably advanced for her time. I was thrilled with the chapter on Frances Hodgson Burnett. I can’t be the only one who felt The Secret Garden was written just for her. Burnett spent nearly a decade at Great Matham Hall gardening and writing. She planted more than 300 rose bushes, some which meandered up fruit trees she insisted be reclaimed. We read, “She set up a table and a chair under the trees and wrote every morning-accompanied by a tame robin that would later make an appearance in The Secret Garden”. Be still my swelling heart! Visiting and website information for all the author’s gardens are noted in the appendix which are often located in the UK. (What is it about English gardeners and writers?!) This oversize book includes some stunningly luscious photos. O...more",Notes are private!,0,2,1,"Feb 27, 2024","Mar 13, 2024","Jan 25, 2024",,Hardcover,view (with text),/book/show/21416223-the-writer-s-garden
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Water: A Black Man's Tribute to His White Mother,"McBride, James*",075697268X,9780756972684,075697268X,328        pp,4.13,"123,663",1995,"Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Library Binding,view,/book/show/6334857-the-color-of-water
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Prisoners of the Castle: An Epic Story of Survival and Escape from Colditz, the Nazis' Fortress Prison","Macintyre, Ben",0593136330,9780593136331,0593136330,368        pp,4.27,"7,306","Sep 13, 2022","Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/59883560-prisoners-of-the-castle
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Beale Street Could Talk,"Baldwin, James",0307275930,9780307275936,0307275930,197        pp,4.27,"60,701",1974,"Oct 10, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/38463.If_Beale_Street_Could_Talk
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",,9780593790519,,unknown,4.18,"27,122","Sep 19, 2023",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Audiobook,view,/book/show/199112718-north-woods
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother Night,"Vonnegut, Kurt, Jr.",0385334141,9780385334143,0385334141,282        pp,4.23,"94,808",1961,"May 11, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh my goodness, so topical it made my head spin. Relevant today in so many ways. Thought provoking, moral ambiguities, and so many lines I read, rereaOh my goodness, so topical it made my head spin. Relevant today in so many ways. Thought provoking, moral ambiguities, and so many lines I read, reread and wanted to highlight in this library book. Dark, no black humor-it’s like you laugh so you don’t cry. I haven’t read Vonnegut since High School- I really need to revisit this literary visionary. ...more",Notes are private!,0,2,1,"Feb 13, 2024","Feb 20, 2024","Jan 11, 2024",,Paperback,view (with text),/book/show/9592.Mother_Night
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hondo,"L'Amour, Louis",0553802992,9780553802993,0553802992,194        pp,4.06,"12,604",1953,"Apr 27, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Hardcover,view,/book/show/469933.Hondo
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shane,"Schaefer, Jack",0395941164,9780395941164,0395941164,135        pp,3.94,"13,181",1949,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Hardcover,view,/book/show/257837.Shane
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,"Fisher, Max",031670332X,9780316703321,031670332X,400        pp,4.30,"5,215","Sep 06, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/58950736-the-chaos-machine
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Housemaid        (The Housemaid, #1)","McFadden, Freida*",,,B09TWSRMCB,338        pp,4.33,"1,063,693","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/60556912-the-housemaid
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Giant's House,"McCracken, Elizabeth",0061120162,9780061120169,0061120162,320        pp,3.66,"7,591","Jun 01, 1996","Jul 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Paperback,view,/book/show/136216.The_Giant_s_House
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,485","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/60194162-demon-copperhead
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Howl’s Moving Castle        (Howl’s Moving Castle, #1)","Jones, Diana Wynne",006441034X,9780064410342,006441034X,329        pp,4.29,"356,384",Apr 1986,"Aug 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Who’d have thought the book that pulls me out of my reading slump is a JF? At least that’s how my library shelved it. I see on Good Reads it’s a YA. AWho’d have thought the book that pulls me out of my reading slump is a JF? At least that’s how my library shelved it. I see on Good Reads it’s a YA. A fun romp all over the countryside in a roving castle. Delightful human and not so human characters. Who cares how it’s labelled as long as it’s a good story!? ...more,Notes are private!,1,2,1,"Feb 05, 2024","Feb 11, 2024","Jan 05, 2024",,Mass Market Paperback,view (with text),/book/show/6294.Howl_s_Moving_Castle
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walking My Dog Jane: From Valdez to Prudhoe Bay Along the Trans-Alaska Pipeline,"Rozell, Ned*",0882405942,9780882405940,0882405942,342        pp,4.00,208,2000,"May 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are people who get Alaska and those who don’t. I’m firmly in the later camp. But that makes it all the more interesting to me that there’s some There are people who get Alaska and those who don’t. I’m firmly in the later camp. But that makes it all the more interesting to me that there’s some guy who willingly walks several months besides the trans-Alaska pipeline with his dog. He shares his experience meeting with the somewhat quirky folk who choose to live in such extreme and isolated places. He finds peace and self-understanding through solitude, but gah, those mosquito experiences made my skin crawl. I would never make such a journey, so I like to take one vicariously. 3 and a half stars rounded up...more",Notes are private!,0,1,1,"Feb 11, 2024","Feb 26, 2024","Jan 03, 2024",,Paperback,view (with text),/book/show/413325.Walking_My_Dog_Jane
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Narrow Road Between Desires        (The Kingkiller Chronicle, #2.6)","Rothfuss, Patrick*",0756419182,9780756419189,0756419182,240        pp,4.08,"15,789","Nov 14, 2023","Nov 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Rothfuss, dear Rothfuss. What a writer are you. It’s a fairy tale, magic, it’s beauty and pain. Tickles the mind, expands the heart.  Rothfuss, dear RRothfuss, dear Rothfuss. What a writer are you. It’s a fairy tale, magic, it’s beauty and pain. Tickles the mind, expands the heart.  Rothfuss, dear Rothfuss. If you never get around to completing the Kingkiller Chroncle, just promise to keep writing. I’ll read them all. And the illustrations are peachy too, Nate...more",Notes are private!,0,0,1,Jan 2024,"Jan 06, 2024","Jan 01, 2024",,ebook,view (with text),/book/show/157265081-the-narrow-road-between-desires
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poverty, by America","Desmond, Matthew*",0593239911,9780593239919,0593239911,284        pp,4.28,"33,960","Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/61358638-poverty-by-america
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Us Against You        (Beartown, #2)","Backman, Fredrik*",1501160796,9781501160790,1501160796,448        pp,4.36,"192,516","Aug 21, 2017","Jun 05, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don’t usually follow a series, but I thought I’d give Us vs. Them a try after finishing and highly rating Beartown more than two years ago. I read tI don’t usually follow a series, but I thought I’d give Us vs. Them a try after finishing and highly rating Beartown more than two years ago. I read to Chapter 22, about half, so think that’s enough to decide this isn’t for me. It was just bringing me down with the:1. Small town politics (and Backman makes good points about human politics and how they’re inescapable) 2. Hockey fanaticism (and Backman makes good points about how it helps young men find place to belong and escape difficult life conditions, but the cost)I liked the insights into family and parenting, but don’t think Backman brought anything new to say in this sequel. The pace was slow and I had to push myself to get as far as I did.With a 4.36 rating it’s safe to say it’s Me vs Everyone Else, but in case there’s a few others of us who didn’t like this, you’re not alone....more",Notes are private!,0,1,1,"Feb 26, 2024","Feb 28, 2024","Dec 29, 2023",,Hardcover,view (with text),/book/show/36373463-us-against-you
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing Fireflies,"Martin, Charles*",,,B006IEFUNE,349        pp,4.42,"35,748","May 25, 2007","Feb 10, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Martin did a great job capturing the sights, smell, culture of Brunswick GA and the Golden Isles. I’m familiar with the area so it tapped a lot of deaMartin did a great job capturing the sights, smell, culture of Brunswick GA and the Golden Isles. I’m familiar with the area so it tapped a lot of dear memories. The story started out strong, but became a bit sentimental. The four stars are based on my enjoyment of the connections to the place....more",Notes are private!,2,3,1,"Dec 29, 2023",Jan 2024,"Dec 29, 2023",,Kindle Edition,view (with text),/book/show/18929722-chasing-fireflies
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Girl: The Babes in the Woods murders. A mother’s fight for justice.,"Hadaway, Michelle",1804943517,9781804943519,B0BZTZ1Z7V,311        pp,4.54,121,unknown,"Aug 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/107525421-my-girl
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North,"Kessler, Brad",1419750429,9781419750427,1419750429,288        pp,4.21,426,"Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Hardcover,view,/book/show/56969481-north
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Whalestoe Letters,"Danielewski, Mark Z.*",0375714413,9780375714412,0375714413,83        pp,4.05,"2,603","Oct 10, 2000","Oct 10, 2000",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Rating soley based on value as a companion piece to House of Leaves which I loved. This really didn't add anything to understanding or enjoyment of thRating soley based on value as a companion piece to House of Leaves which I loved. This really didn't add anything to understanding or enjoyment of that book. I can't judge it as a stand-alone, since most of it I had already read in HOL. ...more",Notes are private!,0,0,1,"Dec 04, 2023","Dec 06, 2023","Dec 04, 2023",,Paperback,view (with text),/book/show/40153.The_Whalestoe_Letters
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Team of Rivals: The Political Genius of Abraham Lincoln,"Goodwin, Doris Kearns",,,0743270754,916        pp,4.28,"186,404","Oct 25, 2005","Sep 26, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/2199.Team_of_Rivals
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Good Morning, Monster: A Therapist Shares Five Heroic Stories of Emotional Recovery","Gildiner, Catherine*",1250271487,9781250271488,1250271487,368        pp,4.46,"38,526","Sep 22, 2020","Sep 22, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Hardcover,view,/book/show/49127514-good-morning-monster
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Love Baseball: A History in 50 Moments,"Posnanski, Joe*",0593472675,9780593472675,0593472675,377        pp,4.58,"2,357","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Hardcover,view,/book/show/65650219-why-we-love-baseball
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties","O'Neill, Tom",0316477575,9780316477574,B07K6J273Q,504        pp,4.03,"19,066","Jun 25, 2019","Jun 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Kindle Edition,view,/book/show/43015073-chaos
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Enchantment        (Arthurian Saga, #3)","Stewart, Mary",0060548274,9780060548278,0060548274,513        pp,4.17,"16,143",1979,"May 06, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"To be fair, I was thinking of stopping with the last Saga ( #2) knowing the outcome. But it was more that we needed to hear now from Arthur's persepecTo be fair, I was thinking of stopping with the last Saga ( #2) knowing the outcome. But it was more that we needed to hear now from Arthur's persepective and we were on the sidelines with this one. I will say that I understand and empathize more with the female ""villains"" after hearing about how they were treated and viewed in Arturian times. The audio version contines to be awesome. ...more",Notes are private!,0,0,2,"Dec 02, 2023not set","Dec 18, 2023not set","Dec 02, 2023",,Paperback,view (with text),/book/show/64105.The_Last_Enchantment
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Endurance: Shackleton's Legendary Antarctic Expedition,"Alexander, Caroline",0375404031,9780375404030,0375404031,224        pp,4.33,"20,975","Nov 03, 1998","Nov 03, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We travel with Shackleton and his crew on this perilous journey from the comfort of our homes. I was fascinated by the comradery displayed by the crewWe travel with Shackleton and his crew on this perilous journey from the comfort of our homes. I was fascinated by the comradery displayed by the crew in tremendously difficult conditions for twenty (22!!) months. A lot of credit goes to the leadership Shackleton displayed. The excerpts from the men’s diaries and the stunning desolate photos add to the feeling of authenticity. (view spoiler)[ Many seals, penguins and sled dogs are consumed  (hide spoiler)]...more",Notes are private!,0,1,1,"Dec 02, 2023","Dec 18, 2023","Dec 02, 2023",,Hardcover,view (with text),/book/show/537375.The_Endurance
