,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Romina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nei tuoi occhi,"Sparks, Nicholas*",,,,350        pp,3.99,"94,269","Oct 13, 2015","Jan 12, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 12, 2016","Jan 17, 2016",,Kindle Edition,view,/book/show/28512874-nei-tuoi-occhi
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ässassinio all'Ikea. Omicidio fai da te,"Zucca, Giovanna",8876257926,9788876257926,8876257926,286        pp,3.20,236,"Aug 01, 2015","Aug 27, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 11, 2016","Jan 12, 2016","Jan 12, 2016",,Paperback,view,/book/show/27211988-ssassinio-all-ikea-omicidio-fai-da-te
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'amante giapponese,"Allende, Isabel*",,,B015QNFDXO,264        pp,3.87,"85,625","May 28, 2015","Oct 15, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 07, 2016","Jan 09, 2016","Jan 08, 2016",,Kindle Edition,view,/book/show/27182853-l-amante-giapponese
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La strada,"McCarthy, Cormac",8806219367,9788806219369,8806219367,220        pp,3.99,"904,403","Sep 26, 2006",2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,Jan 2016,"Jan 04, 2016",,Paperback,view,/book/show/21465838-la-strada
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il più e il meno,"De Luca, Erri",8807031620,9788807031625,8807031620,144        pp,3.57,199,"Oct 22, 2015","Oct 22, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Dec 28, 2015",,Paperback,view,/book/show/27409006-il-pi-e-il-meno
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Help,"Stockett, Kathryn*",8804628634,9788804628637,8804628634,532        pp,4.47,"2,764,085","Feb 10, 2009","Jan 03, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE HELPNON ERA QUESTO LO SCOPO DEL LIBRO?FAR CAPIRE ALLE DONNE CHE SIAMO SEMPLICEMENTE DUE PERSONE, E NON SONO MOLTE LE COSE CHE CI SEPARANO. MOLTO  THE HELPNON ERA QUESTO LO SCOPO DEL LIBRO?FAR CAPIRE ALLE DONNE CHE SIAMO SEMPLICEMENTE DUE PERSONE, E NON SONO MOLTE LE COSE CHE CI SEPARANO. MOLTO MENO DI QUANTO PENSI.Questo libro è sicuramente un libro che dovrebbe essere letto da tutti. Coinvolge e commuove da subito . E’ un libro crudo che racconta come negli anni 60 il razzismo era ancora forte verso le persone afro-americane e come tre donne cercano di combattere queste differenze.I personaggi sono talmente ben delineati e che escono dalle pagine di questo libro e continuano a vivere anche dopo averlo terminato.The help ci ricorda che la discriminazione razziale non è qualcosa di così tanto lontano racconta anche la fatica e delle difficoltà di inserimento e di integrazione nella società per le donne di colore-Fin dalle primissime pagine è palpabile il sentimento di rabbia e impotenza che investe il lettore, dovrebbero leggerlo tutti.E’ un romanzo ricco di emozioni, ho amato le tre voci narranti da subito per il loro coraggio, la loro voglia di cambiare le cose e per la loro determinazione nonostante le paure e le avversità.E’ scritto con una scrittura scorrevole e ti prende da subito, non puoi smettere di leggerlo.Dopo aver visto il film ho deciso di comprare il libro e devo dire che non ne sono affatto rimasta delusa anzi è stata un’ ottima scelta, come al solito i libri non tradiscono mai....more",Notes are private!,0,2,1,"Dec 21, 2015","Dec 23, 2015","Dec 21, 2015",,Paperback,view (with text),/book/show/18278783-the-help
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Follia,"McGrath, Patrick",8845913600,9788845913600,8845913600,294        pp,3.95,"31,220","Aug 29, 1996",Feb 1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Dec 14, 2015",,Paperback,view,/book/show/3940353-follia
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il delta di Venere,"Nin, Anaïs",8845246531,9788845246531,8845246531,283        pp,3.62,"22,592",1977,Oct 2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Dec 11, 2015",,Paperback,view,/book/show/15779542-il-delta-di-venere
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La ragazza del treno,"Hawkins, Paula*",8856637774,9788856637779,8856637774,306        pp,3.96,"2,942,771","Jan 13, 2015","Jun 23, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 15, 2015","Sep 18, 2015",,Hardcover,view,/book/show/25587116-la-ragazza-del-treno
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lettere a un amore perduto,"Grey, Iona*",880980158X,9788809801585,880980158X,528        pp,4.17,"10,232",Apr 2015,"May 20, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 14, 2015",,Paperback,view,/book/show/25552501-lettere-a-un-amore-perduto
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutta la luce che non vediamo,"Doerr, Anthony*",8817077259,9788817077255,8817077259,516        pp,4.32,"1,661,385","May 06, 2014","Oct 20, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2015","Aug 15, 2015","Aug 15, 2015",,Hardcover,view,/book/show/23592080-tutta-la-luce-che-non-vediamo
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La verità sul caso Harry Quebert,"Dicker, Joël",8845273288,9788845273285,8845273288,779        pp,4.18,"170,743","Sep 19, 2012","May 22, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lo strano caso di Harry QuebertHo amato questo libro dalla prima all’ultima pagina. L’ho trovato appassionante, bello e magnetico. Mi è piaciuto il moLo strano caso di Harry QuebertHo amato questo libro dalla prima all’ultima pagina. L’ho trovato appassionante, bello e magnetico. Mi è piaciuto il modo in cui è stato scritto. L’autore ha usato una scrittura scorrevole e semplice, ma accurata.Non mancano suspance e colpi di scena. Si riesce ad entrare nel romanzo e diventare parte integrante di esso.Lo consiglio....more",Notes are private!,0,5,1,"Jul 22, 2015",Aug 2015,"Jul 22, 2015",,Paperback,view (with text),/book/show/17981035-la-verit-sul-caso-harry-quebert
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Villette,"Brontë, Charlotte",,,,573        pp,3.77,"73,122",Jan 1853,"Oct 09, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 20, 2015",,Paperback,view,/book/show/31173.Villette
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La commedia di Charleroi,"Drieu la Rochelle, Pierre",8876254595,9788876254598,8876254595,226        pp,3.74,47,1934,"May 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 19, 2015",,Paperback,view,/book/show/22466080-la-commedia-di-charleroi
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La donna in bianco,"Collins, Wilkie",8881129914,9788881129911,8881129914,691        pp,4.01,"154,420","Nov 26, 1859",Jan 2009,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 05, 2015","Jul 19, 2015","Jul 05, 2015",,Paperback,view,/book/show/9753732-la-donna-in-bianco
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lo strano caso dell'apprendista libraia,"Meyler, Deborah*",8811682444,9788811682448,8811682444,341        pp,3.07,"6,577","Aug 20, 2013","Aug 28, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 19, 2015","Jul 04, 2015","Jun 19, 2015",,Hardcover,view,/book/show/23081994-lo-strano-caso-dell-apprendista-libraia
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Numero zero,"Eco, Umberto",,,B00R6HNAYI,218        pp,3.16,"13,211",2015,"Jan 09, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 21, 2015","Feb 07, 2015",,Kindle Edition,view,/book/show/24235201-numero-zero
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il tredicesimo dono,"Smith, Joanne Huist*",8811688264,9788811688266,8811688264,168        pp,4.00,"8,288","Oct 22, 2014","Nov 20, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 15, 2015",not set,"Jan 15, 2015",,Hardcover,view,/book/show/23519816-il-tredicesimo-dono
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il quadro mai dipinto,"Bisotti, Massimo",8804641061,9788804641063,8804641061,228        pp,2.92,"1,063",unknown,"May 06, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2014","Jan 15, 2015","Dec 30, 2014",,Paperback,view,/book/show/21951367-il-quadro-mai-dipinto
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La ragazza che non voleva crescere,"Caro, Isabelle",8860522048,9788860522047,8860522048,237        pp,3.94,141,"Jan 01, 2008",2009,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Dec 30, 2014",,Paperback,view,/book/show/12734631-la-ragazza-che-non-voleva-crescere
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Voglio vivere una volta sola,"Carofiglio, Francesco",8856638185,9788856638189,8856638185,182        pp,3.34,128,Aug 2014,Aug 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2014",,Hardcover,view,/book/show/23124068-voglio-vivere-una-volta-sola
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nessuno si salva da solo,"Mazzantini, Margaret",880460865X,9788804608653,880460865X,189        pp,3.18,"4,302",2011,"Feb 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 06, 2014","Nov 30, 2014","Sep 06, 2014",,Hardcover,view,/book/show/10824005-nessuno-si-salva-da-solo
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cento giorni di felicità,"Brizzi, Fausto",8806215361,9788806215361,8806215361,400        pp,3.94,"4,610","Nov 12, 2013","Nov 12, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 24, 2014","Aug 25, 2014","Aug 24, 2014",,Paperback,view,/book/show/18792785-cento-giorni-di-felicit
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La storia segreta della Rivoluzione: Parte prima,"Mantel, Hilary",8876254579,9788876254574,8876254579,250        pp,3.26,383,1992,"Apr 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2014",,Hardcover,view,/book/show/21956483-la-storia-segreta-della-rivoluzione
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lucia a Londra,"Benson, E.F.",8876254587,9788876254581,8876254587,280        pp,4.23,"1,638",1927,"Apr 17, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2014",,Paperback,view,/book/show/22058676-lucia-a-londra
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le luci bianche di Parigi,"Révay, Theresa",8865591870,9788865591871,8865591870,488        pp,4.06,612,unknown,"Apr 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2014",,Paperback,view,/book/show/22032181-le-luci-bianche-di-parigi
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cent'anni di solitudine,"García Márquez, Gabriel",880431463X,9788804314639,880431463X,404        pp,4.11,"971,205",1967,Sep 1988,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2014",,Paperback,view,/book/show/66803.Cent_anni_di_solitudine
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il cardellino,"Tartt, Donna",8817072389,9788817072380,8817072389,893        pp,3.94,"925,169","Sep 23, 2013","Mar 12, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 16, 2014",,Hardcover,view,/book/show/20809798-il-cardellino
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ragazza nera ragazza bianca,"Oates, Joyce Carol",8804635991,9788804635994,8804635991,336        pp,3.25,"3,628",2006,"Jan 21, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2014",,Paperback,view,/book/show/20499222-ragazza-nera-ragazza-bianca
