,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Gramazio, Holly*",0385550618,9780385550611,0385550618,352        pp,3.79,"2,206","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/193781998-the-husbands
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scandalous Women: A Novel of Jackie Collins and Jacqueline Susann,"Paul, Gill*",0063245159,9780063245150,0063245159,384        pp,4.48,25,"Aug 13, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/199531788-scandalous-women
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hope to Die        (DI Fawley, #6)","Hunter, Cara*",0063263815,9780063263819,0063263815,432        pp,4.36,"5,550","Jul 21, 2022","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/200525230-hope-to-die
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Christa Comes Out of Her Shell,"Waxman, Abbi*",0593198794,9780593198797,B0CC1FPWC4,400        pp,3.93,110,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/191728113-christa-comes-out-of-her-shell
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hour,"Hoffman, Alice*",1982175389,9781982175382,1982175389,272        pp,3.63,"28,018","Aug 15, 2023","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/199798000-the-invisible-hour
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"So Close        (Blacklist, #1)","Day, Sylvia*",1626500037,9781626500037,1250071720,326        pp,3.53,"2,985","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/29763838-so-close
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breaking the Dark        (Marvel Crime, #1)","Jewell, Lisa*",1368090125,9781368090124,1368090125,384        pp,4.00,18,"Jul 04, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/201306695-breaking-the-dark
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Kind to Kill        (Shana Merchant, #4)","Wegert, Tessa*",1448310059,9781448310050,1448310059,256        pp,3.97,421,"Dec 06, 2022","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/136281662-the-kind-to-kill
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Talking to Strangers,"Barton, Fiona*",1984803077,9781984803078,1984803077,400        pp,3.96,24,"Aug 15, 2024","Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/202774975-talking-to-strangers
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And So I Roar,"Daré, Abi",0593186559,9780593186558,0593186559,400        pp,4.33,6,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/201751081-and-so-i-roar
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idea of You,"Lee, Robinne*",1250353076,9781250353078,1250353076,384        pp,3.89,"85,320","Jun 13, 2017","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/197364131-the-idea-of-you
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Favor,"Murphy, Nora*",1250341833,9781250341839,1250341833,384        pp,3.83,"8,405","May 31, 2022","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Mass Market Paperback,view,/book/show/195790744-the-favor
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Penance,"Clark, Eliza",0063327864,9780063327863,0063327864,336        pp,3.95,"15,105","Jul 04, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/199531883-penance
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quiet Tenant,"Michallon, Clémence*",0593467868,9780593467862,0593467868,384        pp,3.88,"66,488","Jun 20, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/205546187-the-quiet-tenant
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind Knows My Name,"Allende, Isabel*",0593598121,9780593598122,0593598121,304        pp,4.03,"33,272","Jun 06, 2023","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/207677111-the-wind-knows-my-name
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Thirsty,"Harrison, Rachel",0593642546,9780593642542,0593642546,304        pp,4.48,40,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/203608552-so-thirsty
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Family Experiment,"Marrs, John*",1335000364,9781335000361,1335000364,384        pp,4.57,256,"May 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/197108968-the-family-experiment
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ferryman,"Cronin, Justin*",0525619496,9780525619499,0525619496,560        pp,3.93,"27,668","May 02, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/205064676-the-ferryman
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of What If,"Patrick, Phaedra*",0778310892,9780778310891,0778310892,336        pp,4.71,17,"Jun 25, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/198264670-the-year-of-what-if
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short Walk Through a Wide World,"Westerbeke, Douglas",1668026066,9781668026069,1668026066,400        pp,3.80,770,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/176443045-a-short-walk-through-a-wide-world
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five Year Lie,"Bowen, Sarina*",0063280604,9780063280601,0063280604,432        pp,4.15,209,"May 14, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/195853534-the-five-year-lie
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Third Wife of Faraday House,"Myers, B.R.*",006320987X,9780063209879,006320987X,352        pp,4.02,85,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/199635061-the-third-wife-of-faraday-house
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library Thief,"Shenjé, Kuchenga",1335909699,9781335909695,1335909699,368        pp,3.63,65,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/200153487-the-library-thief
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,899","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/174147294-wandering-stars
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Girl Left,"Strong, A.M.*",1662518277,9781662518270,B0CGBFKV85,331        pp,4.01,149,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/197600319-the-last-girl-left
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Missing White Woman,"Garrett, Kellye*",0316256978,9780316256971,0316256978,336        pp,3.98,177,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/195820717-missing-white-woman
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wilds        (Detective Elin Warner, #3)","Pearse, Sarah",0593654048,9780593654040,0593654048,400        pp,4.14,29,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/200555227-the-wilds
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humor Me,"Shook, Cat*",1250904714,9781250904713,1250904714,320        pp,4.20,15,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/195391615-humor-me
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fear Within,"Green, Michael",,,B0CQHR5KMY,207        pp,3.67,3,unknown,"Jan 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/203931297-the-fear-within
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City on Fire,"Hallberg, Garth Risk",0804172951,9780804172950,0804172951,944        pp,3.39,"14,961","Oct 13, 2015","Jul 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/29496242-city-on-fire
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Puzzle Box,"Trussoni, Danielle*",0593595327,9780593595329,0593595327,336        pp,4.00,26,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/205064691-the-puzzle-box
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never Come Back        (Nora McTavish, #2)","Hart, Joe*",1662515324,9781662515323,B0BXBF7NZJ,280        pp,4.20,414,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/92217371-never-come-back
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madeleine and Jane: Lost and Found in the Sixties,"Gordon, Emily Fox",,,B0C51HQ6R3,323        pp,3.18,17,unknown,"Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/152659352-madeleine-and-jane
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Snap,"Staple, Elizabeth*",0593686179,9780593686171,0593686179,288        pp,4.59,34,"Aug 13, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/202102030-the-snap
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Villain Edit,"Devore, Laurie*",0063337606,9780063337602,0063337606,336        pp,3.90,60,"Jun 18, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/199570076-the-villain-edit
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Thought I Knew,"Trombetta, Melissa*",,9798218336257,B0CQJ2BNGW,298        pp,4.59,82,unknown,"Apr 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/203948180-i-thought-i-knew
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Shouldn’t Be Telling You This, But I'm Going to Anyway","Devantez, Chelsea*",1335455078,9781335455079,1335455078,272        pp,4.44,66,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/198385436-i-shouldn-t-be-telling-you-this-but-i-m-going-to-anyway
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Name of Family,"Coppola, Cynthia*",,9798989174614,B0CNQGBKJY,285        pp,4.44,27,unknown,"Feb 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/202453938-in-the-name-of-family
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Restored in Tuscany: A True Story of Facing Loss, Finding Beauty, and Living Forward in Hope","Correll, Angela*",0736988424,9780736988421,0736988424,240        pp,4.73,60,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/137226988-restored-in-tuscany
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Half Moon,"Keane, Mary Beth",1982172614,9781982172619,1982172614,320        pp,3.49,35,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/176443955-the-half-moon
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sleepwalkers,"Thomas, Scarlett*",1668032988,9781668032985,1668032988,304        pp,3.30,218,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/176442759-the-sleepwalkers
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Burn Daylight,"Johnston, Bret Anthony",0399590129,9780399590122,0399590129,352        pp,4.33,18,"Jul 30, 2024","Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/201102273-we-burn-daylight
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,That Night in the Library,"Jurczyk, Eva*",1728295696,9781728295695,1728295696,288        pp,3.06,137,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/197036035-that-night-in-the-library
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bright Sword,"Grossman, Lev*",0735224048,9780735224049,0735224048,688        pp,4.49,57,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/201750794-the-bright-sword
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,238","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/173754979-james
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trippy: The Peril and Promise of Medicinal Psychedelics,"Londoño, Ernesto*",1250878543,9781250878540,1250878543,320        pp,4.50,32,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/195391606-trippy
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Piece of Heaven,"O'Neal, Barbara*",1662521316,9781662521317,B0CQRKTHG1,375        pp,4.00,2,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/204222380-a-piece-of-heaven
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secret, Book, & Scone Society        (Secret, Book, & Scone Society, #1)","Adams, Ellery*",1496712390,,B01N4W09GF,322        pp,3.77,"27,076","Oct 31, 2017","Oct 31, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 24, 2024","Apr 04, 2024","Mar 24, 2024",,Kindle Edition,view,/book/show/34200152-the-secret-book-scone-society
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth as It Is on Television,"Jane, Emily*",1368101208,9781368101202,1368101208,400        pp,3.65,"3,158","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Audiobook,view,/book/show/206340812-on-earth-as-it-is-on-television
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shark Heart,"Habeck, Emily*",,,B0BHTPP89B,415        pp,4.03,"28,177","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Kindle Edition,view,/book/show/74891998-shark-heart
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Long Island        (Eilis Lacey, #2)","Tóibín, Colm",1476785112,9781476785110,1476785112,304        pp,4.07,147,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/199798868-long-island
