,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Barbara (The Bibliophage)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",0374110336,9780374110338,0374110336,432        pp,3.83,"30,702","Mar 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/60784757-birnam-wood
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Age of Vice,"Kapoor, Deepti",0593328795,9780593328798,0593328795,544        pp,3.61,"28,118","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/60177466-age-of-vice
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Living and the Dead,"Campbell, Hayley*",1250281849,9781250281845,1250281849,288        pp,4.25,"8,902","Apr 12, 2022","Aug 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/58724737-all-the-living-and-the-dead
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bell in the Lake        (Hekne, #1)","Mytting, Lars",141974318X,9781419743184,141974318X,400        pp,4.18,"6,979",2018,"Jun 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/50157931-the-bell-in-the-lake
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Far from the Light of Heaven,"Thompson, Tade",1549136550,9781549136559,,unknown,3.51,"4,436","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Audiobook,view,/book/show/57007657-far-from-the-light-of-heaven
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Thousand Recipes for Revenge        (Chefs of the Five Gods, #1)","Cato, Beth*",1662510292,9781662510298,B0BBNBWRPR,406        pp,3.89,"4,326","Jun 13, 2023","Jun 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Kindle Edition,view,/book/show/62094214-a-thousand-recipes-for-revenge
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",,,,724        pp,4.47,"150,376","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/62687857-the-covenant-of-water
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Terraformers,"Newitz, Annalee*",1250228018,9781250228017,1250228018,338        pp,3.39,"4,827","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/60784471-the-terraformers
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Devil and Webster,"Korelitz, Jean Hanff*",1478934867,9781478934868,1478934867,unknown,3.58,"1,846","Mar 21, 2017","Mar 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Audio CD,view,/book/show/30842480-the-devil-and-webster
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Grace of Kings        (The Dandelion Dynasty, #1)","Liu, Ken*",1481424270,9781481424271,1481424270,640        pp,3.78,"21,157","Apr 07, 2015","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/18952341-the-grace-of-kings
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Whisper Man,"North, Alex*",1250318009,9781250318008,,384        pp,4.03,"163,572","Jun 13, 2019","Jun 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Paperback,view,/book/show/51540935-the-whisper-man
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry for the Future,"Robinson, Kim Stanley",0316300136,9780316300131,0316300136,563        pp,3.88,"31,424","Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/50998056-the-ministry-for-the-future
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nona the Ninth        (The Locked Tomb, #3)","Muir, Tamsyn*",1250854113,9781250854117,1250854113,480        pp,4.35,"37,735","Sep 13, 2022","Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/58662507-nona-the-ninth
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River of Silver,"Chakraborty, S.A.*",0063093731,9780063093737,0063093731,242        pp,4.31,"7,414","Mar 01, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/60133986-the-river-of-silver
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Better Half,"Frank, Alli",1542034175,,B0BP8GNHD5,326        pp,3.89,"9,166","Jul 01, 2023","Jul 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Kindle Edition,view,/book/show/123412500-the-better-half
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"City of Last Chances        (The Tyrant Philosophers, #1)","Tchaikovsky, Adrian*",1801108420,9781801108423,1801108420,500        pp,3.99,"3,348","Dec 08, 2022","Dec 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/60147395-city-of-last-chances
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poverty, by America","Desmond, Matthew*",0593239911,9780593239919,0593239911,284        pp,4.28,"33,967","Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/61358638-poverty-by-america
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Vibes Only,"McInerny, Nora*",1982186712,9781982186715,1982186712,224        pp,3.85,"8,474","Oct 11, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/59366247-bad-vibes-only
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Very Secret Sex Lives of Medieval Women: An Inside Look at Women & Sex in Medieval Times,"Gilbert, Rosalie*",164250307X,9781642503074,164250307X,327        pp,3.51,921,unknown,"Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/48619839-the-very-secret-sex-lives-of-medieval-women
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,"Woo, Ilyon*",1501191055,9781501191053,1501191055,416        pp,4.02,"8,956","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/61272711-master-slave-husband-wife
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cloisters,"Hays, Katy*",1668004402,9781668004401,1668004402,312        pp,3.42,"54,519","Nov 01, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/61054804-the-cloisters
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Two Mrs. Grenvilles,"Dunne, Dominick",,,B00735HGMK,384        pp,4.00,"4,206",1985,"Feb 22, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/17279395-the-two-mrs-grenvilles
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plague,"Camus, Albert",,,,308        pp,4.02,"263,680","Jun 10, 1947",Mar 1991,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/11989.The_Plague
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City in the Middle of the Night,"Anders, Charlie Jane*",0765379961,9780765379962,0765379961,366        pp,3.50,"11,730","Feb 12, 2019","Feb 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/37534907-the-city-in-the-middle-of-the-night
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Three Hours in Paris        (Kate Rees, #1)","Black, Cara*",1641290412,9781641290418,1641290412,350        pp,3.88,"8,771","Apr 07, 2020","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/53093060-three-hours-in-paris
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Once and Future Witches,"Harrow, Alix E.*",0316422045,9780316422048,0316422045,517        pp,4.05,"82,711","Oct 13, 2020","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/49504061-the-once-and-future-witches
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quichotte,"Rushdie, Salman",178733192X,9781787331921,178733192X,393        pp,3.81,"9,757","Aug 29, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/43811212-quichotte
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shadow Lines,"Ghosh, Amitav",061832996X,9780618329960,061832996X,246        pp,3.86,"8,369",1988,"May 03, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/109307.The_Shadow_Lines
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,"Brown, Brené*",0399592555,9780399592553,0399592555,301        pp,4.32,"75,736","Nov 30, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/58330567-atlas-of-the-heart
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady in the Lake,"Lippman, Laura*",,,B07H52GMTH,352        pp,3.50,"28,734","Jul 23, 2019","Jul 23, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/41735375-lady-in-the-lake
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Act of Esme Lennox,"O'Farrell, Maggie*",,,,277        pp,3.92,"42,986",2006,"Feb 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/250729.The_Vanishing_Act_of_Esme_Lennox
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last White Man,"Hamid, Mohsin",0593538811,9780593538814,0593538811,192        pp,3.45,"16,387","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/58885796-the-last-white-man
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anomaly,"Le Tellier, Hervé",1635421691,9781635421699,1635421691,391        pp,3.81,"52,544","Aug 20, 2020","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/56920684-the-anomaly
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,052","Apr 05, 2005","Aug 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/6334.Never_Let_Me_Go
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witch of Tin Mountain,"Kennedy, Paulette*",1662507631,9781662507632,B09XX78WN2,328        pp,4.06,"14,013","Feb 01, 2023","Feb 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/60864419-the-witch-of-tin-mountain
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Meru        (The Alloy Era, #1)","Divya, S.B.*",1662505086,,B09YH1L9CW,443        pp,3.78,"2,718","Feb 01, 2023","Feb 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/61183452-meru
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,931","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/57773248-notes-on-an-execution
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"City on Fire        (Danny Ryan, #1)","Winslow, Don*",0062851195,9780062851192,0062851195,384        pp,4.10,"21,790","Oct 21, 2021","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/57558287-city-on-fire
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Pictures,"Rekulak, Jason*",1250819342,9781250819345,1250819342,372        pp,4.15,"249,971","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/58724923-hidden-pictures
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Spark of Light,"Picoult, Jodi*",0345544994,,B07B73H2BX,381        pp,3.75,"144,295","Oct 02, 2018","Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/39072210-a-spark-of-light
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Books of Jacob,"Tokarczuk, Olga",0593087488,9780593087480,0593087488,965        pp,4.03,"7,913","Oct 23, 2014","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/58276619-the-books-of-jacob
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hollow Kingdom        (Hollow Kingdom, #1)","Buxton, Kira Jane*",1538745828,9781538745823,1538745828,308        pp,3.84,"21,427","Aug 06, 2019","Aug 06, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/42839296-hollow-kingdom
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,051","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Way of Sorrow        (Erin McCabe Mysteries #1),"Gigl, Robyn*",1496728254,9781496728258,1496728254,304        pp,3.86,"1,652","Mar 30, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/50611690-by-way-of-sorrow
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Present Illness,"DeForest, Anna",0316381063,9780316381062,0316381063,176        pp,3.26,"1,016","Aug 16, 2022","Aug 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/59801785-a-history-of-present-illness
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone Knows Your Mother Is a Witch,"Galchen, Rivka",0374280460,9780374280468,0374280460,275        pp,3.40,"10,426","Jun 08, 2021","Jun 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/54785536-everyone-knows-your-mother-is-a-witch
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heat 2,"Mann, Michael",0062653318,9780062653314,0062653318,470        pp,4.26,"9,561","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/60162230-heat-2
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The World We Make        (Great Cities, #2)","Jemisin, N.K.*",035651269X,9780356512693,035651269X,357        pp,4.11,"14,881","Nov 01, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/60399181-the-world-we-make
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spells for Forgetting,"Young, Adrienne*",0593358511,9780593358511,0593358511,351        pp,3.88,"44,336","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/59559145-spells-for-forgetting
