,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lynn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Age of Extremes, 1914-1991","Hobsbawm, Eric J.",0679730052,9780679730057,0679730052,627        pp,4.28,"6,999",1994,"Feb 13, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2017",,Paperback,view,/book/show/308060.The_Age_of_Extremes_1914_1991
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hunger,"Hamsun, Knut",,,,240        pp,4.05,"55,950",1890,"Feb 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 31, 2017",,Paperback,view,/book/show/983077.Hunger
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man’s Search for Meaning,"Frankl, Viktor E.",080701429X,9780807014295,080701429X,165        pp,4.37,"713,869",1959,"Jun 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2017",,Paperback,view,/book/show/4069.Man_s_Search_for_Meaning
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Does Capitalism Have a Future?,"Wallerstein, Immanuel",0199330875,9780199330874,B00G6INH00,208        pp,3.79,202,"Oct 21, 2013","Oct 21, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 31, 2017",,Kindle Edition,view,/book/show/18877271-does-capitalism-have-a-future
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Capital: A Critique of Political Economy,"Marx, Karl",,,,"1,152        pp",3.89,"10,831",1867,"May 05, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think it is a personal accomplishment to have finished this loaded work of political economy, but contrary to popular belief, the deeper you dig intI think it is a personal accomplishment to have finished this loaded work of political economy, but contrary to popular belief, the deeper you dig into it, the more you enjoy and make sense of it. The only reason I contemplated giving this 4 stars instead of 5 is because of how repetitive he can get throughout a chapter. But other than that, his analysis is very pertinent, the way he describes fetishism, divulges myths of political economy and talks about the equalization of value of all abstract human labor is absolutely fascinating.I read this for a senior economics course given by a staunch communist professor (yes, in 2016 still!), but after reading Capital I am more convinced that Marxism is the first refuge of intellectuals. An undeniably attractive theoretical framework is embedded in the heart of Marxist thought that inevitably enthralls any individual on a quest for amassing knowledge. A quick glance at the history of the 20th century would show you how many heroic individuals devoted their life and died for the ideal of communism, an ideal that revealed itself to be too utopian to work in practice (for the time being). Wealth concentration and rising inequality are following an upward trend to reach unsettling and deeply troubling numbers. After taking this course, and reading Piketty's Capital in the Twenty-First Century in parallel, I think the revolution of the proletariat might have a Second Coming. ...more",Notes are private!,0,0,1,"Oct 14, 2016","Dec 09, 2016","Oct 14, 2016",,Paperback,view (with text),/book/show/20324062-capital
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Capital in the Twenty First Century,"Piketty, Thomas",067443000X,9780674430006,067443000X,685        pp,4.06,"31,940","Aug 30, 2013","Mar 10, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very ambitious work, tremendous data revealing a worrisome upward global trend of inequality.Reading this for a senior course at university, and wroteVery ambitious work, tremendous data revealing a worrisome upward global trend of inequality.Reading this for a senior course at university, and wrote a couple research papers on the topic. Might combine them into a comprehensive  when I have the time. Interesting stuff. ...more",Notes are private!,0,0,1,"Oct 14, 2016","Dec 02, 2016","Oct 14, 2016",,Hardcover,view (with text),/book/show/18736925-capital-in-the-twenty-first-century
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Present Age: On the Death of Rebellion,"Kierkegaard, Søren",0061990035,9780061990038,0061990035,87        pp,4.05,"1,405",1846,"Aug 03, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 14, 2016","Dec 02, 2016","Oct 14, 2016",,Paperback,view,/book/show/8735265-the-present-age
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ISLAMIC METALWORK,"Ward, R.M.",0714114588,9780714114583,0714114588,128        pp,3.67,9,Jun 1993,"Dec 30, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2016,"Jul 23, 2016",,Paperback,view,/book/show/2550176.ISLAMIC_METALWORK
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man's Fate,"Malraux, André",0141190981,9780141190983,0141190981,368        pp,3.74,"5,791","Apr 28, 1933","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 07, 2016",,Paperback,view,/book/show/6757487-man-s-fate
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Le deuxième sexe, I","Beauvoir, Simone de",,,,408        pp,4.22,"4,976",1949,"Apr 21, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 21, 2016","Jun 28, 2016","May 21, 2016",,Mass Market Paperback,view,/book/show/21124.Le_deuxi_me_sexe_I
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Turkish Foreign Policy, 1774-2000","Hale, William",0714682462,9780714682464,0714682462,392        pp,4.04,70,"Oct 28, 2000","Jul 30, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 30, 2016","Apr 30, 2016",,Paperback,view,/book/show/2295831.Turkish_Foreign_Policy_1774_2000
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blanchard Macroeconomics,"Blanchard, Olivier J.",0273766333,9780273766339,0273766333,624        pp,3.87,728,"Dec 01, 1991","Sep 27, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I might actually end up with a very bad final grade on this course but this is a pretty good textbook (compared to my previous experience with KrugmanI might actually end up with a very bad final grade on this course but this is a pretty good textbook (compared to my previous experience with Krugman).And yes, unfortunately, I am reading nothing but my textbooks this semester. Tough times. ...more",Notes are private!,0,1,1,"Feb 15, 2016","Apr 24, 2016","Feb 15, 2016",,Paperback,view (with text),/book/show/16667842-blanchard-macroeconomics
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ethnic Cleansing of Palestine,"Pappé, Ilan",1851684670,9781851684670,1851684670,320        pp,4.52,"6,647",2006,"Nov 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2016",,Hardcover,view,/book/show/57540.The_Ethnic_Cleansing_of_Palestine
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversion and Apostasy in the Late Ottoman Empire,"Deringil, Selim",1107004551,9781107004559,1107004551,302        pp,4.23,26,"Jun 14, 2012","Aug 27, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2016",,Hardcover,view,/book/show/13831245-conversion-and-apostasy-in-the-late-ottoman-empire
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aftermath: The Remnants of War: From Landmines to Chemical Warfare--The Devastating Effects of Modern Combat,"Webster, Donovan",,,B0054KNFJY,289        pp,4.31,440,Sep 1996,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2015",,Kindle Edition,view,/book/show/13094584-aftermath
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Palestine,"Chomsky, Noam",024197352X,978024198081,024197352X,215        pp,4.24,"6,969","May 07, 2015","May 07, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 28, 2015","Feb 15, 2016","Nov 28, 2015",,Mass Market Paperback,view,/book/show/25893962-on-palestine
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,"Russell, Bertrand",0671203231,9780671203238,0671203231,266        pp,4.01,"20,950",May 1957,"Oct 30, 1967",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2015",,Paperback,view,/book/show/472025.Why_I_Am_Not_a_Christian_and_Other_Essays_on_Religion_and_Related_Subjects
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God Is Not Great: How Religion Poisons Everything,"Hitchens, Christopher",0446579807,9780446579803,0446579807,307        pp,3.96,"106,336",2007,2007,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 28, 2015","Feb 15, 2016","Nov 28, 2015",,Hardcover,view,/book/show/43369.God_Is_Not_Great
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Introductory Econometrics: A Modern Approach,"Wooldridge, Jeffrey M.",0324289782,9780324289787,0324289782,912        pp,4.09,690,1999,"Jul 13, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2015",,Hardcover,view,/book/show/390475.Introductory_Econometrics
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Theory and Application of Intermediate Microeconomics,"Nicholson, Walter",0324599498,9780324599497,B0077PXUTE,0        pp,3.56,9,unknown,"Jan 01, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 28, 2015","Nov 28, 2015",,Unknown Binding,view,/book/show/11464569-theory-and-application-of-intermediate-microeconomics
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"International Economics (9th) Edition, Theory and Policy, By Paul R. Krugman, Maurice Obstfeld, Marc Melitz        (9th) Edition, Theory and Policy, By Paul R. Krugman, Maurice Obstfeld, Marc Melitz (International Economics)","Melitz, Marc J. Krugman, Paul R",0132146657,9780132146654,B00A2KJ93C,784        pp,3.94,833,"Jan 01, 1988","Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 02, 2015","Dec 03, 2015","Sep 02, 2015",,Hardcover,view,/book/show/10135858-international-economics-9th-edition-theory-and-policy-by-paul-r-kru
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Road to Fatima Gate: The Beirut Spring, the Rise of Hezbollah, and the Iranian War Against Israel","Totten, Michael J.",1594035210,9781594035210,1594035210,360        pp,4.04,192,"Jan 01, 2011","Apr 05, 2011",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 02, 2015","Sep 10, 2015","Sep 02, 2015",,Hardcover,view,/book/show/9218892-the-road-to-fatima-gate
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Songs of Innocence and of Experience,"Blake, William",1420925806,9781420925807,1420925806,56        pp,4.09,"48,860",1794,"Jan 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 29, 2015","Aug 29, 2015",,Paperback,view,/book/show/171547.Songs_of_Innocence_and_of_Experience
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Big Questions: Tackling the Problems of Philosophy with Ideas from Mathematics, Economics, and Physics","Landsburg, Steven E.*",143914821X,9781439148211,143914821X,288        pp,3.54,354,2009,"Nov 03, 2009",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tedious, hideous, desultory and... bleh. Mediocre.",Notes are private!,0,1,1,"Aug 26, 2015","Aug 28, 2015","Aug 26, 2015",,Hardcover,view (with text),/book/show/6144421-the-big-questions
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pity the Nation: Lebanon at War,"Fisk, Robert",0192801309,9780192801302,0192801309,689        pp,4.43,"2,184","Feb 16, 1990","Oct 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am a 19 year-old Lebanese university student. I was born in 1996, the year Israel massacred civilians in the village of Qana. I carry Beirut with meI am a 19 year-old Lebanese university student. I was born in 1996, the year Israel massacred civilians in the village of Qana. I carry Beirut with me on my passport wherever I go. Lebanon is the country I was born and raised in, the country of my father and his ancestors. Yet, like all my peers, I graduated high school with a profound ignorance of my country’s modern history. The events that tore Lebanon apart for decades ever since its independence in 1943 and the evacuation of the last french soldier in 1946 until the day I was born are blackened out from the collective conscience of our society. Upon reading this book, this marvelous piece of historical non-fiction, I was amazed at the horror, the depravity of the Lebanese civil war. The gory battles whose deafening echoes still reverberate in our contemporary society are only smothered by censors terrified of pouring salt on open wounds. It is insane to think about it this way: Have I not had the curiosity of reading this bulky book, I would’ve stayed oblivious of the appalling history of my fatherland. The Beirut streets, which Fisk describes with such vivacity, are the same streets I spent my childhood in, yet this foreigner seems to know them more than I do. How disgraceful it is to learn about your own country’s modern history through the words of a foreign correspondent. How disgraceful it is to trust his version of the story more than your fellow countrymen’s because you’re sure of their biasedness. How shameful it is for me to be oblivious of these important facts when my own father fought on those same frontlines Fisk so ingeniously wrote of. I am personally indebted to Mr. Robert Fisk for his dedicated first-hand reporting of the Lebanese civil war, for risking his life countless times for the sake of honest journalism, especially when all the parties (Israel, Syria, the PLO, the Phalange, the United States) without exception never ceased to distort reality as if the stories of the war were plunged in a deep well of Orwellian purgative waters. It is quite astounding that accounts of the civil war aren’t taught in classrooms, but understandably so, because the same warlords who terrorized, slaughtered, plundered, raped and prevaricated 30 years ago, are still wearing suits and holding an (apparently permanent but definitely illegitimate) seat in our Lebanese parliament today. As if reading about how foreign armies and guerrillas so insolently destroyed my country wasn’t enough, I had to read about how Lebanese people themselves slaughtered each other in cold blood, how Lebanese leaders so worshipped by their followers to THIS DAY antagonized each other and gave military orders which have inevitably ended in human carnage. It is no surprise factious tensions still arise today and the country is constantly on the verge of the outbreak of violence, that’s all because the scars of the civil war are still branded in our society and people are still embittered. My own parents and many people I know still use “east” and “west” Beirut as if the war never really ended. ...more",Notes are private!,0,113,1,"Aug 07, 2015","Aug 29, 2015","Aug 07, 2015",,Paperback,view (with text),/book/show/99827.Pity_the_Nation
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Meursault Investigation,"Daoud, Kamel",1590517512,9781590517512,1590517512,143        pp,3.50,"8,062",Oct 2013,"Jun 02, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 24, 2015",,Paperback,view,/book/show/25263557-the-meursault-investigation
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Mots,"Sartre, Jean-Paul",2070366073,9782070366071,2070366073,224        pp,3.75,"9,109","Jan 10, 1964","Feb 08, 1972",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 20, 2015","Aug 05, 2015","Jul 20, 2015",,Mass Market Paperback,view,/book/show/572460.Les_Mots
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Hundred Years of Solitude,"García Márquez, Gabriel",,,,429        pp,4.11,"971,266",1967,"Feb 21, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't know if I'll regret this, but I decided not to finish it. I don't know if I'll come back to that book later on in life, but for now I have morI don't know if I'll regret this, but I decided not to finish it. I don't know if I'll come back to that book later on in life, but for now I have more pressing books waiting to be read and this is dragging on for too long. Marvelous writing though. Definitely recommended for people who have time on their hands and appreciate 'magical realism'. Beautiful piece of literature. ...more",Notes are private!,0,3,1,"Jul 06, 2015","Jul 20, 2015","Jul 06, 2015",,Paperback,view (with text),/book/show/7597.One_Hundred_Years_of_Solitude
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,economic naturalist,"Frank, Robert H.",0753513382,9780753513385,0753513382,241        pp,3.47,"3,114",2006,"Apr 03, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jun 22, 2015","Jul 06, 2015","Jun 22, 2015",,Paperback,view,/book/show/3355846-economic-naturalist
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Greatest Show on Earth: The Evidence for Evolution,"Dawkins, Richard*",055277524X,9780552775243,055277524X,470        pp,4.16,"53,837",2009,2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 28, 2015","Jun 12, 2015","May 28, 2015",,Paperback,view,/book/show/6855036-the-greatest-show-on-earth
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rise of Islamic State: ISIS and the New Sunni Revolution,"Cockburn, Patrick",1784780499,9781784780494,,192        pp,3.68,"1,499","Jan 01, 2014","Feb 03, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"May 09, 2015","May 26, 2015","May 09, 2015",,ebook,view,/book/show/23450319-the-rise-of-islamic-state
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orlando,"Woolf, Virginia",0141184272,9780141184272,0141184272,336        pp,3.87,"93,143","Oct 11, 1928","Oct 03, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2015",,Paperback,view,/book/show/18839.Orlando
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley's Lover,"Lawrence, D.H.",0141441496,9780141441498,0141441496,364        pp,3.50,"125,621",1928,"Nov 25, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 20, 2015","Jun 18, 2015","Apr 20, 2015",,Paperback,view,/book/show/835597.Lady_Chatterley_s_Lover
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Nietzsche Wept,"Yalom, Irvin D.",0060748125,9780060748128,0060748125,310        pp,4.36,"71,828",1992,"Jan 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Apr 11, 2015",,Paperback,view,/book/show/21031.When_Nietzsche_Wept
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slapped by the Invisible Hand: The Panic of 2007,"Gorton, Gary B.",,,B004UA4D4U,231        pp,4.05,121,"Feb 08, 2010",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2015",,Kindle Edition,view,/book/show/13334640-slapped-by-the-invisible-hand
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stephen King's N.,"Guggenheim, Marc*",0785134530,9780785134534,0785134530,112        pp,4.24,"14,660",Aug 2008,"Oct 20, 2010",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 06, 2015","Apr 05, 2015",,Hardcover,view,/book/show/7006562-stephen-king-s-n
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Balkan Ghosts: A Journey Through History,"Kaplan, Robert D.",0312424930,9780312424930,0312424930,352        pp,3.92,"5,125","Apr 01, 1993","May 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2015",,Paperback,view,/book/show/33690.Balkan_Ghosts
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Palestine,"Sacco, Joe",156097432X,9781560974321,156097432X,288        pp,4.23,"18,723",1996,"Dec 17, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 05, 2015",,Paperback,view,/book/show/769712.Palestine
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Despair,"Nabokov, Vladimir",0679723439,9780679723431,0679723439,212        pp,3.91,"10,157",1934,"May 14, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2015",,Paperback,view,/book/show/418209.Despair
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Luzhin Defense,"Nabokov, Vladimir",0679727221,9780679727224,0679727221,256        pp,3.95,"13,785",1929,"Aug 11, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2015",,Paperback,view,/book/show/8153.The_Luzhin_Defense
