,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Susie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come As You Are: The Surprising New Science That Will Transform Your Sex Life,"Nagoski, Emily*",,,B08BZWXK9J,390        pp,4.30,"63,768","Mar 03, 2015","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/54744301-come-as-you-are
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Four Winds,"Hannah, Kristin*",,,B087ZXSPGJ,464        pp,4.30,"669,409","Feb 02, 2021","Feb 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 03, 2023","Sep 03, 2023","May 15, 2023",,Kindle Edition,view,/book/show/53496907-the-four-winds
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,371","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 14, 2023",,Hardcover,view,/book/show/61714633-the-wager
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Helltown: The Untold Story of Serial Murder on Cape Cod,"Sherman, Casey*",,,,509        pp,3.50,"2,332","Jul 12, 2022","Jul 12, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think this book was trying to be something more than what it was. The base story was intriguing but the timing of it, with Vonnegut and Mailer and eI think this book was trying to be something more than what it was. The base story was intriguing but the timing of it, with Vonnegut and Mailer and everything that was the sixties, made the story into something too big, or trying to be too big. I feel like Sherman didn’t know where to let the bigger story go and focus on Costa. Perhaps that wasn’t enough of a story alone so he drew from other aspects of the world. But unlike the interwoven stories of Erik Larson this didn’t have the harmony of those books. There was also a clunky handling of how people identified themselves as Sherman told their stories. Referring to the people as the killer or the author took me out of their story and their heads. All in all, I read it quickly and wouldn’t have minded a shorted more focused tale. ...more",Notes are private!,0,0,1,"May 12, 2023","May 15, 2023","May 12, 2023",,ebook,view (with text),/book/show/57693138-helltown
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"425,194","Jul 20, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 09, 2023",,Hardcover,view,/book/show/62334530-none-of-this-is-true
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1Q84        (1Q84, #1-3)","Murakami, Haruki",0307593312,9780307593313,0307593312,944        pp,3.94,"259,610","May 28, 2009","Oct 25, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 08, 2023",,Hardcover,view,/book/show/10357575-1q84
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger,"Lutz, Lisa*",,,B014DXC07U,321        pp,3.72,"42,708","Mar 01, 2016","Mar 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2023",,Kindle Edition,view,/book/show/27407759-the-passenger
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Up to Speed: The Groundbreaking Science of Women Athletes,"Yu, Christine*",0593332393,9780593332399,0593332393,336        pp,4.31,877,unknown,"May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 16, 2023",,Hardcover,view,/book/show/62049693-up-to-speed
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Running Body: A Memoir,"Pifer, Emily*",1637680546,9781637680544,1637680546,216        pp,4.05,104,unknown,"Oct 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 13, 2023",,Paperback,view,/book/show/60557289-the-running-body
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Choosing to Run: A Memoir,"Linden, Des",,,B0B5SR4KBR,267        pp,4.30,"8,823",Apr 2023,"Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2023","Apr 22, 2023","Apr 05, 2023",,Kindle Edition,view,/book/show/62962424-choosing-to-run
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike's Elite Running Team","Goucher, Kara*",1982179147,9781982179144,1982179147,288        pp,4.46,"10,244","Mar 14, 2023","Mar 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 24, 2023","Apr 07, 2023","Mar 24, 2023",,Hardcover,view,/book/show/61273785-the-longest-race
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Me vs Brain: An Overthinker’s Guide to Life,"Morris, Hayley",,,,304        pp,4.03,"4,210",unknown,"Mar 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2023",,ebook,view,/book/show/60555269-me-vs-brain
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blinding Knife        (Lightbringer, #2)","Weeks, Brent*",031607991X,9780316079914,031607991X,671        pp,4.41,"87,489","Sep 01, 2012","Sep 11, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Still engaged in the series which, given the length of the books, says something about the writing. Unlike book one, there wasn’t a super crazy twist Still engaged in the series which, given the length of the books, says something about the writing. Unlike book one, there wasn’t a super crazy twist although definitely one’s here and there. I enjoy the pacing of the story and how there’s this ebbs and flows until the final big climax. ...more",Notes are private!,0,0,1,"Feb 28, 2023","Dec 09, 2023","Feb 28, 2023",,Hardcover,view (with text),/book/show/12499290-the-blinding-knife
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Man,"Harper, Jane*",1250105684,9781250105684,1250105684,340        pp,4.16,"98,511","Oct 23, 2018","Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2023",,Hardcover,view,/book/show/39863488-the-lost-man
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Life of Addie LaRue,"Schwab, V.E.*",0765387565,9780765387561,,448        pp,4.19,"1,066,470","Oct 06, 2020","Oct 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** I think what I liked most about this book was it’s ending. I greatly enjoyed that Addie doesn’t necessary know if Henry was this end**spoiler alert** I think what I liked most about this book was it’s ending. I greatly enjoyed that Addie doesn’t necessary know if Henry was this end all be all love or, as she said, perhaps just a reprieve from what her life was. I liked that she planned to outsmart Luc, in time, and she continued to embrace patience and knowing she had time. It was a well written book especially in terms of pacing and the flashback and flash forwards. You grew with Addie as she learned and took joy when she found Henry. The fact that her name know is forever remembered and we are reading that story was a fulfilling twist. I also liked that it wasn’t a sad book. Yes. There is a lot mod loss but nothing is ever just over or without growth. You believe that Henry will be okay and find happiness. You believe that Addie will be freed. There is a hope at the end that allows the reader to continue the story. ...more",Notes are private!,0,0,1,"Feb 04, 2023","Feb 08, 2023","Feb 04, 2023",,Hardcover,view (with text),/book/show/50623864-the-invisible-life-of-addie-larue
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quarry Girls,"Lourey, Jess*",1542034302,9781542034302,B09G6DMDVR,335        pp,4.06,"85,115","Nov 01, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2023",,Hardcover,view,/book/show/57836903-the-quarry-girls
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good for a Girl: A Woman Running in a Man's World,"Fleshman, Lauren",,,B09XM4GDLV,286        pp,4.49,"12,255","Jan 10, 2023","Jan 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2023","Feb 04, 2023","Jan 29, 2023",,Kindle Edition,view,/book/show/62677236-good-for-a-girl
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood","Olsen, Gregg*",1542005248,9781542005241,B07Q5TL9SQ,431        pp,4.00,"251,226","Dec 01, 2019","Dec 01, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A terrifying and horrifying story of abuse and murder and insanity. The story is one that is striking in its nature and compelling. It’s also griping A terrifying and horrifying story of abuse and murder and insanity. The story is one that is striking in its nature and compelling. It’s also griping as it plays out. But I feel like the writing didn’t make the story only the truth of it did....more,Notes are private!,0,0,1,"Jan 23, 2023","Jan 30, 2023","Jan 23, 2023",,Kindle Edition,view (with text),/book/show/45299992-if-you-tell
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take My Hand,"Perkins-Valdez, Dolen*",0593337697,9780593337691,0593337697,359        pp,4.37,"77,424","Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/55650158-take-my-hand
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Made a Fool of Death with Your Beauty,"Emezi, Akwaeke*",1982188707,9781982188702,1982188707,288        pp,3.56,"46,048","May 24, 2022","May 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/59232998-you-made-a-fool-of-death-with-your-beauty
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Goose,"Li, Yiyun",037460634X,9780374606343,037460634X,348        pp,3.72,"13,581","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2022",,Hardcover,view,/book/show/59808607-the-book-of-goose
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,"Yong, Ed",,,,464        pp,4.47,"22,281","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2022",,Hardcover,view,/book/show/59575939-an-immense-world
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lesser Known Monsters of the 21st Century,"Fu, Kim*",1951142993,9781951142995,1951142993,232        pp,3.86,"6,793","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2022",,Paperback,view,/book/show/58476152-lesser-known-monsters-of-the-21st-century
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Survive You,"Escoffery, Jonathan",037460598X,9780374605988,037460598X,260        pp,3.71,"10,133","Sep 06, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2022",,Hardcover,view,/book/show/59808611-if-i-survive-you
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,"Freedland, Jonathan",0063112337,9780063112339,0063112337,416        pp,4.38,"17,996","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2022",,Hardcover,view,/book/show/60194141-the-escape-artist
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,928","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2022",,Hardcover,view,/book/show/57773248-notes-on-an-execution
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Black Prism        (Lightbringer, #1)","Weeks, Brent*",0316075558,9780316075558,0316075558,629        pp,4.23,"122,978","Aug 25, 2010","Aug 25, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At first I wasn’t sure if the book would keep my attention for so many pages. But boy did it. In the end, not much happened while still a ton did. I sAt first I wasn’t sure if the book would keep my attention for so many pages. But boy did it. In the end, not much happened while still a ton did. I swear that makes sense. The flow made the story just roll. With the action scenes, the humor, the easy descriptions, I cruised through this book and wanted to read more (which there’s still a lot more to go). Being that it’s one of five, I’m not yet ready to delve into everything. I will say book one has a terrific twist that made me wonder what else is to come. I hope the remaining books, given how much story there still is, keeps my attention. ...more",Notes are private!,0,0,1,"Nov 14, 2022","Dec 12, 2022","Nov 14, 2022",,Hardcover,view (with text),/book/show/7165300-the-black-prism
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Know My Name,"Miller, Chanel",0735223718,9780735223714,,384        pp,4.71,"199,506","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2022",,ebook,view,/book/show/50196744-know-my-name
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running While Black: Finding Freedom in a Sport That Wasn't Built for Us,"Désir, Alison Mariella",059341862X,9780593418628,059341862X,264        pp,4.58,"2,186","Oct 18, 2022","Oct 18, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Dec 25, 2022not set","Dec 31, 2022not set","Oct 17, 2022",,Hardcover,view,/book/show/59883585-running-while-black
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War","Gladwell, Malcolm",0316296619,9780316296618,0316296619,256        pp,4.03,"51,716","Apr 27, 2021","Apr 27, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I think I’ll go with this book was fine. I don’t regret reading it and it definitely shed light on something I hadn’t know about before but I feel likI think I’ll go with this book was fine. I don’t regret reading it and it definitely shed light on something I hadn’t know about before but I feel like it was just a little lacking. It was in-depth enough for me in terms of the people or the work. Maybe there isn’t more so it’s all full as it can be but I just felt like I was missing something. I haven’t read anything else by Gladwell and certainly will as I found his writing style to be enjoyable....more,Notes are private!,0,0,1,"Oct 10, 2022","Oct 15, 2022","Oct 10, 2022",,Hardcover,view (with text),/book/show/56668328-the-bomber-mafia
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"964,869","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2022",,ebook,view,/book/show/59364173-i-m-glad-my-mom-died
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Thunder Dog: The True Story of a Blind Man, His Guide Dog, and the Triumph of Trust at Ground Zero","Hingson, Michael",140020304X,9781400203048,140020304X,231        pp,4.03,"11,014","Jul 01, 2011","Jan 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 11, 2022",,Hardcover,view,/book/show/9659034-thunder-dog
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness,"Magness, Steve*",006309861X,9780063098619,006309861X,320        pp,3.87,"5,122",unknown,"Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2022",,Hardcover,view,/book/show/59088361-do-hard-things
