,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Dennis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Convenience Store Woman,"Murata, Sayaka",1846276845,9781846276842,1846276845,163        pp,3.69,"278,532","Jul 27, 2016",2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/58040270-convenience-store-woman
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rain Before It Falls,"Coe, Jonathan*",0141033215,9780141033211,0141033215,278        pp,3.69,"6,836",2007,"Jun 05, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 11, 2024","Feb 14, 2024","Feb 11, 2024",,Paperback,view,/book/show/2263258.The_Rain_Before_It_Falls
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Outsiders,"Hinton, S.E.*",014240733X,9780142407332,014240733X,214        pp,4.13,"1,337,274","Apr 24, 1967",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/192566704-the-outsiders
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Star Called Henry,"Doyle, Roddy",0676973175,9780676973174,0676973175,352        pp,3.84,"9,608",1999,"Aug 22, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/979015.A_Star_Called_Henry
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mr. Mercedes        (Bill Hodges Trilogy, #1)","King, Stephen*",1476754454,9781476754451,1476754454,437        pp,4.02,"321,621","Jun 03, 2014","Jun 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Most police/detective novels fall into one of two categories. The first is when neither the detective nor the reader knows who the killer is so we folMost police/detective novels fall into one of two categories. The first is when neither the detective nor the reader knows who the killer is so we follow the investigation together, through the inevitable dead ends and red herrings until the criminal is tracked down. The second is when the reader knows who the killer is and we watch the cat-and-mouse game between the dogged detective and the killer who isn't as smart as he thinks. (In both of these, the killer is almost never a woman, unless it's an Agatha Christie novel, for example; typical sexism…) In any case, this book falls into the second category.The plot pretty much falls into the typical pattern, a gloating killer who in this case actually begins to taunt the retired detective, Bill Hodges, to add a little sport to the “game.” Of course, through the usual dogged police, the detective begins to close the distance because we all know that right will triumph and these taunts will turn out to be valuable clues, whereupon the killer begins to become frustrated and starts to panic, etc., but what sets this novel apart is the quality of the writing; this is not the usual hack writing with a bunch of clever wordplay wrapped around incredibly lucky breaks and coincidences, this is Stephen King. It’s true that this isn’t the other-worldly horror of his earlier works but isn’t the horror of the world we live in, with serial killers and mass murderers, enough? This killer is twisted in other ways than we’re accustomed to, and we can see how he was formed, but the development and evolution are master works. Added to this, there are the twists that can’t be easily predicted and those we can see coming and hope to put the brakes to, that we hope we’re wrong about, that some miracle will save us from; sometimes we (or the characters) are saved and sometimes not, but we are hooked on the suspense. (Alfred Hitchcock, the “Master of Suspense” talked about this; instead of surprising us with an explosion, it’s better to tell us that there’s a bomb under the desk that’s about to explode and then have us wait, wait, wait, to see if it will be discovered in time.)I have to say that I didn’t like the end so much because I thought King put too much into it; less might have been more. I know that there are two more Bill Hodges novels and that one of the characters, Holly Gibney, has her own series, but I don’t feel either great rush to read them nor I not want to read them; if I come across them used, that’ll be great but if not, there are other books. I enjoyed this book and that’s enough for me....more",Notes are private!,0,3,1,"Feb 02, 2024","Feb 06, 2024","Feb 01, 2024",,Hardcover,view (with text),/book/show/18775247-mr-mercedes
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Joe, You Coulda Made Us Proud","Pepitone, Joe",,,,unknown,3.86,167,1975,"Jan 01, 1976",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had mixed feelings about this book. As a lifelong Yankee fan, I had to read everything about my childhood heroes, including all the ghost-written auI had mixed feelings about this book. As a lifelong Yankee fan, I had to read everything about my childhood heroes, including all the ghost-written autobiographies. Of course, at the time, I didn't realize that my heroes weren't actually sitting down with pen and paper, nor did I know they were completely sanitized, but I gobbled them up like M & M's.This of course changed when Jim Bouton wrote ""Ball Four"", which showed my idols to be more like flawed jocks, even more subject to human failings than most of us because their revered status protected them from scrutiny. (At the time, this was true, but now much less so with reporters scrambling for sordid details.) Joe Pepitone featured in Bouton's book and it was not at all flattering; the era when I first began following baseball with stars in my eyes - Mantle, Maris, etc. - showed my stars to be not all that shining. This brings me to Joe Pepitone, who died last year.The story here could be seen as a tragedy becuase the truth is that Joe Pepitone ruined his own career fighting his devils - trying to live up to his father, being Italian and playing in his hometown while really being a weak individual - but even in a time when the personal flaws of athletes were not always in the headlines, he was known as a pathological liar and whiner. Nothing was ever his fault, he'd been damaged by all this pressure, he couldn't help being the way he was and doing the things he did. The truth is that he wore on people so I saw this as a book which showed the real Joe Pepitone, a potentially great ballplayer who just never took responsibility, and why he was the way he was. I have no doubt that parts of this book are true - but which parts? When Pepitone came up to the Yankees, did the Mafia really offer to break Bill Skowron's legs so that Joe could be a starter at first base? Did he really smoke marijuana with Mickey Mantle before an exhibition game? Was he really a sex addict who would wander the streets all night looking for a woman - any woman - so that he could relax? The list goes on. (Not in the book but... in later years, he was in a car which was stopped by police and in which were found a substantial quantity of drugs; he denied knowledge, of course, but went to prison anyway.)There was no love lost between twice (New York and Houston) ex-teammates Bouton and Pepitone which may be why Bouton took such delight in his portrayal of Joe but I got the impression that he didn't have many friends anyway, or at least none that would do him any good. Bouton's portrayal of Pepitone as extremely vain was accurate, I think; he admiited to having two toupees, one for games and one for private life, and I remember he did commercials for The Hair Club for Men, a hairpiece company. This is probably one of the reasons I liked the book, thinking back on it in later years; I had a better sense of what the book said about Joe Pepitone, possibly without his even realizing it, his often false narrative revealing the failure within....more",Notes are private!,0,4,1,Jan 1976,Jan 1976,"Jan 30, 2024",,Mass Market Paperback,view (with text),/book/show/22390059-joe-you-coulda-made-us-proud
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting for Sunrise,"Boyd, William",0061876771,9780061876776,0061876771,384        pp,3.63,"8,790","Feb 16, 2012","Jan 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Paperback,view,/book/show/15818115-waiting-for-sunrise
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil's Star        (Harry Hole, #5)","Nesbø, Jo*",0099546760,9780099546764,0099546760,522        pp,4.06,"70,685","Jan 01, 2003","Nov 02, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/6756990-the-devil-s-star
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Firm        (The Firm #1),"Grisham, John*",044021145X,9780440211457,B007YZP0MW,501        pp,4.24,"90,471","Feb 01, 1991","Jan 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was more entertaining than the film and had an ending which was a lot more daring. It was also the least believable of the Grisham books I've reaThis was more entertaining than the film and had an ending which was a lot more daring. It was also the least believable of the Grisham books I've read, a very conventional thriller. I wouldn't necessarily recommend this if you've got better things to do but if you were stuck in an airport, it would successsfully go fast and kill time....more",Notes are private!,3,6,1,Apr 2001,Apr 2001,"Jan 21, 2024",,Paperback,view (with text),/book/show/452235.The_Firm
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Leopard,"Lampedusa, Giuseppe Tomasi di",0679731210,9780679731214,0679731210,319        pp,4.01,"37,211",1958,"Jul 23, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/625094.The_Leopard
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,0394551907,9780394551906,0394551907,42        pp,4.15,"3,540",1986,"Feb 12, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked this so much that I bought TWO copies, one for me and one for a present. It doesn't have the magic of Dr. Suess's children's books but it is aI liked this so much that I bought TWO copies, one for me and one for a present. It doesn't have the magic of Dr. Suess's children's books but it is a lot closer to the truth! (And with every year, even closer...)...more",Notes are private!,1,1,1,Jan 1993,Jan 1993,"Jan 17, 2024",,Hardcover,view (with text),/book/show/857415.You_re_Only_Old_Once_
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Clash of Kings        (A Song of Ice and Fire, #2)","Martin, George R.R.",0553579908,9780553579901,0553579908,"1,009        pp",4.42,"935,056","Nov 16, 1998",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Mass Market Paperback,view,/book/show/374855.A_Clash_of_Kings
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Own Words,"Ginsburg, Ruth Bader",1501145258,9781501145254,1501145258,370        pp,4.03,"24,671","Oct 04, 2016","Aug 07, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/31151411-my-own-words
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Wife,"Sittenfeld, Curtis*",0552775541,9780552775540,0552775541,638        pp,3.77,"60,549","Sep 02, 2008","Jul 02, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/6185835-american-wife
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dubliners,"Joyce, James",8494543822,9788494543821,8494543822,192        pp,3.84,"156,185","Jun 15, 1914","Aug 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/55172892-dubliners
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fahrenheit 451,"Bradbury, Ray",1451690312,9781451690316,1451690312,158        pp,3.97,"2,416,903","Oct 19, 1953",May 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Mass Market Paperback,view,/book/show/16085011-fahrenheit-451
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chesapeake,"Michener, James A.",0812970438,9780812970432,0812970438,"1,024        pp",4.21,"25,673","Jan 01, 1978","Sep 09, 2003",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This wwas my first Michener book, many years ago when I was looking for ""fat"" books, and that's something you'll always get from Michener - ""fat"". SeeThis wwas my first Michener book, many years ago when I was looking for ""fat"" books, and that's something you'll always get from Michener - ""fat"". Seemingly well-researched, since I'm not and expert, the research is a frame to hang a story on; in this casse, it's the history of a house, as I can recall, and it was okay. At least, it didn't inspire me to read more Michener, I've had one hanging out on my bookshelf for 20+ years and I see no rush to read it. Probably when I need to kill a lot of time....more",Notes are private!,0,5,1,Jan 1982,Jan 1982,"Jan 05, 2024",,Paperback,view (with text),/book/show/12661.Chesapeake
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Water,"Oates, Joyce Carol",0452269865,9780452269866,B002A4DW7W,160        pp,3.53,"8,582","May 01, 1992","Jan 01, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The plot of this “roman á clef” will be immediately recognizable to anyone old enough to remember the tragic story of Mary Jo Kopechne, Senator Ted KeThe plot of this “roman á clef” will be immediately recognizable to anyone old enough to remember the tragic story of Mary Jo Kopechne, Senator Ted Kennedy and Chappaquiddick. Although the story takes place in a more modern era, post-Gulf War, the details (as we know or suppose them) remain the same: a bright young woman meets the senator at a party, they leave together for an encounter at a hotel, he drives off a bridge – possibly under the effects of alcohol – but escapes from the submerged car while she’s left behind, trapped, to slowly drown. It was a horrible story of a horrible death, that was never completely clarified but it pretty much ended any Presidential aspirations for the senator. Joyce Carol Oates was as caught up by the story as everyone else in the country at the time and this book is the result of it percolating in her brain over time.This novella confines itself to the accident, mostly in a series of flashbacks as the young woman, Elizabeth Anne (“Kelly”) Kelleher, is trapped in the car, waiting for the help which she is sure will arrive at any moment, as the water rises. She is a great admirer of “The Senator”, even having written a paper about him at university and articles about political views they have in common (i.e. the death penalty) for a left-wing newspaper, and is thrilled when he shows up at a party she’s been invited to by a friend from Brown University with whom she’s staying for the weekend. He makes romantic overtures to her, which she doesn’t exactly reject, and she leaves with him even though she isn’t sure she’s ready for that kind of relationship and in spite of her friend asking her not to leave but before leaving, he has one drink more then another, plus one more he carries with him in the car, they have to rush to make the ferry off the island, he makes a wrong turn, winding up on a disused road, and off the narrow bridge they go. All this is not told sequentially, but as a series of flashbacks as she recalls different parts of the narrative which has resulted in her being in this predicament. She imagines help arriving at any moment, “The Senator” swimming back to help her, the trip to the hospital in the ambulance, and all the while the water is rising. (We also find that the “Great Man” is not so great but more bent on survival; he also knows very well the political importance of covering one’s ass.)Joyce Carol Oates is never easy to read because she insists on making the reader uncomfortable as women suffer, usually at the hands of men who prove untrustworthy; she has said that the book was not specifically about Chappaquiddick but about a young woman putting her trust in an older man who violates that trust. The book was nominated for the Pulitzer Prize and has also been adapted into two separate operatic works – not surprising as the story is very powerful and has the traditional classical elements of that type of work. The audio version, read by Amanda Plummer, was considered by one New York Times critic to be “the best book-on-tape ever recorded. So, there’s a lot to recommend here. I always have mixed feelings about Oates because she makes me uneasy – it all feels so hopeless - but she’s someone who I come back to again and again. She’s not for everyone but I can relate to anguish. ...more",Notes are private!,0,5,1,"Dec 29, 2023","Dec 31, 2023","Dec 29, 2023",,Paperback,view (with text),/book/show/15974.Black_Water
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Killer Angels        (The Civil War Trilogy, #2)","Shaara, Michael",0345348109,9780345348104,0345348109,345        pp,4.33,"86,097",1974,"Aug 12, 1987",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Jan 2002,Jan 2002,"Dec 22, 2023",,Mass Market Paperback,view,/book/show/682804.The_Killer_Angels
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freshwater,"Emezi, Akwaeke*",0802165567,9780802165565,,240        pp,4.03,"31,622","Feb 13, 2018","Feb 13, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FreshwaterWow, this was one strange book! Even my wife and were divided on this as she hated it and finished out of pure stubbornness with gnas FreshwaterWow, this was one strange book! Even my wife and were divided on this as she hated it and finished out of pure stubbornness with gnashed teeth and smoke pouring out of her ears while I eventually entered the flow. It’s definitely ambitious and definitely not for everyone so if you haven’t read it yet, beware!The first thing that you have to remember is that in many cultures, mental illness is thought of as evil spirits invading the body and fighting for control – and that’s who narrates most of this story, evil spirits, sometimes separately and sometimes in conjunction. The body – “the Ada”, as they refer to her – is only a vessel, tossed to and fro at the whim of these spirits. These are rooted firmly in Nigerian Igbo tradition of “ogbanje”, reincarnating malevolent spirits who enter the body in order to cause it grief and pain,, similar to the Jewish “dybbuk” ; in the case of Ada, she has a split personality, one half shy, timid, conservative and the other a virago that seeks out and seduces men with an equally amoral and evil streak, only in order to destroy them. And by the same token, the aim of the spirits is to drive Ada to the point of suicide.It’s easy to dismiss this as superstitious nonsense but as I pointed out with the “dybbuk”, the idea of spirits exists in the Judeo-Christian tradition as well – if there’s a Holy Ghost, why not an unholy one? I live in a Catholic country (although the Evangelists are becoming more dominant) and I used to argue that if Jews and Christians can believe in a god they can’t see, and if one feels the spirit of Christ, why are other belief systems less valid? There is no shortage of books where people are “moved by the Spirit” so why discriminate because this is based in Igbo beliefs? Nor does the book dismiss Jesus as He makes an important appearance, albeit under a different name, and is regarded both respectfully and cynically by the other spirits.Furthermore, most mental illness is little understood; it usually has no physical manifestation so often we can’t REALLY say what causes it, and for that reason it’s often dismissed as a lack of character. (Ask anyone who’s suffered from clinical depression or addiction.) We live in an age where if you can’t produce some physical proof, like a tumor, people frequently aren’t willing to accept that there’s something there, so there’s no reason to dismiss out-of-hand “evil spirits.” Ada converses with her “ogbanje”, which brings to mind schizophrenia, and this spirit tries to dissuade and intercede against any sort of outside help, such as a psychiatrist or social worker, not unlike we’ve heard of schizophrenics abandoning treatment due to paranoia. For me, there were a lot of talking points in the book but I could also see why my wife didn’t like it; it’s often repetitive, depressing and plain frustrating to read but I found it worthwhile all the same. Recommendable for anyone willing to go with the flow.By the way, this is not your typical African book but so many Nigerian writers are out there now so there’s no reason to expect them to be alike. This author that doesn’t exactly fit into the Western mold: African and binary, which caused some problems with the committee for the Women’s Prize for Fiction since that’s obviously only for women and they didn’t realize that she didn’t identify as a woman and as one person put it, would a transgendered person who converted from being a male be considered? Not likely as there’s no category for “transgendered”. When “The Death of Vivek Oji” was submitted for inclusion, the committee asked for Emezi’s “sex as defined by law”, Emezi withdrew and accused the committee of being transphobic. So be it, Emezi is talented writer and all the rest is just noise....more",Notes are private!,0,4,1,"Dec 04, 2023","Dec 08, 2023","Dec 04, 2023",,ebook,view (with text),/book/show/35793147-freshwater
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Palace of Desire        (Cairo Trilogy #2),"Mahfouz, Naguib",0385264682,9780385264686,0385264682,432        pp,4.23,"10,133",1957,"Dec 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/836701.Palace_of_Desire
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Makioka Sisters,"Tanizaki, Jun'ichirō",1784875430,9781784875435,1784875430,562        pp,4.04,"9,822",1948,"Oct 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Paperback,view,/book/show/43459808-the-makioka-sisters
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out,"Kirino, Natsuo",1784875406,9781784875404,1784875406,528        pp,3.95,"39,527","Jul 15, 1997","Oct 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Paperback,view,/book/show/43459806-out
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Street of Night,"Guerra, Lucia",185964113X,9781859641132,185964113X,207        pp,4.00,6,Sep 1999,"Mar 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Paperback,view,/book/show/1599393.The_Street_of_Night
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Betrayal,"Dunmore, Helen",0802170889,9780802170880,0802170889,331        pp,4.04,"2,672",2010,"Sep 06, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Paperback,view,/book/show/10454421-the-betrayal
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Housekeeper and the Professor,"Ogawa, Yōko",1784875449,9781784875442,1784875449,180        pp,4.05,"74,600","Aug 29, 2003","Oct 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Paperback,view,/book/show/43459807-the-housekeeper-and-the-professor
