,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Frank's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il Presidente,"Simenon, Georges",884592162X,9788845921629,884592162X,155        pp,3.62,436,1958,"Sep 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This isn't the edition I read, but apparently this novella is out of print in English, unless it is combined in some other way. The edition I read wasThis isn't the edition I read, but apparently this novella is out of print in English, unless it is combined in some other way. The edition I read was combined with another novella, The Train (about which more separately). The titular Premier is, at 82, long retired from the French government, living a rather curmudgeonly life on the coast of Normandy, and provided for by a staff (driver/valet, secretary, cook, nurse, security men and even physicians) apparently still on the government payroll. It is a constricted life, by age and physical ability, but also by the sense that his staff keep their bosses informed of his doings, for whatever political benefits or liabilities might accrue to the coalition in power. And indeed the Premier is still very interested by the goings-on in Paris.In fact, he has retained some documents which could prove embarrassing to various people, most significantly his one-time protegé who is now on the cusp of being asked to form a government as the nation ""is in crisis"". The President of the Republic has called our no-longer younger minister to make the request, and is promised an answer the following morning. It was on the news, the aged Premier heard; the question is: will the younger man come and visit the Premier asking for advice (or forgiveness)? A terrible storm rages in Normandy, which has cut off power and telephone; To stay in touch, the driver has rigged up the car radio with speakers inside the kitchen (this written in 1957). Will he come?Morning dawns, and there has been no visit. Power is restored to the house, but the Premier soon learns that his own power over the affairs of the nation are truly a thing of the past. With this realization comes a certain peace. With the help of his secretary, he spends the morning disposing of the supposedly incriminating documents he has kept, learning that the government has known about them all along....more",Notes are private!,0,0,1,"Mar 05, 2013","Mar 09, 2013","Mar 12, 2013",,Paperback,view (with text),/book/show/9669104-il-presidente
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Train,"Simenon, Georges",1935554468,9781935554462,1935554468,144        pp,3.83,"2,189",1961,"Jul 19, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this novella in a combined edition with The Premier in the first American edition (1966).This very charming story is a middle-aged man's reminiI read this novella in a combined edition with The Premier in the first American edition (1966).This very charming story is a middle-aged man's reminiscence of the few weeks after the German invasion of the Low Countries and France in the Spring of 1940 after more than six-months of the Phoney War. Leaving his home near the Belgian border with his four-year-old daughter and seven-months-pregnant wife, they take the first train south into an unknowable future. The women and children are put into the first class carriages while the men are accommodated in the goods vans at the rear of the train. In the confusion during those first hours, when troop trains are headed to the front and refugees from Belgium are headed south, the man and his family are separated.But he is not alone. A young woman—no more than twenty-five, without baggage or any posessions it would seem—appears to have attached herself to him. She is slightly odd: she has an accent that is hard to place, neither Belgian nor German. Her lack of even a handbag is just a bit suspicious. And although he loves his wife and child, when she offers herself sexually, he does not refuse.Eventually they arrive in La Rochelle, among the few non-Belgians in a refugee camp on the outskirts of the town, allowed to stay more because no one knows what else to do with them than for any good reason. It turns out that she in Czech and was released from a women's prison when the Nazis invaded. They settle into a sort of routine, tenuous though it is, he helping out around the camp as a jacques-of-all-work, she tagging along (afraid to talk much least people mistake her accent for the enemy). Every few days he goes to the Hôtel de Ville to see if he can find where his wife is located from the postings of refugee names.The government capitulates and the occupying Germans arrive in La Rochelle, but not much changes until the day he sees his wife's name listed and he leaves the camp. Although both he and the girl know that their time together has ended, she joins him for the journy across the country to the place where his second child was born. He knocks on the door of the maternity home and the Czech girl walks away.He encounters her twice more: one night after the family has resettled back home, while making a delivery, she slinks out of the shadows and asks if he can provide assistance in hiding someone. She is understanding and non-judgemental when he demures, given his young family. Shortly after, he reads her name and that of a British flyer on a list of those executed for espionage.There was a tenderness and repressed passion which was very touching. I selected this book primarily because I didn't know where to begin with Simenon, whose work was recommended by John Banvile, speaking of his inspiration if writting the Benjamin Black ""Quirke"" books. Odd that neither this nor its companion were ""Maigret"" novels....more",Notes are private!,0,0,1,"Mar 04, 2013","Mar 11, 2013","Mar 04, 2013",,Paperback,view (with text),/book/show/10068074-the-train
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Daughter of Time        (Inspector Alan Grant, #5)","Tey, Josephine",,,,206        pp,3.91,"34,111",1951,"Nov 29, 1995",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When the bones discovered in a Leicester car-park were determined to be those of Richard III, the last Plantagenet king of England, it was as if his rWhen the bones discovered in a Leicester car-park were determined to be those of Richard III, the last Plantagenet king of England, it was as if his reformation in history had begun. There was ample note that the monster portrayed in Shakespeare's play had little bearing on the actual man and was little more than a bit of Tudor propaganda at best, and more likely a case of literary toadying. More than once I noticed references to Josephine Tey's The Daughter of Time, so I searched out a copy.Josephine Tey is one of the pen-names of Elizabeth MacKintosh (1897-1953), apparently one of the stars of the golden age of the British mystery novel (c. 1920-50), a contemporary of Agatha Christie and Dorothy L. Sayers. Her main character was a Scotland Yard inspector named Adam Grant, and it is he who features in this take on ""historical"" police-work. Talk about cold cases: the death of Richard in 1485 was over four-hundred and fifty years previous.(More later)...more",Notes are private!,0,0,1,"Feb 13, 2013","Mar 13, 2013","Feb 13, 2013",,Paperback,view (with text),/book/show/77661.The_Daughter_of_Time
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Knots and Crosses        (Inspector Rebus, #1)","Rankin, Ian*",0312956738,9780312956738,0312956738,228        pp,3.81,"52,948",1987,"Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2013",,Paperback,view,/book/show/634407.Knots_and_Crosses
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arthur & George,"Barnes, Julian",030726310X,9780307263100,030726310X,400        pp,3.72,"18,113","Jul 07, 2005","Jan 10, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've come to ""trust"" Julian Barnes to be capably entertaining and thought-provoking, and so I picked this up with no idea whatsoever about the subjectI've come to ""trust"" Julian Barnes to be capably entertaining and thought-provoking, and so I picked this up with no idea whatsoever about the subject matter: whatever it proved to be would—I was sure—be more than interesting.And it was. Based on a true story, the eponymous ""Arthur"" is Sir Arthur Conan Doyle, best know as the creator of the consulting detective, Sherlock Holmes. Already by the early 1900s, Doyle's character had gained such notariety that people wrote to Sir Arthur with their own cases in the hope that he might intervene, as if he were his own character. He rarely did. But overcoming a funk which had descended after his wife's death of consumption, Doyle found the case of George Edalji invigoratingly compelling. A mild-mannered solicitor in Birmingham, George had been tried, convicted and sentenced to seven years (of which he served three) for maiming farm animals on the flimsiest of circumstantial evidence and a healthy dose of racism: Edalji was half ""Parsee"", that small sect of Zoroastrians from India, known during the Raj as being the greatest of Anglophiles. His father had converted to Anglicanism, moved to England and took Holy Orders at Canterbury, afterwhich he was given the pulpit in Great Wyrley, Staffordshire, some twenty-miles northwest of Birmingham.The great theme of the novel, like so frequently in Barnes work, is the nature of ""Englishness"". Both George and Arthur consider themselves eminently English, though also ""outsiders""; George more obviously by virtue of his heritage and skin-tone, Arthur less so, being a Scot with a distinct Irish lineage. It would be easy (and quite enjoyable) to read this merely as a detective story in its own right. But Barnes makes it much more, and we're all the richer for it....more",Notes are private!,0,0,1,"Jan 29, 2013","Feb 02, 2013","Jan 29, 2013",,Hardcover,view (with text),/book/show/386178.Arthur_George
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Franklin and Eleanor: An Extraordinary Marriage,"Rowley, Hazel",,,B003XRDC02,370        pp,4.03,"2,382","Oct 15, 2010",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What an extraordinary relationship indeed! Both Eleanor and Franklin Roosevelt came from less-than ideal families: her mother died when she was young What an extraordinary relationship indeed! Both Eleanor and Franklin Roosevelt came from less-than ideal families: her mother died when she was young and her father drank himself to death not long afterwards; his father was older when he married Sara Delano, and died when FDR was young as well. Eleanor grew up the orphaned poor relation (""poor"" being a relative terms), nominally living with her grandmother but shuttled between various cousins, aunts and uncles. Franklin was Sara's only child, and though they lived quite comfortably, it was a very small, contained household, where she dominated him well into his Presidency. But how they both flourished, inside their marriage and without.During the reading of this, I saw the film Hyde Park on Hudson, with Bill Murray and Laura Linney as FDR and his cousin Daisy Suckley, one of his many extramarital dalliances; the screenplay was based on Suckley's journals and letters, which were not discovered until after her death at age 99 in 1991.A very fine book, with of course much overlap with other FDR bios, but the particular attention paid to the relationship of the ""first family"" was delightful....more",Notes are private!,0,0,1,"Jan 23, 2013","Jan 28, 2013","Jan 23, 2013",,Kindle Edition,view (with text),/book/show/10069946-franklin-and-eleanor
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Up in the Old Hotel,"Mitchell, Joseph",0679746315,9780679746317,0679746315,716        pp,4.32,"4,047",1992,"Jun 01, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 12, 2013","Nov 04, 2013","Jan 21, 2013",,Paperback,view,/book/show/210783.Up_in_the_Old_Hotel
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond the Pale and Other Stories,"Trevor, William",0670161152,9780670161157,0670161152,255        pp,4.02,66,1981,"Feb 17, 1982",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"More heartbreaking stories of love, loss and just a little touch of depravity, from the Master.I now have all of his published works save for the two More heartbreaking stories of love, loss and just a little touch of depravity, from the Master.I now have all of his published works save for the two earliest short story collections. I should like to see Mr. Trevor win the Nobel Prize; his time is running out....more",Notes are private!,0,0,1,"Jan 16, 2013","Jan 22, 2013","Jan 16, 2013",,Hardcover,view (with text),/book/show/756121.Beyond_the_Pale_and_Other_Stories
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortal Life of Henrietta Lacks,"Skloot, Rebecca*",,,B00338QENI,310        pp,4.12,"735,173","Feb 02, 2010","Feb 02, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Gonzo journalism"" is now the norm: Not only is there the ""story"" (in this case that of a young, poor, uneducated black woman who died of cancer in 19""Gonzo journalism"" is now the norm: Not only is there the ""story"" (in this case that of a young, poor, uneducated black woman who died of cancer in 1951), but the story of getting the story. If not the main protagonist, the author places herself right up there, chronicling her struggle to track down the players, particularly the family of the deceased, who have suffered previous exploitation. Did the author exploit the family further? Well, yes, in a way; in the same way that it’s unavoidable in the telling of anyone’s story. In part the goal was to “set the record straight” and give Henrietta Lacks the due owed her for being at the centre of some of the greatest medical discoveries over the last sixty-years....more",Notes are private!,0,0,1,"Jan 14, 2013","Jan 15, 2013","Jan 16, 2013",,Kindle Edition,view (with text),/book/show/8114303-the-immortal-life-of-henrietta-lacks
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fifty Shades of Grey        (Fifty Shades, #1)","James, E.L.*",,,B0052U59F4,514        pp,3.66,"2,607,263","May 25, 2011","May 26, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When all was said and done it really wasn't as bad as I expected. Sure the entire premise was ridiculous, but that's what makes it fantasy, no? The chWhen all was said and done it really wasn't as bad as I expected. Sure the entire premise was ridiculous, but that's what makes it fantasy, no? The characters were trite, less even than cardboard cut-outs, the attempts at psychologic nuance ham-fisted and the sex almost uniformly mundane. This was vanilla with a wisp of Bosco syrup. Ah well.But now I know what all the fuss was about. I don't feel compeled to investigate the other two volumes, though perhaps if one of the many ""knock-offs"" I've seen on the shelves at Target (who knew the mega-chains would become the largest purveyors of porn?) came my way, I wouldn't resist taking a peek....more",Notes are private!,0,0,1,"Jan 03, 2013","Jan 13, 2013","Jan 03, 2013",,Kindle Edition,view (with text),/book/show/11477648-fifty-shades-of-grey
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prague Pictures: A Portrait of the City,"Banville, John",1582343829,9781582343822,1582343829,244        pp,3.64,333,2003,"Mar 04, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Banville writes by way of a semi-apology that this is not a travel guide. It is rather his reminiscences and impressions of a city he visited both befBanville writes by way of a semi-apology that this is not a travel guide. It is rather his reminiscences and impressions of a city he visited both before and after the fall of the Communist regime in 1989 (as well as more recently). The luscious thing about the book is Banville's familiar voice: irreverent, self-deprecating, erudite and subversively humorous.It is with sadness that I must now sit and wait for the next Banville book to be published. I've read all his novels, his single short story collection, the detective fiction published under the semi-pseudonym Benjamin Black and even the privately-printed children's book The Ark (which I copied out in long hand during a visit to the nation Library of Ireland last autumn—all of forty-six mostly illustrated pages). Of course there are numerous periodical pieces which I search out, and still a first-edition of those short stories which contain additional selections deleted in the edition I own. I guess there's always the opportunity to reread some of my favourites....more",Notes are private!,0,1,1,"Dec 27, 2012","Jan 02, 2013","Dec 27, 2012",,Hardcover,view (with text),/book/show/88254.Prague_Pictures
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poor Mouth,"O'Brien, Flann",1564780910,9781564780911,1564780910,128        pp,4.07,"2,757",1941,"Mar 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2012",,Paperback,view,/book/show/59641.The_Poor_Mouth
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Testament of Mary,"Tóibín, Colm",1451688385,9781451688382,1451688385,81        pp,3.64,"16,936","Oct 01, 2012","Nov 13, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 26, 2012","Nov 26, 2012",,Hardcover,view,/book/show/13547234-the-testament-of-mary
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Children of Dynmouth,"Trevor, William",014118664X,9780141186641,014118664X,208        pp,3.99,"1,018",1976,2001,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Small town evils on the Dorset coast: a woman dies mysteriously by falling from a cliff and her husband almost immediately remarries the local divorc Small town evils on the Dorset coast: a woman dies mysteriously by falling from a cliff and her husband almost immediately remarries the local divorcée; a retired man who never consummated his marriage of 38-years is accused of paederasty; the landlord of the local public house is seen at all hours in compromising positions; an invalid woman and her husband are vociferously berated for overprotection by their darling boy as he departs the village forever; the vicar's dwindling flock do not regard him as highly as his predecessor and let him know in various passive-aggressive ways; a middle-aged spinster continues to carry a torch for the married village physician, who may have sired a child by her. Family secrets for the most part, threatened to be made public by an extremely troubled and frightening fifteen-year-old, Timothy Gredge (his very name has overtones of Dickensian malice). What drives Timothy's subtle extortion? Not money, but for the most part props: Timothy wants to do a skit in the church's ""Spot the Talent"" contest, acting out the story of an Edwardian serial killer known as ""The Bride in a Bath Murdered"", one George Joseph Smith (a real historical character whose likeness Timothy saw displayed in Madam Tussaud's on a school outing). Trevor is at his devilish best, creating an uncomfortable sense of foreboding while maintaining a wickedly humorous small town world. It would be interesting to compare The Children of Dynmouth with J.K. Rowling’s newest work, The Casual Vacancy , similarly set in a small, West Country town....more",Notes are private!,0,2,1,"Nov 19, 2012","Nov 25, 2012","Nov 19, 2012",,Paperback,view (with text),/book/show/493309.The_Children_of_Dynmouth
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pygmalion / My Fair Lady,"Shaw, George Bernard",0451530098,9780451530097,0451530098,240        pp,4.26,"15,635",1956,"Aug 07, 1980",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,These were very nice to read together. I was pleasantly surprised to see so much of Shaw's dialogue was kept for the musical. These were very nice to read together. I was pleasantly surprised to see so much of Shaw's dialogue was kept for the musical. ...more,Notes are private!,0,0,1,"Nov 15, 2012","Nov 17, 2012","Nov 17, 2012",,Mass Market Paperback,view (with text),/book/show/7707.Pygmalion_My_Fair_Lady
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridges of Madison County,"Waller, Robert James",044651652X,9780446516525,044651652X,171        pp,3.69,"97,108","Apr 13, 1992","Jan 01, 1992",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I may need a new ""shelf"" for this. Here are some of our fellow Goodreadsters' suggestions: embarrassed-to-own, utter-dreckabsolute-drekcotempopop, marI may need a new ""shelf"" for this. Here are some of our fellow Goodreadsters' suggestions: embarrassed-to-own, utter-dreckabsolute-drekcotempopop, marshmallowfluff, stinkershorridcompletefuckingshittried-but-failed, rubbishnow-come-onbad-bad-badneveragainAnd my favourite (and most appropriate) ""Garbage"". Appropriate because as I was walking down the street yesterday, I found this in the garbage at the kerb. First edition, hardcover. Only thrown once that I could detect.I didn't see the film, but somehow know the general gist, but even so, I'm just going to wallow in the marshmallow.Indeed, one of the film s (by Janet Maslin, writing in The New York Times) gives an indication of the feelings about the book:""[The] director...has transformed The Bridges of Madison County into something bearable—no, something even better. Limited by the vapidity of this material while he trims its excesses with the requisite machete, Mr. Eastwood locates a moving, elegiac love story at the heart of Mr. Waller's self-congratulatory overkill. The movie has leanness and surprising decency, and Meryl Streep has her best role in years. Looking sturdy and voluptuous in her plain housedress (the year is 1965), Ms. Streep rises straight out of ""Christina's World"" to embody all the loneliness and fierce yearning Andrew Wyeth captured on canvas. And yet, despite the Iowa setting and the emphasis on down-home Americana, Mr. Eastwood's Bridges of Madison County has a European flavor. Its pace is unhurried, which is not the same as slow. It respects long silences and pays attention to small details. It sustains an austere tone and staves off weepiness until the last reel. It voices musings that would definitely sound better in French.""Emphasis mine.I really fail to see how this book gained the traction it did. The dialogue is laughable, the ""framing story"" ridiculous: as if two adult children upon learning that their lately deceased mother had a four-day fling a quarter-century earlier would say: ""This is a story the world needs to know! Let's find a professor of business management to tell it!"" And presumably to market it and cash in.Maybe they were on to something after all....more",Notes are private!,0,0,1,"Nov 06, 2012","Nov 18, 2012","Nov 06, 2012",,Hardcover,view (with text),/book/show/425068.Bridges_of_Madison_County
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Castle Rackrent,"Edgeworth, Maria",087220877X,9780872208773,087220877X,87        pp,3.17,"3,999",1800,"Mar 15, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2012",,Paperback,view,/book/show/251290.Castle_Rackrent
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fanny Hill, or Memoirs of a Woman of Pleasure","Cleland, John",0140620885,9780140620887,0140620885,224        pp,3.28,"12,500","Nov 21, 1748",1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2012",,Paperback,view,/book/show/195144.Fanny_Hill_or_Memoirs_of_a_Woman_of_Pleasure
