,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karen (idleutopia_reads)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La reina de espadas,"Barrera, Jazmina",8426430775,9788426430779,8426430775,272        pp,4.00,5,unknown,"Apr 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/206801524-la-reina-de-espadas
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Men Have Called Her Crazy: A Memoir,"Tendler, Anna Marie",1668032341,9781668032343,1668032341,304        pp,4.80,10,"Aug 13, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/203931803-men-have-called-her-crazy
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intermezzo,"Rooney, Sally*",0374602638,9780374602635,0374602638,432        pp,4.44,9,"Sep 24, 2024","Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/208931300-intermezzo
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","Fadiman, Anne",0374525641,9780374525644,B007CFQ9QK,341        pp,4.20,"82,908",1997,"Jan 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neighbors and Other Stories,"Oliver, Diane",,,,272        pp,4.11,626,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/128713517-neighbors-and-other-stories
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exhibit,"Kwon, R.O.*",0593190025,9780593190029,0593190025,224        pp,4.29,66,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/177192267-exhibit
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Incendiaries,"Kwon, R.O.*",0735213895,9780735213890,0735213895,214        pp,3.22,"23,825","Jul 31, 2018","Jul 31, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024","Apr 07, 2024","Feb 21, 2024",,Hardcover,view,/book/show/36679056-the-incendiaries
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Legacy of Empire: Britain, Zionism and the Creation of Israel","Thompson, Gardner",0863563619,9780863563614,0863563619,352        pp,4.00,46,2019,"Sep 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/44280558-legacy-of-empire
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Catalina,"Villavicencio, Karla Cornejo*",0593449096,9780593449097,0593449096,224        pp,4.06,87,"Jun 18, 2024","Jul 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/202907408-catalina
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blow-Up and Other Stories,"Cortázar, Julio",0394728815,9780394728810,0394728815,277        pp,4.22,"7,345",1968,"Feb 12, 1985",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/53410.Blow_Up_and_Other_Stories
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Wrestle a Girl: Stories,"Blackburn, Venita*",0374602794,9780374602796,0374602794,224        pp,3.81,377,"Sep 07, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024","Mar 31, 2024","Feb 10, 2024",,Paperback,view,/book/show/56269289-how-to-wrestle-a-girl
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Adieux: A Farewell to Sartre,"Beauvoir, Simone de",039472898X,9780394728988,039472898X,464        pp,3.84,688,1981,"Feb 12, 1985",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/116735.Adieux
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Circuit: Stories from the Life of a Migrant Child,"Jiménez, Francisco",0826317979,9780826317971,0826317979,134        pp,4.07,"6,995","Nov 30, 1996","Oct 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/277241.The_Circuit
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behind You Is the Sea,"Darraj, Susan Muaddi*",0063324253,9780063324251,B0C2Q7Z4T2,251        pp,4.18,"1,389","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Kindle Edition,view,/book/show/134246146-behind-you-is-the-sea
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thoughts from the Ice-Drinker's Studio: Essays on China and the World,"Qichao, Liang",0241568781,9780241568781,0241568781,272        pp,4.50,2,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Paperback,view,/book/show/87545310-thoughts-from-the-ice-drinker-s-studio
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Manicurist's Daughter,"Lieu, Susan*",,,1250835046,320        pp,4.12,772,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/127305940-the-manicurist-s-daughter
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nursery,"Molnar, Szilvia*",0593316843,9780593316849,0593316843,208        pp,3.79,"1,744",unknown,"Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/61358644-the-nursery
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Abyss,"Vallejo, Fernando",0811238512,9780811238519,0811238512,192        pp,3.91,"1,616",2002,"Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/198216863-the-abyss
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soñar como sueñan los árboles,"Lozano, Brenda",8420477443,9788420477442,8420477443,200        pp,4.06,35,unknown,"Apr 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/204780224-so-ar-como-sue-an-los-rboles
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,766","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/139400713-martyr
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La frontera más distante,"Rivera Garza, Cristina",,,,243        pp,3.33,33,2008,2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,,view,/book/show/5985023-la-frontera-m-s-distante
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Esta herida llena de peces,"Salazar Masso, Lorena",8412198093,,8412198093,168        pp,4.34,"2,638","Mar 03, 2021","Mar 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/57028232-esta-herida-llena-de-peces
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La mesa herida,"Martínez-Belli, Laura",6073906072,9786073906074,,455        pp,4.25,757,unknown,"Sep 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,ebook,view,/book/show/196790591-la-mesa-herida
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautyland,"Bertino, Marie-Helene*",0374109281,9780374109288,0374109281,336        pp,4.26,"2,298","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/127282939-beautyland
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diario del dolor,"Puga, María Luisa",607304190X,9786073041904,B08WT5T7RH,98        pp,4.12,542,2003,"Feb 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/58303663-diario-del-dolor
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Birds in the Sky: The Story and Legacy of the 1921 Tulsa Race Massacre,"Colbert, Brandy*",0063056666,9780063056664,0063056666,224        pp,4.26,"3,176","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/56554639-black-birds-in-the-sky
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sun of Blood and Ruin        (Sun of Blood and Ruin, #1)","Lares, Mariely*",,,006325431X,384        pp,3.18,"1,158","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/70240500-sun-of-blood-and-ruin
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chicano Frankenstein,"Olivas, Daniel A.",1942436599,9781942436591,1942436599,222        pp,3.75,61,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/193774448-chicano-frankenstein
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thirst,"Yuszczuk, Marina",0593472063,9780593472064,0593472063,256        pp,3.72,"1,907","Oct 01, 2020","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/174156085-thirst
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Crack Was King: A People's History of a Misunderstood Era,"Ramsey, Donovan X.",0525511806,9780525511809,0525511806,448        pp,4.37,"2,965","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/63024187-when-crack-was-king
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fruit of the Dead,"Lyon, Rachel*",1668020858,9781668020852,1668020858,320        pp,3.68,720,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/176443312-fruit-of-the-dead
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arráncame la vida,"Mastretta, Ángeles",8432216399,9788432216398,8432216399,238        pp,4.08,"13,017",1985,"Jun 30, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/644009.Arr_ncame_la_vida
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Will Be Jaguars: A Memoir of My People,"Nenquimo, Nemonte",1419763776,9781419763779,1419763776,368        pp,0.00,0,"Jun 04, 2024","Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/195660519-we-will-be-jaguars
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,LatinoLand: A Portrait of America's Largest and Least Understood Minority,"Arana, Marie",1982184914,9781982184919,,352        pp,4.43,30,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,ebook,view,/book/show/176530628-latinoland
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Negra: A Memoir,"Alford, Natasha S.",0063237105,9780063237100,0063237105,288        pp,4.37,27,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/179311294-american-negra
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Veiled Throne        (The Dandelion Dynasty, #3)","Liu, Ken*",1481424335,9781481424332,1481424335,"1,008        pp",4.17,"2,720","Dec 07, 2021","Dec 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2024",not set,"Jan 02, 2024",,Hardcover,view,/book/show/18952403-the-veiled-throne
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Deep: Freediving, Renegade Science, and What the Ocean Tells Us about Ourselves","Nestor, James",0547985525,9780547985527,0547985525,272        pp,4.45,"6,828","Oct 06, 2014","Jun 24, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/18222705-deep
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dirty Work: Essential Jobs and the Hidden Toll of Inequality in America,"Press, Eyal",0374140189,9780374140182,0374140189,303        pp,4.16,"1,485","Aug 17, 2021","Aug 17, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/54785496-dirty-work
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Imagination: A Manifesto,"Benjamin, Ruha*",1324020970,9781324020974,1324020970,192        pp,4.26,72,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/150779002-imagination
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Still Life with Bones: Genocide, Forensics, and What Remains","Hagerty, Alexa*",0593443136,9780593443132,0593443136,320        pp,4.41,"1,124","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/61327473-still-life-with-bones
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting to Be Arrested at Night: A Uyghur Poet's Memoir of China's Genocide,Tahir Hamut Izgil,0593491793,9780593491799,0593491793,272        pp,4.31,"1,018",2023,"Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/63249763-waiting-to-be-arrested-at-night
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lover,"Moreno-Garcia, Silvia*",1662517157,9781662517150,B0C9JYHY1D,43        pp,3.80,"11,214","Nov 01, 2023","Nov 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars: The Lover took twists and turns that I didn’t expect. As with any fairy tale, it contained narrow dimensions of its characters to fit certa4.5 stars: The Lover took twists and turns that I didn’t expect. As with any fairy tale, it contained narrow dimensions of its characters to fit certain archetypes but overall, I wasn’t upset at this. I loved following Judith through this 42-page short story and getting to the end where she finds a power within the darkness. Definitely motivates me to continue reading more from Moreno-Garcia....more",Notes are private!,0,3,1,Jan 2024,Jan 2024,"Jan 01, 2024",,Kindle Edition,view (with text),/book/show/181478167-the-lover
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tías and Primas: On Knowing and Loving the Women Who Raise Us,"Mojica Rodríguez, Prisca Dorcas*",1541603958,9781541603950,1541603958,304        pp,4.80,5,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/204593662-t-as-and-primas
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tomar tu mano,"Hernández, Claudia",,9789585474819,,300        pp,3.93,98,unknown,Jun 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Paperback,view,/book/show/58919430-tomar-tu-mano
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Y/N,"Yi, Esther",1787704416,9781787704411,1787704416,196        pp,2.98,"5,305","Mar 21, 2023","Mar 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/125128086-y-n
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memories from Limón,"Brenes, Edo",1913123049,9781913123048,1913123049,272        pp,3.71,244,unknown,"Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/57927488-memories-from-lim-n
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Didn’t Know,"Pérez, Elba Iris*",1668012065,9781668012062,1668012065,320        pp,3.92,874,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/176442848-the-things-we-didn-t-know
