,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kerry (lines i underline)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250317959,9781250317957,,unknown,4.69,"224,715","Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.25⭐️Lines I underlined:“The women had a story to tell, even if the world wasn’t quite ready to hear it. And their story began with three simple word4.25⭐️Lines I underlined:“The women had a story to tell, even if the world wasn’t quite ready to hear it. And their story began with three simple words: we were there.”“Words were creators of worlds. You had to be careful with them.”“Thank god for girlfriends. In this crazy, chaotic, divided world that was run by men, you could count on the women.”...more",Notes are private!,0,3,1,"Feb 14, 2024","Feb 26, 2024","Feb 14, 2024",,Audiobook,view (with text),/book/show/193752824-the-women
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The True Love Experiment,"Lauren, Christina*",034943364X,9780349433646,B0BB1SK89Z,416        pp,4.13,"117,867","May 16, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️Lines I underlined:“Romance isn't gratuitous bodice ripping. It can be, and there's nothing wrong with that, but in the end, romance isn't about 4.0⭐️Lines I underlined:“Romance isn't gratuitous bodice ripping. It can be, and there's nothing wrong with that, but in the end, romance isn't about the fantasy of being wealthy or beautiful or even being tied to the bed."" More laughter, but I have their attention now. ""It's about elevating stories of joy above stories of pain. It is about seeing yourself as the main character in a very interesting--or maybe even quiet--life that is entirely yours to control. It is, my friends, the fantasy of significance.”...more",Notes are private!,0,3,1,"Feb 03, 2024","Feb 26, 2024","Feb 03, 2024",,ebook,view (with text),/book/show/74873805-the-true-love-experiment
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Lie Wins,"Elston, Ashley*",,,B0C4BHDZGM,10        pp,4.12,"187,474","Jan 02, 2024","Jan 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.0⭐️I already forget the details on this one but it was entertaining along the way.Lines I underlined:“There’s an old saying: The first lie wins. It’3.0⭐️I already forget the details on this one but it was entertaining along the way.Lines I underlined:“There’s an old saying: The first lie wins. It’s not referring to the little white kind that tumble out with no thought; it refers to the big one. The one that changes the game. The one that is deliberate. The lie that sets the stage for everything that comes after it. And once the lie is told, it’s what most people believe to be true. The first lie has to be the strongest. The most important. The one that has to be told.”...more",Notes are private!,0,0,1,"Feb 03, 2024","Feb 26, 2024","Feb 03, 2024",,Audible Audio,view (with text),/book/show/202692462-first-lie-wins
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Part,"Cousens, Sophie",,,,unknown,4.08,"19,325","Nov 07, 2023","Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"5.0⭐️A book you want to hug - moving and funny and romantic.Lines I underlined:“Life is never sorted. It’s just an undulating shitstorm of problems an5.0⭐️A book you want to hug - moving and funny and romantic.Lines I underlined:“Life is never sorted. It’s just an undulating shitstorm of problems and pleasure.”“Is that what life is—missing out in your twenties because you have no money, then missing out in your forties because you have no time?”...more",Notes are private!,0,3,1,"Jan 31, 2024","Feb 03, 2024","Jan 31, 2024",,Audiobook,view (with text),/book/show/198116170-the-good-part
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Over the Top: A Raw Journey to Self-Love,"Van Ness, Jonathan",0062906402,9780062906403,,6        pp,4.19,"65,517","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Love you JVN. Inspiring, hilarious, honest and tender.Lines I underlined:“Just because we mess up doesn’t mean all the lessons we learned are undone. Love you JVN. Inspiring, hilarious, honest and tender.Lines I underlined:“Just because we mess up doesn’t mean all the lessons we learned are undone. Healing can be imperfect.”“Imperfection is beautiful. To anyone who has ever felt broken beyond repair, this is for you. If you’ve ever been excluded, or told you were not enough, know that you are enough, and beautifully complete.”“Life is so much a daily exercise in learning to love yourself and forgive yourself, over and over.”...more",Notes are private!,0,3,1,"Jan 29, 2024","Feb 03, 2024","Jan 29, 2024",,Audiobook,view (with text),/book/show/41824023-over-the-top
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No One Can Know,"Marshall, Kate Alice*",,,B0C6B68QMX,324        pp,3.72,"30,705","Jan 23, 2024","Jan 23, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.25⭐️Just okay. Weak characterization made this one not so memorable. The opening was excellent. I wish the rest had lived up to it.Lines I underline3.25⭐️Just okay. Weak characterization made this one not so memorable. The opening was excellent. I wish the rest had lived up to it.Lines I underlined:“Maybe he didn’t deserve to die. Hardly anyone did really. But some deserved it more than others.”...more,Notes are private!,0,1,1,"Jan 27, 2024","Feb 03, 2024","Jan 27, 2024",,Audible Audio,view (with text),/book/show/204217398-no-one-can-know
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookbinder,"Williams, Pip",,,,14        pp,4.09,"18,675","Mar 28, 2023","Jul 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.25⭐️Lines I underlined:“Summer mornings had no manners; they slipped beneath our curtains and roused a winged chorus, and I was awake long before I 4.25⭐️Lines I underlined:“Summer mornings had no manners; they slipped beneath our curtains and roused a winged chorus, and I was awake long before I wanted to be.”“As soon as someone cracks the spine, a book develops a character all its own. What impresses or concerns one reader is never the same as what impresses or concerns all others. So, each book, once read, will fall open at a different place. Each book, once read, I realised, will have told a slightly different story.”“Poetry is how we endure the unendurable. Sometimes it has to be a lie.”...more",Notes are private!,0,1,1,"Jan 27, 2024","Feb 26, 2024","Jan 27, 2024",,Audiobook,view (with text),/book/show/193773424-the-bookbinder
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wedding Dress Sewing Circle,"Ryan, Jennifer*",,,B09F5WTT8C,411        pp,4.09,"16,788","May 31, 2022","May 31, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.25⭐️A comfort read.Lines I underlined:“Sometimes you need to step outside the way your life has been mapped out, find your own path, your own place 4.25⭐️A comfort read.Lines I underlined:“Sometimes you need to step outside the way your life has been mapped out, find your own path, your own place in the world.”“Always find your pluck.”“But what I can offer you, money cannot buy: riveting conversation, a disobedient dog and absolute, unconditional love.”“She wanted to live life without holding back, without any regrets, and she was starting that today.”...more",Notes are private!,0,2,1,"Jan 27, 2024","Jan 28, 2024","Jan 27, 2024",,Kindle Edition,view (with text),/book/show/59361810-the-wedding-dress-sewing-circle
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",,9781250329523,,unknown,3.42,"79,576","Jan 16, 2024","Jan 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5⭐️A twisty locked room mystery with super atmosphere. Outstanding narration on audio.Lines I underlined:“We are all the unreliable narrators of our4.5⭐️A twisty locked room mystery with super atmosphere. Outstanding narration on audio.Lines I underlined:“We are all the unreliable narrators of our own lives.”“That’s my story in a nutshell - a tale of beautiful, well-intentioned failure, ending in death, which is a pretty good metaphor for life, isn’t it?”...more",Notes are private!,0,5,1,"Jan 19, 2024","Jan 28, 2024","Jan 19, 2024",,Audiobook,view (with text),/book/show/159403420-the-fury
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Devils Are Here        (Chief Inspector Armand Gamache, #16)","Penny, Louise*",,9781250760616,,14        pp,4.43,"69,683","Sep 01, 2020","Sep 01, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"5.0⭐️A new favourite in a favourite series. I especially loved how much we learned about the Gamache family relationships in this one. Just so good. I5.0⭐️A new favourite in a favourite series. I especially loved how much we learned about the Gamache family relationships in this one. Just so good. I didn’t want it to end.Lines I underlined:“Dreadful deeds were obvious. The divine was often harder to see.”“We just don’t know. The key is to keep going. Joy might be just around the corner.”“Life can be cruel, as you know. But it can also be kind. Filled with wonders. You need to remember that. You have your own choice to make, Armand. What’re you going to focus on? What’s unfair, or all the wonderful things that happen? Both are true, both are real. Both need to be accepted. But which carries more weight with you?”...more",Notes are private!,0,5,1,"Jan 14, 2024","Jan 28, 2024","Jan 14, 2024",,Audiobook,view (with text),/book/show/55388351-all-the-devils-are-here
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother-Daughter Murder Night,"Simon, Nina*",0063315076,9780063315075,,13        pp,3.59,"53,351","Sep 05, 2023","Sep 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5⭐️A cozy feeling mystery that has a nice sense of place and an engaging main character in Lana. It left me wanting more in the characterization dep3.5⭐️A cozy feeling mystery that has a nice sense of place and an engaging main character in Lana. It left me wanting more in the characterization department, especially with the mother and daughter. A solid lighter mystery for people who enjoy a sassy, older MC detective.Lines I underlined:“You have to love yourself the most. No one else can do that for you.”“They were together. They were safe. And they were laughing. And that was enough.”...more",Notes are private!,0,3,1,"Jan 14, 2024","Jan 19, 2024","Jan 14, 2024",,Audiobook,view (with text),/book/show/166176898-mother-daughter-murder-night
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Better Man        (Chief Inspector Armand Gamache, #15)","Penny, Louise*",,9781250230898,,unknown,4.30,"62,697","Aug 27, 2019","Aug 27, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5⭐️Classic Louise, with lots of Three Pines in it, a good twist, and plenty of wisdom along the way. Lines I underlined:“How often we made our worst4.5⭐️Classic Louise, with lots of Three Pines in it, a good twist, and plenty of wisdom along the way. Lines I underlined:“How often we made our worst fears come true, by behaving as though they already were.”“Sometimes you just have to do something stupid.”“Is it true? Is it kind? Does it need to be said?”...more",Notes are private!,0,3,1,"Jan 06, 2024","Jan 19, 2024","Jan 06, 2024",,Audiobook,view (with text),/book/show/45419805-a-better-man
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gentleman's Gambit        (A League of Extraordinary Women #4),"Dunmore, Evie*",0593334671,9780593334676,0593334671,0        pp,3.70,"9,811","Dec 05, 2023","Dec 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5⭐️It’s rare to read a whole series and look back and thing ALL of the books were equally pleasurable. That’s this series - funny, clever, inspiring4.5⭐️It’s rare to read a whole series and look back and thing ALL of the books were equally pleasurable. That’s this series - funny, clever, inspiring, romantic, sexy… I will definitely reread all of them at some point. I’d be hard pressed to choose which one of the four MCs I enjoyed most. Delightful and light but not without some deeper themes. Lines I underlined:“I find the human species as a whole rather disappointing.”“It was as though a woman could have either a brain or a heart, and whichever way, she was allowed only half a life.”“I want to just not see people for a while; I want to roll up on a bed and read a romantic novel and not think.”“Ghosts could be laid to rest. Patterns could be reversed. One could cross out The End and add another paragraph. And occasionally, one had to let go of a good thing to make room for a potentially better thing. It was a risk. But life, just by way of passing, eventually caused a change of circumstances anyway, so a woman might as well make the decision to be brave, and trust in her ability to navigate the unknown.”...more",Notes are private!,0,4,1,"Jan 04, 2024","Jan 19, 2024","Jan 04, 2024",,ebook,view (with text),/book/show/203386193-the-gentleman-s-gambit
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mystery Guest        (Molly the Maid, #2)","Prose, Nita*",,9780593452707,,unknown,3.87,"63,895","Nov 28, 2023","Nov 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️I enjoyed The Maid when it came out, and I remember how the audio really brought Molly’s character to life. I can say the same for this second my4.0⭐️I enjoyed The Maid when it came out, and I remember how the audio really brought Molly’s character to life. I can say the same for this second mystery featuring Molly, in fact, I liked it more than the first. Love the voice, the quirkiness, the cozy feel. It’s just an easy, entertaining read. Lines I underlined:“Education is a state of mind.”“It doesn’t matter if you understand another person’s pain, because their injury is real nonetheless.”“What is hope, if not the decision to shine light into the dark?”“Never fear a new beginning. One chapter must end for another to begin.”...more",Notes are private!,0,3,1,"Jan 03, 2024","Jan 19, 2024","Jan 03, 2024",,Audiobook,view (with text),/book/show/200835868-the-mystery-guest
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letter to My Daughter,"Angelou, Maya",,,B001IAJKSO,unknown,4.09,"31,047",1987,"Oct 13, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️Lines I underlined:“I am convinced that most people do not grow up...We marry and dare to have children and call that growing up. I think what we4.0⭐️Lines I underlined:“I am convinced that most people do not grow up...We marry and dare to have children and call that growing up. I think what we do is mostly grow old. We carry accumulation of years in our bodies, and on our faces, but generally our real selves, the children inside, are innocent and shy as magnolias.”“I can be changed by what happens to me. But I refuse to be reduced by it.”“The ensuing years have taught me that a kind word, a vote of support is a charitable gift. I can move over and make another place for someone. I can turn my music up if it pleases, or down if it is annoying. I may never be known as a philanthropist, but I certainly am a lover of mankind, and I will give freely of my resources.”...more",Notes are private!,0,2,1,"Jan 03, 2024","Jan 19, 2024","Jan 03, 2024",,Audible Audio,view (with text),/book/show/45880714-letter-to-my-daughter
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Benevolent Society of Ill-Mannered Ladies        (The Ill-Mannered Ladies, #1)","Goodman, Alison*",0593440811,9780593440810,0593440811,464        pp,4.19,"8,558","May 30, 2023","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️This was a romp! Funny and adventurous and great for fans of Deanna Raybourn’s Veronica Speedwell books or Evie Dunmore’s historical romances.Lin4.0⭐️This was a romp! Funny and adventurous and great for fans of Deanna Raybourn’s Veronica Speedwell books or Evie Dunmore’s historical romances.Lines I underlined:“We shall be useful. But just as importantly we shall be defiant, occasionally ill-mannered, and completely indomitable.”“There was no getting around the shameful truth: for all the danger we were in, I was enjoying myself.”...more",Notes are private!,0,2,1,"Dec 31, 2023","Jan 19, 2024","Dec 31, 2023",,Paperback,view (with text),/book/show/62313333-the-benevolent-society-of-ill-mannered-ladies
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Winter in New York,"Silver, Josie*",,,,unknown,3.70,"36,786","Oct 03, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.0⭐️For a novel that had so much gelato in it, I wish I liked it more.Lines I underlined:“Snow changes everything, doesn’t it?”“You guys have enough 3.0⭐️For a novel that had so much gelato in it, I wish I liked it more.Lines I underlined:“Snow changes everything, doesn’t it?”“You guys have enough baggage between you to fill a goddamn carousel at JFK. But isn’t that kind of the point of love, that you help each other carry the bags? Fresh starts are for hallmark movies, not real life.”...more",Notes are private!,0,0,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Audiobook,view (with text),/book/show/197576368-a-winter-in-new-york
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starling House,"Harrow, Alix E.*",,9781250882783,,13        pp,3.86,"67,512","Oct 03, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️Came for the spooky house energy, stayed for that, and the excellent writing, even though I was a wee bit confused about who I was supposed to ha4.0⭐️Came for the spooky house energy, stayed for that, and the excellent writing, even though I was a wee bit confused about who I was supposed to hate the most.Lines I underlined:“Starling House makes me think of an underfed pet or a broken doll, a thing unloved by the person who promised to love it best.”“Because I dreamed of Starling House long before I ever saw it. Because sometimes when the light slants soft through the west windows and turns the dust mots into tiny golden fireflies I like to pretend the house belongs to me, or that I belong to it.”“I figure dreams are like stray cats, which go away if I quit feeding them.”...more",Notes are private!,0,2,1,"Dec 23, 2023","Dec 31, 2023","Dec 23, 2023",,Audiobook,view (with text),/book/show/141324812-starling-house
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love, Holly","Stone, Emily*",,,,unknown,3.91,"8,105","Sep 26, 2023","Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️Sometimes you just need to believe the sexy guy you meet in a coffee shop is going to show up again for good.Lines I underlined:“Some people you 4.0⭐️Sometimes you just need to believe the sexy guy you meet in a coffee shop is going to show up again for good.Lines I underlined:“Some people you know for a lifetime, but they never really make an imprint on your soul—and some people, you only have to know for an instant, to know they will be part of you forever.”...more",Notes are private!,0,2,1,"Dec 20, 2023","Dec 31, 2023","Dec 20, 2023",,Audiobook,view (with text),/book/show/197584515-love-holly
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lovelight Farms        (Lovelight, #1)","Borison, B.K.*",0593641124,9780593641125,B0BVRQQJ7X,332        pp,3.92,"97,742","Nov 10, 2021","Nov 10, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"5.0⭐️I resisted the viral Christmas book because I was snobby, and then I read it and couldn’t have felt more warm and fuzzy and wrong.Lines I underli5.0⭐️I resisted the viral Christmas book because I was snobby, and then I read it and couldn’t have felt more warm and fuzzy and wrong.Lines I underlined:“People get too caught up in how things look instead of how things feel.”“But he would make me a grilled cheese. Whenever I was sad.”“He’s tradition and familiarity. He is homemade pop tarts on the first Saturday of the month. He is late-night viewings of Die Hard in the sticky summer heat, both of our phones propped up on our respective coffee tables. He is pizza with extra mushrooms and light sauce, a crust that has to be perfect.”...more",Notes are private!,0,4,1,"Dec 17, 2023","Dec 31, 2023","Dec 17, 2023",,Kindle Edition,view (with text),/book/show/122753311-lovelight-farms
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Holidays and a Wedding,"Jalaluddin, Uzma*",,,B0C217R158,unknown,3.60,"9,426","Sep 23, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.0⭐️This felt the most Hallmark-y of the Christmas / holiday reading I did this year. As someone who doesn’t crave the Hallmark vibes, this wasn’t a 3.0⭐️This felt the most Hallmark-y of the Christmas / holiday reading I did this year. As someone who doesn’t crave the Hallmark vibes, this wasn’t a draw for me personally, but it was well done for that kind of experience. Really fun small town setting was a big part of the pleasure for me. A little cheesy but sweet overall. Some entertaining secondary characters. Not much romantic tension but if you’re a closed door fan, you might be fine with that.Lines I underlined:“Nothing like a happy ending, right?”...more",Notes are private!,0,0,1,"Dec 16, 2023","Dec 20, 2023","Dec 16, 2023",,Audible Audio,view (with text),/book/show/199534013-three-holidays-and-a-wedding
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me Under the Mistletoe,"Bayliss, Jenny",,,B09S27NH25,unknown,3.49,"14,823","Sep 27, 2022","Sep 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0⭐️A little bit bookish, a little bit Upstairs Downstairs, lots of posh British prep school types, romance and gardening… I mean what’s not to like?4.0⭐️A little bit bookish, a little bit Upstairs Downstairs, lots of posh British prep school types, romance and gardening… I mean what’s not to like? Another cozy and happy-making reading experience from Bayliss.Lines I underlined:“Whatever else was happening in the world, love was a constant.”“Booksellers were matchmakers of sorts.”...more",Notes are private!,0,0,1,"Dec 16, 2023","Dec 20, 2023","Dec 16, 2023",,Audible Audio,view (with text),/book/show/62804790-meet-me-under-the-mistletoe
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Darling Girl,"McMahon, Jennifer*",166801906X,9781668019061,166801906X,320        pp,3.76,"12,642","Oct 03, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5⭐️More than a bit unbelievable (e.g., being okay with your abusive mother coming to live with you and spending time with your children), but had a 3.5⭐️More than a bit unbelievable (e.g., being okay with your abusive mother coming to live with you and spending time with your children), but had a solid creepiness factor and a twisty unresolved ending. Spooky vibes will bring me back to this author for another read....more",Notes are private!,0,0,1,"Dec 13, 2023","Dec 20, 2023","Dec 13, 2023",,Hardcover,view (with text),/book/show/101145269-my-darling-girl
