,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Abigail's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"142,979","Feb 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 17, 2023","Oct 24, 2023","Sep 19, 2023",,Hardcover,view,/book/show/60654349-weyward
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Patient,"Michaelides, Alex*",1250301696,9781250301697,1250301696,336        pp,4.18,"2,176,953",2018,"Feb 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 17, 2023","Sep 19, 2023","Sep 19, 2023",,Hardcover,view,/book/show/40097951-the-silent-patient
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fair Play: A Game-Changing Solution for When You Have Too Much to Do,"Rodsky, Eve*",,,,352        pp,3.56,"19,443","Oct 01, 2019","Oct 01, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 13, 2023","Sep 13, 2023","Sep 13, 2023",,Kindle Edition,view,/book/show/44071899-fair-play
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Days at the Morisaki Bookshop        (Days at the Morisaki Bookshop, #1)","Yagisawa, Satoshi",0063278677,9780063278677,0063278677,150        pp,3.66,"58,453","Sep 07, 2010","Jul 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 09, 2023","Sep 12, 2023","Sep 12, 2023",,Paperback,view,/book/show/62047992-days-at-the-morisaki-bookshop
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,227        pp,3.70,"409,017","Dec 06, 2015","Sep 19, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 14, 2023","Sep 16, 2023","Sep 12, 2023",,Paperback,view,/book/show/44421460-before-the-coffee-gets-cold
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Four Winds,"Hannah, Kristin*",,,,464        pp,4.30,"671,989","Feb 02, 2021","Feb 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 11, 2023","Sep 10, 2023","Sep 11, 2023",,Hardcover,view,/book/show/53138081-the-four-winds
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,milk and honey,"Kaur, Rupi*",1502784270,9781502784278,1502784270,204        pp,3.98,"728,871","Nov 04, 2014","Nov 04, 2014",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 06, 2023","Sep 07, 2023","Sep 07, 2023",,Paperback,view,/book/show/23513349-milk-and-honey
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Commonwealth,"Patchett, Ann",0062491792,9780062491794,0062491792,322        pp,3.83,"182,472",Sep 2016,"Sep 13, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 03, 2023","Sep 05, 2023","Sep 04, 2023",,Hardcover,view,/book/show/28214365-commonwealth
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the World and Me,"Coates, Ta-Nehisi",,,,152        pp,4.40,"333,261","Jul 14, 2015","Jul 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 24, 2023","Aug 27, 2023","Aug 27, 2023",,Hardcover,view,/book/show/25489625-between-the-world-and-me
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,"Gottman, John M.",0609805797,9780609805794,0609805797,271        pp,4.24,"29,417",1999,"May 16, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 24, 2023","Jul 24, 2023","Jul 24, 2023",,Paperback,view,/book/show/849380.The_Seven_Principles_for_Making_Marriage_Work
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"973,944","Aug 09, 2022","Aug 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 31, 2023","Jun 03, 2023","Jun 04, 2023",,ebook,view,/book/show/59364173-i-m-glad-my-mom-died
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Across the Lake,"Sager, Riley*",139970060X,,B09GX9L4TF,369        pp,3.60,"251,380","Jun 21, 2022","Jun 21, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 24, 2023","May 28, 2023","Jun 04, 2023",,Kindle Edition,view,/book/show/58909880-the-house-across-the-lake
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot,"Korelitz, Jean Hanff*",125079076X,9781250790767,125079076X,320        pp,3.82,"114,178","May 11, 2021","May 11, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 28, 2023","Mar 02, 2023","Feb 28, 2023",,Hardcover,view,/book/show/55315487-the-plot
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Netanyahus,"Cohen, Joshua",1913097609,9781913097608,1913097609,240        pp,3.81,"13,708","May 05, 2021","May 05, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 23, 2023","Feb 27, 2023","Feb 23, 2023",,Paperback,view,/book/show/55817233-the-netanyahus
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Body: A Guide for Occupants,"Bryson, Bill",0385539304,9780385539302,0385539304,450        pp,4.32,"82,816","Oct 15, 2019","Oct 15, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2023","Feb 05, 2023","Jan 30, 2023",,Hardcover,view,/book/show/43582376-the-body
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Breath Becomes Air,"Kalanithi, Paul",,,B00XSSYR50,208        pp,4.40,"669,616","Jan 12, 2016","Jan 12, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jan 03, 2023not set","Jan 04, 2023not set","Jan 04, 2023",,Kindle Edition,view,/book/show/25899336-when-breath-becomes-air
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Make Every Move a Meditation: Mindful Movement for Mental Health, Well-Being, and Insight","Sweeney, Nita*",1642509892,9781642509892,1642509892,240        pp,3.97,37,"Sep 13, 2022","Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2022","Jan 03, 2023","Dec 21, 2022",,Paperback,view,/book/show/60589539-make-every-move-a-meditation
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dutch House,"Patchett, Ann",0062963678,9780062963673,0062963678,337        pp,4.10,"447,669","Sep 24, 2019","Sep 24, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2022,"Nov 05, 2022","Nov 05, 2022",,Hardcover,view,/book/show/44318414-the-dutch-house
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What I Talk About When I Talk About Running,"Murakami, Haruki",0307269191,9780307269195,0307269191,188        pp,3.87,"167,505","Oct 15, 2007","Jul 29, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 04, 2022","Oct 04, 2022","Oct 04, 2022",,Hardcover,view,/book/show/2195464.What_I_Talk_About_When_I_Talk_About_Running
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Thieves,"Benioff, David",0670018708,9780670018703,0670018708,258        pp,4.29,"149,948","May 15, 2008","May 15, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2022","Sep 30, 2022","Sep 30, 2022",,Hardcover,view,/book/show/1971304.City_of_Thieves
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,IQ84,"Murakami, Haruki",,,,928        pp,3.94,"259,859","May 28, 2009","May 29, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 21, 2022",Dec 2022,"Sep 21, 2022",,Paperback,view,/book/show/61170765-iq84
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grit: The Power of Passion and Perseverance,"Duckworth, Angela*",1443442313,9781443442312,1443442313,277        pp,4.08,"123,206","May 03, 2016","May 03, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 09, 2022","Sep 11, 2022","Sep 09, 2022",,Hardcover,view,/book/show/27213329-grit
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal People,"Rooney, Sally*",1984822179,9781984822178,1984822179,273        pp,3.81,"1,389,404","Aug 28, 2018","Apr 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jun 2022,"Jun 08, 2022","Jul 21, 2022",,Hardcover,view,/book/show/41057294-normal-people
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder on the Orient Express        (Hercule Poirot, #10)","Christie, Agatha",0007119313,9780007119318,B006VWJ2XC,274        pp,4.20,"623,088","Jan 01, 1934","Jun 04, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2022","Jul 14, 2022","Jul 14, 2022",,Paperback,view,/book/show/853510.Murder_on_the_Orient_Express
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Showing Up: How to Be There for Yourself and Your People,"Miller, Rachel Wilkerson",1615196617,9781615196616,1615196617,304        pp,3.79,"2,349","May 26, 2020","May 26, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 03, 2022","Jul 19, 2022","Jun 03, 2022",,Paperback,view,/book/show/50788329-the-art-of-showing-up
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Educated,"Westover, Tara*",,,,352        pp,4.47,"1,528,550","Feb 20, 2018","Feb 20, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 27, 2023","Sep 27, 2023","May 25, 2022",,Hardcover,view,/book/show/35133922-educated
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come as You Are: The Surprising New Science that Will Transform Your Sex Life,"Nagoski, Emily*",1476762090,9781476762098,1476762090,400        pp,4.30,"64,000","Mar 03, 2015","Mar 03, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 25, 2022","May 31, 2022","May 25, 2022",,Paperback,view,/book/show/22609341-come-as-you-are
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Norwegian Wood,"Murakami, Haruki",0375704027,9780375704024,0375704027,296        pp,4.01,"603,078","Sep 04, 1987","Sep 12, 2000",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 24, 2022",,Paperback,view,/book/show/11297.Norwegian_Wood
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"469,495",Sep 2002,"Jan 03, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 17, 2022","May 26, 2022","May 17, 2022",,Paperback,view,/book/show/4929.Kafka_on_the_Shore
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Hunter-Gatherer's Guide to the 21st Century: Evolution and the Challenges of Modern Life,"Heying, Heather E.",,,B08VF32DXK,320        pp,3.77,"4,807","Sep 14, 2021","Sep 14, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 10, 2022","May 14, 2022","May 14, 2022",,Kindle Edition,view,/book/show/56883406-a-hunter-gatherer-s-guide-to-the-21st-century
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beartown        (Beartown, #1)","Backman, Fredrik*",,,,430        pp,4.29,"440,369","Sep 15, 2016","Apr 25, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 25, 2022","Apr 28, 2022","Apr 28, 2022",,Kindle Edition,view,/book/show/59525566-beartown
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","McDougall, Christopher",,,,287        pp,4.30,"213,741","Apr 23, 2009","May 05, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 18, 2022","Apr 20, 2022","Apr 20, 2022",,Hardcover,view,/book/show/6289283-born-to-run
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Buddhism Is True: The Science and Philosophy of Meditation and Enlightenment,"Wright, Robert",1508235406,9781508235408,1508235406,11        pp,4.01,"23,203","Aug 08, 2017","Aug 08, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2022","Apr 06, 2022","Apr 03, 2022",,Audiobook,view,/book/show/32895535-why-buddhism-is-true
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waking Up: A Guide to Spirituality Without Religion,"Harris, Sam",1451636016,9781451636017,1451636016,256        pp,3.91,"46,228","Jan 01, 2014","Sep 09, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2022","Apr 02, 2022","Mar 31, 2022",,Hardcover,view,/book/show/18774981-waking-up
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Getting Stitches,"Francisco, Rudy",1482043114,9781482043112,1482043114,32        pp,4.36,332,"Jan 21, 2013","Jan 21, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 03, 2022","Jun 03, 2022","Mar 09, 2022",,Paperback,view,/book/show/18074722-getting-stitches
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Gravity,"Francisco, Rudy",1514328372,9781514328378,1514328372,37        pp,4.35,485,"Aug 01, 2015",Aug 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 02, 2022","Jun 02, 2022","Mar 09, 2022",,Paperback,view,/book/show/26194068-no-gravity
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Helium,"Francisco, Rudy",1943735190,9781943735198,1943735190,112        pp,4.30,"10,981","Nov 28, 2017","Nov 28, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 03, 2022","Sep 07, 2022","Mar 09, 2022",,Paperback,view,/book/show/34594981-helium
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",0735219117,9780735219113,,384        pp,4.39,"2,995,264","Aug 14, 2018","Aug 14, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 16, 2022","Apr 26, 2022","Mar 09, 2022",,ebook,view,/book/show/36809135-where-the-crawdads-sing
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Thing He Told Me,"Dave, Laura*",,,,320        pp,3.84,"943,642","May 04, 2021","May 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2022","Mar 09, 2022","Mar 09, 2022",,Hardcover,view,/book/show/54981009-the-last-thing-he-told-me
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pearl,"Steinbeck, John",0142000698,9780142000694,0142000698,96        pp,3.53,"238,192",1947,"Jan 08, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2023","Jan 07, 2023","Mar 03, 2022",,Paperback,view,/book/show/5308.The_Pearl
