,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Shan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Never Learn,"Fargo, Layne*",1982132027,9781982132026,1982132027,378        pp,3.94,"53,830","Oct 13, 2020","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2021",,Hardcover,view,/book/show/50892240-they-never-learn
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Lesson in Vengeance,"Lee, Victoria*",0593305825,9780593305829,0593305825,369        pp,3.56,"19,684","Aug 03, 2021","Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2021",,Hardcover,view,/book/show/50999821-a-lesson-in-vengeance
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beach Read,"Henry, Emily*",1984806734,9781984806734,1984806734,400        pp,4.01,"1,105,548","May 19, 2020","May 19, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 16, 2021",,Paperback,view,/book/show/52867387-beach-read
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ninth House        (Alex Stern, #1)","Bardugo, Leigh*",1250313074,9781250313072,1250313074,461        pp,4.03,"305,668","Oct 08, 2019","Oct 08, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 26, 2021",,Hardcover,view,/book/show/43263680-ninth-house
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reminders,"Emmich, Val*",0316317020,9780316317023,0316317020,320        pp,3.86,"3,350","May 30, 2017","Sep 25, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 28, 2019",,Paperback,view,/book/show/35604639-the-reminders
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",0735219095,9780735219090,0735219095,370        pp,4.39,"2,989,651","Aug 14, 2018","Aug 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 24, 2019",,Hardcover,view,/book/show/37703550-where-the-crawdads-sing
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Order of Time,"Rovelli, Carlo",,,,240        pp,4.12,"31,290","May 25, 2017","Apr 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 23, 2019","Feb 26, 2021","Jun 23, 2019",,Paperback,view,/book/show/41150906-the-order-of-time
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl Made of Stars,"Blake, Ashley Herring",1328476693,9781328476692,,304        pp,4.20,"27,371","May 15, 2018","May 15, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2019",,ebook,view,/book/show/31351689-girl-made-of-stars
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sun Is Also a Star,"Yoon, Nicola*",0553496689,9780553496680,0553496689,344        pp,3.97,"328,862","Nov 01, 2016","Nov 01, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The shifting POV really didn't play well for me. The shifting POV really didn't play well for me. ...more,Notes are private!,0,0,1,"Mar 09, 2019","Mar 27, 2019","Mar 09, 2019",,Hardcover,view (with text),/book/show/28763485-the-sun-is-also-a-star
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wolf Border,"Hall, Sarah",0062208470,9780062208477,0062208470,432        pp,3.83,"3,753","Mar 24, 2015","Jun 09, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 01, 2019",,Hardcover,view,/book/show/23315782-the-wolf-border
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Queen of Hearts: Coming of Age in a Hospital Bed,"Brooks, Martha",0374342296,9780374342296,0374342296,224        pp,3.65,721,"Jul 19, 2010","Aug 02, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Hardcover,view,/book/show/9716047-queen-of-hearts
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How I Live Now,"Rosoff, Meg*",0553376055,9780553376050,0553376055,194        pp,3.58,"45,211","Aug 24, 2004","Nov 30, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 01, 2019",,Paperback,view,/book/show/161426.How_I_Live_Now
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black Snow,"Lynch, Paul*",0316376418,9780316376419,0316376418,272        pp,3.75,512,"Mar 06, 2014","May 12, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Hardcover,view,/book/show/23197316-the-black-snow
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mothers,"Bennett, Brit*",039918452X,9780399184529,039918452X,293        pp,3.89,"119,148","Oct 11, 2016","Oct 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Paperback,view,/book/show/35876380-the-mothers
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,News of a Kidnapping,"García Márquez, Gabriel",0241980410,9780241980415,0241980410,291        pp,3.89,"14,210",1996,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Paperback,view,/book/show/34775564-news-of-a-kidnapping
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gallery of Lost Species,"Berkhout, Nina*",1250085071,9781250085078,1250085071,352        pp,3.56,519,"Jan 24, 2015","May 31, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Hardcover,view,/book/show/26114471-the-gallery-of-lost-species
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Victoria,"Goodwin, Daisy*",1250137594,9781250137593,1250137594,401        pp,3.93,"28,747","Nov 01, 2016","Nov 22, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Paperback,view,/book/show/33565009-victoria
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under a Pole Star,"Penney, Stef",1681441179,9781681441177,1681441179,608        pp,3.72,"2,834","Nov 03, 2016","Sep 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 01, 2019",,Hardcover,view,/book/show/33785399-under-a-pole-star
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snow Crash,"Stephenson, Neal*",0241953189,9780241953181,0241953189,440        pp,4.02,"280,060",Jun 1992,"Jun 02, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Paperback,view,/book/show/11357844-snow-crash
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hunger: A Memoir of (My) Body,"Gay, Roxane*",1472151119,9781472151117,1472151119,280        pp,4.18,"111,885","Jun 13, 2017","Jul 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2019",,Paperback,view,/book/show/35440368-hunger
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dune        (Dune, #1)","Herbert, Frank",,,B00B7NPRY8,883        pp,4.27,"1,358,001","Jun 01, 1965",Dec 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2019",,Kindle Edition,view,/book/show/43419431-dune
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tattooist of Auschwitz        (The Tattooist of Auschwitz, #1)","Morris, Heather*",0062797158,9780062797155,0062797158,272        pp,4.30,"932,409","Jan 11, 2018","Sep 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2019",,Paperback,view,/book/show/37486222-the-tattooist-of-auschwitz
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Set the Dark on Fire        (We Set the Dark on Fire, #1)","Mejia, Tehlor Kay*",0062691333,9780062691330,,384        pp,3.76,"18,832","Feb 26, 2019","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2019",,ebook,view,/book/show/37868569-we-set-the-dark-on-fire
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Patient,"Michaelides, Alex*",1250301696,9781250301697,1250301696,336        pp,4.18,"2,167,571",2018,"Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2019",,Hardcover,view,/book/show/40097951-the-silent-patient
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aku: Berdasarkan Perjalanan Hidup Dan Karya Penyair Chairil Anwar,"Djaya, Sjuman",979444040X,9789794440407,979444040X,120        pp,4.17,"3,085",1987,1987,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/1469483.Aku
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,5 cm,"Dhirgantoro, Donny",9797591514,9789797591519,,381        pp,3.88,"15,138",2005,2005,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/1499340.5_cm
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,HighTide-LowTide: A Journal of Manic Depression,"Coskuner, Nadiye",9799697522,9789799697523,9799697522,245        pp,3.62,16,unknown,"Feb 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/1997705.HighTide_LowTide
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Child of All Nations        (Buru Quartet, #2)","Toer, Pramoedya Ananta",0140256334,9780140256338,0140256334,352        pp,4.42,"7,193",1975,"May 01, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/248069.Child_of_All_Nations
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saman,"Utami, Ayu",,,,197        pp,3.67,"7,086",1998,2001,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/1337759.Saman
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aroma Karsa,"Lestari, Dee*",,9786022914631,,724        pp,4.55,"5,885","Jan 18, 2018",Mar 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/37830526-aroma-karsa
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Supernova: Petir,"Lestari, Dee*",9799822939,,,201        pp,3.96,"9,429",2004,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/1421046.Supernova
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Supernova: Akar,"Lestari, Dee*",9799625726,9789799625724,9799625726,202        pp,3.87,"10,381",2002,Nov 2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/1300350.Supernova
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Supernova: Ksatria, Puteri, dan Bintang Jatuh","Lestari, Dee*",979962570X,9789799625700,979962570X,321        pp,3.88,"14,764",2001,2001,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2019",,Paperback,view,/book/show/994156.Supernova
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unmarriageable,"Kamal, Soniah*",1524799718,9781524799717,1524799718,342        pp,3.75,"12,562","Jan 15, 2019","Jan 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2019",,Hardcover,view,/book/show/39992087-unmarriageable
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Black Leopard, Red Wolf        (The Dark Star Trilogy, #1)","James, Marlon",0735220174,9780735220171,0735220174,620        pp,3.45,"27,929","Feb 05, 2019","Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2019",,Hardcover,view,/book/show/40524312-black-leopard-red-wolf
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,543","May 06, 2014","Jan 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2019",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once Upon a River,"Setterfield, Diane*",0743298071,9780743298070,0743298071,464        pp,3.95,"90,193","Dec 03, 2018","Dec 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2019",,Hardcover,view,/book/show/40130093-once-upon-a-river
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neurocomic: A Comic About the Brain,"Farinella, Matteo",1907704701,9781907704703,1907704701,144        pp,3.60,"2,458",2013,"Apr 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2019",,Hardcover,view,/book/show/17675119-neurocomic
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tangled Tree: A Radical New History of Life,"Quammen, David*",1476776628,9781476776620,1476776628,480        pp,3.98,"4,177","Aug 14, 2018","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2019",,Hardcover,view,/book/show/36373639-the-tangled-tree
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library Book,"Orlean, Susan*",1476740186,9781476740188,1476740186,317        pp,3.89,"114,952","Oct 16, 2018","Oct 16, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2019","Jun 20, 2019","Jan 29, 2019",,Hardcover,view,/book/show/39507318-the-library-book
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War on Peace: The End of Diplomacy and the Decline of American Influence,"Farrow, Ronan",0393652106,9780393652109,0393652106,392        pp,4.15,"8,154","Apr 24, 2018","Apr 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2019",,Hardcover,view,/book/show/37564532-war-on-peace
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Utopia for Realists: How We Can Build the Ideal World,"Bregman, Rutger*",,,B01MXDBTWM,262        pp,4.22,"37,140","Sep 14, 2014","Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2019",,Paperback,view,/book/show/40876575-utopia-for-realists
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dreamers,"Walker, Karen Thompson*",0812994167,9780812994162,0812994167,303        pp,3.63,"40,805","Jan 15, 2019","Jan 15, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I want my time back. I don’t think I’ve ever read a book as pointless as this. The entire book, the characters, their little stories..made me go “and.I want my time back. I don’t think I’ve ever read a book as pointless as this. The entire book, the characters, their little stories..made me go “and..?” I almost gave it 1 star but decided to be kind. Really kind....more",Notes are private!,0,1,1,"Jan 28, 2019","Jan 29, 2019","Jan 28, 2019",,Hardcover,view (with text),/book/show/34409176-the-dreamers
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Echo North        (Echo North, #1)","Meyer, Joanna Ruth*",1624147151,9781624147159,1624147151,394        pp,3.83,"6,157","Jan 15, 2019","Jan 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2019",,Hardcover,view,/book/show/40046030-echo-north
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Olivia Fell,"McDonald, Christina*",1501184008,9781501184000,1501184008,342        pp,3.88,"27,884","Feb 05, 2019","Feb 05, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2 1/2 I don’t enjoy it as much as most people here.. I guess my biggest problem is the “psychotic woman” trope with male issues / daddy issues and the2 1/2 I don’t enjoy it as much as most people here.. I guess my biggest problem is the “psychotic woman” trope with male issues / daddy issues and they’re not written well, frustratingly one-dimensional especially Madison and Kendall. I just can’t accept the overly judgmental tone and haphazard explanation of why they are the way they are: Madison acts like this because she needs to be the center of attention // Kendall acts like this because of “daddy issues”. It’s lazy writing. ...more",Notes are private!,0,0,1,"Feb 09, 2019","Feb 10, 2019","Jan 28, 2019",,Paperback,view (with text),/book/show/36962927-the-night-olivia-fell
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City in the Middle of the Night,"Anders, Charlie Jane*",0765379961,9780765379962,0765379961,366        pp,3.50,"11,732","Feb 12, 2019","Feb 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2019",,Hardcover,view,/book/show/37534907-the-city-in-the-middle-of-the-night
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle Creek,"Kim, Angie*",0374156026,9780374156022,0374156026,355        pp,3.87,"67,876","Apr 16, 2019","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2019",,Hardcover,view,/book/show/40121959-miracle-creek
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Wish You All the Best,"Deaver, Mason*",1338357247,9781338357240,,9        pp,4.17,"48,203","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2019",,Audiobook,view,/book/show/39678923-i-wish-you-all-the-best
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Starless Sea,"Morgenstern, Erin*",1910701459,9781910701454,1910701459,498        pp,3.86,"203,449","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2019",,Hardcover,view,/book/show/42730332-the-starless-sea
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Und        (Six of Crows, #3)","Bardugo, Leigh*",,,,unknown,4.79,"1,361",unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2019",,,view,/book/show/40228844-untitled
