,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bam cooks the books ;-)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Solve Your Own Murder        (Castle Knoll Files #1),"Perrin, Kristen*",,9780593474037,B0C9H7L37X,366        pp,3.91,"4,702","Mar 26, 2024","Mar 26, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was such a fun read! For some reason the novel took me back to the Golden Age of mysteries. Perhaps it's the setting in a country mansion in the This was such a fun read! For some reason the novel took me back to the Golden Age of mysteries. Perhaps it's the setting in a country mansion in the English countryside. Or the wealthy widow who is murdered and leaves behind a strange request in her will. Or her young, innocent niece who sets out to solve not one mystery but two! Annie and her Great Aunt Frances were my favorite characters. I found Frances's diary entries fascinating, delving into the past and her complicated, messy friendships. The ending took me totally by surprise--so I say, Well done! I received an invitation to read an arc of this debut mystery from the author and publisher via NetGalley. My  is voluntary and the opinions expressed are my own. I can't wait for the next installment in the series. ...more",Notes are private!,0,11,1,"Mar 25, 2024","Mar 26, 2024","Mar 17, 2024",,ebook,view (with text),/book/show/181344911-how-to-solve-your-own-murder
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Southern Man        (Penn Cage, #7)","Iles, Greg*",0062824694,9780062824691,0062824694,976        pp,4.43,46,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/58884700-southern-man
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There Are Rivers in the Sky,"Shafak, Elif*",0593801717,9780593801710,0593801717,464        pp,4.48,33,unknown,"Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/202468422-there-are-rivers-in-the-sky
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homecoming,"Morton, Kate*",0063020904,9780063020900,0063020904,560        pp,4.08,"69,102","Apr 04, 2023","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/199144614-homecoming
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,230","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/173754979-james
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beneath a Scarlet Sky,"Sullivan, Mark T.*",1503943372,9781503943377,1503943372,509        pp,4.43,"339,463","May 01, 2017","May 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/32487617-beneath-a-scarlet-sky
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,End of Story,"Finn, A.J.",0062678450,9780062678454,,408        pp,3.15,"6,012","Feb 20, 2024","Feb 20, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The story opens with a woman's body floating in the koi pond of a San Francisco mansion owned by Sebastian Trapp, a well-known mystery novelist. Who iThe story opens with a woman's body floating in the koi pond of a San Francisco mansion owned by Sebastian Trapp, a well-known mystery novelist. Who is she? The story then retreats to six days earlier to see what led to her death. Sebastian himself has been told he has three months left to live by his doctors and wants some of his memories recorded for his family and closest friends. To accomplish this, he has invited a young writer named Nicky Hunter to come stay in the mansion and listen to his stories. She is one of his biggest fans and the two have corresponded for the past five years. And maybe together they can solve the mystery of what happened to Trapp's first wife and son, who disappeared over twenty years ago. This is a Gothic, character-driven psychological thriller and I thought it was quite well done, in a Golden Age of Mysteries style ala Agatha Christie. One plot twist is easy to figure out but Finn has more surprises up his sleeve.I have to say I enjoyed spending some time in San Francisco, one of my favorite places to visit, through the scenes of the story--watching the fog roll in over the Golden Gate Bridge, having lunch in Chinatown, sailing on the bay, cable car rides, exploring many neighborhoods, eating sourdough bread. Good memories! It was also fun to remember the plots of several of the mystery stories quoted in the novel. I may have to spend some time rereading Dame Agatha!...more",Notes are private!,4,18,1,"Mar 10, 2024","Mar 12, 2024","Mar 10, 2024",,Hardcover,view (with text),/book/show/202914347-end-of-story
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2024 on Goodreads,Various,,,,unknown,4.71,279,2024,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,not set,"Mar 10, 2024",,,view,/book/show/195342176-2024-on-goodreads
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Not to Age: The Scientific Approach to Getting Healthier as You Get Older,"Greger, Michael*",1250796334,9781250796332,1250796334,640        pp,4.27,"1,036","Dec 05, 2023","Dec 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read Dr Greger's How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease but found this behemoth just too overwhelmiI read Dr Greger's How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease but found this behemoth just too overwhelming. I find the simpler, the better when it comes to dietary advice. Just eat vegetables, fruit. legumes like beans, lentils and chickpeas, nuts and whole grains, cut down on or eliminate sugars, salt, junk food, saturated fats, meat and dairy. Eat real food! ...more",Notes are private!,0,3,1,"Mar 09, 2024","Mar 09, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/59808041-how-not-to-age
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 21-Day Sugar Detox: Bust Sugar & Carb Cravings Naturally,"Sanfilippo, Diane",1936608111,9781936608119,1936608111,240        pp,4.04,"1,788",2010,"Oct 29, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We have been detoxing from sugar since the beginning of 2024 and, while we didn't follow the program outlined here, we did extend our own program by tWe have been detoxing from sugar since the beginning of 2024 and, while we didn't follow the program outlined here, we did extend our own program by trying many of the recipes and found them to be unusual and delicious. If you are concerned about sugar and processed foods in your diet, I can recommend Sugarless: A 7-Step Plan to Uncover Hidden Sugars, Curb Your Cravings, and Conquer Your Addiction by Nicole Avena to understand what sugars are doing to your metabolic health. ...more",Notes are private!,0,5,1,"Mar 04, 2024","Mar 08, 2024","Mar 04, 2024",,Paperback,view (with text),/book/show/17383029-the-21-day-sugar-detox
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bright Sword,"Grossman, Lev*",0735224048,9780735224049,0735224048,688        pp,4.49,57,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/201750794-the-bright-sword
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Pirate,"Brooks-Dalton, Lily*",1538708272,9781538708279,1538708272,336        pp,4.05,"27,732","Dec 06, 2022","Dec 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/60468332-the-light-pirate
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shades of Mercy        (Porter Beck, #2)","Borgos, Bruce*",1250848105,9781250848109,B0CGSCPH4B,336        pp,4.35,55,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Kindle Edition,view,/book/show/198112036-shades-of-mercy
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There Should Have Been Eight,"Singh, Nalini*",0593549767,9780593549766,0593549767,408        pp,3.51,"3,530","Nov 21, 2023","Nov 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/123004912-there-should-have-been-eight
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Any Other Name,"Picoult, Jodi*",059349721X,9780593497210,059349721X,544        pp,4.29,52,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/203164368-by-any-other-name
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sugarless: A 7-Step Plan to Uncover Hidden Sugars, Curb Your Cravings, and Conquer Your Addiction","Avena, Nicole",1454947802,9781454947806,1454947802,336        pp,3.46,227,unknown,"Dec 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Have you ever said, ""Oh, I have a terrible sweet tooth!"" It just might be a sugar addiction driving that craving. It's been proven that sugar is quiteHave you ever said, ""Oh, I have a terrible sweet tooth!"" It just might be a sugar addiction driving that craving. It's been proven that sugar is quite addictive and is in most every processed food on our grocery shelves. Dr Avena lays down the science behind what sugar does to our bodies and why it's best to avoid sugar as much as possible. She then presents a 7-day plan to conquer our cravings and includes 30 sugar-free recipes which are quite good. ...more",Notes are private!,0,5,1,Mar 2024,"Mar 14, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/152679987-sugarless
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Perfect Couple,"Ware, Ruth*",1668025612,9781668025611,B0CL5G23ZF,416        pp,3.96,577,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Kindle Edition,view,/book/show/199897897-one-perfect-couple
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,753,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/195474144-table-for-two
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nature Wants Us to Be Fat: The Surprising Science Behind Why We Gain Weight and How We Can Prevent--and Reverse--It,"Johnson, Richard J.*",1637740344,9781637740347,1637740344,288        pp,4.29,634,"Feb 01, 2022","Feb 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kind of a goofy title to pick for this important look at obesity but it carries Dr Johnson's idea across, that our human genetics include a 'survival Kind of a goofy title to pick for this important look at obesity but it carries Dr Johnson's idea across, that our human genetics include a 'survival switch' that stores up fat in times of plenty, believing that times of starvation are just around the corner. But with abundant food available for most of us, those lean times never come and the weight piles on. He also lays out the science of why sugars, salt, umami carbs, as well as dehydration, drive the chemical processes that are behind the many metabolic diseases that plague us and how to reverse those effects.He also has three podcasts on YouTube that cover the information in this book, beginning with: https://www.youtube.com/watch?v=gAjC_......more",Notes are private!,0,3,1,"Feb 16, 2024","Feb 18, 2024","Feb 16, 2024",,Hardcover,view (with text),/book/show/59618458-nature-wants-us-to-be-fat
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Camp Zero: A Novel,"Sterling, Michelle Min*",,9798885793278,B0C9L2WDJ2,532        pp,3.22,"16,575","Mar 30, 2023","Oct 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*3.5 stars rounded up. A dystopian novel set 25 years in the future in which the southern US states have become unbearably hot due to climate change a*3.5 stars rounded up. A dystopian novel set 25 years in the future in which the southern US states have become unbearably hot due to climate change and rich entrepreneurs are finding ways to come out on top. One has built a climate-controlled floating island in the sea near Boston. As usual, it is rich people benefitting and poor people doing the mundane dirty work, right? Another project is taking place around Dominion Lake in British Columbia. A famous architect named Meyer is buying up property in the frozen Canadian northwest with dreams of creating Camp Zero, a utopian community. He has hired men he calls ‘Diggers’ to do the work on the building project, managers to oversee them and a group of whores called ‘Blooms’ to keep management happy. There is even a young teacher named Grant for the college Meyer plans to build. For now, Grant will give the Diggers lessons in writing supposedly. (Picture a bunch of unwilling teenagers.)Further north, there is a government installation called White Alice, originally set up during the Cold War as an early warning station to monitor Russian activity. A group of female scientists has been sent there for a two-year stint to conduct various research studies and report back. Supplies are brought in by helicopter. The women get on very well and form a close-knit community.The story is told from three voices: Rose, who is one of the Blooms with an agenda; Grant, the would-be teacher trying to escape the constraints of his wealthy Bostonian family; and for the women of White Alice, the author switches to first person plural, which seems quite appropriate since they are such a cohesive community. Climate change and technology play big roles in the story. The wealthy entrepreneur who created the Floating City in Boston earned his money with his creation called Flick. It is implanted behind the ear of each person at birth and connects them to the internet effortlessly where their likes and experiences can be tracked and their opinions influenced. It’s interesting how Michelle Min Sterling weaves all these threads together and how it all evolves as the structures of normal society becomes somewhat useless.There are very strong feminist undertones to the story, making for some interesting plot twists. So much of the story is about relationships and forging your own future during challenging times: relationships between mother and daughter, parents and child, lovers, clients, workers. The author has created several interesting scenarios for the near-future, something to think about, and leaves the reader with HOPE....more",Notes are private!,0,23,1,"Feb 25, 2024","Feb 26, 2024","Feb 06, 2024",,Library Binding,view (with text),/book/show/181541294-camp-zero
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cast a Cold Eye        (Jimmy Dreghorn Mystery, #2)","Morrison, Robbie",0593723333,9780593723333,0593723333,448        pp,4.43,247,unknown,"Apr 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**Happy Publication Day!**The second book in the inspector Jimmy Dreghorn series, set in Glasgow, Scotland, in 1933, is every bit as gritty as the fir**Happy Publication Day!**The second book in the inspector Jimmy Dreghorn series, set in Glasgow, Scotland, in 1933, is every bit as gritty as the first book. This time around, Dreghorn and his partner, 'Bonnie' Archie McDaid, are investigating a series of murders, assassinations apparently, of men who had served in Ireland in the Black and Tans years ago. Dreghorn is an interesting character: 35 years old, a pretty heavy drinker and smoker, haunted by his experiences and actions in WWI, unlucky in love, a fallen-away Catholic who is serving in a mostly Protestant police force. Although he's capable of just about any violence, he's also quite protective of the innocent, women and especially children. His partner Archie is quite a piece of work too. He's huge in size, intimidating and capable of violence himself but a family man and a softy at heart who often tries to act as Jimmy's conscience. The author Morrison really immerses the reader in the mean streets of Glasgow. Things are hard for most everyone during the Depression years but the gangs and violence make life that much worse. This story also brings in the Irish history, struggles between the Catholics, Protestants, and English, much of which was new to me. Do you remember Irish sweepstakes tickets? ""If You're Not In, You Can't Win."" Big jackpot but illegal gambling. Supposedly a fundraiser for a good cause--to help build hospitals. If you enjoy police procedurals, I highly recommend this series for its totally different take and setting. I've mentioned the violence in this story but really there is a lot of laugh-out-loud humor too. The relationship between these two partners is close and special. In general, the secondary characters are also quite well depicted, whether they be the criminals or the other polis. A good look at human nature in all its aspects. And then there's the language: their boss Sillitoe, an Englishman, 'enjoyed applying linguistic deduction to the abounding Scots vernacular and seemed to revel in the rough-hewn exoticness of the words.' I admit I scratched my head over the frequent use of the adjective 'gallus' though. Och! Many thanks to the author and publisher for providing me with an arc of this new thriller via NetGalley. My  is voluntary and the opinions expressed are my own....more",Notes are private!,0,9,1,"Apr 04, 2024","Apr 06, 2024","Feb 06, 2024",,Paperback,view (with text),/book/show/186872484-cast-a-cold-eye
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edge of the Grave        (Jimmy Dreghorn Mystery #1),"Morrison, Robbie",,,0593723317,432        pp,4.21,"1,402","Mar 04, 2021","Oct 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My husband and I both enjoyed this Scottish police procedural set in the early 1930s. It has a delightful touch of the gangster noir of the DepressionMy husband and I both enjoyed this Scottish police procedural set in the early 1930s. It has a delightful touch of the gangster noir of the Depression era and draws heavily on the men's WWI experiences as Detective Jimmy Dreghorn and his giant of a partner, 'Bonnie' Archibald McDaid, investigate the murder of the son-in-law of one of Glasgow's wealthiest shipbuilders. The story takes us to the grittiest mean streets of Glasgow, controlled by razor-wielding gangs, as well as into the mansions and board rooms of the uber wealthy, where things might be just as dirty but are dressed up in finer clothes....more",Notes are private!,0,14,1,"Mar 04, 2024","Mar 07, 2024","Feb 06, 2024",,Paperback,view (with text),/book/show/124028453-edge-of-the-grave
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Murder Most French        (American In Paris Mystery, #2)","Cambridge, Colleen*",1496739620,9781496739629,1496739620,272        pp,4.28,78,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/194477948-a-murder-most-french
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swift River,"Chambers, Essie J.*",1668027917,9781668027912,1668027917,304        pp,4.12,99,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/199798557-swift-river
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Haters,"Harding, Robyn*",1538766124,9781538766125,B0CMQDJSDP,352        pp,4.25,68,"Jul 09, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/201763182-the-haters
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Village in the Dark        (Cara Kennedy, #2)","Yamashita, Iris*",0593336712,9780593336717,B0C56R4Y87,280        pp,3.67,643,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/154496332-village-in-the-dark
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Drop Acid: The Surprising New Science of Uric Acid―The Key to Losing Weight, Controlling Blood Sugar, and Achieving Extraordinary Health","Perlmutter, David",0316315397,9780316315395,0316315397,336        pp,4.02,907,"Feb 15, 2022","Feb 15, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Catchy title, right? No, not LSD but uric acid levels. This is good book for those who are facing medical problems because of their high uric acids leCatchy title, right? No, not LSD but uric acid levels. This is good book for those who are facing medical problems because of their high uric acids levels--gout, kidney stones, etc. That's usually the first sign that something is going wrong with how your body processes uric acid. Dr Perlmutter explains the science, what foods cause high uric acid levels and has created the LUV diet with recipes to change what you eat. ...more",Notes are private!,0,6,1,"Feb 02, 2024","Feb 06, 2024","Feb 02, 2024",,Hardcover,view (with text),/book/show/57505860-drop-acid
