,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kelly_Hunsaker_reads's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Goodbye Christopher Robin: A. A. Milne and the Making of Winnie-the-Pooh,"Thwaite, Ann",1250190908,9781250190901,1250190908,254        pp,3.41,599,unknown,"Oct 10, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,Apr 2024,"Apr 01, 2024",,Paperback,view,/book/show/35969835-goodbye-christopher-robin
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Way to Bury Your Husband,"Casale, Alexia*",0593654609,9780593654606,0593654609,400        pp,3.87,836,"Mar 14, 2024","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book is funny. You will laugh out loud.,Notes are private!,2,2,1,Apr 2024,Apr 2024,"Apr 01, 2024",,Paperback,view (with text),/book/show/179548436-the-best-way-to-bury-your-husband
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Ugly and Wonderful Things,"Greenwood, Bryn*",,,,432        pp,4.00,"164,668","Aug 09, 2016","Aug 09, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024","Mar 29, 2024","Mar 30, 2024",,Hardcover,view,/book/show/26114135-all-the-ugly-and-wonderful-things
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adversary,"Crummey, Michael*",0385550324,9780385550321,0385550324,336        pp,3.91,"1,120","Sep 26, 2023","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024","Mar 25, 2024","Mar 23, 2024",,Hardcover,view,/book/show/150247447-the-adversary
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Divorcées,"Beaird, Rowan*",,9781250896582,1250896584,272        pp,3.29,"1,023","Mar 19, 2024","Mar 19, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024","Mar 23, 2024","Mar 23, 2024",,Hardcover,view,/book/show/127306119-the-divorc-es
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dredge,"Flaherty, Brendan*",0802162568,9780802162564,0802162568,240        pp,3.85,131,"Mar 05, 2024","Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Mar 22, 2024","Mar 22, 2024",,Hardcover,view,/book/show/150945893-the-dredge
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Many Daughters of Afong Moy,"Ford, Jamie*",1982158212,9781982158217,1982158212,362        pp,3.88,"23,912","Aug 02, 2022","Aug 02, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2024","Mar 20, 2024","Mar 19, 2024",,Hardcover,view,/book/show/59348307-the-many-daughters-of-afong-moy
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Borrower,"Makkai, Rebecca*",0670022810,9780670022816,0670022810,324        pp,3.53,"14,258","Jun 09, 2011","Jun 09, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024","Mar 19, 2024","Mar 18, 2024",,Hardcover,view,/book/show/9902278-the-borrower
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything and Nothing at Once: A Black Man's Reimagined Soundtrack for the Future,"Leon, Joel",1250887100,9781250887108,1250887100,304        pp,4.83,6,unknown,"Jun 04, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am a white woman, so this book is difficult to ... I cannot speak to what it means to be a Black man in America. My only clue comes from booksI am a white woman, so this book is difficult to ... I cannot speak to what it means to be a Black man in America. My only clue comes from books like this, which share insight with me. The only thing I can do is be open to its lessons.I found the book emotional, intelligent, funny, heartwarming, frustrating... It is filled with anger, love, sarcasm, pain, humor and all of the human emotions that make us who we are. Its pages are filled with life. It made me think, and allowed me a glimmer of insight into the author's lived experiences. He was forthright and vulnerable, and that made it a wonderful read.I am grateful to the publisher and author for this #gifted copy of a book that I will recommend often....more",Notes are private!,0,1,1,"Mar 18, 2024","Mar 18, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/198902274-everything-and-nothing-at-once
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,764","Jan 23, 2024","Jan 23, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024","Mar 18, 2024","Mar 18, 2024",,Hardcover,view,/book/show/139400713-martyr
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death of a Spy        (A Hamish Macbeth Mystery, #36)","Beaton, M.C.",1538743302,9781538743300,1538743302,240        pp,3.94,686,"Feb 13, 2024","Feb 13, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024","Mar 17, 2024","Mar 17, 2024",,Hardcover,view,/book/show/173404035-death-of-a-spy
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Expectant Detectives        (The Expectant Detectives, #1)","Ailes, Kat",1250322707,9781250322708,,384        pp,3.75,"1,939","Jun 08, 2023","Jan 09, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024","Mar 17, 2024","Mar 17, 2024",,Hardcover,view,/book/show/126919349-the-expectant-detectives
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Still See You Everywhere        (Frankie Elkin, #3)","Gardner, Lisa*",1538765063,9781538765067,1538765063,416        pp,4.11,"5,338","Mar 12, 2024","Mar 12, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I rarely read series out of order, even if they can work as a standalone. I was sent this book by the publisher, and picked it up without paying attenI rarely read series out of order, even if they can work as a standalone. I was sent this book by the publisher, and picked it up without paying attention... so I will need to go back and pick up the first two books.Lisa Gardner's main character, Frankie Elkin, is one I liked very much. She is completely imperfect, flawed and very real. She carries around guilt and scars; is a tough and resilient survivor of a difficult past, she now spends her life finding missing persons. As this book opens she is talking to ""the beautiful butcher"" - a woman on death row for killing 18 men and feeding their bodies to pigs. Before she is put to death she is deperate to find her younger sister who disappeared more than a decade ago. This killer shows no remorse. In fact, she seems to be proud of her crimes, but her desire to find her sister seems genuine.Frankie must insinuate herself into a remote eco-lodge in Hawaii, posing as a new staff member, and try to locate the missing woman to bring her home. Unfortunately soon after her arrival the remnants of a woman's body are found, and all the possible scenarios are dangerous. And, to make it all more complicated, threats are being made against all of the employees, but is one of them the culprit?I look forward to getting to know Frankie better, and watching her journey to a place where she might forgive herself and find some internal peace.Thank you @GrandCentralPub for the #gifted finished copy!...more",Notes are private!,0,0,1,"Mar 15, 2024","Mar 16, 2024","Mar 15, 2024",,Hardcover,view (with text),/book/show/166395806-still-see-you-everywhere
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Couple in 5B,"Unger, Lisa*",0778333345,9780778333340,0778333345,382        pp,3.68,"9,859","Mar 05, 2024","Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024","Mar 14, 2024","Mar 14, 2024",,Hardcover,view,/book/show/128007059-the-new-couple-in-5b
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piglet,"Hazell, Lottie",125028984X,9781250289841,125028984X,320        pp,3.60,"5,820","Feb 27, 2024","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Piglet by Lottie Hazell is a strong debut that examines the life of one woman in the 98 days leading up to her wedding. It is a unique character portrPiglet by Lottie Hazell is a strong debut that examines the life of one woman in the 98 days leading up to her wedding. It is a unique character portrait told with intimate descriptions of food, and internal dialogue. This is a woman, called Piglet, who has recreated her life, buying a new home in one of the best neighborhoods, working in a job as a cookbook editor, and getting engaged to a man named Kit. Everything is perfect... or is it?Unfortunately, 13 days before the wedding her fiancé tells her something that throws her. She is devastated, but remains silent, continuing to do all the work required to pull of the wedding. Piglet is in pain, and nobody seems to notice, except the reader. She is watching her new life fall apart, which also sinks her deep into her memories, dwelling on the things that hurt. All the while she continues to pretend that all is well.The descriptions of food were almost shocking. They were so vivid that you were often smelling and tasting the food. At times it was repulsive. These passages reminded me of moments in Patrick Suskind's book, Perfume. He did something similar with his passages about the sense of smell. That book was far darker, but similarly transportative, dominated by one of the five senses and deeply internal and intimate.This book was sent to me by the publisher, @HenryHoltBooks -- the  is my own opinion.4.5 stars...more",Notes are private!,0,0,1,"Mar 11, 2024","Mar 12, 2024","Mar 11, 2024",,Hardcover,view (with text),/book/show/127282554-piglet
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death and Fromage        (Follet Valley Mystery, #2)","Moore, Ian*",1728270588,9781728270586,1728270588,320        pp,3.89,"1,994","Jul 07, 2022","Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Mar 10, 2024","Mar 10, 2024",,Paperback,view,/book/show/157020113-death-and-fromage
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crime and Cherry Pits        (Farm to Table Mysteries #4),"Flower, Amanda*",1728273064,9781728273068,B0C3115J54,311        pp,4.19,301,"Feb 24, 2024","Feb 20, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Mar 09, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/136281165-crime-and-cherry-pits
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unstuck,"Dee, Barbara*",1534489886,9781534489882,,320        pp,4.17,181,unknown,"Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024","Mar 06, 2024","Mar 07, 2024",,ebook,view,/book/show/176529483-unstuck
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fierce Ambition: The Life and Legend of War Correspondent Maggie Higgins,"Conant, Jennet",,9780393882124,0393882128,416        pp,4.11,161,unknown,"Oct 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024","Mar 06, 2024","Mar 07, 2024",,Hardcover,view,/book/show/77265001-fierce-ambition
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brotherless Night,"Ganeshananthan, V.V.*",0812997158,9780812997156,0812997158,348        pp,4.44,"2,027","Jan 03, 2023","Jan 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024","Mar 07, 2024","Mar 07, 2024",,Hardcover,view,/book/show/60324341-brotherless-night
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Western Lane,"Maroo, Chetna",0374607494,9780374607494,0374607494,160        pp,3.53,"5,934","Feb 07, 2023","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Chetna Maroo’s debut novel Western Lane appears on the Women's Prize Longlist, and that is the only reason I heard about it. However, when I learned iChetna Maroo’s debut novel Western Lane appears on the Women's Prize Longlist, and that is the only reason I heard about it. However, when I learned it was a book about the loss of a mother, and grief, I was all in. This is a literary theme that I love. Unfortunately, the books isn't as impactful as I hoped. I found it a bit too subtle. None of the depth of grief is discussed in any real way. It is all on the surface. We do not feel the devastating sadness, the anger, or confusion. This family doesnt talk to one another, or yell at each other, or cry themselves to sleep. It is all barely touched, and I wanted so much more. I think if she had added 100 pages, and truly dug into the emotion of what happened the book would be vastly richer....more",Notes are private!,0,3,1,"Mar 05, 2024","Mar 05, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/60784812-western-lane
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dinner at the Homesick Restaurant,"Tyler, Anne*",0449911594,9780449911594,0449911594,303        pp,3.81,"31,149","Mar 12, 1982","Aug 27, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 02, 2024","Mar 03, 2024","Mar 04, 2024",,Paperback,view,/book/show/77699.Dinner_at_the_Homesick_Restaurant
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,328","Jan 23, 2024","Jan 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 04, 2024","Mar 05, 2024","Mar 04, 2024",,Hardcover,view,/book/show/127282881-family-family
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What We Talk About When We Talk About Love,"Carver, Raymond",0099530325,9780099530329,0099530325,134        pp,4.05,"66,739","Apr 20, 1981","Jan 01, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 03, 2024","Mar 03, 2024","Mar 03, 2024",,Paperback,view,/book/show/7130670-what-we-talk-about-when-we-talk-about-love
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sundial,"Jackson, Shirley",0141391960,9780141391960,0141391960,222        pp,3.80,"6,130",1958,"Mar 27, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 04, 2024","Mar 03, 2024",,Paperback,view,/book/show/17349743-the-sundial
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brooklyn,"Brown, Tracy*",1250834953,9781250834959,1250834953,320        pp,4.10,497,unknown,"Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brooklyn by Tracy Brown was my first book by this author, and I was sad to learn that she passed away at the young age of 49. The book was emotional, Brooklyn by Tracy Brown was my first book by this author, and I was sad to learn that she passed away at the young age of 49. The book was emotional, and captured my attention from the first pages.We meet the main character, Brooklyn, when she is a young girl, living in her parents' home. They are far too strict, and she lives a sheltered life, lacking understanding about the outside world. When she experiences a horrible, life-changing event, her mother fails her by not demonstrating unfiltered love and acceptance. That moment colors the remainder of Brooklyn's life.Unfortunately neither she or her brother are perfect, and both have secrets that push their parents' views. Brooklyn is younger than she should be, which comes out as impulsivity and immaturity. Later, when she falls in love, she chooses a person who is all wrong for her and that leads to more disaster, and a firestorm in her home. Brooklyn is angry and hurt by her mother's failures, and takes it out on her brother. In the end, the family implodes and all of them experience significant trauma.None of the characters are perfect. They are messy, self-absorbed, judgmental. They don't always act out of love. They are very real, and because of that I found myself very attached to all of them. I cared about what they went through. I found myself angry with each of them at different moments. I wanted to sit them down and tell them they were acting like idiots.I received a finished paperback from the publisher. Thank you. The  reflects my honest opinion....more",Notes are private!,0,0,1,"Mar 02, 2024","Mar 02, 2024","Mar 02, 2024",,Paperback,view (with text),/book/show/127281124-brooklyn
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution,"McDermott, Alice",0374610487,9780374610487,0374610487,324        pp,3.88,"12,789","Oct 31, 2023","Oct 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Mar 2024,Mar 2024,"Mar 01, 2024",,Hardcover,view,/book/show/101404407-absolution
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Girls Revolt: How the Women of Newsweek Sued their Bosses and Changed the Workplace,"Povich, Lynn",161039173X,9781610391733,161039173X,288        pp,3.67,"3,760","Sep 10, 2012","Sep 10, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Good Girls Revolt by Lynn Povich tells an important story about women who demanded what was right after they were harrassed and held back in the wThe Good Girls Revolt by Lynn Povich tells an important story about women who demanded what was right after they were harrassed and held back in the workplace. These women created a better workplace environment for the female journalists who followed them. They were smart, educated, and brave women. They broke through a ceiling, and gave all the female journalists that followed them a chance for progress.Povich captured my attention immediately, when she described the career stagnation experienced by several women working for Newsweek in the 1960s. The reader gets to know the women, and experience all the ways they experience the personal torment. We learn about their career goals, but also their personal stories. We find ourselves thinking of them as our friends. We become embroiled in the events, and hoping for change.Their history feels both shocking and familiar for any woman reading it. The book demonstrates how much progress has been made, and also reminds us of how far we need to go.When they won their lawsuit, we expect change. Unfortunately for most of them the fight continued and they never expereinced any tangible benefits to their careers. Some were finally allowed to write, instead of being exiled to the role of fact checking for the male writers, however now they were forced to write fluff stories. The men continued to progress through the ranks, and received all the best stories, while the women were forced to write about arts and culture. It took years before any women began to see the benefits of the lawsuit, and for the most part these were not the women who brought the suit. These were the next generation of female journalists.The book presents a story of change, of strength, of bravery, of women who deserve to be known. Their stories are important.Thank you to the editor @publicaffairsbooks for the #Gifted copy! The  reflects my honest opinion....more",Notes are private!,0,1,1,Mar 2024,"Mar 02, 2024","Mar 01, 2024",,Hardcover,view (with text),/book/show/13587226-the-good-girls-revolt
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flag and the Cross: White Christian Nationalism and the Threat to American Democracy,"Gorski, Philip S.",0197618685,9780197618684,0197618685,176        pp,4.20,"1,021",2022,"Apr 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I live in a town that is dealing with the takeover by a charismatic religious despot, and Christian Nationalist. They have taken over all of the politI live in a town that is dealing with the takeover by a charismatic religious despot, and Christian Nationalist. They have taken over all of the political seats, banned books, created a hostile environment, and shown overwhelming arrogance and entitlement. The place I have called home for 20+ years no longer feels welcoming, loving and open. It is now a place that I long to leave.Last month some of us put together the money, brought in Dr Samuel Perry for an open discussion on the differences between Christian and Christian Nationalist. The talk was fantastic, and I read this book to prepare for the talk. It is excellent, approachable, and important.Don't think it won't affect you. It very well may....more",Notes are private!,0,1,1,Mar 2024,Mar 2024,"Mar 01, 2024",,Hardcover,view (with text),/book/show/58783229-the-flag-and-the-cross
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Violent Take It by Force: The Christian Movement That Is Threatening Our Democracy,"Taylor, Matthew D.",1506497780,9781506497785,1506497780,304        pp,4.00,1,unknown,"Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/203893153-the-violent-take-it-by-force
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prima Facie,"Miller, Suzie",1250292204,9781250292209,,288        pp,4.49,"4,592",2018,"Jan 30, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 28, 2024",Mar 2024,"Feb 27, 2024",,Hardcover,view,/book/show/133287123-prima-facie
