,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,sheridan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,553","Dec 06, 2015","Sep 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/44421460-before-the-coffee-gets-cold
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Mist and Fury        (A Court of Thorns and Roses, #2)","Maas, Sarah J.*",1635575583,9781635575583,,626        pp,4.65,"1,865,629","May 03, 2016","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,truly humbling reread to kick off the new year…still hits unfortunately,Notes are private!,0,0,1,"Jan 10, 2024","Jan 12, 2024","Jan 12, 2024",,Paperback,view (with text),/book/show/50659468-a-court-of-mist-and-fury
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,745","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/60701439-big-swiss
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,SPQR: A History of Ancient Rome,"Beard, Mary",1631492225,9781631492228,1631492225,606        pp,4.05,"63,768","Oct 19, 2015","Sep 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/28789711-spqr
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster Dade Explores the Cosmos,"Jenkins, Nash*",1419764764,9781419764769,1419764764,544        pp,3.91,"1,727","May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/61783812-foster-dade-explores-the-cosmos
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There Are More Things,"Fowler, Yara Rodrigues",0349726744,9780349726748,0349726744,452        pp,4.07,961,unknown,"Apr 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/59666036-there-are-more-things
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Gods,"Gaiman, Neil*",,,,635        pp,4.11,"925,169","Jun 19, 2001","Jun 21, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Kindle Edition,view,/book/show/30165203-american-gods
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emma,"Austen, Jane",,,,474        pp,4.05,"886,143","Dec 23, 1815","May 06, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 10, 2024",not set,"Dec 17, 2023",,Paperback,view,/book/show/6969.Emma
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridge of Clay,"Zusak, Markus*",0385614292,9780385614290,0385614292,464        pp,3.80,"41,554","Oct 08, 2018","Oct 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Hardcover,view,/book/show/7767276-bridge-of-clay
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Violent Delights,"Nemerever, Micah*",0062963635,9780062963635,0062963635,460        pp,3.99,"17,685","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Hardcover,view,/book/show/49203397-these-violent-delights
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"62,143","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Paperback,view,/book/show/96177629-good-material
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal People,"Rooney, Sally*",1984822179,9781984822178,1984822179,273        pp,3.81,"1,385,410","Aug 28, 2018","Apr 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,like i get why people don’t like this book pretty much every critique is valid and supported and yet…,Notes are private!,0,0,1,Dec 2023,"Jan 03, 2024","Dec 01, 2023",,Hardcover,view (with text),/book/show/41057294-normal-people
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,505","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2023",,Kindle Edition,view,/book/show/158875813-prophet-song
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,040","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2023",,Hardcover,view,/book/show/62039166-the-bee-sting
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goldfinch,"Tartt, Donna",0316055433,9780316055437,0316055433,771        pp,3.94,"925,152","Sep 23, 2013","Oct 22, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/17333223-the-goldfinch
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Iliad,Homer,1324001801,9781324001805,1324001801,848        pp,3.91,"454,845",-660,"Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Hardcover,view,/book/show/77265004-the-iliad
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Wives Under the Sea,"Armfield, Julia",152901722X,9781529017229,152901722X,240        pp,3.79,"65,396","Mar 03, 2022","Mar 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2023",,Paperback,view,/book/show/58659343-our-wives-under-the-sea
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Educated,"Westover, Tara*",,,,352        pp,4.47,"1,525,638","Feb 20, 2018","Feb 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 14, 2023",,Hardcover,view,/book/show/35133922-educated
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where I Was From,"Didion, Joan",,,,240        pp,3.87,"5,430",Sep 2003,"Sep 14, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,bittersweet read after a much needed return homeone of the easiest 5 stars i’ve ever given,Notes are private!,0,0,1,"Mar 19, 2024","Mar 30, 2024","Sep 12, 2023",,Paperback,view (with text),/book/show/423.Where_I_Was_From
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Stones Make a Wall: The Story of Archaeology,"Cline, Eric H.*",0691166404,9780691166407,0691166404,480        pp,4.22,578,2017,"Mar 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,why oh why must archaeology be the worst paying job in the history of jobsthis is my professor’s book he’s a dork and also the coolest,Notes are private!,0,0,1,"Sep 12, 2023","Dec 18, 2023","Sep 12, 2023",,Hardcover,view (with text),/book/show/31951507-three-stones-make-a-wall
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,,B0B69VVD6C,435        pp,3.90,"719,009","Aug 23, 2022","Nov 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"she had me… and then she lost mecomments ready set GO:- super cute, i SPED through this- i’m sorry no man’s brain works like that i could not take natshe had me… and then she lost mecomments ready set GO:- super cute, i SPED through this- i’m sorry no man’s brain works like that i could not take nathan seriously- the author is from manchester and she’s writing about fake ucla??- what university performs hamilton. small detail but it STUCK- whyyyy pregnancy epilogue whyyyyyyyyyy...more",Notes are private!,0,2,1,"Sep 10, 2023","Sep 12, 2023","Sep 12, 2023",,Kindle Edition,view (with text),/book/show/61767292-icebreaker
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Second Sex,"Beauvoir, Simone de",0679724516,9780679724513,0679724516,746        pp,4.17,"41,621",1949,"Dec 17, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2023",,Paperback,view,/book/show/457264.The_Second_Sex
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,189","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 11, 2023",,Hardcover,view,/book/show/71872930-north-woods
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Room of One’s Own,"Woolf, Virginia",,,0141183535,112        pp,4.21,"207,305",1903,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2023",,Paperback,view,/book/show/18521.A_Room_of_One_s_Own
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Days at the Morisaki Bookshop        (Days at the Morisaki Bookshop, #1)","Yagisawa, Satoshi",0063278677,9780063278677,0063278677,150        pp,3.66,"57,329","Sep 07, 2010","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2023",,Paperback,view,/book/show/62047992-days-at-the-morisaki-bookshop
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,596","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Kindle Edition,view,/book/show/61771675-hello-beautiful
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Human Acts,Han Kang,1101906723,9781101906729,1101906723,218        pp,4.22,"32,056","May 19, 2014","Jan 17, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Hardcover,view,/book/show/30091914-human-acts
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Poets Society,"Kleinbaum, N.H.",0553282980,9780553282986,0553282980,166        pp,4.18,"111,399",1988,"Aug 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Paperback,view,/book/show/67238.Dead_Poets_Society
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tenth Muse,"Chung, Catherine*",006257406X,9780062574060,006257406X,291        pp,4.03,"6,082","Jun 06, 2019","Jun 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,disappointing unfortunately— the math was very cool and was honestly what got me through the book but the writing itself felt unpolished and unsatisfydisappointing unfortunately— the math was very cool and was honestly what got me through the book but the writing itself felt unpolished and unsatisfying.i do appreciate the complexity of katherine as a character and all her flaws...more,Notes are private!,0,0,1,"Feb 19, 2024","Feb 28, 2024","Aug 31, 2023",,Hardcover,view (with text),/book/show/41952185-the-tenth-muse
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lying Life of Adults,"Ferrante, Elena",1609455916,9781609455910,1609455916,336        pp,3.66,"70,647","Nov 07, 2019","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2023",,Hardcover,view,/book/show/48616787-the-lying-life-of-adults
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anthropocene Reviewed,"Green, John*",0525555218,9780525555216,0525555218,293        pp,4.37,"124,119","May 18, 2021","May 18, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,i can’t express how much this book means to meeverything is anthropology and anthropology is everything… no i won’t explain (i can’t)john says we are i can’t express how much this book means to meeverything is anthropology and anthropology is everything… no i won’t explain (i can’t)john says we are “earth loving earth” and i believe him thank you and goodnight...more,Notes are private!,0,0,1,"Mar 30, 2024","Apr 09, 2024","Aug 14, 2023",,Hardcover,view (with text),/book/show/55145261-the-anthropocene-reviewed
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Magical Thinking,"Didion, Joan",1400078431,9781400078431,1400078431,227        pp,3.93,"242,902","Sep 01, 2005","Feb 13, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,i used a band-aid as a book mark for this and looking back it seems very fittingdon’t think i really knew what i was getting myself into when i startei used a band-aid as a book mark for this and looking back it seems very fittingdon’t think i really knew what i was getting myself into when i started this but god it was so good...more,Notes are private!,0,2,1,"Aug 10, 2023","Sep 12, 2023","Aug 10, 2023",,Paperback,view (with text),/book/show/7815.The_Year_of_Magical_Thinking
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Raven Boys        (The Raven Cycle, #1)","Stiefvater, Maggie*",0545424925,9780545424929,0545424925,409        pp,4.05,"367,457","Sep 18, 2012","Sep 18, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,i have been hooked. she got me. this is like all the best parts of ya fiction put together but like in a more interesting and ~slightly~ more mature wi have been hooked. she got me. this is like all the best parts of ya fiction put together but like in a more interesting and ~slightly~ more mature way.she also does a WONDERFUL job of making them all read as really really attractive characters....more,Notes are private!,0,2,1,"Aug 02, 2023","Aug 06, 2023","Aug 06, 2023",,Hardcover,view (with text),/book/show/17675462-the-raven-boys
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",,,,216        pp,4.11,"252,647","Jun 01, 1970","Sep 06, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 05, 2023",,Paperback,view,/book/show/11337.The_Bluest_Eye
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red Rising        (Red Rising Saga, #1)","Brown, Pierce*",1444758977,9781444758979,1444758977,382        pp,4.27,"433,131","Jan 28, 2014","Jan 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2023",,Hardcover,view,/book/show/18723009-red-rising
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Count of Monte Cristo,"Dumas, Alexandre",,,B07B69B1N6,612        pp,4.30,"913,618","Aug 28, 1844","Apr 22, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2023",,Kindle Edition,view,/book/show/22303593-the-count-of-monte-cristo
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breakfast at Tiffany's,"Capote, Truman",0241951453,9780241951453,0241951453,158        pp,3.85,"264,720","Oct 28, 1958","Apr 07, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,i read this in one shift. i am SO dedicated to my job.loooved all of holly’s dialogue i read the whole thing in a super over-the-top transatlantic acci read this in one shift. i am SO dedicated to my job.loooved all of holly’s dialogue i read the whole thing in a super over-the-top transatlantic accent....more,Notes are private!,0,5,1,"Jul 29, 2023","Jul 29, 2023","Jul 29, 2023",,Mass Market Paperback,view (with text),/book/show/8285324-breakfast-at-tiffany-s
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,East of Eden,"Steinbeck, John",0142000655,9780142000656,0142000655,601        pp,4.41,"538,895",1952,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 24, 2023",,Paperback,view,/book/show/4406.East_of_Eden
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cat’s Cradle,"Vonnegut, Kurt, Jr.",0140285601,9780140285604,0140285601,179        pp,4.16,"402,892",1963,1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 23, 2023",,Paperback,view,/book/show/135479.Cat_s_Cradle
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Neuromancer        (Sprawl, #1)","Gibson, William",,,,278        pp,3.90,"326,928",1984,"Jul 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/888628.Neuromancer
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memoirs of a Geisha,"Golden, Arthur",1400096898,9781400096893,1400096898,503        pp,4.15,"2,000,910",1997,"Nov 22, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i’m having a hard time rating this because on the one hand, i was ENTHRALLED for like two thirds of the book. on the other hand… it is completely ficti’m having a hard time rating this because on the one hand, i was ENTHRALLED for like two thirds of the book. on the other hand… it is completely fictional and written by a white man…i don’t know enough about geisha culture to know how accurate the portrayal is but it’s not exactly a positive one and that kind of weirds me out3.5...more",Notes are private!,0,0,1,"Jul 20, 2023","Jul 22, 2023","Jul 20, 2023",,Mass Market Paperback,view (with text),/book/show/929.Memoirs_of_a_Geisha
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Buried Giant,"Ishiguro, Kazuo*",030727103X,9780307271037,030727103X,317        pp,3.57,"105,192","Mar 03, 2015",Mar 2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"last chapter made all the confusion worth it, i loved each and every one of these characters and all i want is for dr. rainof to dissect them for me",Notes are private!,0,2,1,"Mar 04, 2024","Mar 15, 2024","Jul 20, 2023",,Hardcover,view (with text),/book/show/22522805-the-buried-giant
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There There,"Orange, Tommy*",,,,294        pp,3.98,"181,611","Jun 05, 2018","Jun 05, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 15, 2023","Jul 17, 2023","Jul 15, 2023",,Hardcover,view,/book/show/36692478-there-there
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,763",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Philosopher’s Stone        (Harry Potter, #1)","Rowling, J.K.",,,,223        pp,4.47,"10,052,505","Jun 26, 1997","Jun 30, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,prepare to be SICK of me,Notes are private!,0,0,1,"Jul 12, 2023","Jul 12, 2023","Jul 12, 2023",,Paperback,view (with text),/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Starless Sea,"Morgenstern, Erin*",038554121X,9780385541213,038554121X,498        pp,3.86,"203,428","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2023",,Hardcover,view,/book/show/43575115-the-starless-sea
