,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Chana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Other Wes Moore: One Name, Two Fates","Moore, Wes",0385528191,9780385528191,0385528191,233        pp,3.87,"51,710","Apr 27, 2010","Apr 27, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked the concept of the book, that two different Wes Moores grew up a few blocks away from each other in inner city Baltimore; ""one grew up to be aI liked the concept of the book, that two different Wes Moores grew up a few blocks away from each other in inner city Baltimore; ""one grew up to be a Rhodes Scholar, decorated veteran, White House Fellow, and a business leader, while the other ended up a convicted murderer serving a life sentence"" Taken directly from the back cover by the way, here is more from the back cover, ""Both grew up fatherless in similar Baltimore neighborhoods and had difficult childhoods, both hung out on street corners with their crews, both ran into trouble with the police."" So how come they turned out so different? That is the question that Wes Moore, the author, is trying to answer as he feels his story could have been the other Wes Moore's story and vice versa. He spends quite a bit of time visiting the other Wes Moore in jail and they share and compare their lives. Even though there are many similarities between their lives I feel like there are some significant differences. Wes the author, left Baltimore with his mother and siblings when he was still an adolescent boy. They went to live in the Bronx with his grandparents. Wes's father had lived with his family until he passed away from a sudden illness when Wes was three. Wes's parents and grandparents were all college educated. His grandfather was a Presbyterian minister and his grandmother was a school teacher. They owned their own home in the Bronx. The Bronx wasn't much better than inner city Baltimore but Wes had a great deal of family support. His mother put him in a white school outside of the Bronx which created quite a lot of problems for young Wes as he didn't fit into the neighborhood because of his school and he didn't fit into his school because of his skin color and his neighborhood. Still, it was a different experience than always being in his neighborhood and never experiencing anything different. Also his extended family were close and they visited Jamaica when he was a child (quite a few times I think). When he was getting into trouble his family made the difficult and expensive decision to send him to military school which changed his future in a huge way. He became a leader of men and has been on a straight path ever since from what I understand. The Wes Moore who ended up a convict never left Baltimore, his mother had wanted to go to college but when the Pell grants were stopped she didn't have the money to go. His father was never part of his life. His older brother became a feared drug dealer in the neighborhood and Wes admired him greatly. Wes, in his turn became a drug dealer although never a drug consumer. He had good organizational and leadership skills and the money from dealing and running a crew was a lot of money. He fathered four children with two different women by a very early age, 20? His second woman was a drug addict and he could see how destructive it was to someone he loved. He wanted out of the drug trade so he went through the Job Corp program. He trained as a carpenter and did very, very well. But afterwards, after a year of working minimum wage jobs and trying to support his four children and their mothers and his own mother, eventually the pressure was too much and he fell back into old ways. This was how he came to be part of a robbery with his brother and two other men. This robbery resulted in the death of a policeman. Life in jail was inevitable for both brothers.So, the neighborhood and culture has a huge effect on the children but so does family and education. No question in my mind that both mothers tried their best and loved their children fiercely. I appreciate this book for furthering my education and helping me to understand cultural differences. ...more",Notes are private!,0,2,1,"Oct 09, 2023","Oct 15, 2023","Oct 09, 2023",,Hardcover,view (with text),/book/show/7099273-the-other-wes-moore
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orchardist,"Coplin, Amanda",006218850X,9780062188502,006218850X,426        pp,3.79,"46,299","Aug 21, 2012","Aug 21, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 03, 2023",,Hardcover,view,/book/show/13540215-the-orchardist
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magician's Tale,"Hunt, David",0425164829,9780425164822,0425164829,401        pp,3.70,610,"Jun 16, 1997","Sep 28, 1998",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thought it had real potential. I liked the achromatopsia of the main character and her black and white photography. I liked her project to photograpI thought it had real potential. I liked the achromatopsia of the main character and her black and white photography. I liked her project to photograph the young men selling themselves on the streets of San Francisco. Her telescope, her dark room, her pursuit of justice with her camera; these were all things I found interesting about the main character. I also liked the twins and the magic, it was creepy, until it jumped the shark and became dark as h*ll. But in reality, who lets their kids go off with some man to learn magic. A good example, I suppose, of how the grooming of children and the adults responsible for them, works. The aspects of voyeurism and violence were what I didn't care for and ultimately I didn't feel I had any meaningful take away from this book....more",Notes are private!,0,1,1,"Sep 24, 2023",Oct 2023,"Sep 24, 2023",,Mass Market Paperback,view (with text),/book/show/626156.The_Magician_s_Tale
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Long Exile: A Tale of Inuit Betrayal and Survival in the High Arctic,"McGrath, Melanie*",1400040477,9781400040476,1400040477,268        pp,4.04,339,"Apr 03, 2007","Apr 03, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Have you seen the documentary ""Nanook of the North""? This was footage produced by Robert Flaherty in the 1920's. It was meant to show the life of the Have you seen the documentary ""Nanook of the North""? This was footage produced by Robert Flaherty in the 1920's. It was meant to show the life of the Inuit but it was, essentially, fiction. While Robert was filming this he had an affair with his lead female Inuit girl. This produced a male child, Josephie Flaherty; a child that Robert Flaherty knew about but never acknowledged, and Robert Flaherty never returned to the Arctic. When Josephie was a man, in 1953, the Canadian government, for reasons complex and unreasonable, decided to move Inuit ""volunteers"" and their families to the High Arctic. This is not normal Arctic. This is like a massive ice sculpture, with severe winds, crashing ice bergs in the water, very close to no vegetation, and almost no land animals to hunt making it necessary to go on to the very unstable and dangerous sea ice to hunt sea mammals. The people had never lived in such an environment, they were used to the Arctic, not the High Arctic which was a different world entirely. They were severely under equipped in every way: clothing, shelters, stoves, lighting, sleds, dogs, building materials etc. And it was completely dark for 5 or 6 months of the year.They were simply expected to be able to handle this because they were Inuit. There were small children, even babies. The people had been told they could return after a year if they didn't care to stay up there. That didn't happen, they were not allowed to return to their homeland. All suffered, a significant number died. Josephie was one of the people who, with his wife and kids, went to the High Arctic. It is Martha, his six year old who was hunting with her father at that age as he had no other helper or partner to hunt with, who later went south and became an activist for her people. This story is very important; historically, politically, socially and ethically. In my opinion, everyone should read this book. ...more",Notes are private!,0,2,1,"Aug 27, 2023","Sep 24, 2023","Aug 27, 2023",,Hardcover,view (with text),/book/show/577243.The_Long_Exile
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Known World,"Jones, Edward P.",0061159174,9780061159176,0061159174,388        pp,3.83,"41,275",Sep 2003,"Aug 29, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is an excellent book. I read it about ten years ago and just finished it for the second time. Much like when I read Angela's Ashes I had to cry tThis is an excellent book. I read it about ten years ago and just finished it for the second time. Much like when I read Angela's Ashes I had to cry through the first reading and get the grief out of the way so that during the second reading I could really experience the beauty, layers and nuances of the story. I took a greater interest in each character's personality, choices, lack of choices, and the consequences of the confluence of all. ...more",Notes are private!,0,1,1,"Aug 27, 2023","Aug 27, 2023","Aug 27, 2023",,Paperback,view (with text),/book/show/67.The_Known_World
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Night Is Forever        (Krewe of Hunters, #11)","Graham, Heather*",0778315088,9780778315087,0778315088,368        pp,4.11,"3,176","Sep 24, 2013","Sep 24, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Boring, silly, poorly plotted and written. The setting is a horse farm with horse therapy, that's great. But the founder is found dead of an apparent Boring, silly, poorly plotted and written. The setting is a horse farm with horse therapy, that's great. But the founder is found dead of an apparent drug overdose even though he has been clean for years. Suspish. The main character, a stunning woman of course, does not believe this. She has paranormal abilities and the ghost appears to her. An agent, also with paranormal abilities and also exceptionally good looking, shows up in the guise of looking for therapy. That ruse lasts about five minutes. I can't go on......more",Notes are private!,0,0,1,"Jul 24, 2023","Aug 11, 2023","Jul 24, 2023",,Mass Market Paperback,view (with text),/book/show/17622927-the-night-is-forever
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Juice Generation: Fresh Juices, Green Drinks, and Superfood Smoothies for a Brighter, Lighter, and More Energized Life","Helms, Eric",1476745706,9781476745701,1476745706,208        pp,4.02,145,"Jan 14, 2014","Jan 14, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 24, 2023",,Kindle Edition,view,/book/show/18080418-the-juice-generation
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Journals of Lewis and Clark,"DeVoto, Bernard",,,,unknown,4.25,55,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 13, 2023",,,view,/book/show/24132885-the-journals-of-lewis-and-clark
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of the Colorblind,"Sacks, Oliver",0375700730,9780375700736,0375700730,311        pp,3.89,"4,895",1997,"Jan 12, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn't know that there was such a thing as complete color blindness, just seeing in black and white and shades of grey. This means extreme sun sensiI didn't know that there was such a thing as complete color blindness, just seeing in black and white and shades of grey. This means extreme sun sensitivity but much better sight at night. Night fishing is a popular occupation for achromatopes. But what a situation to have on a South Pacific Island with the sun shining oh so brightly. Bringing sun glasses and sun visors to this population allowed some people to go outside during the day.  I haven't yet mentioned that the Island of the Colorblind is a Pacific atoll called Pingelap. A typhoon in 1776 killed 90% of the population. About 20 survivors were left. Re-population, with in-breeding, commenced. ""genetic traits previously rare began to spread"" ""The first children with the Pingelap eye disease were born in the 1820's, and within a few generations their numbers had increased to more than five percent of the population, roughly what it remains today."" The Pingelap eye disease is achromatopsia. ""genealogical studies indicate that it was the surviving nahnmwarki (the chief) himself who was the ultimate progenitor of every subsequent carrier.""The book covers other atolls, islands and diseases. Guam is one of the islands. What fascinated me about Guam is that an invasive species, a brown tree snake, has eaten all the bird eggs reducing the bird population so greatly that no bird song is heard on the island and the jungles are festooned with spider webs from the huge population of spiders that would normally have been eaten by birds. Snakes and spiders Guam. Not visiting, no. ...more",Notes are private!,0,0,1,"Jun 25, 2023","Jul 12, 2023","Jun 25, 2023",,Paperback,view (with text),/book/show/305606.The_Island_of_the_Colorblind
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,"Preston, Richard",0385495226,9780385495226,0385495226,352        pp,4.15,"113,585",Dec 1994,"Jun 15, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ebola, the name strikes terror in the human heart, as it should. In the incident covered in this book, a shipment of monkeys sent to the U.S start becEbola, the name strikes terror in the human heart, as it should. In the incident covered in this book, a shipment of monkeys sent to the U.S start becoming ill. As more and more monkeys fall ill the staff at the monkey house are becoming concerned. What is wrong with them and is it contagious for humans? Their organs are dissected and examined under microscope - oh sh*t, is Ebola Zaire? It sure looks like and reacts like Ebola Zaire. It is a hot Level 4 virus and a deadly threat to the human population. So the army takes over eliminating the monkeys and running all aspects of the bio-containment that does not involve actual sick people. The U.S. military in its usual clunky style throws all at it and finesses nothing. Luckily the virus was slightly mutated and was terribly contagious and deadly for monkeys but didn't affect humans at all. Whew, dodged a national disaster. ...more",Notes are private!,0,0,1,"Jun 14, 2023","Jun 25, 2023","Jun 14, 2023",,Paperback,view (with text),/book/show/16213.The_Hot_Zone
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Railway Bazaar: By Train Through Asia,"Theroux, Paul",0618658947,9780618658947,0618658947,342        pp,3.90,"19,947","Aug 01, 1975","Jun 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fascinating on one hand, but oddly unsatisfying on the other. I sit in my chair and ride trains all over the world. If it isn't one train it is anotheFascinating on one hand, but oddly unsatisfying on the other. I sit in my chair and ride trains all over the world. If it isn't one train it is another. I couldn't keep track, I was lost a lot, much of it I read more than once because I didn't know where I was. Of course certain things stuck with me like trains in Vietnam (it was 1974!), the Japanese trains and people, and the long journey across Russia. By the time he was home I was awfully glad he was home too. ...more",Notes are private!,0,1,1,"Jun 14, 2023","Jun 14, 2023","Jun 14, 2023",,Paperback,view (with text),/book/show/63689.The_Great_Railway_Bazaar
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fallen Man        (Leaphorn & Chee, #12)","Hillerman, Tony",0061092886,9780061092886,0061092886,320        pp,4.13,"8,404","Nov 19, 1996","Sep 10, 1997",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thought I ed this book already. I have read it twice. Both times I found it slow moving, vague, unsatisfying and forgettable. What I like in tI thought I ed this book already. I have read it twice. Both times I found it slow moving, vague, unsatisfying and forgettable. What I like in these Tony Hillerman books is the land, the wide open undeveloped spaces. A little get away to big sky, dirt roads, old dirty vehicles and long views. I'm so sick of the giant vehicles we call trucks these days, their shiny cleanliness as if they have never seen a day of work, and their aggressive drivers. So I took a little vacation in a Tony Hillerman book, never mind the story, just let me be on the land for awhile. ...more",Notes are private!,0,1,1,"May 17, 2023","Jun 14, 2023","May 17, 2023",,Mass Market Paperback,view (with text),/book/show/48115.The_Fallen_Man
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Eustace Diamonds, Volume 2","Trollope, Anthony",1406597457,9781406597455,1406597457,412        pp,4.21,24,1873,"Mar 14, 2008",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Anti Semitic. Jews are described as greasy, hook nosed, squinty eyed, lying, greedy, opportunistic. Lizzie, after all the scheming, ends up with her dAnti Semitic. Jews are described as greasy, hook nosed, squinty eyed, lying, greedy, opportunistic. Lizzie, after all the scheming, ends up with her due evidently, the apostate Jew preacher who marries her for her money. I hope they find happiness together and if they are both schemers they have something in common and it isn't based on race....more",Notes are private!,0,0,1,"May 04, 2023","May 16, 2023","May 04, 2023",,Paperback,view (with text),/book/show/8423490-the-eustace-diamonds-volume-2
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Clothes on Their Backs,"Grant, Linda",1844085414,9781844085415,1844085414,293        pp,3.32,"2,695","Oct 02, 2008","Jan 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The immigrant experience after WWII, here the immigrants are from Hungary and are secular Jews. There are two brothers, one of whom escaped most of thThe immigrant experience after WWII, here the immigrants are from Hungary and are secular Jews. There are two brothers, one of whom escaped most of the experience of the war, the other brother who was not able to leave until after the war. Brother one arrives in England with his wife and they move into an apartment. They have a baby girl and are extremely protective. Basically they never leave the apartment, the building's interior is their world. Their daughter has a wider world as she goes to school. Her education is the paramount importance of her parents. They see education as her ticket to success, as many parents do. The daughter thinks her parents are her only relatives but one day a man shows up at the apartment door and tries to give her chocolate. Her father and the stranger get into a loud argument, the stranger is not welcomed and warned never to come again. No explanation is offered to the daughter. Years pass, history happens. One of the things that happens is that a slum landlord is in the news for his crimes, is prosecuted and goes to jail. It is the man who had come to the door. I'm just telling you the whole story here, better slow down so people can read it for themselves.I thought it was a good story. The characters are stereotypes, but well drawn. I married into a family of Jewish immigrants so I felt like I recognized these characters and I felt great compassion for all of them, not as victims but as human beings going through a life that tries to break them. This world tries to break us all but if you are familiar with immigrants of a particular time and ethnicity, well then the story kind of puts pressure on your heart. I can't really tell you more although I am leaving out a LOT of the story. You will have to read it if you want to know more....more",Notes are private!,0,0,1,"Apr 21, 2023","Apr 21, 2023","Apr 21, 2023",,Paperback,view (with text),/book/show/2818398-the-clothes-on-their-backs
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eustace Diamonds vol. I,"Trollope, Anthony",184718698X,9781847186980,184718698X,309        pp,4.21,76,1873,"Jan 11, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm finding it very funny. I like the character of Lizzie, she is the life of the book, scheming Lizzie keeping everyone in a tizzy. I'm finding it very funny. I like the character of Lizzie, she is the life of the book, scheming Lizzie keeping everyone in a tizzy. ...more",Notes are private!,0,2,1,"Apr 20, 2023","May 04, 2023","Apr 20, 2023",,Paperback,view (with text),/book/show/6957761-the-eustace-diamonds-vol-i
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Eustace Diamonds        (Palliser, #3)","Trollope, Anthony",0141441208,9780141441207,0141441208,794        pp,3.95,"4,804",1873,"Dec 28, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 20, 2023",,Paperback,view,/book/show/73954.The_Eustace_Diamonds
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Diver's Clothes Lie Empty,"Vida, Vendela",144340974X,9781443409742,144340974X,224        pp,3.44,"7,232","Jun 02, 2015","Jun 02, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A sense of unreality, crisis unfolding, and an ability to slip out of iffy situations that is almost magical. I enjoyed reading it, I even laughed at A sense of unreality, crisis unfolding, and an ability to slip out of iffy situations that is almost magical. I enjoyed reading it, I even laughed at the end. I can imagine that this book is not for everyone but I liked it. A lady is flying to Casablanca for a holiday. Enjoy the journey!...more",Notes are private!,0,4,1,"Mar 21, 2023","Mar 21, 2023","Mar 20, 2023",,Paperback,view (with text),/book/show/23590710-the-diver-s-clothes-lie-empty
