,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Hannah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glowing Still: A woman's life on the road,"Wheeler, Sara",,9781408716731,1408716739,368        pp,3.60,25,unknown,"Mar 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 09, 2024",not set,"Feb 09, 2024",,Hardcover,view,/book/show/70009040-glowing-still
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Must Not Think of Ourselves,"Grodstein, Lauren*",1643752340,9781643752341,1643752340,304        pp,4.14,"6,932",unknown,"Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/64005941-we-must-not-think-of-ourselves
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Going Infinite: The Rise and Fall of a New Tycoon,"Lewis, Michael",1324074337,9781324074335,1324074337,272        pp,3.80,"21,816","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/149105520-going-infinite
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cameraman,"Kneale, Matthew",1838959009,9781838959005,B0BLRN55FR,217        pp,3.44,108,unknown,"May 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5! This was one of the most different WWII books I have read. It followed a man with a mental illness (though they never said the diagnosis) on a ro3.5! This was one of the most different WWII books I have read. It followed a man with a mental illness (though they never said the diagnosis) on a road trip to his sister’s wedding. Throughout the book he talks about The Predictor and The Other who seem to be voices in his head, but would have liked more explanation. Though I liked the ending, I thought it wrapped up quickly. ...more",Notes are private!,0,4,1,"Feb 07, 2024","Feb 09, 2024","Feb 07, 2024",,Kindle Edition,view (with text),/book/show/121159452-the-cameraman
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shards,"Ellis, Bret Easton",059353560X,9780593535608,059353560X,595        pp,3.99,"20,586","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/60880820-the-shards
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Magic: Creative Living Beyond Fear,"Gilbert, Elizabeth*",1594634718,9781594634710,1594634718,276        pp,3.96,"211,578",Sep 2015,"Sep 22, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Hardcover,view,/book/show/24453082-big-magic
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tree Grows in Brooklyn,"Smith, Betty",0061120073,9780061120077,0061120073,496        pp,4.29,"465,615","Aug 18, 1943","May 30, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5. Idk about this one. It was written in the 40s which I didn’t realize when I started reading it. Loved that it took place in New York, but overall3.5. Idk about this one. It was written in the 40s which I didn’t realize when I started reading it. Loved that it took place in New York, but overall a sad book. And not a huge-tragic-event sad but just an underlying sense of sadness from start to finish.“The sad thing was knowing all their nerve would get them nowhere in the world and they were as lost as all people in Brooklyn seem lost when they day is nearly over and even though the sun is still bright, it is thin and doesn’t give you warmth when it shines on you”“It was the first of many dillusionments that were to come as her capacity to feel things grew”...more",Notes are private!,0,3,1,"Jan 28, 2024","Feb 02, 2024","Jan 28, 2024",,Paperback,view (with text),/book/show/14891.A_Tree_Grows_in_Brooklyn
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Life: Lessons from the World's Longest Scientific Study of Happiness,"Waldinger, Robert",1982166711,9781982166717,,352        pp,4.16,"7,396","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,ebook,view,/book/show/61272271-the-good-life
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bell Jar,"Plath, Sylvia",,,,294        pp,4.05,"960,023",Jan 1963,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/6514.The_Bell_Jar
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Potential: The Science of Achieving Greater Things,"Grant, Adam M.*",0593653149,9780593653142,,304        pp,4.12,"19,873","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/157095669-hidden-potential
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hold Me Tight: Seven Conversations for a Lifetime of Love,"Johnson, Sue*",031611300X,9780316113007,031611300X,300        pp,4.12,"18,310","Apr 08, 2008","Apr 08, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/2153780.Hold_Me_Tight
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl in the Eagle's Talons: A Lisbeth Salander Novel,"Smirnoff, Karin",,9780735246652,0735246653,0        pp,3.39,"11,345","Nov 04, 2022","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lower rating because Girl with the Dragon Tattoo is up there on my all time faves, and the series has not been the same since Stieg Larsson died. BUT Lower rating because Girl with the Dragon Tattoo is up there on my all time faves, and the series has not been the same since Stieg Larsson died. BUT it was nice to be reunited with the characters and have the Swedish setting romanticize the cold weather we’ve been having. ...more",Notes are private!,0,4,1,"Dec 26, 2023","Jan 03, 2024","Dec 26, 2023",,Hardcover,view (with text),/book/show/201365887-the-girl-in-the-eagle-s-talons
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,"Guidara, Will",0593418573,9780593418574,0593418573,288        pp,4.46,"9,358",unknown,"Oct 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved this for a bunch of reasons!! The theme of going above and beyond to make people happy was contagious. I loved the creativity of the Legends - tLoved this for a bunch of reasons!! The theme of going above and beyond to make people happy was contagious. I loved the creativity of the Legends - the idea that you are providing someone with a personal story, rather than just a lavish experience. In a world moving towards automation, it shined a light on the joy and irreplaceability of human interaction. It also made me want to think of ways to implement unreasonable hospitality in my job & life. “Adversity is a terrible thing to waste”“When you start focusing on extending the charitable assumption to the people around you, you find yourself giving it to yourself a bit more as well”“While it was a terrible experience, it was also a privileged peek at a mistake I never wanted to make”“You must be able to name for yourself why your work matters”...more",Notes are private!,2,10,1,"Jan 09, 2024","Jan 12, 2024","Dec 03, 2023",,Hardcover,view (with text),/book/show/60018618-unreasonable-hospitality
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Sleep: Unlocking the Power of Sleep and Dreams,"Walker, Matthew",,,,368        pp,4.38,"185,832","Sep 28, 2017","Oct 03, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very interesting and much more scientific than I was expecting. Admittedly, I picked and chose what parts of this book I read since the reason I choseVery interesting and much more scientific than I was expecting. Admittedly, I picked and chose what parts of this book I read since the reason I chose it was to see how I can better my sleep and get some quick tips. My main takeaway was that it validated my passion for a mid-afternoon nap, a huge win for me. ...more",Notes are private!,1,5,1,"Jan 08, 2024","Mar 13, 2024","Dec 01, 2023",,Hardcover,view (with text),/book/show/34466963-why-we-sleep
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,371","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Hardcover,view,/book/show/58210933-trust
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother Night,"Vonnegut, Kurt, Jr.",0385334141,9780385334143,0385334141,282        pp,4.23,"94,815",1961,"May 11, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/9592.Mother_Night
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth We're Briefly Gorgeous,"Vuong, Ocean",0525562028,9780525562023,0525562028,246        pp,4.04,"299,630","Jun 04, 2019","Jun 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 08, 2023",,Hardcover,view,/book/show/41880609-on-earth-we-re-briefly-gorgeous
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shift,Tinx,1668007630,9781668007631,1668007630,288        pp,3.97,"7,089",unknown,"May 23, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3 stars not because I didn’t like it (I did!) but mainly because I thought the writing was ehhh and that there was nothing super groundbreaking in the3 stars not because I didn’t like it (I did!) but mainly because I thought the writing was ehhh and that there was nothing super groundbreaking in the book. I think I would have rated it higher if I listened to it rather than read it. I also personally have a hard time with rules because as soon as you give me a set, I am looking for the exceptions. That being said, I thought the overall message was great and loved the theme of focusing on yourself and your friendships, the rest will follow. I appreciated her honesty & her stories and think that the content is relatable to a wide audience. “At some point, you have to realize you’re all you’ve got”...more",Notes are private!,0,4,1,"Oct 27, 2023","Nov 07, 2023","Oct 12, 2023",,Hardcover,view (with text),/book/show/91239480-the-shift
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Build: An Unorthodox Guide to Making Things Worth Making,"Fadell, Tony",1787634116,9781787634114,1787634116,416        pp,4.34,"6,831",unknown,"May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Paperback,view,/book/show/59696349-build
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breath: The New Science of a Lost Art,"Nestor, James",0735213615,9780735213616,0735213615,280        pp,4.15,"84,203","May 26, 2020","May 26, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Hardcover,view,/book/show/48890486-breath
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Women: Data Bias in a World Designed for Men,"Criado Pérez, Caroline",1419729071,9781419729072,1419729071,448        pp,4.35,"117,301","Mar 07, 2019","Mar 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,Hardcover,view,/book/show/41104077-invisible-women
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Magical Thinking,"Didion, Joan",1400078431,9781400078431,1400078431,227        pp,3.93,"242,897","Sep 01, 2005","Feb 13, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was not what I was expecting based on the title. I thought it would be more of an epiphany driven book, but it was a gut-wrenching story of the aThis was not what I was expecting based on the title. I thought it would be more of an epiphany driven book, but it was a gut-wrenching story of the author’s grief when her husband died (while her daughter was in a coma). The writing was beautiful and raw. “Nor can we know ahead of the fact the unending absence that follows, the void, the very opposite of meaning, the relentless succession of moments during which we will confront the experience of meaningless itself”...more",Notes are private!,0,4,1,"Sep 18, 2023","Sep 18, 2023","Sep 18, 2023",,Paperback,view (with text),/book/show/7815.The_Year_of_Magical_Thinking
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Husband,"Ventura, Maud",0063274825,9780063274822,0063274825,272        pp,3.69,"18,543","Aug 19, 2021","Jul 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Super quick read. I liked the parts about translation because I’ve always found the nuance between languages super interesting. “‘Let you go’ I wonderSuper quick read. I liked the parts about translation because I’ve always found the nuance between languages super interesting. “‘Let you go’ I wonder if that expression, so difficult to translate into French, testifies that English-speakers love differently than us”“Since he is never completely at ease with his own choices, he envies people who live the lives he didn’t choose for himself”...more",Notes are private!,0,1,1,"Aug 19, 2023","Aug 19, 2023","Aug 19, 2023",,Hardcover,view (with text),/book/show/63017297-my-husband
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdom of Prep: The Inside Story of the Rise and (Near) Fall of J.Crew,"Bullock, Maggie",0063042649,9780063042643,0063042649,368        pp,4.03,"3,051","Mar 07, 2023","Mar 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Being a JCrew customer for a looong time now and having gone through phases of having JCrew as my go to or forgetting about it entirely… it was intereBeing a JCrew customer for a looong time now and having gone through phases of having JCrew as my go to or forgetting about it entirely… it was interesting to see that same sentiment played out for all its customers over time. The brand identity was also really interesting and how it changed over time to mirror different leaders. Also appreciated the financial details. ...more,Notes are private!,0,2,1,"Aug 14, 2023","Aug 19, 2023","Aug 14, 2023",,Hardcover,view (with text),/book/show/61354651-the-kingdom-of-prep
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,328","May 06, 2014","Jan 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really loved the writing and the style of jumping back and forth between time periods. Some of my favorite books are the same genre and while this oneReally loved the writing and the style of jumping back and forth between time periods. Some of my favorite books are the same genre and while this one was great, my faves are still my faves and I couldn’t give it 5 stars for that reason. ...more",Notes are private!,0,4,1,"Nov 26, 2023","Nov 27, 2023","Aug 09, 2023",,Hardcover,view (with text),/book/show/18143977-all-the-light-we-cannot-see
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outlive: The Science and Art of Longevity,"Attia, Peter",0593236599,9780593236598,0593236599,496        pp,4.39,"44,297","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 09, 2023",,Hardcover,view,/book/show/61153739-outlive
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Connellys of County Down,"Lange, Tracey*",1250865379,9781250865373,,288        pp,3.85,"20,966","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Hardcover,view,/book/show/61815336-the-connellys-of-county-down
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,595","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Hardcover,view,/book/show/63241104-tom-lake
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,West with Giraffes,"Rutledge, Lynda*",1542023351,9781542023351,B088FF4S7Q,381        pp,4.37,"128,575","Feb 01, 2021","Feb 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An old man’s retelling of his cross country journey with 2 giraffes. Thought it was a great story and well written, but I’m not sure I would have likeAn old man’s retelling of his cross country journey with 2 giraffes. Thought it was a great story and well written, but I’m not sure I would have liked it as much if the animals he was traveling with were less exotic. “Animals can tear your heart out. They can kill you dead on instinct alone. But at least you know the ground rules with animals. You never know with people. Even the good can hurt you bad, and the bad, well, they’re going to hurt you good”...more",Notes are private!,0,4,1,"Aug 12, 2023","Aug 14, 2023","Jul 31, 2023",,Kindle Edition,view (with text),/book/show/56449476-west-with-giraffes
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rogues: True Stories of Grifters, Killers, Rebels and Crooks","Keefe, Patrick Radden",0385548516,9780385548519,0385548516,368        pp,4.01,"15,160","Jun 28, 2022","Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2023",,Hardcover,view,/book/show/59148726-rogues
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James*",,,B07D23CFGR,319        pp,4.36,"869,910","Oct 16, 2018","Oct 16, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Typically I find these types of books can be repetitive, but that wasnt the case for Atomic Habits. One of my favorite quotes was that “you have to faTypically I find these types of books can be repetitive, but that wasnt the case for Atomic Habits. One of my favorite quotes was that “you have to fall in love with boredom.” I think particularly in today’s world of social media it seems like if you are bored you are doing something wrong, so this was a refreshing take. I also liked the ideas of identity as well as playing to your natural strengths to reach your potential. “People think I work hard but I’m actually really lazy, I’m just proactively lazy. It gives you so much time back”“Your outcomes are a lagging measure of your habits”...more",Notes are private!,0,3,1,"Jul 31, 2023","Aug 02, 2023","Jul 29, 2023",,Kindle Edition,view (with text),/book/show/40121378-atomic-habits
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paris: The Memoir,"Hilton, Paris",0063224623,9780063224629,0063224623,336        pp,4.22,"52,427","Mar 14, 2023","Mar 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well this was WILD. I didn’t know much about the personal or professional side of Paris before reading & this was a nice “don’t judge a book by its coWell this was WILD. I didn’t know much about the personal or professional side of Paris before reading & this was a nice “don’t judge a book by its cover” reminder. Also despite being largely very sad, there were some funny lines I appreciated. Also loved the business lens she had throughout. “If you know in your heart that you’re hot, you are hot, according to the laws of hotness physics”...more",Notes are private!,0,6,1,"Oct 23, 2023","Oct 23, 2023","Jul 24, 2023",,Hardcover,view (with text),/book/show/61812425-paris
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poisonwood Bible,"Kingsolver, Barbara",0060786507,9780060786502,0060786507,546        pp,4.10,"743,714","Sep 24, 1998","May 31, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 23, 2023",,Hardcover,view,/book/show/7244.The_Poisonwood_Bible
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Dye For: How Toxic Fashion Is Making Us Sick--and How We Can Fight Back,"Wicker, Alden",0593422627,9780593422625,B0BGXKYY7D,303        pp,4.33,758,unknown,"Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 20, 2023",,Kindle Edition,view,/book/show/74884681-to-dye-for
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"428,261","May 25, 2023","May 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was way crazier than I was expecting. I found the narrator hard to like which usually makes for a tough read but I FLEW through this and really eThis was way crazier than I was expecting. I found the narrator hard to like which usually makes for a tough read but I FLEW through this and really enjoyed it! Took away a star because I could have done with less politics...more,Notes are private!,1,6,1,"Jan 03, 2024","Jan 08, 2024","Jul 06, 2023",,Hardcover,view (with text),/book/show/59357120-yellowface
