,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mathilde's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Paladin’s Grace        (The Saint of Steel, #1)","Kingfisher, T.",,,B0848Q8JVW,366        pp,4.14,"19,332","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Kindle Edition,view,/book/show/50702014-paladin-s-grace
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"His Majesty's Dragon        (Temeraire, #1)","Novik, Naomi*",0345481283,9780345481283,0345481283,374        pp,4.06,"100,050","Jan 03, 2006","Mar 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Mass Market Paperback,view,/book/show/28876.His_Majesty_s_Dragon
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How the Multiverse Got Its Revenge        (The Thorne Chronicles, #2)","Eason, K.*",0756415314,9780756415310,0756415314,408        pp,3.59,"1,436","Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 11, 2024","Jan 30, 2024","Jan 11, 2024",,Hardcover,view,/book/show/52624927-how-the-multiverse-got-its-revenge
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cobalt Red: How the Blood of the Congo Powers Our Lives,"Kara, Siddharth",1250284309,9781250284303,1250284309,288        pp,4.38,"6,501","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/60784614-cobalt-red
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parable of the Sower: A Graphic Novel Adaptation,"Duffy, Damian",1419731335,9781419731334,1419731335,266        pp,3.99,"3,824","Jan 28, 2020","Jan 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/43908991-parable-of-the-sower
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divine Rivals        (Letters of Enchantment, #1)","Ross, Rebecca*",1250857430,9781250857439,1250857430,357        pp,4.23,"364,616","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/60784546-divine-rivals
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future,"Alderman, Naomi*",166802568X,9781668025680,166802568X,432        pp,3.88,"11,341","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/123163147-the-future
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Minor Detail,"Shibli, Adania",191309717X,9781913097172,191309717X,112        pp,4.19,"18,594","Jun 19, 2017","May 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 24, 2023",,Paperback,view,/book/show/52045757-minor-detail
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shards of Honour        (Vorkosigan Saga, #1)","Bujold, Lois McMaster*",0743468422,9780743468428,0743468422,253        pp,4.07,"37,004","Jan 01, 1986","Dec 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Paperback,view,/book/show/61903.Shards_of_Honour
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All Systems Red        (The Murderbot Diaries, #1)","Wells, Martha*",,,,144        pp,4.15,"236,017","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,ebook,view,/book/show/32758901-all-systems-red
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sunlit Man,"Sanderson, Brandon*",1938570391,9781938570391,1938570391,447        pp,4.37,"28,236","Oct 19, 2023","Oct 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Hardcover,view,/book/show/60531420-the-sunlit-man
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untethered Sky,"Lee, Fonda*",1250842468,9781250842466,1250842468,152        pp,3.90,"7,511","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/60784305-untethered-sky
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Thursday Murder Club        (Thursday Murder Club, #1)","Osman, Richard",,,B07S5D5TH7,382        pp,3.89,"476,057","Sep 03, 2020","Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Kindle Edition,view,/book/show/46000520-the-thursday-murder-club
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Into the Riverlands        (The Singing Hills Cycle, #3)","Vo, Nghi*",1250851424,9781250851420,1250851424,100        pp,4.05,"7,157","Oct 25, 2022","Oct 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This series is wonderful and I'm so happy to hear there are so many of them (and they are still being published!)Re my  of the first book, I stiThis series is wonderful and I'm so happy to hear there are so many of them (and they are still being published!)Re my  of the first book, I still think this world would be incredible for a screen adaptation. There is so much that goes on in between the pages....more",Notes are private!,0,1,1,Dec 2023,"Dec 04, 2023","Nov 30, 2023",,Hardcover,view (with text),/book/show/59807976-into-the-riverlands
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mammoths at the Gates        (The Singing Hills Cycle, #4)","Vo, Nghi*",,,B0BQGJ8J78,123        pp,4.26,"3,895","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.5 So cool to finally see Singing Hills!,Notes are private!,0,2,1,"Dec 08, 2023","Dec 16, 2023","Nov 30, 2023",,Kindle Edition,view (with text),/book/show/58007996-mammoths-at-the-gates
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summer in Orcus,"Kingfisher, T.",,,,268        pp,4.49,"2,356","Jan 25, 2017",2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,ebook,view,/book/show/32182098-summer-in-orcus
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Memory Called Empire        (Teixcalaan, #1)","Martine, Arkady*",1529001587,9781529001587,1529001587,462        pp,4.12,"57,052","Mar 26, 2019","Mar 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/37794149-a-memory-called-empire
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Adventures of Amina al-Sirafi        (Amina al-Sirafi, #1)","Chakraborty, Shannon",,,,483        pp,4.29,"39,605","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2024",Mar 2024,"Nov 19, 2023",,Hardcover,view,/book/show/61294937-the-adventures-of-amina-al-sirafi
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bookshops & Bonedust        (Legends & Lattes, #0)","Baldree, Travis*",1250886104,9781250886101,1250886104,352        pp,4.24,"43,131","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/65213543-bookshops-bonedust
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clytemnestra,"Casati, Costanza*",1728268230,9781728268231,1728268230,448        pp,4.26,"21,828","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Hardcover,view,/book/show/61361681-clytemnestra
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pageboy,"Page, Elliot",,,,271        pp,3.76,"53,621","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 I'll be honest: I read this book mostly for the Halifax portions, and I'm happy to report they did not disappoint!I lived in Halifax, Nova Scotia 3.5 I'll be honest: I read this book mostly for the Halifax portions, and I'm happy to report they did not disappoint!I lived in Halifax, Nova Scotia from ages 4 to 12 (Which is quite literally the definition of childhood), and the city 100% affected who I am today. I loved hearing Elliot talk about Needham Park, the Public Gardens, Gottingen St, and of course, The Halifax Explosion (!!! The city of Halifax is truly obsessed with the Halifax explosion - I bet everyone on the historical committee is thrilled that he references it so much). The rest of the story was good too, though very difficult. I didn't know that Elliot's life as a young person in the Hollywood industry had been so painful and full of abuse. Yet another reminder that many people in the industry need to be held to higher standards. Also, a reminder for everyone (but especially parents) to listen to children and believe their lived experiences.I'm glad Elliot wrote this book and I wish him good things in life....more",Notes are private!,0,0,1,"Nov 05, 2023","Nov 11, 2023","Nov 05, 2023",,,view (with text),/book/show/60473073-pageboy
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Painted Devils        (Little Thieves, #2)","Owen, Margaret*",1250831164,9781250831163,1250831164,512        pp,4.30,"4,491","May 16, 2023","May 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2.5? Feels bad to go that low but I did really struggle to get through this book. I think there's a lot of good stuff in here for middle-grade readers2.5? Feels bad to go that low but I did really struggle to get through this book. I think there's a lot of good stuff in here for middle-grade readers. Emeric and Vanja's messy relationship is a good demonstration of communication issues and how to resolve them. Vanja's overall insecurities, around loving and being loved, are very valid and highlight the way lots of young women feel (especially those who have experienced similar traumas). However, the way these struggles were highlighted, while appropriate for the target audience, didn't feel compelling to me personally.I also just wasn't invested at all in the plot? It went a lot of different places, both figuratively and literally - I could not keep track of which city they were in and when because there were so many settings. Overall, I think this book would be fun for a lot of people, just not for me....more",Notes are private!,0,1,1,"Oct 21, 2023","Nov 05, 2023","Oct 21, 2023",,Hardcover,view (with text),/book/show/59406591-painted-devils
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Battle of the Labyrinth        (Percy Jackson and the Olympians, #4)","Riordan, Rick*",,,,361        pp,4.42,"1,082,095","Mar 06, 2008","May 02, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's time to talk TEEN DRAMA. Also in this  I will pretty much only be rambling about spoilery drama so I guess this whole  is a spoiler. It's time to talk TEEN DRAMA. Also in this  I will pretty much only be rambling about spoilery drama so I guess this whole  is a spoiler. (view spoiler)[Where do I even BEGIN with Percy's love life omg. First of all: the immediate thing to address is his age. He is FOURTEEEN AHAHHAHHA and this adds so much important context. As a smol 10 year old, Mathilde did not pick up of the absurdity of some of the things that happen in this book. (For example, I do not buy for AN INSTANT that Calypso, a gorgeous immortal goddess is falling for Percy. Nuh-uh. It was actually so funny to me, until I remembered that she comes back as an actual feasible love interest in HoO.)So I guess let's start with Percy's whole attitude. After coming from more YA/Romance/Fanfiction type of narratives, it is So Funny to read from Percy's POV because he is absolutely clueless in the romance department. He doesn't even know what he wants, which makes him an incredibly unreliable narrator. Instead of descriptions of yearning, we get lines like ""for some reason, my face was really red"". This is hilarious to me, and a good example of show-not-tell. But also it's like wow! children will really take absolute crumbs of dialogue and RUN with them. Percabeth was pretty much my OTP back in those years (aside from HP couples) and I read and re-read every single interaction that even mildly suggested something of romance in these books and ate them all up. But in actuality, it's also a little strange to read back on. Because while young Mathilde was all ""la-la-la Percabeth 4eva it's meant to be!!! True love!!!"", older Mathilde is like ""damn, this 14-year-old boy actually did  not  know what he wanted at ALL.""To use ~official~ language, there is evidence in the text to suggest that Percy was nearly just as romantically interested in Rachel and Calypso as he was in Annabeth. Now, this is perfectly alright and realistic for a 14-year-old, but my current self feels just a touch betrayed? Like I wanted more indulgent proof that Percabeth was actually was the only valid ship. I think I just have high standards for my young self's champion couple. To build on this, the end of the book is also SAD! He spent ALL the rest summer ""skirting"" around Annabeth, and now I'm thinking this is 1 of of 3 summers of friendship when they just aren't hanging out  (hide spoiler)]...more",Notes are private!,0,0,0,not set,not set,"Oct 16, 2023",,Kindle Edition,view (with text),/book/show/8130423-the-battle-of-the-labyrinth
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Chalice of the Gods        (Percy Jackson and the Olympians, #6)","Riordan, Rick*",1368098177,9781368098175,1368098177,268        pp,4.35,"69,157","Sep 26, 2023","Sep 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It was kinda fun to return to Percy's world for a bit, and I'm still a huge fan of the OG series, but this one just wasn't as strong and was instead kIt was kinda fun to return to Percy's world for a bit, and I'm still a huge fan of the OG series, but this one just wasn't as strong and was instead kinda slow. I'm not mad at it, but I don't necessarily feel the need to read the next one.Minor grievance: Rick made the book incredibly 2023 with the slang and references, which is fine, except that Percy was 16 in the 2000s and that was a key part of his dialogue then! So I think we should have stayed in the late 2000s for this book as well....more",Notes are private!,0,0,1,"Oct 06, 2023","Oct 11, 2023","Sep 27, 2023",,Hardcover,view (with text),/book/show/63035432-the-chalice-of-the-gods
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,577","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 27, 2023",,Hardcover,view,/book/show/194802722-funny-story
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thornhedge,"Kingfisher, T.",1250244099,9781250244093,1250244099,116        pp,4.03,"22,073","Aug 15, 2023","Aug 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lovely! And a wonderful reminder that reading shouldn't feel like a struggle. I breezed through this novella in one evening and one morning (before woLovely! And a wonderful reminder that reading shouldn't feel like a struggle. I breezed through this novella in one evening and one morning (before work no less!), and it was such an enjoyable experience. In the acknowledgments, the author talks about this being a ""sweet"" book despite some of the events that unfold, and I totally agree. It's very charming!I just realized that the only books I read in January were different author's remixes of Rapunzel and Sleeping Beauty. This wasn't intentional, but I'm certainly not mad about it! (I wonder if it'll mean something for the year of 2024...)...more",Notes are private!,0,0,1,"Jan 30, 2024","Jan 31, 2024","Sep 21, 2023",,Hardcover,view (with text),/book/show/61884932-thornhedge
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hands of the Emperor        (Lays of the Hearth-Fire, #1)","Goddard, Victoria*",,,B07MC6PFGL,969        pp,4.46,"2,748","Jan 08, 2019","Jan 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2023",,Kindle Edition,view,/book/show/43525897-the-hands-of-the-emperor
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Princess Floralinda and the Forty-Flight Tower,"Muir, Tamsyn*",1596069929,9781596069923,,146        pp,4.19,"6,021","Nov 30, 2020","Nov 30, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5Wow! This book was certainly not what I thought it would be, but I realized now I shouldn't have expected anything else from Tamsyn Muir. The best 4.5Wow! This book was certainly not what I thought it would be, but I realized now I shouldn't have expected anything else from Tamsyn Muir. The best way I can describe this book is: whimsical-cozy-fairytale meets Robinson Crusoe?? I am so glad that Libby did not have the ebook in stock, because Moira Quirk's narration in the audiobook was excellent and contributed so much to the story and tone. I highly recommend going the audiobook route for this one. Note: The whole time, I wasn't sure what the ending would be, and while I'm not sure I'm satisfied with it, I certainly am not unsatisfied with it. ...more",Notes are private!,0,1,1,"Jan 11, 2024","Jan 17, 2024","Sep 12, 2023",,ebook,view (with text),/book/show/54391767-princess-floralinda-and-the-forty-flight-tower
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glass Hotel,"Mandel, Emily St. John*",0525521143,9780525521143,0525521143,307        pp,3.69,"172,189","Mar 24, 2020","Mar 24, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2023",,Hardcover,view,/book/show/45754981-the-glass-hotel
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nona the Ninth        (The Locked Tomb Series, 3)","Muir, Tamsyn*",1250899133,9781250899132,1250899133,512        pp,4.35,"37,763","Sep 13, 2022","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"And for my last  of the week!*It is very difficult to talk about the plot and characters without any spoilers, but I'll just say Nona is an utteAnd for my last  of the week!*It is very difficult to talk about the plot and characters without any spoilers, but I'll just say Nona is an utter gem. She and her found family deserve the world. Also, I enjoyed the fact the narratorial tone once again did a complete 180 (we're entering the musical realm of Disney Channel and coming of age 2000s acoustic pop). Also, Tamsyn Muir remains a storytelling genius. *I like how my  rate makes it look like I read this series at a reasonable pace and not in a 1.5 week fever.---- SPOILERS -----(view spoiler)[- Cam, Pal, Pyrrha and Nona make the most beautiful, bittersweet family. I'm so grateful to have had Cam and Pal for a whole book looking after Nona. - I missed Harrow and Gideon a lot, but to be fair Nona is completely delightful. She says the funniest things. Also, I theorize that everyone's names are so weird because she's just auto-translating it in her head. That's why Corona is Crown.- “Well I don’t think redheads are sexy.” / “That’s a VERY interesting thing you just said, Nona.” BWAHAHA. The moment we all knew it couldn't be Harrow or Gideon bc Gideon knows she's hot shit, and Harrow has a big fat crush on Gideon sooooo. - Kiriona made me really upset, because She's SO sad. And she's also mean to everyone, even Cam and Pal :( - Still love her though and her complete dedication to Harrow despite still thinking Harrow ruthlessly cut her out. ""GET IN LINE THOU BIG SLUT"" iconique. Every time Gideon pettily calls Alecto a slut, (which is about 5 times), I gain a year of life in pure entertainment. As someone on tumblr pointed out, it's even funnier when you think about how Nona was extremely unimpressed by Gideon's looks when she met her. - Planet Earth is Barbie, we love to see it. - I'm so looking forward to book 4 but also not, because I know it will wreck me. Both Shayna and Sophia (who has now just finished them) are like ""yeah Tamsyn could definitely just have no resolution for Gideon and Harrow"" OOF. - Some quotes from these discussions are: Sophia: ""I'd be happy with a conversation."" and Me: ""is it too much to ask for a hug??"" Shayna: ""yes"" (hide spoiler)]...more",Notes are private!,0,0,1,"Aug 13, 2023","Aug 15, 2023","Aug 25, 2023",,Paperback,view (with text),/book/show/65214455-nona-the-ninth
