,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Democracies Die: What History Reveals About Our Future,"Levitsky, Steven",1524762938,9781524762933,1524762938,320        pp,4.16,"24,847","Jan 16, 2018","Jan 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/35356384-how-democracies-die
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Psychologie Des Foules,"Le Bon, Gustave",2012621104,9782012621107,2012621104,216        pp,3.83,"17,629",1895,"May 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Paperback,view,/book/show/18782218-psychologie-des-foules
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Thousand Boy Kisses        (A Thousand Boy Kisses, #1)","Cole, Tillie*",,,,316        pp,4.08,"294,640","Mar 15, 2016","Mar 15, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<... žinau, kad domiuosi dalykais, kurie niekam nerūpi. Man regis, tam tikra prasme taip elgiuosi todėl, jog širdies gilumoje visada žinojau neturėsia<... žinau, kad domiuosi dalykais, kurie niekam nerūpi. Man regis, tam tikra prasme taip elgiuosi todėl, jog širdies gilumoje visada žinojau neturėsianti laiko gyventi taip, kaip kiti...> ...more",Notes are private!,0,8,1,"Nov 12, 2023","Dec 10, 2023","Nov 12, 2023",,ebook,view (with text),/book/show/25912358-a-thousand-boy-kisses
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Woman in the Room,"Benedict, Marie*",1492666866,9781492666868,1492666866,312        pp,3.85,"82,138","Jan 08, 2019","Jan 08, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...žinai, tarp prisirišimo prie žmogaus ir troškimo už jo ištekėti plyti plati praraja, gal net, sakyčiau, ištisas vandenynas, taigi šiuo neapibrėžt <...žinai, tarp prisirišimo prie žmogaus ir troškimo už jo ištekėti plyti plati praraja, gal net, sakyčiau, ištisas vandenynas, taigi šiuo neapibrėžtumo kupinu laikmečiu nežinojimas buvo valiuta...>...more",Notes are private!,0,13,1,"Oct 15, 2023","Oct 28, 2023","Oct 15, 2023",,Hardcover,view (with text),/book/show/39971465-the-only-woman-in-the-room
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scapegoat,"du Maurier, Daphne",0316252980,9780316252980,,384        pp,3.99,"11,029",1957,"Dec 17, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2023",,ebook,view,/book/show/18869971-the-scapegoat
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl in His Shadow        (Nora Beady, #1)","Blake, Audrey*",1728228727,9781728228723,1728228727,384        pp,4.16,"43,024","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2023",,Paperback,view,/book/show/54717137-the-girl-in-his-shadow
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bildung. Alles, was man wissen muß","Schwanitz, Dietrich",3442151473,9783442151479,3442151473,697        pp,3.83,"1,922",1999,2002,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...tuo romanas yra unikalus. Jis daro įmanomą tai, ko nerandame nei kitose meno rūšyse, nei pačioje tikrovėje; romane mes galime drauge patirti pasau<...tuo romanas yra unikalus. Jis daro įmanomą tai, ko nerandame nei kitose meno rūšyse, nei pačioje tikrovėje; romane mes galime drauge patirti pasaulį iš kito žmogaus perspektyvos, ir stebėti patiriamus išgyvenimus....>...more",Notes are private!,0,5,1,"Sep 24, 2023","Oct 14, 2023","Sep 24, 2023",,Paperback,view (with text),/book/show/1821280.Bildung_Alles_was_man_wissen_mu_
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Read Literature Like a Professor,"Foster, Thomas C.",006000942X,9780060009427,006000942X,314        pp,3.61,"30,099","Feb 18, 2003","Jan 01, 2003",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...kiekvienas kūrinys, mums tiesiog jį skaitant, moko mus, kaip jį skaityti...>",Notes are private!,0,5,1,"Sep 06, 2023","Sep 24, 2023","Sep 06, 2023",,Paperback,view (with text),/book/show/39933.How_to_Read_Literature_Like_a_Professor
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shantaram,"Roberts, Gregory David*",192076920X,9781920769208,192076920X,936        pp,4.27,"216,103",2003,"Jan 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...pravartu žinoti, kas atsitiko pasauliui, bet ne mažiau svarbu žinoti, kad kartais negali jo pakeisti, kad ir koks didelis būtų blogis. Daug pasaul<...pravartu žinoti, kas atsitiko pasauliui, bet ne mažiau svarbu žinoti, kad kartais negali jo pakeisti, kad ir koks didelis būtų blogis. Daug pasaulio negerovių pasidarė iš tikrųjų nepakeliamos tik tada, kai kas nors pabandė jas išgyvendinti...>...more",Notes are private!,0,5,1,"Aug 08, 2023","Sep 06, 2023","Aug 08, 2023",,Paperback,view (with text),/book/show/33600.Shantaram
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Win Friends and Influence People,"Carnegie, Dale",,,,288        pp,4.22,"979,756",Oct 1936,1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...Ne vienam nepatinka, kai jam ką nors įperša. Mes daug mieliau patys perkame tai, ko mums reikia, savo nuožiūra. Mums patinka, kai kas nors domisi,<...Ne vienam nepatinka, kai jam ką nors įperša. Mes daug mieliau patys perkame tai, ko mums reikia, savo nuožiūra. Mums patinka, kai kas nors domisi, ko mes norime, kas mums patinka, ko mums reikia, ką mes manome...>...more",Notes are private!,0,5,1,"Jul 11, 2023","Aug 04, 2023","Jul 11, 2023",,Paperback,view (with text),/book/show/4865.How_to_Win_Friends_and_Influence_People
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Loving,"Fromm, Erich",0061129739,9780061129735,0061129739,192        pp,4.01,"80,334",1956,"Aug 06, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...Gyvenimas jau vien savo biologine prasme yra stebuklingas ir paslaptingas, o savo žmogiškais aspektais žmogus lieka nesuvokiama paslaptis ir sau, <...Gyvenimas jau vien savo biologine prasme yra stebuklingas ir paslaptingas, o savo žmogiškais aspektais žmogus lieka nesuvokiama paslaptis ir sau, ir savo draugams....mes pažystame save, ir vis dėlto, kiek bedėtume pastangų, negalime savęs pažinti iki galo...>...more",Notes are private!,0,9,1,"Jul 11, 2023","Jul 11, 2023","Jul 11, 2023",,Paperback,view (with text),/book/show/14142.The_Art_of_Loving
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gros-Câlin,"Gary, Romain",2070369064,9782070369065,2070369064,291        pp,3.81,"1,528",1974,"Jan 11, 1977",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<..žinau ir tai, kad meilė kartais būna abipusė, bet aš pretenduoju į prabangą. Pirmoji būtinybė - turėti ką mylėti...>",Notes are private!,0,5,1,"Jun 20, 2023","Jul 06, 2023","Jun 20, 2023",,Mass Market Paperback,view (with text),/book/show/119001.Gros_C_lin
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Portrait of a Lady,"James, Henry",0141439637,9780141439631,0141439637,797        pp,3.79,"80,526","Jan 01, 1881","Sep 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...idealas yra tam, kad juo tikėtum, o ne kad išvystum; tai tikėjimo, o ne patirties dalykas. Tiesa, patirtis gali mums pateikti labai artimų jo imit<...idealas yra tam, kad juo tikėtum, o ne kad išvystum; tai tikėjimo, o ne patirties dalykas. Tiesa, patirtis gali mums pateikti labai artimų jo imitacijų, išimtis liepia jų neatstumti...> <..bet čia tragiškoji laimės dalis: vieno teisė kitam skriauda...>...more",Notes are private!,0,6,1,"May 17, 2023","Jun 20, 2023","May 17, 2023",,Paperback,view (with text),/book/show/264.The_Portrait_of_a_Lady
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,952","Jun 16, 2009","Jun 23, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...jei per daug analizuosi gyvenimą, nevertės gyventi...>",Notes are private!,0,9,1,"Apr 17, 2023","May 14, 2023","Apr 17, 2023",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sapiens: A Brief History of Humankind,"Harari, Yuval Noah",,,,512        pp,4.36,"1,027,774",2011,2015,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<... bet koks stambesnio masto žmonių bendradarbiavimo - ar tai būtų šiuolaikinė valstybė, viduramžių bažnyčia, senovinis miestas ar pirmykštė gentis-<... bet koks stambesnio masto žmonių bendradarbiavimo - ar tai būtų šiuolaikinė valstybė, viduramžių bažnyčia, senovinis miestas ar pirmykštė gentis- pamatas yra bendri mitai, egzistuojantys tik kolektyvinėje žmonių vaizduotėje...>...more",Notes are private!,0,20,1,"Mar 08, 2023","Apr 06, 2023","Mar 08, 2023",,Paperback,view (with text),/book/show/23692271-sapiens
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man’s Search for Meaning,"Frankl, Viktor E.",080701429X,9780807014295,080701429X,165        pp,4.37,"713,805",1959,"Jun 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<... jei gyvenimas apskritai turi prasmę, prasmę privalo turėti ir kančia...>",Notes are private!,0,6,1,"Feb 28, 2023","Mar 07, 2023","Feb 28, 2023",,Paperback,view (with text),/book/show/4069.Man_s_Search_for_Meaning
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ophelia lernt schwimmen,"Kubelka, Susanna",3404162226,9783404162222,3404162226,382        pp,3.48,328,1987,"Jul 01, 2001",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,<... Paryžius - gražiausias miestas pasaulyje. Bet pavojingas svetimšaliams.. >,Notes are private!,0,2,1,"Feb 22, 2023","Feb 28, 2023","Feb 22, 2023",,Paperback,view (with text),/book/show/3226690-ophelia-lernt-schwimmen
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'ombra de l'eunuc,"Cabré, Jaume",8482566458,,,415        pp,4.06,894,1996,1996,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...O kadangi niekam nepatinka šlubčioti per gyvenimą, žmogus visada stengiasi kuo nors išlyginti netektį. Kartais neapykanta. Kartais liūdesiu. Dauge<...O kadangi niekam nepatinka šlubčioti per gyvenimą, žmogus visada stengiasi kuo nors išlyginti netektį. Kartais neapykanta. Kartais liūdesiu. Daugeliui mūsų pavyksta jausminį gyvenimą paversti nuostabiu pragaru...>...more",Notes are private!,0,8,1,"Jan 25, 2023","Feb 22, 2023","Jan 25, 2023",,Hardcover,view (with text),/book/show/6145573-l-ombra-de-l-eunuc
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Suite 405,"Casati Modignani, Sveva",8893427168,9788893427166,B07GT7LXQF,341        pp,3.58,309,unknown,"Sep 25, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...brangioji, visa reklama yra iliuzija, o žmonės leidžia pinigus, kad ją palaikytų...>",Notes are private!,0,5,1,"Jan 19, 2023","Jan 24, 2023","Jan 19, 2023",,Kindle Edition,view (with text),/book/show/42036673-suite-405
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hot Milk,"Levy, Deborah",1620406691,9781620406694,1620406691,218        pp,3.47,"29,596","Jan 01, 2015","Jul 12, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...praeitis kartais atrodo arčiau nei dabartis ir dažnai apima baimė, kad ateitis jau įvyko...>",Notes are private!,0,4,1,"Jan 10, 2023","Jan 18, 2023","Jan 10, 2023",,Hardcover,view (with text),/book/show/26883528-hot-milk
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dangers of Smoking in Bed,"Enríquez, Mariana",0593134079,9780593134078,0593134079,208        pp,3.82,"40,588",Jan 2009,"Jan 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2023",,Hardcover,view,/book/show/53215250-the-dangers-of-smoking-in-bed
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Life of Salvador Dalí,"Dalí, Salvador",0486274543,9780486274546,0486274543,432        pp,4.08,"3,069",1942,"Mar 03, 1993",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...reikia sugebėti nubraukti pusę savo gyvenimo, kad įgijęs patirties tęstum kitą jo pusę...>",Notes are private!,0,5,1,"Dec 13, 2022","Jan 10, 2023","Dec 13, 2022",,Paperback,view (with text),/book/show/91724.The_Secret_Life_of_Salvador_Dal_
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Liseur du 6h27,"Didierlaurent, Jean-Paul",2846268010,9782846268011,2846268010,218        pp,3.71,"15,530","May 05, 2014","May 05, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2022",,Paperback,view,/book/show/22052676-le-liseur-du-6h27
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killing the Mob: The Fight Against Organized Crime in America,"O'Reilly, Bill*",125027365X,9781250273659,125027365X,292        pp,4.25,"11,921","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2022",,Hardcover,view,/book/show/55857470-killing-the-mob
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Market Wizards: Interviews with Top Traders,"Schwager, Jack D.*",,,B006X50OPW,514        pp,4.26,"9,331",Mar 1989,"Jan 09, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2022",,Kindle Edition,view,/book/show/18896302-market-wizards
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Security Analysis: The Classic 1951 Edition,"Graham, Benjamin",0071448209,9780071448208,0071448209,784        pp,4.30,"9,218",1934,"Dec 31, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2022",,Hardcover,view,/book/show/203409.Security_Analysis
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Think and Grow Rich,"Hill, Napoleon",,,1788441028,233        pp,4.18,"329,685",1937,Apr 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2022",,Paperback,view,/book/show/30186948-think-and-grow-rich
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rich Dad, Poor Dad","Kiyosaki, Robert T.",0751532711,9780751532715,0751532711,195        pp,4.12,"619,570","Apr 08, 1997","Dec 31, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...toks modelis, kai namas laikomas investicija ir požiūris, kad didesnė alga leidžia įpirkti didesnį namą ir dar daugiau išlaidauti - šiandienos pra<...toks modelis, kai namas laikomas investicija ir požiūris, kad didesnė alga leidžia įpirkti didesnį namą ir dar daugiau išlaidauti - šiandienos prasiskolinusios visuomenės esmė...>...more",Notes are private!,0,5,1,"Sep 27, 2022","Oct 05, 2022","Sep 27, 2022",,Paperback,view (with text),/book/show/69571.Rich_Dad_Poor_Dad
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Energy Paradox: What to Do When Your Get-Up-and-Go Has Got Up and Gone,"Gundry, Steven R.",,,B085NTP6DZ,331        pp,3.54,"1,533",unknown,"Mar 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 09, 2022",,Kindle Edition,view,/book/show/53739867-the-energy-paradox
