,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aaron's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soon I Will Be Invincible,"Grossman, Austin*",0375424865,9780375424861,0375424865,287        pp,3.67,"14,197","Jan 01, 2007","Jun 05, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 24, 2014",,Hardcover,view,/book/show/645180.Soon_I_Will_Be_Invincible
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tenth of December,"Saunders, George",0812993802,9780812993806,0812993802,251        pp,3.98,"74,479","Jan 03, 2013","Jan 08, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2014",,Hardcover,view,/book/show/13641208-tenth-of-december
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Little, Big","Crowley, John",0061120057,9780061120053,0061120057,538        pp,3.81,"11,391",Sep 1981,"Oct 17, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2014,"Mar 19, 2014",,Paperback,view,/book/show/90619.Little_Big
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ready Player One        (Ready Player One, #1)","Cline, Ernest*",030788743X,9780307887436,030788743X,374        pp,4.23,"1,167,481","Aug 16, 2011","Aug 16, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I know that I should just turn off my Kindle's ability to show what other people highlighted in a book. But I cannot. I'm sickly fascinated with it. LI know that I should just turn off my Kindle's ability to show what other people highlighted in a book. But I cannot. I'm sickly fascinated with it. Like why did 1,093 feel the need to highlight the following in Ready Player One? ""Douglas Adams. Kurt Vonnegut. Neal Stephenson. Richard K. Morgan. Stephen King. Orson Scott Card. Terry Pratchett. Terry Brooks. Bester. Bradbury, Haldeman, Heinlein, Tolkien, Vance, Gibson, Gaiman, Sterling, Moorcock, Scalzi, Zelazny."" That a literal list of pop culture references is the passage that reader most responded to probably goes a long way to explaining why I didn't enjoy this book nearly as much as other people did. I like nerdy-ass stuff, but it can only take me so far.I found the book at it's best fun. It has a central idea that allows for a world filled with a pastiche of sci-fi and fantasy settings, tropes and characters. It's like watching the craziest, overstuffed video game ever play out in front of me. However, most of the time the book is mired in the author's extreme writerly limitations. The characters are too flat to even be considered thinly-veiled versions of the author, they are just animated version of his ""top five"" movie/album/video game lists. The book is littered with deus ex machina twists, plot holes and implausible settings. I could get past that, but I couldn't ignore two incompatible stylistic choices, mainly because I wouldn't have enjoyed them even if they weren't logically inconsistent. The book's first chapter establishes that this is the sort of book where the main character is supposed to be the author, that he's going ""to set the record straight, once and for all"". So presumably the readers of the book are also from 2045, familiar with the general world around them. Weirdly, Cline then writes with the most exposition-laden prose I think I have ever read. Most of the first half of the book consists of passages like ""The one-size-fits all OASIS visor was slightly larger than a pair of sunglasses. It used harmless low-powered lasers to draw the stunningly real environment of the OASIS right onto the wearer's retina, completely immersing their entire field of vision in the online world. The visor was light-years ahead of the clunky virtual-reality goggles available prior to the that time, and it represented a paradigm shift in virtual-reality technology…"" And so it goes. OASIS is the cornerstone of this entire world. There is no reason the character would feel the need to explain it in this boring level of detail.I really enjoyed the central conceit, and I felt this book wasted its potential. If Cline wrote with a prose similar to A Brief Wondrous Life of Oscar Wao, where the nerdy obsessions are synthesized and integrated into the prose, I would have loved it. Instead it felt like a chore. And if a book where dudes are flinging fireballs at giant robots isn't fun, then it fails....more",Notes are private!,0,10,1,"Mar 19, 2014","Mar 20, 2014","Mar 19, 2014",,Hardcover,view (with text),/book/show/9969571-ready-player-one
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The King in Yellow        (Gateway Essentials Book 458),"Chambers, Robert W.",,,B00IX5CT2Q,76        pp,3.55,"19,417",1895,"Feb 25, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2014","Jul 26, 2023","Mar 19, 2014",,Kindle Edition,view,/book/show/21466011-the-king-in-yellow
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orfeo,"Powers, Richard",0393240827,9780393240825,0393240827,384        pp,3.67,"6,257","Jan 20, 2014","Jan 20, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2014",,Hardcover,view,/book/show/17986406-orfeo
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mo' Meta Blues: The World According to Questlove,"Thompson, Ahmir Questlove",1455501352,9781455501359,1455501352,288        pp,4.12,"7,020",Jun 2013,"Jun 18, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Questlove is the sort of musician who could easily write his entire memoir about the tricks, influences and aesthetic choices made for every song he hQuestlove is the sort of musician who could easily write his entire memoir about the tricks, influences and aesthetic choices made for every song he has worked on, and I'm glad he resisted this impulse, as I would have been completely lost in that sort of discussion. I loved almost every authorial decision about this book, with my main complaint there is a moderate amount of repetition between chapters. Questlove mentions at the beginning that his inclination when reading music memoirs is to hop around, so he clearly wanted to enable people to read each section as an independent section. However, as someone who reads from cover-to-cover, I found it something that knocked me out of my flow. Overall, his voice was funny and engaging, and made a story that could have been slightly boring in a more straight-forward telling an engaging work....more",Notes are private!,0,0,1,not set,"Jan 02, 2014","Jan 03, 2014",,Hardcover,view (with text),/book/show/16131189-mo-meta-blues
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sorcerer's House,"Wolfe, Gene",076532458X,9780765324580,076532458X,302        pp,3.73,"2,019","Mar 01, 2010","Mar 16, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 04, 2013","Dec 20, 2013",,Hardcover,view,/book/show/6845909-the-sorcerer-s-house
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Lord Bird,"McBride, James*",1594486344,9781594486340,1594486344,417        pp,3.93,"33,436",2013,"Aug 20, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2013",,Hardcover,view,/book/show/16171272-the-good-lord-bird
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wool Omnibus        (Silo, #1)","Howey, Hugh*",,,,509        pp,4.22,"212,391","Jan 27, 2012","Jan 25, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As ""world building"" becomes more of a codified element of writing, I'm worrying that authors feel this is sufficient to make a book engaging. It isn'tAs ""world building"" becomes more of a codified element of writing, I'm worrying that authors feel this is sufficient to make a book engaging. It isn't sufficient for me. Howey makes the sort of authorial choices that drive me batty: hundreds of years in the future everyone speaks contemporary English except that ""dollars"" have become ""chits""; phrases repeat over and over (how many times do his characters run or dip their chins? Are chins the true windows to the soul?), Shakespeare is including for no purpose other than to give some sort of literary cred.What's particularly frustrating about that last one is it seems so clear that Romeo and Juliet isn't the source material for the book -- it's the video game Fallout. And he doesn't even do right to this source, as I loved that game, and I found this book a dud....more",Notes are private!,0,0,1,not set,"Sep 09, 2013","Dec 19, 2013",,Kindle Edition,view (with text),/book/show/13453029-wool-omnibus
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales from the Ninth World,"Cook, Monte",,9781939979032,,83        pp,3.31,106,"Jan 01, 2013","Jun 19, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a short, perfect for the road trip I was on when I read it. Even though it was brief, it hasn't been as ephemeral a read as I would have guesThis was a short, perfect for the road trip I was on when I read it. Even though it was brief, it hasn't been as ephemeral a read as I would have guessed it would be....more",Notes are private!,0,0,1,not set,"Jul 07, 2013","Dec 19, 2013",,ebook,view (with text),/book/show/18165003-tales-from-the-ninth-world
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Race Like No Other: 26.2 Miles Through the Streets of New York,"Robbins, Liz",0061373133,9780061373138,0061373133,352        pp,3.92,"1,337","Oct 01, 2008","Oct 07, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 19, 2013","Dec 19, 2013",,Hardcover,view,/book/show/3155737-a-race-like-no-other
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goldfinch,"Tartt, Donna",0316055433,9780316055437,0316055433,771        pp,3.94,"925,084","Sep 23, 2013","Oct 22, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 08, 2013","Dec 19, 2013",,Hardcover,view,/book/show/17333223-the-goldfinch
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Golem and the Jinni        (The Golem and the Jinni, #1)","Wecker, Helene*",0062110837,9780062110831,0062110837,486        pp,4.13,"123,834","Apr 13, 2013","Apr 23, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 20, 2013","Dec 19, 2013",,Hardcover,view,/book/show/15819028-the-golem-and-the-jinni
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fever,"Keane, Mary Beth*",1451693419,9781451693416,1451693419,306        pp,3.72,"15,086","Mar 12, 2013","Mar 12, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Sep 2013,"Dec 19, 2013",,Hardcover,view,/book/show/15802983-fever
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Private Memoirs and Confessions of a Justified Sinner,"Hogg, James",0192835904,9780192835901,0192835904,272        pp,3.67,"8,796",1824,"Oct 07, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 14, 2013","Dec 19, 2013",,Paperback,view,/book/show/87580.The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Very Recent History: An Entirely Factual Account of a Year (c. AD 2009) in a Large City,"Sicha, Choire",0061914304,9780061914300,0061914304,240        pp,3.20,662,"Feb 12, 2013","Aug 06, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The basic idea of the book is intriguing: New York's recent history as told from the perspective of big-picture statistics and up-close personal storiThe basic idea of the book is intriguing: New York's recent history as told from the perspective of big-picture statistics and up-close personal stories. As it plays out, these two different view points don't elucidate each other. At its worst, it reads like someone trying to make gossipy hook-ups sound deep. Similarly, I enjoyed the concept of writing about a New York social circle in tones other than breathless excitement, but after a few pages I was wishing Sicha would write in something closer to his normal online voice rather than this Tao Lin drag performance.What was most interesting about this book was how it never tried to make its case through easy empathy. Sicha proposes a New York of economics fiefdoms filled with kings and plebs. Even though Sicha clearly finds the behavior of the rich deplorable, he never feels the need to make the people he shows them abusing noble or even likeable. Whatever a Very Recent History is, it does not read like simple agitprop.I also laughed a handful times....more",Notes are private!,0,0,1,not set,"Sep 23, 2013","Sep 23, 2013",,Hardcover,view (with text),/book/show/15818106-very-recent-history
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,"Moskowitz, Tobias J.",0307591794,9780307591791,0307591794,255        pp,3.82,"5,602","Jan 01, 2011","Jan 25, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 28, 2013","Feb 04, 2013",,Hardcover,view,/book/show/9379180-scorecasting
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hackers: Heroes of the Computer Revolution,"Levy, Steven*",0141000511,9780141000510,0141000511,464        pp,4.16,"8,200",1984,"Jan 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book's strength is also a weakness: Levy clearly is close enough to this culture to bring an excitement and respect to the material, but he also This book's strength is also a weakness: Levy clearly is close enough to this culture to bring an excitement and respect to the material, but he also shares the casual sexism/classicism/racism of the ""meritocratic"" hacker culture. If the entire discussion as to why there were no female hackers is going to be one paragraph that concludes it's a ""hardware"" issue, don't bother having it....more",Notes are private!,0,0,1,not set,"Dec 26, 2012","Dec 26, 2012",,Paperback,view (with text),/book/show/56829.Hackers
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Known World,"Jones, Edward P.",0061159174,9780061159176,0061159174,388        pp,3.83,"41,274",Sep 2003,"Aug 29, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 09, 2012","Dec 21, 2012",,Paperback,view,/book/show/67.The_Known_World
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pudd'nhead Wilson,"Twain, Mark",0553211587,9780553211580,0553211587,160        pp,3.75,"18,407","May 10, 1893",1984,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 12, 2012","Dec 21, 2012",,Paperback,view,/book/show/682793.Pudd_nhead_Wilson
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fuzz One: A Bronx Childhood,"Fedorchak, Vincent",0972592016,9780972592017,0972592016,384        pp,4.43,54,"May 15, 2005","May 15, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2012",,Hardcover,view,/book/show/409794.Fuzz_One
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",1400044162,9781400044160,1400044162,433        pp,4.34,"158,861","Sep 12, 2006","Sep 12, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 10, 2012","Dec 11, 2012",,Hardcover,view,/book/show/18749.Half_of_a_Yellow_Sun
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tree Grows in Brooklyn,"Smith, Betty",0061120073,9780061120077,0061120073,496        pp,4.29,"465,581","Aug 18, 1943","May 30, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 10, 2012","Dec 11, 2012",,Paperback,view,/book/show/14891.A_Tree_Grows_in_Brooklyn
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The 7 Laws of Magical Thinking: How Irrational Beliefs Keep Us Happy, Healthy, and Sane","Hutson, Matthew*",1594630879,9781594630873,1594630879,304        pp,3.57,740,"Apr 12, 2012","Apr 12, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 10, 2012","Dec 11, 2012",,Hardcover,view,/book/show/12933497-the-7-laws-of-magical-thinking
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Herzog,"Bellow, Saul",0142437298,9780142437292,0142437298,371        pp,3.76,"21,510",1964,"Feb 25, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 10, 2012","Dec 11, 2012",,Paperback,view,/book/show/6551.Herzog
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"On Saudi Arabia: Its People, Past, Religion, Fault Lines - and Future","House, Karen Elliott",0307272168,9780307272164,0307272168,320        pp,3.78,"1,383","Jan 01, 2012","Sep 18, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2012",,Hardcover,view,/book/show/13330905-on-saudi-arabia
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And the Heart Says Whatever,"Gould, Emily*",1439123896,9781439123898,1439123896,211        pp,3.20,"1,119","May 04, 2010","May 04, 2010",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 03, 2012",,Paperback,view,/book/show/6764073-and-the-heart-says-whatever
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Master the Art of Running: Raising Your Performance with the Alexander Technique,"Balk, Malcolm",1843403390,9781843403395,1843403390,160        pp,3.65,66,"Mar 28, 2006","Mar 28, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The parts motivated by the Alexander Technique are pretty good, especially the emphasis on keeping the neck relaxed. I hear advice about keeping the sThe parts motivated by the Alexander Technique are pretty good, especially the emphasis on keeping the neck relaxed. I hear advice about keeping the shoulders relaxed a lot, but those two areas work together. Where this book really falters is when it advances the hot nonsense of Pose technique. Pose, for those unfamiliar, is a school of running created by some dude from Russia and brought to America because too many Eastern Europeans are really good at physics, and when they are instructed to run on a flat surface by ""using gravity rather than muscles to go forward"" they scrunch up their faces at how a downward force vector magically becomes a horizontal one. Thankfully, many Americans don't know physics, and apparently never suffered childhood disappointments at the limitations of slinkies and skateboards, and think this is a good idea. The inclusion of Pose was particularly disappointing because Alexander Technique, from what I understand, is about not overthinking things and letting the body do what it naturally wants to do, which would complement a Steve Magness/Tom Tellez understanding of biomechanics. ...more",Notes are private!,0,1,1,not set,"Jan 29, 2012","Feb 29, 2012",,Paperback,view (with text),/book/show/617214.Master_the_Art_of_Running
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga","Gravett, Paul",0789322714,9780789322715,0789322714,960        pp,3.86,318,2011,"Oct 25, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2012",,Hardcover,view,/book/show/10469840-1001-comics-you-must-read-before-you-die
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Momofuku Milk Bar: A Cookbook,"Tosi, Christina",0307720497,9780307720498,0307720497,256        pp,4.17,"4,476","Jan 01, 2011","Oct 25, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Choosing to organize the recipes with the ""mother"" elements at first struck me as gimmicky, but that coupled with how she writes about her recipes werChoosing to organize the recipes with the ""mother"" elements at first struck me as gimmicky, but that coupled with how she writes about her recipes were inspiring in how I can be creative in baking, which I tend to think of as much more reserved than cooking. The ratios for a given element might not change, but the way those elements are combined can get wild....more",Notes are private!,0,0,1,"Dec 15, 2011","Feb 16, 2012","Dec 15, 2011",,Hardcover,view (with text),/book/show/10679360-momofuku-milk-bar
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fat City,"Gardner, Leonard",0520206576,9780520206571,0520206576,183        pp,4.02,"3,793",unknown,"Oct 06, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 15, 2011","Jan 04, 2012","Dec 15, 2011",,Paperback,view,/book/show/154869.Fat_City
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Root For The Villain: Rap, Bull$hit, and a Celebration of Failure",J-Zone,0615532276,9780615532271,0615532276,206        pp,3.98,226,"Oct 03, 2011","Oct 03, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2011",,Paperback,view,/book/show/12953120-root-for-the-villain
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zone One,"Whitehead, Colson*",0385528078,9780385528078,0385528078,259        pp,3.26,"24,792","Oct 06, 2011","Oct 18, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 05, 2011","Apr 08, 2012","Dec 05, 2011",,Hardcover,view,/book/show/10365343-zone-one
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ceremony in Lone Tree,"Morris, Wright",0803282761,9780803282766,0803282761,304        pp,3.85,59,"Jan 01, 1960","Sep 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2011,"Nov 16, 2011",,Paperback,view,/book/show/857109.Ceremony_in_Lone_Tree
