,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Martyna (Książki na fali)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dożywocie        (Dożywocie, #1)","Kisiel, Marta",,9788367341592,,320        pp,4.14,"2,213","Nov 19, 2010","Jan 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2024","Jan 31, 2024","Jan 21, 2024",,Paperback,view,/book/show/75373895-do-ywocie
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lightfall. Utracone światło        (Lightfall, #1)","Probert, Tim",,9788366526198,,256        pp,4.41,"8,139","Sep 01, 2020","Oct 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/199047222-lightfall-utracone-wiat-o
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pozdrowienia z Wielorybiego Przylądka,"Iwasa, Megumi",838150287X,9788381502870,838150287X,104        pp,4.01,148,unknown,May 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/60726528-pozdrowienia-z-wielorybiego-przyl-dka
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kamogawa. Tropiciele smaków        (Kamogawa. Tropiciele smaków, #1)","Kashiwai, Hisashi",8367555228,9788367555227,,176        pp,3.70,"10,184","Nov 25, 2013","Jul 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/177774029-kamogawa-tropiciele-smak-w
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mala zima,"Kasparavičius, Kęstutis",,9789616970020,,76        pp,4.44,25,"Jan 01, 2010",2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pisałam podobne opowiadania jak byłam młodsza - na pograniczu realności i bajki. Podobały mi się, było w nich coś innego i ciekawego!",Notes are private!,0,0,1,"Dec 26, 2023","Dec 26, 2023","Dec 26, 2023",,Hardcover,view (with text),/book/show/25249972-mala-zima
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dopóki rosną cytrynowe drzewa,"Katouh, Zoulfa*",8367551788,9788367551786,8367551788,414        pp,4.51,"45,957","Sep 13, 2022","Aug 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Paperback,view,/book/show/194525351-dop-ki-rosn-cytrynowe-drzewa
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jak kochać własną córkę,"Blum, Hila",8381916496,9788381916493,,304        pp,3.59,"3,004","Feb 01, 2021","Aug 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Paperback,view,/book/show/179026202-jak-kocha-w-asn-c-rk
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bóg Imperator Diuny        (Kroniki Diuny, #4)","Herbert, Frank",8373018468,9788373018464,8373018468,490        pp,3.88,"111,859",May 1981,2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/8062813-b-g-imperator-diuny
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Zanim wyblakną wspomnienia        (Zanim wystygnie kawa, #3)","Kawaguchi, Toshikazu",8367817672,9788367817677,,320        pp,3.91,"30,745",Sep 2018,"Oct 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Paperback,view,/book/show/196014307-zanim-wyblakn-wspomnienia
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ulica siedmiu Mikołajów,"Pasikowska-Klica, Julita",,9788395308383,,48        pp,3.00,2,"Nov 10, 2021","Nov 10, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Trudno mi powiedzieć czemu - ale czułam, że to polska książka. Sporo wątków, różni bohaterowie, mam poczucie, że można by było prościej i fajniej.",Notes are private!,0,0,1,"Dec 20, 2023","Dec 20, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/59454984-ulica-siedmiu-miko-aj-w
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magiczny sklep z prezentami,"Powell-Tuck, Hoang Giang Maudie",8328088924,9788328088924,,unknown,4.25,4,unknown,"Jan 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wzruszająca - o tym, że wspólny czas to najcenniejszy prezent, jaki można podarować bliskim.",Notes are private!,0,0,1,"Dec 20, 2023","Dec 20, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/63896103-magiczny-sklep-z-prezentami
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swieta Pana Misia,"Wilson, Karma*",8396146292,9788396146298,,40        pp,4.30,"9,649",2004,"Jan 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Jedno słowo - kochana.,Notes are private!,0,2,1,"Dec 20, 2023","Dec 20, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/64415607-swieta-pana-misia
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jeden dzień w grudniu,"Silver, Josie*",8380313623,9788380313620,8380313623,432        pp,3.85,"309,176","Oct 18, 2018","Nov 14, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dość długa i rozciągnięta, a tak naprawdę fabułę można opowiedzieć w jednym zdaniu. Całkiem ok, taka do przeczytania i zapomnienia. Grube wyolbrzymienDość długa i rozciągnięta, a tak naprawdę fabułę można opowiedzieć w jednym zdaniu. Całkiem ok, taka do przeczytania i zapomnienia. Grube wyolbrzymienie w opisie, porównujące ją do ""To właśnie miłość"" i ""Dziennika Bridget Jones"". ...more",Notes are private!,0,1,1,"Dec 16, 2023","Dec 20, 2023","Dec 16, 2023",,Paperback,view (with text),/book/show/42863979-jeden-dzie-w-grudniu
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gwiazdkozaur,"Fletcher, Tom",,,,416        pp,4.20,"11,927","Oct 06, 2016","Oct 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/36498612-gwiazdkozaur
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moje drzewko pomarańczowe        (Zeze, #1)","Vasconcelos, José Mauro de",8374953195,9788374953191,8374953195,192        pp,4.39,"67,868",1968,Jan 2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 15, 2023",,Paperback,view,/book/show/6467705-moje-drzewko-pomara-czowe
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pianistka,"Jelinek, Elfriede",837414100X,9788374141000,837414100X,352        pp,3.58,"12,938",1983,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Paperback,view,/book/show/4638140-pianistka
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uwierz w Mikołaja,"Witkiewicz, Magdalena*",8380759168,9788380759169,8380759168,408        pp,3.90,"1,084","Oct 30, 2019","Oct 30, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Baaaaardzo podobna do ""Listów do M."". Ale dzięki temu podobieństwu jest ciepła i zabawna. Przyjemna na grudniowy, przedświąteczny czas.Baaaaardzo podobna do ""Listów do M."". Ale dzięki temu podobieństwu jest ciepła i zabawna. Przyjemna na grudniowy, przedświąteczny czas....more",Notes are private!,0,2,1,"Dec 10, 2023","Dec 16, 2023","Dec 10, 2023",,Paperback,view (with text),/book/show/52262970-uwierz-w-miko-aja
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grudniowy dom,"Knedler, Magda",8381353467,9788381353465,,320        pp,3.62,130,"Nov 08, 2023","Nov 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Książka była ok - po prostu nie jestem fanką tajemnic i tego, że bohaterowie ze sobą nie rozmawiają. Babcia głównej bohaterki wolała przygotować zagadKsiążka była ok - po prostu nie jestem fanką tajemnic i tego, że bohaterowie ze sobą nie rozmawiają. Babcia głównej bohaterki wolała przygotować zagadkę historii rodzinnej przed swoją śmiercią, zamiast wcześniej porozmawiać ze swoją wnuczką......more",Notes are private!,0,1,1,"Dec 05, 2023","Dec 10, 2023","Dec 05, 2023",,Paperback,view (with text),/book/show/199137665-grudniowy-dom
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Opowieści z Narnii. Tom I        (Opowieści z Narnii, #1-3)","Lewis, C.S.",,,,468        pp,4.14,"1,896",1950,2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Szkoda, że sięgnęłam po tę serię tak późno – bo bardzo pobudza wyobraźnię. Jako dorosła jednak doceniam ją również w kontekście symboliki. Szkoda, że Szkoda, że sięgnęłam po tę serię tak późno – bo bardzo pobudza wyobraźnię. Jako dorosła jednak doceniam ją również w kontekście symboliki. Szkoda, że nie ma jej w wersji audio, bo na pewno zapoznałabym się z całą serią szybciej. Niedługo jednak sama będę robić za lektorkę, czytając ją swojej córeczce....more",Notes are private!,0,0,1,"Dec 02, 2023","Dec 31, 2023","Dec 02, 2023",,Hardcover,view (with text),/book/show/18131827-opowie-ci-z-narnii-tom-i
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listy Świętego Mikołaja,"Tolkien, J.R.R.",,9788383350837,,192        pp,4.29,"22,763","Sep 02, 1976","Nov 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 27, 2023","Jan 25, 2024","Nov 25, 2023",,Hardcover,view,/book/show/201323111-listy-wi-tego-miko-aja
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Króliczek,"Awad, Mona*",8367891619,9788367891615,,400        pp,3.52,"190,865","Jun 11, 2019","Nov 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Paperback,view,/book/show/199214694-kr-liczek
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Zanim wystygnie kawa. Opowieści z kawiarni        (Zanim wystygnie kawa, #2)","Kawaguchi, Toshikazu",8367555732,9788367555739,,208        pp,4.00,"74,306","Mar 14, 2017","May 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/123216106-zanim-wystygnie-kawa-opowie-ci-z-kawiarni
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Złe kobiety,"Hesse, María",,9788380577725,,160        pp,3.98,"1,808","Feb 03, 2022","Nov 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/199333182-z-e-kobiety
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klub Smutnych Duchów 3. Znajdź swoją bratnią duszę,"Meddings, Lize",,9788383186993,,240        pp,4.04,"2,473",unknown,"Sep 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Klub Smutnych Duchów 1, 2 & 3Oceniam w całości, bo wszystkie 3 tomy czytało się ekspresowo. Są to uroczo pocieszające komiksy o smutnych duchach - czyKlub Smutnych Duchów 1, 2 & 3Oceniam w całości, bo wszystkie 3 tomy czytało się ekspresowo. Są to uroczo pocieszające komiksy o smutnych duchach - czyli ludziach nieśmiałych, niezauważonych i takich, których emocje potrafią przytłoczyć. ...more",Notes are private!,0,0,1,"Nov 14, 2023","Nov 14, 2023","Nov 14, 2023",,Paperback,view (with text),/book/show/198031806-klub-smutnych-duch-w-3-znajd-swoj-bratni-dusz
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klub smutnych duchów 2. Znajdź swoją bratnią duszę,"Meddings, Lize",,9788383186986,,256        pp,4.09,"4,901","Jan 06, 2022","Jun 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Klub Smutnych Duchów 1, 2 & 3Oceniam w całości, bo wszystkie 3 tomy czytało się ekspresowo. Są to uroczo pocieszające komiksy o smutnych duchach - czyKlub Smutnych Duchów 1, 2 & 3Oceniam w całości, bo wszystkie 3 tomy czytało się ekspresowo. Są to uroczo pocieszające komiksy o smutnych duchach - czyli ludziach nieśmiałych, niezauważonych i takich, których emocje potrafią przytłoczyć. ...more",Notes are private!,0,0,1,"Nov 10, 2023","Nov 10, 2023","Nov 10, 2023",,Paperback,view (with text),/book/show/151489171-klub-smutnych-duch-w-2-znajd-swoj-bratni-dusz
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Opowieści tajemnicze i szalone,"Poe, Edgar Allan",,,,144        pp,4.33,"2,744",unknown,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Hardcover,view,/book/show/60858251-opowie-ci-tajemnicze-i-szalone
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grzybnia,"Zielińska, Aleksandra",,9788326842030,,352        pp,3.60,73,"Oct 11, 2023","Oct 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2023",,Paperback,view,/book/show/199029380-grzybnia
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Opactwo Northanger,"Austen, Jane",8381399831,9788381399838,,240        pp,3.85,"401,103","Dec 20, 1817","Dec 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,Hardcover,view,/book/show/59471911-opactwo-northanger
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nie mam ochoty żyć, ale za bardzo lubię tteokbokki","Baek, Se-hee",8394282881,9788394282882,,176        pp,3.31,"51,816","Jun 20, 2018","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 06, 2023",,Paperback,view,/book/show/196930819-nie-mam-ochoty-y-ale-za-bardzo-lubi-tteokbokki
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,9788382029390,,450        pp,3.90,"718,650","Aug 23, 2022","Aug 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wszyscy bohaterowie piękni, zdolni i młodzi… W kategorii niezobowiązujących książek - całkiem przyjemna. Widziałam, że w tym uniwersum powstała jeszczWszyscy bohaterowie piękni, zdolni i młodzi… W kategorii niezobowiązujących książek - całkiem przyjemna. Widziałam, że w tym uniwersum powstała jeszcze jedna książka, więc kiedyś w sumie przeczytam. ...more",Notes are private!,0,1,1,"Sep 06, 2023","Sep 20, 2023","Sep 06, 2023",,Paperback,view (with text),/book/show/179977295-icebreaker
