,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brother of the More Famous Jack,"Trapido, Barbara",1620407221,9781620407226,1620407221,239        pp,3.88,"4,867","Oct 01, 1982","Nov 11, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A meticulous, kind, hyper-realistic portrait of messy, flawed humans—if Elana Ferrante wrote Bridget Jones, if Nick Hornby did a Jane Austen. I read tA meticulous, kind, hyper-realistic portrait of messy, flawed humans—if Elana Ferrante wrote Bridget Jones, if Nick Hornby did a Jane Austen. I read this because so many novelists I admired had wonderful things to say about it. I liked it a lot, although it was clearly a product of its era (80s). I think a lot of women will find our stumbling, smart, contradictory heroine relatable, and it has a lot of clever, non-preachy things to say about power imbalances in relationships. ...more",Notes are private!,0,109,1,"Nov 07, 2023","Nov 09, 2023","Nov 09, 2023",,Paperback,view (with text),/book/show/20518796-brother-of-the-more-famous-jack
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,019","Apr 05, 2005","Aug 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 18, 2023",,Paperback,view,/book/show/6334.Never_Let_Me_Go
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Saint Steps in,"Charteris, Leslie",,,,217        pp,3.76,147,1943,1943,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,ok but the Saint is kind of a dick,Notes are private!,1,127,1,not set,"Sep 27, 2023","Sep 27, 2023",,Hardcover,view (with text),/book/show/17226687-the-saint-steps-in
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Popisho,"Ross, Leone*",037460245X,9780374602451,037460245X,480        pp,3.83,"3,710","Apr 15, 2021","Apr 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 27, 2023","Aug 27, 2023",,Hardcover,view,/book/show/53317441-popisho
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crash,"Ballard, J.G.",0312420331,9780312420338,0312420331,224        pp,3.59,"25,746","Jun 28, 1973","Oct 05, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was recommended to me as a good time, but I'm not sure who it would be a good time for. Probably not for women or for cars, both of whom have a pThis was recommended to me as a good time, but I'm not sure who it would be a good time for. Probably not for women or for cars, both of whom have a pretty rough go of it in these pages....more",Notes are private!,1,173,1,not set,"Aug 27, 2023","Aug 27, 2023",,Paperback,view (with text),/book/show/70241.Crash
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,311        pp,4.21,"671,364",Apr 1966,"May 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, that was depressing.(ETA:Across social media, people are asking me how I got out of high school without reading this book — I didn't go to high Well, that was depressing.(ETA:Across social media, people are asking me how I got out of high school without reading this book — I didn't go to high school. I left after a partial year.)(look, don't do as I do, do as I say: STAY IN SCHOOL)Merged :Well, that was depressing.(ETA:Across social media, people are asking me how I got out of high school without reading this book — I didn't go to high school. I left after a partial year.)(look, don't do as I do, do as I say: STAY IN SCHOOL)...more",Notes are private!,0,7,2,not setnot set,"Mar 03, 2019not set","Aug 23, 2023",,Paperback,view (with text),/book/show/18373.Flowers_for_Algernon
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Attacked Pearl Harbor: The True Story of America's POW #1,"Sakamaki, Kazuo",0997074841,9780997074840,0997074841,153        pp,4.53,55,unknown,"Jun 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A brief first person account by a Japanese seaman who navigated one of the handful of suicidal two-person microsubmarines during the attack on Pearl HA brief first person account by a Japanese seaman who navigated one of the handful of suicidal two-person microsubmarines during the attack on Pearl Harbor, POW #1. This was written for a Japanese audience, not an American one, to explain—to justify—his transformation in the POW camp, from cog in the military machine to something more complex. The chapter on Japanese POWs and suicide was harrowing; I didn't intentionally read this so soon after seeing Oppenheimer, but it certainly was a potent pairing. ...more",Notes are private!,0,95,1,not set,"Aug 22, 2023","Aug 22, 2023",,Paperback,view (with text),/book/show/35307637-i-attacked-pearl-harbor
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",0593311299,9780593311295,0593311299,303        pp,3.75,"336,616","Mar 02, 2021","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 30, 2023","Aug 05, 2023","Jul 30, 2023",,Paperback,view,/book/show/59999991-klara-and-the-sun
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1527200280,9781527200289,1527200280,0        pp,4.26,"214,042","Sep 28, 2021",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the story of how this novel first came to my attention:I was standing in a bookstore when a young man walked in, straight to the new release sThis is the story of how this novel first came to my attention:I was standing in a bookstore when a young man walked in, straight to the new release section, and pointed at this book. He hissed at it furiously, ""You're a bad book!"" and then, without further remark, walked away.About a year later, I could no longer fight my curiosity. I bought a copy.What do I think? Is it a bad book? I think it is an ambitious, tangled, heady sort of book that is magnificent when it works and dully impotent when it doesn't. It is the sort of ambitious novel that is difficult to judge, since it only drops so many things because it is trying to carry so much. I expect it to be loved or hated, but most of all remembered. Since I think that's the author's stated purpose for it, five stars....more",Notes are private!,0,269,1,not set,"Jul 30, 2023","Jul 30, 2023",,Paperback,view (with text),/book/show/70846883-cloud-cuckoo-land
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lottery and Other Stories,"Jackson, Shirley",,,,306        pp,4.03,"77,560",1949,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A precisely written collection from a writer with a firm place in the horror genre's pedigree. These closely observed stories are more dreadful (in thA precisely written collection from a writer with a firm place in the horror genre's pedigree. These closely observed stories are more dreadful (in the sense of invoking dread) than horrific (in the sense of the modern horror genre), with most of their uneasy power coming from a razor-sharp portrayal of the mundane. I didn't love any of these stories, just as I didn't love her novel-length WE HAVE ALWAYS LIVED IN THE CASTLE, but I can see how she landed a place in canon. It's worth noting that this collection ends with ""The Lottery,"" a story everyone except for me seems to have read in school. I see why it's assigned; the tale of how we all participate in perpetuating small horrors in the name of tradition is still gruesomely true today. Humans, man. Can't live with 'em, can't live without 'em....more",Notes are private!,0,148,1,"May 08, 2023","May 29, 2023","May 29, 2023",,Paperback,view (with text),/book/show/33558438-the-lottery-and-other-stories
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,False Light,"Dezenhall, Eric*",1626347506,9781626347502,B08V9FVBDM,307        pp,4.06,135,"Feb 23, 2021","Feb 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this voice-y ""thriller"" on a plane and found it a well-constructed tale, although not ""thrilling"" in the least (I say this as a fond reader of I read this voice-y ""thriller"" on a plane and found it a well-constructed tale, although not ""thrilling"" in the least (I say this as a fond reader of thrillers and of non-thrillers. This one belongs in the latter). It's more of a contemporary fiction with thriller aesthetics. After a young woman is assaulted by an influencer, our jaded narrator is brought in to enact revenge against a presumably impossible-to-prosecute aggressor. The author is a public relations crisis manager, and he brings his expertise to this morally gray narrative. It was fascinating to read this on the plane ride over and watch Tár on the plane back. Both of them are examinations of real villainy versus cancelable villainy, and both see bad actors go down for crimes they didn't commit in order to get justice for the more secret crimes they did. I preferred Tár's examination as it felt more constructed and layered, but FALSE LIGHT was a perfectly diverting time, if not a re-read for me. I'll be interested to see what Dezenhall does next....more",Notes are private!,0,71,1,"May 15, 2023","May 15, 2023","May 24, 2023",,Kindle Edition,view (with text),/book/show/56877674-false-light
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Sand and Fog,"Dubus III, Andre",0393356345,9780393356342,0393356345,384        pp,3.86,"132,993",1999,"Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"well, this was not a fun time, she remarked[*note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced listwell, this was not a fun time, she remarked[*note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced list of recommended standalone novels published between 1985-2007: https://docs.google.com/spreadsheets/...Please know that I am a brittle and crotchety reader, so please don't take my opinions on these novels as universal.]This might be my last attempt at my retro-reading challenge, guys. Mayhap I have already read the books I wanted to read from that time period....more",Notes are private!,0,82,1,not set,not set,"May 07, 2023",,Paperback,view (with text),/book/show/38311414-house-of-sand-and-fog
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enemies Are Human,"Pabel, Reinhold",,,B0006D8B0C,0        pp,4.43,14,"Jul 01, 2014",1955,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I recently read this battered, strange book—a 1955 memoir by a German soldier who escaped from an American POW camp...and founded a bookstore in ChicaI recently read this battered, strange book—a 1955 memoir by a German soldier who escaped from an American POW camp...and founded a bookstore in Chicago under an assumed name until his capture years later.I was reminded of this book today because I was told Shiver was among many books just removed from Clay Co. libraries in Florida (other titles removed include BAN THIS BOOK, by Alan Gratz, WINTERGIRLS by Laure Halse Anderson, and WE ARE HERE TO STAY: VOICES OF UNDOCUMENTED AMERICANS). A single man nominated them for removal and assessment.Pabel, the author of this memoir, was sent by the Nazis to ""liberate"" Ukraine on the Eastern Front, finding out how false the hero narrative was many months into the war. He spoke both Russian and German, and as a bibliophile, he visited libraries even in the countries he marched through. He wrote at length about the different ways both Germany and Russia censored books-sometimes by altering content, sometimes by simply limiting access. He also writes of how shocked he is to find Americans able to say and read anything they like, speaking against atrocities. Eventually, he became an American.It's a hard, graphic memoir of war, obviously severely biased by the era and author, but it really drove home how censorship and book banning, no matter what you call it, is not about a particular political party: it is simply about consolidating power.My kids are now about to turn 18 & 19 and both will tell you that I was a strict parent. But I never felt threatened by the contents of my school library, because I talked with my kids, read what they read, made sure the door was open for them to be curious and critical.This openness is what made us a brilliant place to live; I sincerely hope we don't let fear shrink our world to a place we don't recognize....more",Notes are private!,0,205,1,not set,"Feb 12, 2023","Apr 12, 2023",,Hardcover,view (with text),/book/show/128849991-enemies-are-human
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verity,"Hoover, Colleen*",153872474X,9781538724743,153872474X,336        pp,4.32,"2,673,624","Dec 07, 2018","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,my uncle in law made me read this bookMARK I READ IT ARE YOU HAPPY NOWa r e y o u h a p p y,Notes are private!,1,639,1,not set,"Mar 16, 2023","Mar 16, 2023",,ebook,view (with text),/book/show/59344312-verity
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death and Life of Charlie St. Cloud,"Sherwood, Ben",0553802208,9780553802207,0553802208,288        pp,4.00,"55,512","Mar 04, 2004","Mar 02, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a well-meaning novel about a young man haunted by the death of his younger brother . . . literally. After a car crash kills one and spares oneThis is a well-meaning novel about a young man haunted by the death of his younger brother . . . literally. After a car crash kills one and spares one, the living brother, Charlie, continues to interact with the one whose life was lost, Sam. Their story interacts with Tess, a woman training for a solo sailing trip around the world.I found this one pretty unremarkable, a novel of its time. I can see why it became a film, as the plot is very movie-shaped, but it was a bit too earnest or straightforward for my dark-hearted Wednesday Addams tastes. Needs more cowbell, or something.*note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced list of recommended standalone novels published between 1985-2007: https://docs.google.com/spreadsheets/...Please know that I am a brittle and crotchety reader, so please don't take my opinions on these novels as universal....more",Notes are private!,0,98,1,"Mar 06, 2023","Mar 08, 2023","Mar 08, 2023",,Hardcover,view (with text),/book/show/2384089.The_Death_and_Life_of_Charlie_St_Cloud
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sentence,"Erdrich, Louise",006267112X,9780062671127,006267112X,387        pp,3.96,"68,596","Nov 09, 2021","Nov 09, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is this the first book that pleased me this year? I think it is. How agreeable it is to discover my reader heart has not become a complete husk! The jIs this the first book that pleased me this year? I think it is. How agreeable it is to discover my reader heart has not become a complete husk! The jacket of this novel says it's about a bookstore haunted by the ghost of a longtime (and annoying) customer, but really, that's just an excuse for pages and pages of a classily written, Gilmore-Girls-esque collection of Native women living complex found-family lives in 2019-2020 Minneapolis. This novel is also full of books, as one would expect in a book about a bookseller, and I like the recommended book lists at the end! The ghost plot gallops and then tip toes and then eventually shrugs along, which I think will drive some readers batty, but I generally felt the carefully drawn portrait of the main character Tookie was enough to pull me through. Speaking of Tookie, I read a few s here before I wrote this one and was surprised to find some people saying they didn't find her realistic or 3D—she reminded me so very uncannily of someone I know, both good and bad, that I felt Erdrich must have had someone like her very much in mind. It seems appropriate that the first book to break me from my reader slump is a book about readers. A long time ago, I spotted a little girl reading a board book in a bookstore. When she got to the last page, she patted the cover and said ""Thank you, book!""well, thank you, book!...more",Notes are private!,0,206,1,"Feb 28, 2023","Mar 05, 2023","Feb 28, 2023",,Hardcover,view (with text),/book/show/56816904-the-sentence
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Skin of a Lion,"Ondaatje, Michael",0679772669,9780679772668,0679772669,256        pp,3.85,"18,262",1987,"Jan 14, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not for me.If I'd known Ondaatje had a Booker Prize book (The English Patient) to his name, I probably would have considered myself warned; I bounce oNot for me.If I'd known Ondaatje had a Booker Prize book (The English Patient) to his name, I probably would have considered myself warned; I bounce off Bookers like . . . like . . . what's something that bounces? Like jell-o bounces off a duck's back. I used to think I wasn't clever enough for Booker winners, and now I just think that Bookers tend to prioritize recursive, thematic novels without a lot of aggressive external structure, and I, a straightforward creature, love an aggressive external structure. Use this information as you will.*note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced list of recommended standalone novels published between 1985-2007: https://docs.google.com/spreadsheets/...Please know that I am a brittle and crotchety reader, so please don't take my opinions on these novels as universal....more",Notes are private!,0,100,1,not set,"Feb 27, 2023","Feb 27, 2023",,Paperback,view (with text),/book/show/5946.In_the_Skin_of_a_Lion
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Housekeeper and the Professor,"Ogawa, Yōko",0312427808,9780312427801,0312427808,180        pp,4.05,"74,599","Aug 29, 2003","Feb 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel is a brief, delicate, slow-moving character portrait. The Housekeeper is a gentle but stubborn single mother who never finished school; theThis novel is a brief, delicate, slow-moving character portrait. The Housekeeper is a gentle but stubborn single mother who never finished school; the Professor is a math genius with a short term memory of only 80 minutes following a long-ago head injury. The plot of the book, in its entirety, is: will they become friends?In between their first meeting and the ultimate culmination of friendship, there is a lot of math, baseball, and math about baseball. Personally, as someone who comes from a more genre reading background, I was really longing by the end for a little magic, or a little murder, or a little mayhem. I think it reads like a long-form poem about relationships and math and truth than a novel, and if that is what you are in the mood for, you'll love it—the stakes are quite low and the vibes are quite high. It reminded me ever so slightly of Elizabeth McCracken's THE GIANT'S HOUSE . . . I think if you adored that one, you might like this one.*note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced list of recommended standalone novels published between 1985-2007: https://docs.google.com/spreadsheets/...Please know that I am a brittle and crotchety reader, so please don't take my opinions on these novels as universal....more",Notes are private!,0,124,1,"Feb 18, 2023","Feb 22, 2023","Feb 18, 2023",,Paperback,view (with text),/book/show/3181564-the-housekeeper-and-the-professor
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Foot in Eden,"Rash, Ron*",0312423055,9780312423056,B000C4SLA0,214        pp,4.13,"5,652",2002,"Jan 03, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a book about the South. Not the Sweet Tea Magnolia South, a favorite of authors everywhere, but the Marlboro Mosquito South, a favorite of a dThis is a book about the South. Not the Sweet Tea Magnolia South, a favorite of authors everywhere, but the Marlboro Mosquito South, a favorite of a different sort of author everywhere. Rash's debut (I think) tells the story of a man accused of murder, a wife desperate for a baby, a Korean war hero unsuited for civilian life. Also the Widow Glendower, who is not a witch, probably. There's lots of dialectin' and quilt washin' and plow horse shootin' (sorry, spoiler) and sheriffin' about. Was it well written? Yes.Did I like it? No.I think those who read SERENA and loved it will probably like this one, too, the sensibilities are the same; I didn't realize they were the same author until I got to the section narrated by the wife and thought A-HA HM YES I SEE. For me, it was just a little too joyless. Either the characters or I need to be having a good time at some point in a novel, and this was . . . well, it was a lot of marlboros and mosquitos, without ever saying marlboro or mosquito. I'm beginning to doubt if truthfully chronicling my experience of reading my way through this list* is a good idea; I'm going to look very crotchety indeed by the end. It's worth emphasizing once again that I am a brittle and crotchety reader, so please don't take my opinions on these novels as universal.*note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced list of recommended standalone novels published between 1985-2007:https://docs.google.com/spreadsheets/......more",Notes are private!,0,125,2,"Feb 13, 2023not set","Feb 15, 2023not set","Feb 16, 2023",,Paperback,view (with text),/book/show/545981.One_Foot_in_Eden
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Extremely Loud & Incredibly Close,"Foer, Jonathan Safran *",0618711651,9780618711659,0618711651,326        pp,3.97,"420,933",2005,"Apr 04, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A 9-11 novel, narrated by a precocious 9 year old who lost his father. I feel strongly that folks who are currently adoring Fredrik Backman or Matt HaA 9-11 novel, narrated by a precocious 9 year old who lost his father. I feel strongly that folks who are currently adoring Fredrik Backman or Matt Haig's work would also enjoy this one. It has the same way of using a variety of devices to look right at unpleasant things while not being unpleasant to read. It also has an amiable and optimistic view of humanity. Foer introduces us to a massive cast of characters, who are all generally doing their best.The nattering first person style means that pages turn quickly and easily, and the specificity of the setting means you really feel you've been taken somewhere real.For me, however, it was ultimately too sweet. I needed it to either be 150 fewer pages, so that the thought exercise could really shine, or I needed it to be a little less gentle in its handling of the reader. JOSTLE ME. JOSTLE ME!Also note: I tackled this book as part of my 2023 reading challenge to read books from this crowd-sourced list of recommended standalone novels published between 1985-2007: https://docs.google.com/spreadsheets/...I am a brittle and crotchety reader, so please don't take my opinions on these novels as universal....more",Notes are private!,0,150,1,Feb 2023,"Feb 03, 2023","Feb 03, 2023",,Paperback,view (with text),/book/show/4588.Extremely_Loud_Incredibly_Close
