,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,elle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Breath of Life,"Lispector, Clarice",0811219623,9780811219624,0811219623,167        pp,4.28,"3,003",1978,"Jun 13, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i adore clarice lispector.she makes language and literature malleable; she stretches and folds sentences into a beautiful melody of words that nobody i adore clarice lispector.she makes language and literature malleable; she stretches and folds sentences into a beautiful melody of words that nobody else can emulate. while this book is less than 200 pages, it took me a bit to get through because it is so jam packed with poetic imagery and introspection. this is definitely a book i will return to, mark pages, and study. i'm sure i'll have a different interpretation when i read it again....more",Notes are private!,0,58,1,"Feb 04, 2024","Feb 09, 2024","Feb 11, 2024",,Paperback,view (with text),/book/show/13082431-a-breath-of-life
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ruth & Pen,"Pine, Emilie",0241393663,9780241393666,0241393663,240        pp,3.71,"2,808",unknown,"May 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/58709512-ruth-pen
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangsaman,"Jackson, Shirley",0141391987,9780141391984,0141391987,240        pp,3.78,"8,478",1951,"Dec 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/20362391-hangsaman
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invention of Morel,"Bioy Casares, Adolfo",1590170571,9781590170571,1590170571,103        pp,4.02,"25,353",1940,"Aug 31, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/94486.The_Invention_of_Morel
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Post-Office Girl,"Zweig, Stefan",1590172620,9781590172629,1590172620,257        pp,4.09,"7,138",1982,"Apr 15, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/2376087.The_Post_Office_Girl
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Swimmers,"Lane, Chloe",,,1913547310,224        pp,3.71,352,"May 19, 2022","May 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/59425645-the-swimmers
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Work,"Ravn, Olga",0811234711,9780811234719,0811234711,416        pp,4.03,"2,014","Sep 04, 2020","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/88564034-my-work
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fight Night,"Toews, Miriam",1635578175,9781635578171,1635578175,255        pp,4.04,"17,507","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Hardcover,view,/book/show/56978048-fight-night
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Sur,"Kerouac, Jack",,,,186        pp,3.84,"34,839","Sep 11, 1962",2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/50404962-big-sur
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone and Everything,"Cohen, Nadine J.",0645757802,9780645757804,B0CB9B43RV,308        pp,4.34,"1,683","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/175729372-everyone-and-everything
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trio,"Hedman, Johanna",0241551668,9780241551660,0241551668,272        pp,3.57,"6,093","Jul 23, 2021","Jul 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/59238556-the-trio
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hurricane Girl,"Dermansky, Marcy*",0593320883,9780593320884,0593320883,240        pp,3.66,"5,264","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/58065398-hurricane-girl
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghost Lover,"Taddeo, Lisa*",1982122188,9781982122188,1982122188,225        pp,3.30,"5,311","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/59366097-ghost-lover
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr Salary,"Rooney, Sally*",0571351956,9780571351954,0571351956,33        pp,3.79,"29,283","Apr 26, 2016","Feb 03, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,sally please please make this a full length novel i love you i really do,Notes are private!,0,104,1,"Feb 06, 2024","Feb 06, 2024","Feb 06, 2024",,Paperback,view (with text),/book/show/34234631-mr-salary
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ANAGRAMS.,"Moore, Lorrie",,,B001JZ4M36,0        pp,3.93,"4,721",1986,"Jan 01, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/128479975-anagrams
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh, Sister","Chapman, Jodie*",0241456959,9780241456958,0241456959,352        pp,4.23,935,"Apr 13, 2023","Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/61398410-oh-sister
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Big Storm Knocked It Over,"Colwin, Laurie",0063046431,9780063046436,0063046431,256        pp,3.77,"1,510","Sep 01, 1993","Mar 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/54619020-a-big-storm-knocked-it-over
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary Human Failings,"Nolan, Megan",1787332500,9781787332508,1787332500,224        pp,3.83,"3,660","Jun 15, 2023","Jul 13, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,so sad i didn't love this :-( to come.⸻⸻⸻⸻⸻⸻⸻emma & leah both told me this was like penance by eliza clark so of course i'm reading itso sad i didn't love this :-( to come.⸻⸻⸻⸻⸻⸻⸻emma & leah both told me this was like penance by eliza clark so of course i'm reading it...more,Notes are private!,0,52,1,"Feb 07, 2024","Feb 13, 2024","Feb 06, 2024",,Hardcover,view (with text),/book/show/62601701-ordinary-human-failings
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seventeen,"Gibson, Joe",1398522481,9781398522480,,352        pp,4.18,567,"Jul 20, 2023","Jul 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,ebook,view,/book/show/63068790-seventeen
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolutely and Forever,"Tremain, Rose",1784745200,9781784745202,B0C13K6GT7,177        pp,3.93,"1,919","Sep 21, 2023","Sep 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Kindle Edition,view,/book/show/74951746-absolutely-and-forever
