,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Дмитрий's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Italyanskiy s Gabriele dâ€™Annuntsio. Vozvraschenie Turlendany. Uchebnoe posobie,"Olga, Romanova",5787313771,9785787313772,5787313771,160        pp,5.00,1,unknown,"Jan 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Прекрасный сборник,Notes are private!,0,0,1,"Jan 28, 2024","Feb 04, 2024","Jan 28, 2024",,Paperback,view (with text),/book/show/199878199-italyanskiy-s-gabriele-d-annuntsio-vozvraschenie-turlendany-uchebnoe
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Time Shelter,"Gospodinov, Georgi",1324090952,9781324090953,1324090952,304        pp,3.79,"15,054","Apr 29, 2020","May 10, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 28, 2024","Feb 06, 2024","Jan 28, 2024",,Hardcover,view,/book/show/58999261-time-shelter
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,645","Jan 16, 2024","Jan 16, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 21, 2024","Jan 28, 2024","Jan 21, 2024",,Hardcover,view,/book/show/123206645-the-fury
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Итальянский с Лаурой Риччи. Додекаполис. Городские истории / Laura Ricci. Dodecapoli,"Франк, Илья",,,,unknown,4.00,1,unknown,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Каждый рассказ должен являться сплетением истории города и персонажа, но наиболее ярко это выражено только в последнем рассказе - Melodramma familiareКаждый рассказ должен являться сплетением истории города и персонажа, но наиболее ярко это выражено только в последнем рассказе - Melodramma familiare - который повествует о Милане и музыкальной семье главной героини....more",Notes are private!,0,1,1,"Jan 14, 2024","Jan 28, 2024","Jan 14, 2024",,Paperback,view (with text),/book/show/53133004-laura-ricci
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Argylle,"Conway, Elly",0593600010,9780593600016,0593600010,384        pp,3.29,"7,470","Jan 04, 2024","Jan 09, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Обычный шпионский роман. Но почему в книге столько орфографических ошибок? Это какой-то код?..,Notes are private!,0,1,1,"Jan 11, 2024","Jan 21, 2024","Jan 11, 2024",,Hardcover,view (with text),/book/show/195608705-argylle
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ocherki po leksikologii italjanskogo jazyka,"Cherdantseva, T. Z.",5971078763,9785971078760,5971078763,184        pp,1.00,1,unknown,"Jan 01, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"сборник лекций, а не очерков",Notes are private!,0,0,1,"Nov 18, 2023","Jan 13, 2024","Nov 18, 2023",,Paperback,view (with text),/book/show/120868481-ocherki-po-leksikologii-italjanskogo-jazyka
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La solitudine dei numeri primi,"Giordano, Paolo",8804577029,9788804577027,8804577029,304        pp,3.64,"74,405","Jul 01, 2008","Jul 01, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 25, 2023","Nov 18, 2023","Sep 25, 2023",,Hardcover,view,/book/show/3828372-la-solitudine-dei-numeri-primi
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twenty Days of Turin,"De Maria, Giorgio",1631492292,9781631492297,1631492292,224        pp,3.70,"2,158",1977,"Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2023",,Hardcover,view,/book/show/30285138-the-twenty-days-of-turin
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Камера Обскура,"Nabokov, Vladimir",538907985X,9785389079854,538907985X,416        pp,4.00,"18,359",1932,2014,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"прекрасная проза, отвратительный сюжет",Notes are private!,0,5,1,"Aug 08, 2023","Aug 09, 2023","Aug 08, 2023",,Hardcover,view (with text),/book/show/23259829
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Хирург,"Stepnova, Marina",5170771533,9785170771530,5170771533,285        pp,3.20,207,2005,2013,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 21, 2023","Jul 26, 2023","Jul 21, 2023",,Hardcover,view,/book/show/15742126
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Portugalskie skazki. Uchebnoe posobie,"I., Frank",578731249X,9785787312492,578731249X,192        pp,3.00,1,unknown,"Jan 01, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 19, 2023","Oct 17, 2023","Jul 19, 2023",,Paperback,view,/book/show/193437953-portugalskie-skazki-uchebnoe-posobie
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Che la festa cominci,"Ammaniti, Niccolò",8806191012,9788806191016,8806191012,328        pp,3.52,"5,123",2009,"Oct 26, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 19, 2023","Sep 19, 2023","Jul 19, 2023",,Paperback,view,/book/show/7062441-che-la-festa-cominci
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Contos com Nível QECR Nível B1,"Martins, Ana, Sousa",,9789897524066,9897524061,140        pp,4.33,3,unknown,Feb 2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 13, 2023","Jul 19, 2023","Jul 19, 2023",,Paperback,view,/book/show/53634299-contos-com-n-vel-qecr-n-vel-b1
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The High Mountains of Portugal,"Martel, Yann",0812997174,9780812997170,0812997174,332        pp,3.39,"19,594","Feb 02, 2016","Feb 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 12, 2023",,Hardcover,view,/book/show/25489094-the-high-mountains-of-portugal
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Солнце и сталь,"Mishima, Yukio",,9785389135925,538913592X,288        pp,3.90,"5,438",1968,2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jun 11, 2023","Jun 12, 2023","Jun 11, 2023",,Paperback,view,/book/show/30983400
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Патриотизм,"Mishima, Yukio",,,,29        pp,4.10,"3,992","Jan 30, 1961",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,ироничное название,Notes are private!,0,3,1,"May 27, 2023","May 27, 2023","May 27, 2023",,ebook,view (with text),/book/show/30520451
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Маркиза де Сад,"Mishima, Yukio",5267003468,9785267003469,5267003468,288        pp,3.76,605,Nov 1965,2000,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 26, 2023","May 27, 2023","May 26, 2023",,Hardcover,view,/book/show/7605549
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Моряк, которого разлюбило море","Mishima, Yukio",9785699501,9789785699500,9785699501,224        pp,3.85,"40,992","Sep 01, 1963",2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,":О даже не знаю, заслуживает этот роман одну звезду или пять...",Notes are private!,0,5,1,"May 23, 2023","May 25, 2023","May 23, 2023",,Hardcover,view (with text),/book/show/13386082
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Золотой Храм,"Mishima, Yukio",,,,352        pp,3.98,"19,745",1956,2010,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 23, 2023","May 23, 2023","Apr 23, 2023",,Paperback,view,/book/show/18139826
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",059332062X,9780593320624,059332062X,352        pp,4.02,"139,066","Aug 30, 2022","Dec 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 20, 2023",,Hardcover,view,/book/show/63947323-the-marriage-portrait
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Жажда любви,"Mishima, Yukio",,,,224        pp,3.64,"5,805","Jun 30, 1950",2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Apr 09, 2023","May 22, 2023","Apr 09, 2023",,Paperback,view,/book/show/1472997._
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Исповедь маски,"Mishima, Yukio",5352002306,,,240        pp,3.95,"30,459",1949,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"отличный перевод, интересно, Акунин так же хорошо пишет, как переводит?",Notes are private!,0,6,1,"Apr 08, 2023","Apr 09, 2023","Apr 08, 2023",,Paperback,view (with text),/book/show/331786._
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Passaporte para Portugues: Livro do Aluno + ficheiros audio (downloadable au,"Kuzka, Robert",9897521925,9789897521928,9897521925,0        pp,5.00,4,unknown,"Nov 21, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Один из лучших учебников для изучения иностранного языка.,Notes are private!,0,4,1,Jun 2022,"Mar 26, 2023","Mar 26, 2023",,Paperback,view (with text),/book/show/51976140-passaporte-para-portugues
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Passaporte para Portugues: Caderno de Exercicios 2 (B1)        (B1) (Passaporte Para Portugus),"Kuzka, Robert",9897521933,9789897521935,9897521933,0        pp,5.00,3,unknown,"Jun 28, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Jun 2022,"Mar 26, 2023","Mar 26, 2023",,Paperback,view,/book/show/51074371-passaporte-para-portugues
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Per Isabel. Un mandala,"Tabucchi, Antonio",8807030632,9788807030635,8807030632,128        pp,3.48,912,"Sep 20, 2013","Oct 09, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,рефрен из романа spiegati meglio отлично отражает мои чувства во время прочтения,Notes are private!,0,5,1,"Mar 26, 2023","Apr 08, 2023","Mar 26, 2023",,Paperback,view (with text),/book/show/18656280-per-isabel-un-mandala
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gramática Ativa 1,"Coimbra, Olga Mata",9727576389,9789727576388,9727576389,140        pp,4.68,22,"Jan 01, 2002","Jan 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 26, 2022","Dec 16, 2022","Mar 26, 2023",,Paperback,view,/book/show/13419818-gram-tica-ativa-1
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Minha História de Portugal,"Jesus, Elisabete",9720701900,9789720701909,9720701900,144        pp,4.57,7,unknown,Aug 2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 25, 2022","Mar 28, 2023","Mar 25, 2023",,Hardcover,view,/book/show/41733947-a-minha-hist-ria-de-portugal
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A1-A2 - Kaltes Blut: Heimliche Rache in Garmisch. Krimi-Lektüre als E-Book (Lextra - Deutsch als Fremdsprache - DaF-Lernkrimis: SIRIUS ermittelt),"Dittrich, Roland",3589021276,9783589021277,B00P1DEL42,48        pp,3.10,40,"Jan 01, 2011","Jul 20, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 25, 2023","Mar 25, 2023","Mar 25, 2023",,Kindle Edition,view,/book/show/25492074-a1-a2---kaltes-blut
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Blog de Maïa,"Coutelle, Annie",9782011556,,,24        pp,3.12,72,"Jan 14, 2009",2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 24, 2023","Mar 25, 2023","Mar 24, 2023",,Paperback,view,/book/show/18111029-le-blog-de-ma-a
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Collection Alex Leroc. L'ange gardien + CD,"Lause, Christian",8484433986,9788484433989,8484433986,64        pp,3.21,28,"Jan 01, 2007","Jul 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Лучший рассказ в серии.,Notes are private!,0,1,1,"Mar 23, 2023","Mar 25, 2023","Mar 24, 2023",,Paperback,view (with text),/book/show/13317668-collection-alex-leroc-l-ange-gardien-cd
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La casa in collina,"Pavese, Cesare",8806118293,9788806118297,8806118293,172        pp,3.70,"6,595",1948,"Jan 05, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2023",,Paperback,view,/book/show/852842.La_casa_in_collina
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il commissario Montalbano e i miracoli di Trieste,"Camilleri, Andrea",9783897476,,,48        pp,4.67,3,unknown,Sep 2006,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Совсем забыл, что Камиллери использовал сицилийский язык в своих романах про Монтальбано, - читать было сложно. Рассказы забавные, хотя и однотипные.НСовсем забыл, что Камиллери использовал сицилийский язык в своих романах про Монтальбано, - читать было сложно. Рассказы забавные, хотя и однотипные.Неаполитанский Элены Ферранте, romanesco в сериале Le Fate Ignoranti, calabrese в Le buone madri... что же дальше :) ...more",Notes are private!,0,1,1,"Mar 17, 2023","Mar 22, 2023","Mar 21, 2023",,,view (with text),/book/show/34739222-il-commissario-montalbano-e-i-miracoli-di-trieste
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ferrovie del Messico,"Griffi, Gian Marco",,9791280845023,B09NR8D39T,824        pp,4.14,"1,324","May 26, 2022","May 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2023",,Paperback,view,/book/show/61239278-ferrovie-del-messico
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gli indifferenti,"Moravia, Alberto",8845281477,9788845281471,8845281477,324        pp,3.75,"8,117",1929,Mar 2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,для любителей periodo ipotetico dell'impossibilità... Отличный клаустрофобный роман.для любителей periodo ipotetico dell'impossibilità... Отличный клаустрофобный роман....more,Notes are private!,0,3,1,"Mar 18, 2023","Mar 24, 2023","Mar 18, 2023",,Paperback,view (with text),/book/show/32469011-gli-indifferenti
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Knight in the Panther's Skin,"Rustaveli, Shota",1560725915,9781560725916,1560725915,259        pp,4.64,"2,591",1205,1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2023",,Hardcover,view,/book/show/390966.The_Knight_in_the_Panther_s_Skin
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Branchie,"Ammaniti, Niccolò",8806143549,9788806143541,8806143549,185        pp,3.24,"2,147",1994,"Jan 01, 1997",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,pulp fiction at its worst.,Notes are private!,0,3,1,"Mar 15, 2023","Mar 15, 2023","Mar 15, 2023",,Paperback,view (with text),/book/show/1860344.Branchie
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Parure,"Bazin, Annie",,,,31        pp,3.88,8,unknown,2007,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 12, 2023","Mar 12, 2023","Mar 12, 2023",,,view,/book/show/43569515-la-parure
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Boite En Os (Lire Et S'Entrainer),"Hatuel, Domitille",8853002336,9788853002334,8853002336,64        pp,2.78,9,"Jan 01, 2008","Jan 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 12, 2023","Mar 12, 2023","Mar 12, 2023",,Paperback,view,/book/show/13294556-la-boite-en-os-lire-et-s-entrainer
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Julie Est Amoureuse (Lire En Francais Facile: Level 2)        (Lire En Francais Facile: Level 2) (French Edition),"Guilloux, Michel",2011554977,9782011554970,2011554977,48        pp,2.86,42,"Aug 07, 2007","Dec 01, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 11, 2023","Mar 11, 2023","Mar 11, 2023",,Mass Market Paperback,view,/book/show/14656890-julie-est-amoureuse-lire-en-francais-facile
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jeux Dangereux,"Lause, Christian",9788484433,,,60        pp,3.42,38,2004,Apr 2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 06, 2023","Feb 06, 2023","Feb 06, 2023",,Paperback,view,/book/show/10139276-jeux-dangereux
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Danseurs de sable (B1): Les danseurs de sable        (B1): Les danseurs de sable (B1),"Massardier, Gilles",201155585X,9782011555854,201155585X,48        pp,2.44,9,"May 29, 2008","May 29, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 05, 2023","Feb 05, 2023","Feb 05, 2023",,Paperback,view,/book/show/14656914-les-danseurs-de-sable-b1
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atelier De Lecture: Carton Rouge Ou Mort Subite - Book & CD,"Barbeau, Philippe",2278060929,9782278060924,2278060929,123        pp,3.27,15,"Jan 01, 1999","Oct 29, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,сюжет покруче чем в некоторых бестселлерах,Notes are private!,0,2,1,"Feb 05, 2023","Feb 05, 2023","Feb 05, 2023",,Paperback,view (with text),/book/show/3517383-atelier-de-lecture
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le casque mystérieux,"Delaisne, Pierre",2278060961,9782278060962,2278060961,64        pp,3.05,40,"Apr 11, 2007","Apr 11, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 10, 2023","Jan 10, 2023","Jan 10, 2023",,Paperback,view,/book/show/15714406-le-casque-myst-rieux
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Double assassinat dans la Rue Morgue et La lettre volee (Cecr B2, Niveau Quatre)        (Cecr B2, Niveau Quatre) (French Edition)","Poe, Edgar Allan",8853007591,9788853007599,8853007591,112        pp,3.97,"1,261",1844,"Jan 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 05, 2023","Jan 09, 2023","Jan 09, 2023",,Paperback,view,/book/show/3313165-double-assassinat-dans-la-rue-morgue-et-la-lettre-volee-cecr-b2-niveau
