,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bookmarks Magazine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Endgame: Bobby Fischer's Remarkable Rise and Fall—From America's Brightest Prodigy to the Edge of Madness,"Brady, Frank",0307463907,9780307463906,0307463907,402        pp,3.93,"10,676","Feb 01, 2011","Feb 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Chess has given the world many interesting words. One of the best is “zugzwang,” which is the state in which any move will disadvantage a player. BradChess has given the world many interesting words. One of the best is “zugzwang,” which is the state in which any move will disadvantage a player. Brady may have been in zugzwang when he chose to write this book. On the one hand, his friendship with and access to the famously secretive and difficult Bobby Fischer was the only thing that made the writing of a biography possible. On the other hand, several critics felt that Brady is too sympathetic to Fischer and that he tries to rationalize or explain away actions they felt were clearly the signs of severe mental illness. But to appreciate the zugzwang dilemma at all, one has to be a pretty good chess player, and in the end, most critics felt Brady is playing an excellent game. It’s simply an unbeatable one, with a subject as inscrutable as Fischer. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,4,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8264505-endgame
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef","Hamilton, Gabrielle",140006872X,9781400068722,140006872X,304        pp,3.77,"36,018",2001,"Mar 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hamilton’s “minutely observed, artfully structured, fluidly written” (Wall Street Journal) memoir is a vivid account of her lifelong and, initially, uHamilton’s “minutely observed, artfully structured, fluidly written” (Wall Street Journal) memoir is a vivid account of her lifelong and, initially, unenthusiastic romance with food. Hamilton doesn’t idealize the restaurant business but colorfully conjures its gritty realities: maggot-riddled dead rats and flooded basements one day and an appearance on The Martha Stewart Show the next. However, despite Anthony Bourdain’s lavish praise (“Magnificent. Simply the best memoir by a chef ever. Ever.”), the critics considered Blood engaging but flawed, citing monotonous tirades, some clumsy writing, and a frustrating lack of self-knowledge. These shortcomings, according to the Boston Globe, result in “a very good book [rather] than a great one,” but one well worth reading nevertheless. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,1,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8459594-blood-bones-and-butter
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Korean Deli: Risking It All for a Convenience Store,"Howe, Ben Ryder*",0805093435,9780805093438,0805093435,304        pp,3.42,"3,922","Apr 01, 2010","Mar 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Howe certainly left his comfort zone when he and his wife decided to open a deli in Brooklyn. Not only did they leave solid, white-collar jobs for an Howe certainly left his comfort zone when he and his wife decided to open a deli in Brooklyn. Not only did they leave solid, white-collar jobs for an uncertain venture; they embraced socioeconomic differences with open eyes. “Very seldom,” noted the New York Times Book Review, “does [Howe] let his ‘snob siren’ go off or point out the disparity between the regulars who ‘lend the store an atmosphere similar to that of an off-track betting parlor’ and the people at The Paris Review.” But rather than a heavy-handed treatment of cultural difference, My Korean Deli is self-effacing without being too lighthearted. Only the Christian Science Monitor commented on a lack of reflection on a key event; otherwise, critics agreed that in this illuminating memoir, there are “life lessons aplenty here, to be certain, and Howe makes a point of putting the ‘life’ before the ‘lesson’” (Barnes and Noble). This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8787466-my-korean-deli
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wrong War: Grit, Strategy, and the Way Out of Afghanistan","West, Bing",1400068738,9781400068739,1400068738,336        pp,3.87,416,"Feb 09, 2011","Feb 22, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewers tended to regard Bing West’s negative appraisal of the Afghanistan War as newsworthy in itself–considering that he is the author of The VillReviewers tended to regard Bing West’s negative appraisal of the Afghanistan War as newsworthy in itself–considering that he is the author of The Village (1972), a classic book about counterinsurgency in Vietnam that is currently assigned to soldiers shipping out to Afghanistan. Some critics disagreed with his arguments, noting recent military assessments of progress against the Taliban, but all admired his courage and take-no-prisoners authorial style. In particular, they praised the way that Bing balances firsthand reporting about (and considerable sympathy with) average soldiers with an unflinching criticism of the war’s overall strategy and prosecution. Several critics called The Wrong War required reading for anyone who cares about the war’s outcome. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/9581392-the-wrong-war
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Social Animal: The Hidden Sources of Love, Character, and Achievement","Brooks, David",140006760X,9781400067602,140006760X,424        pp,3.87,"23,203","Mar 08, 2011","Mar 08, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With the exception of the New York Times Book Review, which panned the story of Harold and Erica as well as Brooks’s conclusions, most critics deemed With the exception of the New York Times Book Review, which panned the story of Harold and Erica as well as Brooks’s conclusions, most critics deemed Brooks a capable storyteller but otherwise spent little time appraising his literary skills. Science forms the crux of The Social Animal, and the ers’ agreement with or refutation of Brooks’s claims constituted the greater part of their s. A gifted social observer, Brooks makes some valid points regarding the duality of the human mind, but he too often bases his conclusions on questionable data and unduplicated experiments, “commit[ing] a variety of statistical errors and tiptoe[ing] through a minefield of contradictory evidence” (Wall Street Journal). The Social Animal may not be the last word in neuroscience, but it nonetheless provides an engaging and thought-provoking tour of the human mind. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,4,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/9628743-the-social-animal
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wise Man’s Fear        (The Kingkiller Chronicle, #2)","Rothfuss, Patrick*",0756404738,9780756404734,0756404738,994        pp,4.55,"556,347","Mar 01, 2011","Mar 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This second entry in the Kingkiller trilogy sent most critics into raptures rivaling those inspired by its predecessor, The Name of the Wind. RothfussThis second entry in the Kingkiller trilogy sent most critics into raptures rivaling those inspired by its predecessor, The Name of the Wind. Rothfuss spins an irresistible web of magic, adventure, and intrigue, but The Wise Man’s Fear works on a deeper level as well. As Kvothe matures into manhood, Rothfuss explores his world and its fantastic elements in greater detail—developments that round out character and setting but, claimed a few critics, also impede narrative thrust. By the end, they noted, there is still no hint of the events that will eventually label Kvothe a “Kingkiller,” and only one installment to go. Nevertheless, readers who enjoyed Wind should not miss The Wise Man’s Fear and will no doubt join the critics in singing Rothfuss’s praises. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/1215032.The_Wise_Man_s_Fear
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Among Others,"Walton, Jo*",076532153X,9780765321534,076532153X,304        pp,3.70,"24,552","Jan 18, 2011","Jan 18, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Among Others—science fiction, fantasy, coming-of-age, memoir—is a homage to the great books Jo Walton read as a girl in Wales, and her novel draws lifAmong Others—science fiction, fantasy, coming-of-age, memoir—is a homage to the great books Jo Walton read as a girl in Wales, and her novel draws life from those classics. Reining in such disparate threads as Walton does can be a daunting task. To be sure, this is a book about much more than the pitfalls of adolescence, although the author has proven again and again that she’s equal to the challenge (as evidenced by award nominations in just about every major SF/F category over the years). Among Others will appeal to both adults and younger readers, who will find the book “a hymnal for the clever and odd—an inspiration and a lifeline to anyone who has ever felt in the world, but not of it” (boingboing). We’re normally hesitant to let a four-and-a-half-star rating go through, but the critics were so excited we’ll let this one stand. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,2,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8706185-among-others
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Troubled Man        (Kurt Wallander, #10)","Mankell, Henning",0307593495,9780307593498,0307593495,367        pp,3.98,"17,911","Jan 01, 2009","Mar 29, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not everyone loves Kurt Wallander. If they did, he couldn’t be the dour, melancholy character that has attracted so many mystery fans. Although criticNot everyone loves Kurt Wallander. If they did, he couldn’t be the dour, melancholy character that has attracted so many mystery fans. Although critics felt the book was a standout in the series, they also warned against it too. It’s one of the best, they said, but readers won’t truly appreciate it unless they have thoroughly come to know this curmudgeonly gumshoe. As the purported last in the series, The Troubled Man offers up some surprises about Wallander’s life and aging process, but his evolution takes place over the ten books. Though a significant installment and fitting end to the series, critics recommend readers intrigued by the phenomenon start with the first in the series, Faceless Killers (1991). This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8755555-the-troubled-man
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zoo City,"Beukes, Lauren*",0857660543,9780857660541,0857660543,385        pp,3.63,"11,235","Apr 29, 2010","Aug 18, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With Moxyland, described colorfully by fellow SF writer Charles Stross as “the larval form of a new kind of SF munching its way out of the intestines With Moxyland, described colorfully by fellow SF writer Charles Stross as “the larval form of a new kind of SF munching its way out of the intestines of the wasp-paralysed caterpillar of cyberpunk,” Lauren Beukes served notice of her intention to become a force in South African fiction. Even more lyrical, inventive, and noirish than its predecessor, Beukes’s latest novel ups the ante. If William Gibson were South African or if Jonathan Lethem were inclined to write more books like Gun, with Occasional Music, they might come up with something like Zoo City (Beukes also gives more than a nod to Philip Pullman’s Dark Materials trilogy). But as long as readers can see South Africa through the lens of Beukes’s deliciously dystopian alternate present, who needs those guys? This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,1,1,not set,not set,"Apr 06, 2011",,Paperback,view (with text),/book/show/9519042-zoo-city
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Started Early, Took My Dog","Atkinson, Kate",0316066737,9780316066730,0316066737,371        pp,3.93,"44,015","Jan 01, 2010","Mar 21, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In the fourth of her Jackson Brodie series, Atkinson once again proves her skill at transcending genres: not only is Started Early, Took My Dog a compIn the fourth of her Jackson Brodie series, Atkinson once again proves her skill at transcending genres: not only is Started Early, Took My Dog a compelling crime novel, but it is also literary in the best sense. The work is bleaker and more melancholy, introspective, and metafictional than previous installments, but no less compelling. About dysfunctional relationships, love, and parent-child bonds, the novel excels in its depiction of individual struggles, passions, and choices. Only the Telegraph felt that the novel bogged down in tedious asides and flashbacks, and the Salon critic wondered whether Jackson Brodie’s adventures would become too contrived in future books. But until that happens, Atkinson provides another worthy and compelling look inside modern-day culture. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8174392-started-early-took-my-dog
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gone        (Jack Caffery, #5)","Hayder, Mo",0553824333,9780553824339,0553824333,550        pp,4.05,"9,763",2010,"Jan 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After seven novels (Pig Island [2006] and The Devil of Nanking [2010], in addition to the Walking Man books), Mo Hayder continues to set herself apartAfter seven novels (Pig Island [2006] and The Devil of Nanking [2010], in addition to the Walking Man books), Mo Hayder continues to set herself apart in the crowded crime genre by defying readers’ expectations and by offering edgy plots, complex characters, and sharp prose. Seemingly immune to the ebbs and flows typical of crime series as they explore the darker sides of their main characters, the Walking Man books continue to surprise, and Jack Caffery has become one of the most complex protagonists in contemporary crime fiction. Hayder never drives in the middle of the road—her take on child abduction in Gone is as full of twists and turns as a grand prix circuit—which should please even her most devoted fans and captivate new ones. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Paperback,view (with text),/book/show/7983311-gone
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Delirium        (Delirium, #1)","Oliver, Lauren*",0061726826,9780061726828,0061726826,441        pp,3.95,"466,343","Feb 03, 2011","Feb 03, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Critics agreed that in a crowded YA field, Delirium stands out with its original premise of love as a disease and with its insight into love and humanCritics agreed that in a crowded YA field, Delirium stands out with its original premise of love as a disease and with its insight into love and human nature. However, a few ers felt that the author failed to establish a convincing context for the evils of love. “While we’re given an adequate what of the situation, we’re not really given a plausible reason for why. What exactly is the problem with love?” asked Read in a Single Setting. However, most ers forgave this flaw in light of Oliver’s excellent character development. “Although Oliver didn’t 100% convince me with Lena’s society, she did make me love her characters. I fell for them. Hard,” noted Wondrous Reads. Fans of this heartbreaking, hopeful novel will look forward to two more in a planned series: Pandemonium (2012) and Requiem (2013). This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/7686667-delirium
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devotion of Suspect X        (Detective Galileo, #1)","Higashino, Keigo",0312375069,9780312375065,0312375069,298        pp,4.17,"61,193","Aug 29, 2005","Feb 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In this police procedural and detective novel, which the Washington Post described as a modern take on the “puzzle genre,” readers best pay attention In this police procedural and detective novel, which the Washington Post described as a modern take on the “puzzle genre,” readers best pay attention to the details if they hope to solve the crime. A story of murder and cover-up that seeks to fit murder into mathematical principles, The Devotion of Suspect X creates a challenging mind game that provoked most critics. Still, despite the emotional heft provided by the former friendship between the physicist and math teacher, as well as the web of connections between the protagonists and insight into modern Japan, a few ers felt that the novel’s final twist defies the rules of the puzzle genre. Marilyn Stasio, crime er extraordinaire for the New York Times, begged to differ, hailing the plan’s “brilliance.” This is an auspicious American debut, with more (in translation) to come from the author. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,2,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8686068-the-devotion-of-suspect-x
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Information: A History, a Theory, a Flood","Gleick, James*",0375423729,9780375423727,0375423729,527        pp,4.03,"16,245","Mar 01, 2011","Mar 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“A history-changing, paradigm-altering look at the evolution of the human capacity to process data,” according to the Oregonian, Gleick’s latest book “A history-changing, paradigm-altering look at the evolution of the human capacity to process data,” according to the Oregonian, Gleick’s latest book makes even the most unexciting material “brim with tension.” The science can be overwhelming at times (quantum teleportation, anyone?), but Gleick provides clear explanations and analogies. For those less scientifically minded, he keeps the narrative moving along with fascinating facts, colorful digressions, and vivid portraits of long-forgotten inventors. Although the New York Times Book Review complained that later chapters on the meaning of information veered from science into the treacherous terrain of philosophy, other ers considered his final ruminations insightful and eloquent. Readers may find The Information a dense and demanding read, but this illuminating book is well worth the effort. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,3,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8701960-the-information
