,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lisa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of Art Without Men,"Hessel, Katy",1788167406,9781788167406,1788167406,352        pp,4.32,"1,930",2022,"Mar 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My starred LJ :The fine arts have long suffered gender imbalance, with women often excluded from academies, galleries, and the traditional canonMy starred LJ :The fine arts have long suffered gender imbalance, with women often excluded from academies, galleries, and the traditional canon. In this title, London-based art historian and curator Hessel combines the upbeat appeal of her podcast The Great Women Artists with solid scholarship to spotlight a diverse cast of women artists from the 16th century to the present who threw off constraints, broke new ground, and made exciting work. Although she follows a conventional timeline from the Renaissance through the contemporary art scene, Hessel casts a wide net, with forays into themes from Spiritualist art to textiles to Afrofuturism, and consistent attention paid to political and cultural contexts. Hessel provides a lively brief of each woman’s life, work, and background, along with an intriguing image or two that will whet readers’ interest to discover more. Artists range from well-known to obscure; even the most seasoned art enthusiast, educator, or scholar will find surprises. An index of books, articles, and exhibitions offers useful jumping-off points, as does Hessel’s podcast....more",Notes are private!,0,1,1,"May 08, 2023","May 22, 2023","Jun 18, 2023",,Hardcover,view (with text),/book/show/56301206-the-story-of-art-without-men
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Losing Music,"Cotter, John",1571311947,9781571311948,1571311947,320        pp,3.92,191,"Apr 11, 2023","Apr 11, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Disclaimer up front: I know John from when he ran Open Letters Monthly, but that has no bearing on how affecting I found this book. This is his story Disclaimer up front: I know John from when he ran Open Letters Monthly, but that has no bearing on how affecting I found this book. This is his story about going deaf owing to a not-quite-diagnosable disease that's a lot like Ménière's but not quite, and how it affected his life, work, relationships. Insightful and beautifully written, one of my best of the year so far. Highly recommended....more",Notes are private!,0,1,1,"Apr 16, 2023",May 2023,"Jun 18, 2023",,Hardcover,view (with text),/book/show/122077775-losing-music
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Woman, Other","Evaristo, Bernardine",0241364906,9780241364901,0241364906,453        pp,4.29,"231,199","May 02, 2019","May 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very engaging, contemporary, moved along well. It's a fun portrait of a corner of the 21st century (UK, art/theater world, Black and queer experience)Very engaging, contemporary, moved along well. It's a fun portrait of a corner of the 21st century (UK, art/theater world, Black and queer experience)....more",Notes are private!,0,0,1,Apr 2023,"Apr 16, 2023","Jun 18, 2023",,Kindle Edition,view (with text),/book/show/41081373-girl-woman-other
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magnificent Rebels: The First Romantics and the Invention of the Self,"Wulf, Andrea",0525657118,9780525657118,0525657118,512        pp,4.19,"1,477","Sep 13, 2022","Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A bit overlong (although that could have to do with my checkout expiring and having to wait for a second hold to come around from the library) and eveA bit overlong (although that could have to do with my checkout expiring and having to wait for a second hold to come around from the library) and everyone was named Friedrich... yet I was still able to keep the Schlegel's and Schellings and Schillers straight, with all credit to Wulf, because she breathed some real life into them. A very engaging history of the German Romantic philosophers, all living in the same town at the beginning of the 19th century, getting into feuds and being fired from the university and sleeping with each other. The Epilogue was also interesting and provided pay dirt for everything. It made me want to reread Walden, a book I had and tried to read in my teens and, I suspect, got hung up on that stuffy first chapter. I may give it another go at some point, because Wulf's book gave such good context for the movements that came after, including the Transcendentalists in the U.S....more",Notes are private!,0,0,1,"Mar 18, 2023","May 07, 2023","Jun 18, 2023",,Hardcover,view (with text),/book/show/59883428-magnificent-rebels
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Obasan,"Kogawa, Joy",0385468865,9780385468862,0385468865,300        pp,3.69,"7,826",1981,"Jan 01, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a heartbreaker, but beautifully written, and such an eye-opener about how Canada treated its citizens of Japanese ancestry. Really horrifyingThis was a heartbreaker, but beautifully written, and such an eye-opener about how Canada treated its citizens of Japanese ancestry. Really horrifying—I knew about the U.S. and the internment camps, but this was a bit of a shock, with second and third generation Canadians forced to give up all their possessions and their homes and relocate to shantytowns and perform forced labor. Kogawa was originally a poet, though, and it shows. Recommended....more",Notes are private!,0,1,1,"Feb 20, 2023","Feb 25, 2023","Jun 18, 2023",,Paperback,view (with text),/book/show/9723.Obasan
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Life,"Crewe, Tom*",,,B0B3Y5R9KH,399        pp,3.81,"3,763","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2023",,Kindle Edition,view,/book/show/74813239-the-new-life
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Natural History,"Barrett, Andrea",1324035196,9781324035190,1324035196,208        pp,3.75,614,"Sep 13, 2022","Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not absolutely primo Voyage of the Narwhal Barrett, but I always love her golden age of science exploration subject matter and how she treats it, so INot absolutely primo Voyage of the Narwhal Barrett, but I always love her golden age of science exploration subject matter and how she treats it, so I was happy....more",Notes are private!,0,0,1,"Feb 11, 2023","Jun 18, 2023","Feb 12, 2023",,Hardcover,view (with text),/book/show/60165427-natural-history
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Do I Know You?: A Family's Journey Through Aging and Alzheimer's,"Maskowitz, Bette",1589790707,9781589790704,1589790707,208        pp,3.72,46,"Dec 11, 2003","Dec 11, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My sister sent me this memoir of two sisters dealing with their mother's decline from dementia. I see why she wanted me to read it—there's so much thaMy sister sent me this memoir of two sisters dealing with their mother's decline from dementia. I see why she wanted me to read it—there's so much that echoes what we went through too. I read while nodding along, sometimes laughing—it's funny and sad at the same time, very personal, very universal....more",Notes are private!,0,0,1,Feb 2023,"Feb 12, 2023","Feb 04, 2023",,Paperback,view (with text),/book/show/4880784-do-i-know-you
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dinosaurs,"Millet, Lydia",1324021462,9781324021469,1324021462,230        pp,3.89,"9,609","Oct 11, 2022","Oct 11, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A solid novel that takes on a lot of threads but doesn't feel overloaded by them, very readable (not meant as faint praise at all).A solid novel that takes on a lot of threads but doesn't feel overloaded by them, very readable (not meant as faint praise at all)....more",Notes are private!,0,1,1,Jan 2023,"Jan 30, 2023","Feb 04, 2023",,Hardcover,view (with text),/book/show/60165418-dinosaurs
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Caledonia,"Barker, Elspeth",1668004615,9781668004616,1668004615,188        pp,3.99,"6,387","Aug 19, 1991","Sep 20, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just loved this one. It's a coming-of-age-noir set in mid-20th-century Scotland, dark and very funny and absolutely beautifully written. Not quite lI just loved this one. It's a coming-of-age-noir set in mid-20th-century Scotland, dark and very funny and absolutely beautifully written. Not quite like anything else you might think of that would slot into those categories, and made me happy to read despite its sad ending (not a spoiler)....more",Notes are private!,0,1,1,"Jan 21, 2023","Jan 27, 2023","Jan 24, 2023",,Paperback,view (with text),/book/show/60321053-o-caledonia
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Years,"Ernaux, Annie*",,,B07465HWS3,200        pp,4.18,"29,456","Feb 07, 2008","Nov 21, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Such an interesting approach to memoir, even if I'm not familiar with a lot of the French current history/politics/pop culture she discusses. But situSuch an interesting approach to memoir, even if I'm not familiar with a lot of the French current history/politics/pop culture she discusses. But situating oneself in the news stream to examine a life feels so much like the way people think but don't always write, which was cool. You can tell it wasn't an American account because she barely ever mentions work....more",Notes are private!,0,1,1,Jan 2023,"Jan 21, 2023","Jan 02, 2023",,Kindle Edition,view (with text),/book/show/36216294-the-years
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Clothing of Books: An Essay,"Lahiri, Jhumpa",0525432752,9780525432753,0525432752,74        pp,3.67,"3,480","Nov 15, 2016","Nov 15, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2022","Dec 31, 2022","Jan 01, 2023",,Paperback,view,/book/show/31019618-the-clothing-of-books
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Leave Me Alone with the Recipes: The Life, Art, and Cookbook of Cipe Pineles","Pineles, Cipé",1632867133,9781632867131,1632867133,144        pp,3.80,144,"Oct 17, 2017","Oct 17, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2022","Dec 31, 2022","Dec 26, 2022",,Hardcover,view,/book/show/33590623-leave-me-alone-with-the-recipes
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Available Man,"Wolitzer, Hilma*",0345527542,9780345527547,0345527542,285        pp,3.59,"3,614","Jan 24, 2012","Jan 24, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a gentle, funny sort-of romance about navigating love and grief later in life. Wolitzer's innate compassion shines through—it was a kind bookThis was a gentle, funny sort-of romance about navigating love and grief later in life. Wolitzer's innate compassion shines through—it was a kind book, but not sentimental or slow-moving, and a perfect novel to read during a difficult couple of weeks....more",Notes are private!,0,0,1,"Dec 14, 2022","Dec 23, 2022","Dec 24, 2022",,Hardcover,view (with text),/book/show/11575602-an-available-man
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Young Man with a Horn,"Baker, Dorothy",1590175778,9781590175774,1590175778,192        pp,3.86,515,1938,"Sep 11, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"really outstanding. My entire book club loved it, and we had a great discussion. Some of the best music (jazz) writing I've read, wonderful dialogue, really outstanding. My entire book club loved it, and we had a great discussion. Some of the best music (jazz) writing I've read, wonderful dialogue, and some very deft-touch writing on race, talent, and human connection....more",Notes are private!,0,2,1,Dec 2022,"Dec 13, 2022","Dec 03, 2022",,Paperback,view (with text),/book/show/13330372-young-man-with-a-horn
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Today a Woman Went Mad in the Supermarket: Stories,"Wolitzer, Hilma*",1635577624,9781635577624,1635577624,208        pp,3.76,"3,706","Aug 31, 2021","Aug 31, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lean, but not mean in the least—rather the stories, which date from 1966 to 2020, are all muscle and heart, domestic but not in the least fussy. I lovLean, but not mean in the least—rather the stories, which date from 1966 to 2020, are all muscle and heart, domestic but not in the least fussy. I love Wolitzer's understanding of how compassion and humor fit seamlessly together....more",Notes are private!,0,2,1,"Nov 24, 2022","Dec 04, 2022","Nov 25, 2022",,Hardcover,view (with text),/book/show/55891837-today-a-woman-went-mad-in-the-supermarket
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Miseries,"Fakih, Kimberly Olson*",1504083059,9781504083058,B0BN7XWB2C,234        pp,4.18,73,"Jan 10, 2023","Jan 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was just terrific—a coming of age story from the midwestern '70s, dark and funny and sweet, very well done. The stories we tell each other, the sThis was just terrific—a coming of age story from the midwestern '70s, dark and funny and sweet, very well done. The stories we tell each other, the stories we tell ourselves, the stories we don't tell anyone, all set against a very evocative suburbia of oblivious parents and the discomforts of middle school. Fakih's got a very good touch here, moving between lightness and humor and really visceral hurts, and I both laughed out loud and sobbed at moments....more",Notes are private!,0,5,1,"Nov 17, 2022","Nov 23, 2022","Nov 18, 2022",,Kindle Edition,view (with text),/book/show/76751608-little-miseries
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magic for Beginners,"Link, Kelly",,,B00HW4WJYC,324        pp,3.81,"9,758","Jul 01, 2005","Jun 29, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think the genre isn't really my thing, but to her immense credit I enjoyed Link's writing and wonderfully skewed alternative reality setups. Link's I think the genre isn't really my thing, but to her immense credit I enjoyed Link's writing and wonderfully skewed alternative reality setups. Link's world- and character-building are strong, and though the stories aren't super plotty they move along in interesting, unexpected ways that kept me engaged and consistently surprised. I also loved the incidental illustrations... more books should do that....more",Notes are private!,0,0,1,"Nov 05, 2022","Nov 17, 2022","Nov 05, 2022",,Kindle Edition,view (with text),/book/show/43837179-magic-for-beginners
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Duke Riley: Tides and Transgressions,"Riley, Duke",0847872416,9780847872411,0847872416,256        pp,5.00,4,unknown,"Jun 28, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Library Journal  to come.,Notes are private!,0,1,1,"Oct 31, 2022",Nov 2022,"Nov 01, 2022",,Hardcover,view (with text),/book/show/61023210-duke-riley
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heartbroke,"Bieker, Chelsea*",1646221281,,B098PX9MH3,297        pp,3.97,"1,345","Apr 05, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 27, 2022","Oct 30, 2022","Oct 30, 2022",,Kindle Edition,view,/book/show/60761470-heartbroke
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nobody Gets Out Alive: Stories,"Newman, Leigh",,,B09842FQSZ,287        pp,3.80,963,"Apr 12, 2022","Apr 12, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The sisters, daughters, wives, lone wolves, and a few anxious husbands in this dynamic debut navigate complicated relationships and the gravitational The sisters, daughters, wives, lone wolves, and a few anxious husbands in this dynamic debut navigate complicated relationships and the gravitational pull of Newman’s home state of Alaska, where everyone is running to or from something. From the brusque, secretly sentimental ex-wife trying to sell her quirky home to a panicked mother on the road, the eloquently insightful characters are both hard-headed and easy to love. Great collection, full of compassionate, muscular writing. ...more",Notes are private!,0,2,1,"Oct 23, 2022","Nov 05, 2022","Oct 24, 2022",,Kindle Edition,view (with text),/book/show/60041256-nobody-gets-out-alive
