,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Liza's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Decoding Boys: New Science Behind the Subtle Art of Raising Sons,"Natterson, Cara*",1984819038,9781984819031,1984819038,288        pp,3.89,"1,322","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 23, 2020",,Hardcover,view,/book/show/52389660-decoding-boys
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Watchman,"Erdrich, Louise",0062671200,9780062671202,,464        pp,4.11,"74,860","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 23, 2020",,ebook,view,/book/show/43721059-the-night-watchman
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,עיניים אדומות,"אוצרי, מגי",,,,288        pp,3.49,45,unknown,2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Paperback,view,/book/show/52750446
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,סיפורם של היהודים החילוניים,"Rubinstein, Amnon",,,,240        pp,3.33,6,Apr 2019,Apr 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Hardcover,view,/book/show/49092418
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,שתי השמשות של דדיקה,"אוצרי, מגי",,,,240        pp,4.00,8,2015,May 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,ebook,view,/book/show/42380420
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,סוגרים את הים,"Katzir, Yehudit",,,,153        pp,3.91,97,Apr 1992,1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Paperback,view,/book/show/29561325
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,רומן אמריקאי,"Geffen, Yehonatan",,,,271        pp,3.53,19,2007,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Paperback,view,/book/show/31821662
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,תימהון,"Appelfeld, Aharon",,9789655665321,9655665321,222        pp,3.32,53,unknown,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Paperback,view,/book/show/50356600
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Exit,"Adams, Taylor*",1912106760,,B073BVCHKG,287        pp,4.01,"159,309","Jun 25, 2017","Jun 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Kindle Edition,view,/book/show/35522836-no-exit
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fly Already: Stories,"Keret, Etgar*",,,B07NCSBH4M,221        pp,4.03,"3,957","Apr 13, 2018","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Kindle Edition,view,/book/show/44009977-fly-already
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beard Necessities        (Winston Brothers, #7)","Reid, Penny*",,,B07KCLZ5MW,334        pp,4.25,"16,113","Nov 04, 2019","Nov 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Kindle Edition,view,/book/show/30315692-beard-necessities
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,בריכה עירונית,"בולה, אדוה",9655669564,9789655669565,9655669564,208        pp,3.83,59,unknown,"Jun 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Paperback,view,/book/show/50082564
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,האיש הזקן: פרידה,"Albalach, Noga",965020864X,9789650208646,965020864X,118        pp,4.28,32,2018,"Jan 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2020",,Paperback,view,/book/show/107705559
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Twentieth Wife        (Taj Mahal Trilogy, #1)","Sundaresan, Indu*",,,,380        pp,4.06,"15,838","Jan 29, 2002","Feb 18, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2020",,Paperback,view,/book/show/27298.The_Twentieth_Wife
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"שלושה בסירה אחת (מלבד הכלב) - הספר המוער        (מלבד הכלב) - הספר המוער (Three Men, #1)","Jerome, Jerome K.",,0055000000178,,368        pp,3.84,"72,661",1889,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/32883149--
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,מקימי,"Yaron-Dayan, Noa",,,,328        pp,3.72,64,2007,2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,,view,/book/show/6366859
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,היברו פבלישינג קומפני,"Hermoni, Matan",,,,270        pp,3.24,37,2011,2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/12884097
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,אהבה זה כל הספר,"Shapira, Haim*",,,,304        pp,4.00,74,"Jan 01, 2014",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/22429622
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secrets We Kept,"Prescott, Lara*",,,B07MD3B4F1,368        pp,3.66,"70,165","Sep 03, 2019","Sep 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Kindle Edition,view,/book/show/40700317-the-secrets-we-kept
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Dog's Promise        (A Dog's Purpose, #3)","Cameron, W. Bruce*",125016351X,9781250163516,125016351X,384        pp,4.31,"4,053","Oct 09, 2019","Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Hardcover,view,/book/show/43263220-a-dog-s-promise
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maltese Falcon,"Hammett, Dashiell",,,,213        pp,3.88,"107,002",1930,"Mar 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/29999.The_Maltese_Falcon
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House on Endless Waters,"Elon, Emunah",1432879022,9781432879020,1432879022,566        pp,3.97,"3,592",2016,"Jan 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Library Binding,view,/book/show/50550447-house-on-endless-waters
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,מגילת זכויות הירח,"Leshem, Ron",,,,350        pp,4.14,88,"Jan 01, 2009",2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/10218444
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,תחנה סופית – ערד,"Geffen, Adiva*",9655173410,9789655173413,B008ZPGEX4,304        pp,3.71,14,2009,"Mar 18, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/81300575
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,מפלצת הזיכרון,"Sarid, Yishai",9651326670,9789651326677,,136        pp,4.06,"1,740",Aug 2017,Jul 2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2020",,Paperback,view,/book/show/36167198
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freeman,"Pitts Jr., Leonard*",1932841644,9781932841640,1932841644,432        pp,4.33,"3,832","May 08, 2012","May 08, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/13235659-freeman
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,נוילנד,"Nevo, Eshkol",9655520285,9789655520286,9655520285,547        pp,3.94,"1,052",2011,2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/12573671
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,נערה,"Frankel, Alona*",9651321210,9789651321214,B007V6TPK2,266        pp,2.67,3,unknown,Aug 2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Hardcover,view,/book/show/14058411
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,המדריך לשוברות הלבבות,"Krauss-Winer, Orly*",,,,447        pp,2.83,30,unknown,Feb 2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/34466281
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,הר האושר,"Gutfreund, Amir",,,,200        pp,3.40,63,Jan 2016,Jan 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,ebook,view,/book/show/49979062
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,יצר לב האדמה,"Blau, Sarah",,,,286        pp,3.90,51,"Feb 05, 2007","Feb 05, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/1692618._
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,מנגד,"Dayan, Yael",,,,247        pp,4.20,5,unknown,2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/41051792
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Most Fun We Ever Had,"Lombardo, Claire*",0385544251,9780385544252,0385544251,532        pp,3.95,"79,022","Jun 25, 2019","Jun 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Hardcover,view,/book/show/41880044-the-most-fun-we-ever-had
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Over the Top: A Raw Journey to Self-Love,"Van Ness, Jonathan",0062906402,9780062906403,,6        pp,4.19,"65,517","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Audiobook,view,/book/show/41824023-over-the-top
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fly Already: Stories,"Keret, Etgar*",1594633274,9781594633270,1594633274,224        pp,4.03,"3,957","Apr 13, 2018","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Hardcover,view,/book/show/43212798-fly-already
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Third Daughter,"Carner, Talia*",006289689X,9780062896896,,432        pp,4.18,"5,498","Sep 03, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2020",,ebook,view,/book/show/41571086-the-third-daughter
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,שואה שלנו,"Gutfreund, Amir",,,,439        pp,3.98,555,2000,2000,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ספר שני מאת המחבר אמיר גוטפרוינד שאני קוראת לאחר ״בשבילה גיבורים עפים״. הסגנון סך הכל דומה, המוני דמויות, חלקן משונות משהו ומאוד צבעוניות, דברים מתגליספר שני מאת המחבר אמיר גוטפרוינד שאני קוראת לאחר ״בשבילה גיבורים עפים״. הסגנון סך הכל דומה, המוני דמויות, חלקן משונות משהו ומאוד צבעוניות, דברים מתגלים במעין אי סדר, זמנים מתחברים. בסך הכל מחמם את הלב ומשעשע כצורת כתיבה, אבל מאוד מבלבל.בספר הזה, הסיפור מסופר מנקודת המבט של ילדים שמתבגרים, אך מוקפים בניצולי שואה, שעדיין חיים בצל השואה, ונתזים של נסיונם מרימים את ראשם כל הזמן.הבעייה העיקרית בספר הזה, היו שישנן יותר מדי דמויות, יותר מדי סיפורי צד, יותר מדי סבים, יותר מדי קרובי משפחה. היה סיפור עיקרי אחד של סבא יוסף, שהיה מעולה ברמות. הסיפור הזה, על אחד שרד את השואה, עובר ממקום למקום בשירותם של הנאצים ושל יכולתו להתחבר עם סוג האנשים שטובים בלשרוד היה בהחלט ייחודי וקולח. בעיקר, כשסבא יוסף מדמיין כל הזמן כיצד הוא הולך לפייגה אהובתו, בכל מקום אליו יפנה. (לעומת פייגה המאכזבת ולא ברורה בשאר הספר).לא ממש הבנתי למה הסופר בחר לערב את ענת ומשפחתה בסיפור הזה כפי שבחר לקראת הסוף. הספר היה יכול להיות אף יותר שלם ומושלם בלעדי החלק הזה, שהוסיף עוד עומס לספר עמוס ממילא.יש המון המון דברים טובים בספר. אני מאוד מתעניינת בסיפורי שואה עוד מילדותי, והנופך ונקודת המבט, כמו גם החיים עם השואה אחרי השואה כתובים בצורה מופתית ע״י גוטפרוינד.3.5 כוכבים שעם טיפה יותר סדר יכלו להיות יותר....more",Notes are private!,0,1,1,"Dec 25, 2019","Dec 25, 2019","Dec 25, 2019",,Paperback,view (with text),/book/show/9232940
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Learning the Human Game: Original Live Recordings on the Tao of Philosophy,"Watts, Alan W.",1591792665,9781591792666,1591792665,0        pp,4.40,100,1998,"Dec 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2019",,Audio CD,view,/book/show/60550.Learning_the_Human_Game
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,שירה גאולה,"Yaron-Dayan, Noa",,,,319        pp,3.29,21,Feb 2016,Feb 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2019",,Paperback,view,/book/show/29848925
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,האיש שלא היה שם,"Zadorov, Olga",,,,192        pp,3.50,10,Sep 2018,Sep 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2019",,ebook,view,/book/show/42438194
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ציפייה,"Almog, Mika",,,,221        pp,3.33,9,unknown,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2019",,,view,/book/show/36513645
