,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kathy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of Sea Women,"See, Lisa*",,,,374        pp,4.31,"119,782","Mar 05, 2019","Mar 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a very good book with an interesting tale of friendship and forgiveness spanning over many years against a backdrop of a beautiful Korean islThis was a very good book with an interesting tale of friendship and forgiveness spanning over many years against a backdrop of a beautiful Korean island where historically many women would provide for their families by diving for seafood and the men would stay home with the children. I never fully engaged with it and fell in love to the point I feel like I could give it five stars, but it was a good and an emotional story, and I’m glad I read it. I learned about a place and culture I had known nothing about previously and now I would love to someday visit the island of Jeju....more",Notes are private!,0,0,1,not set,not set,"Dec 10, 2021",,Hardcover,view (with text),/book/show/40538657-the-island-of-sea-women
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,,330        pp,3.82,"995,803","Feb 20, 2020","Jun 02, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this one a few months ago and it was pretty forgettable for me, just okay. I remember I saw most of the twists coming, finished it just to see I read this one a few months ago and it was pretty forgettable for me, just okay. I remember I saw most of the twists coming, finished it just to see what happened, but didn’t really enjoy the characters much. ...more",Notes are private!,0,0,1,not set,not set,"Dec 10, 2021",,Hardcover,view (with text),/book/show/51933429-the-guest-list
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,326","Sep 06, 2016","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this a few years ago and just realized I never added it on here, but it needs to be here since it’s one of my favorite books ever!",Notes are private!,0,0,1,not set,not set,"Dec 10, 2021",,Paperback,view (with text),/book/show/34066798-a-gentleman-in-moscow
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",1982121602,9781982121600,1982121602,336        pp,4.18,"633,730","Apr 25, 2019","Sep 08, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One of my favorites. I started on Audible, but there were so many parts I wanted to highlight and reread that I ended up buying the book part way throOne of my favorites. I started on Audible, but there were so many parts I wanted to highlight and reread that I ended up buying the book part way through and when I finished reading it I went back and started over and read the whole thing again. I would share some of my favorite quotes, but I gave the book to my son to read so I don’t have it to refer to. (He loved it too.) Funny thing about that. As I was listening and reading I thought of him so I would underline and make little notes in the book with the idea in mind of giving it to him to read and he could see some of my favorite parts and thoughts. Then later in the book there was a storyline where one of the characters would regularly do that very thing with someone else, read books and make notes and underline and then share it with the other person. That was a weird coincidence because I had never done that before this book. It was a wild and crazy, laugh out loud story that kept me reading and kept throwing unexpected twists, but it was also deeply moving with nuggets of wisdom about parenting, mental health, relationships, and life. Will definitely read again. Love love love. ...more",Notes are private!,0,0,1,not set,not set,"Dec 10, 2021",,Paperback,view (with text),/book/show/53799686-anxious-people
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,089","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2021",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lincoln Highway,"Towles, Amor*",,,B08WRH53MY,576        pp,4.23,"259,068","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2021",,Kindle Edition,view,/book/show/57139780-the-lincoln-highway
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Library,"Haig, Matt*",,,,288        pp,4.00,"1,766,854","Aug 13, 2020","Sep 29, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 22, 2021",,Hardcover,view,/book/show/52578297-the-midnight-library
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Thing He Told Me,"Dave, Laura*",,,,320        pp,3.84,"941,241","May 04, 2021","May 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a pretty good book. I liked it. Didn’t love it. Quick read. Entertaining. Not super plausible, but an interesting enough story. It kept me enThis was a pretty good book. I liked it. Didn’t love it. Quick read. Entertaining. Not super plausible, but an interesting enough story. It kept me engaged during a day of airplanes and airports when I wanted some light reading, so it served it’s purpose. ...more",Notes are private!,0,0,1,not set,not set,"Nov 22, 2021",,Hardcover,view (with text),/book/show/54981009-the-last-thing-he-told-me
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Constellation of Vital Phenomena,"Marra, Anthony*",0770436420,9780770436421,0770436420,416        pp,4.12,"53,947","May 07, 2013","Feb 04, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book. I want to  it so I can remember my feelings later, but I hardly know where to start. Wow! It actually took me years to finish readingThis book. I want to  it so I can remember my feelings later, but I hardly know where to start. Wow! It actually took me years to finish reading it. I can’t remember when or why I bought it, but occasionally I would pick it up and read a few pages or a chapter. It is challenging and requires concentration, and I am basically always some degree of tired, so I would lose focus or start falling asleep, but something kept drawing me back. The writing is beautiful. The characters are compelling. The situation is haunting. I’d leave it for months and then pick it back up and start to re-read it from the beginning to remember what I had read.Finally, recently, I picked up this book again and started making actual progress. It was still difficult. The jump in timelines can be confusing and I knew absolutely nothing about Chechnya and it’s history. By the end of chapter 12, about halfway through, I was so invested and entranced that I made the decision to start back at the beginning so I could catch and understand better the things I had missed. I also think I never really wanted to be finished. Before re-starting I read up a little bit on the First and Second Chechen Wars and the history of Chechnya. I made a timeline of significant events. Then as I read it again, I fit what was happening into that timeline, which helped a lot.It is a dark and painful story, filled with tragedy and some of the more despicable acts of humanity, with language and situations that certainly offend, but I felt it was balanced by acts of love, beauty, loyalty, sacrifice, hope, and life. The era covered (1994-2004) was a time of chaos, war, death, pain, loss, and betrayal, but the narrator was all-knowing and would give random little glimpses into a happier future, even for minor characters. It gave much needed hope that someday things would be better. For example:“The guard, thirty-one years old, had never received a paycheck, and wouldn’t have known what to do with one if he had; in three years, when the hospital issued paychecks again, beginning with a whopping nine years of back pay, the guard would frame his in glass and hang it on his wall without ever depositing it.”It was startling but comforting to see little hints that someday life would be normal again. People would get paid. The hospital that was practically in ruins would get back on its feet. Those little peeks into the future helped lighten the mood. I appreciated that touch. I finished reading this book in an hours-long session to the end the other day, filled with gasps, flinches, smiles, laughter, tears, even sobs. I told you I was invested.The strange title started to make sense in chapter 12. A character is looking at a medical dictionary. “She flipped through the book and found answers to questions no sane person would ever ask. The definition of a foot. The average length of a femur. Nothing for insanity by grief, or insanity by loneliness, or insanity by reading reference books. What inoculation could the eight-point font provide for the whisper of Sukhois in the sky? Based on the average life expectancy of a Soviet woman, she could expect to live for another forty-eight years, but the Soviet Union had died, and she hadn’t, and the appendices couldn’t explain this discrepancy in data, when the subject outlasted its experiment. Only one entry supplied an adequate definition, and she circled it with red ink, and referred to it nightly. Life: a constellation of vital phenomena—organization, irritability, movement, growth, reproduction, adaptation.”And that’s what you see in the characters. How they grow, move, and adapt to extreme circumstances. The choices they have to make. Life. The good, the bad, the beautiful, the ugly. A full spectrum of human experience beautifully and powerfully shared....more",Notes are private!,0,0,1,not set,Apr 2020,"Apr 15, 2020",,Paperback,view (with text),/book/show/18428067-a-constellation-of-vital-phenomena
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Clockmaker's Daughter,"Morton, Kate*",1451649398,9781451649390,1451649398,485        pp,3.75,"97,442",Sep 2018,"Oct 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I always enjoy Kate Morton's books. I choose them to listen to on Audible when I need a story to suck me in and engross me, like when I need to clean I always enjoy Kate Morton's books. I choose them to listen to on Audible when I need a story to suck me in and engross me, like when I need to clean the house and want something that's hard to turn off and I lose track of time so I will keep going. I love the intertwining stories, the large cast of characters over generations, the little mysteries, the descriptive settings. There were so many things I loved about this book and parts that swept me along. It was a little uneven though. There were other parts that felt slower and characters I was anxious to get back to--but with its huge cast of characters sometimes it took awhile and I wished we could have spent more time with certain characters. With such long and developed threads being woven, I was disappointed at the end when it felt really rushed and like everything just dropped. There was barely enough information, if you were careful and caught every detail, to put things together and figure out what had happened and where things would likely go from there, but it would have been a lot more satisfying to be able to watch some of those threads come together and get the payoff after investing so much time. It still gets four stars from me because it provided hours of interest and enjoyment. I just wish it had taken one more hour to wrap things up. ...more",Notes are private!,0,0,1,not set,"Dec 23, 2019","Dec 23, 2019",,Hardcover,view (with text),/book/show/38530939-the-clockmaker-s-daughter
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Breath Becomes Air,"Kalanithi, Paul",,,B00XSSYR50,208        pp,4.40,"668,408","Jan 12, 2016","Jan 12, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I finished this book this morning, my second time reading it. It’s a quick read, sad but beautiful.",Notes are private!,0,0,1,not set,not set,"Dec 08, 2019",,Kindle Edition,view (with text),/book/show/25899336-when-breath-becomes-air
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orphan Train,"Kline, Christina Baker*",,,,278        pp,4.19,"442,008","Apr 02, 2013","Apr 02, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 16, 2016",,Paperback,view,/book/show/15818107-orphan-train
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901","Turner, Nancy E.",0061458031,9780061458033,0061458031,384        pp,4.35,"74,690","Feb 03, 1998","Apr 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 19, 2016",,Paperback,view,/book/show/2641307-these-is-my-words
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","Fadiman, Anne",0374525641,9780374525644,B007CFQ9QK,341        pp,4.20,"82,910",1997,"Jan 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 21, 2016",,Paperback,view,/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"God's Hotel: A Doctor, a Hospital, and a Pilgrimage to the Heart of Medicine","Sweet, Victoria",1594488436,9781594488436,1594488436,372        pp,4.11,"5,571",2012,"Apr 26, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 21, 2016",,Hardcover,view,/book/show/13121912-god-s-hotel
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Being Mortal: Medicine and What Matters in the End,"Gawande, Atul",0805095152,9780805095159,0805095152,282        pp,4.49,"190,381","Oct 07, 2014","Oct 07, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 21, 2016",,Hardcover,view,/book/show/20696006-being-mortal
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Better: A Surgeon's Notes on Performance,"Gawande, Atul",0805082115,9780805082111,B001KBY82Y,288        pp,4.24,"34,395","Apr 03, 2007","Apr 03, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 21, 2016",,Hardcover,view,/book/show/213233.Better
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emperor of All Maladies: A Biography of Cancer,"Mukherjee, Siddhartha",,,,571        pp,4.33,"102,525","Nov 16, 2010","Nov 16, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 02, 2016","Sep 02, 2016",,Hardcover,view,/book/show/7170627-the-emperor-of-all-maladies
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kitchen House,"Grissom, Kathleen*",1439153663,9781439153666,1439153663,369        pp,4.22,"275,054","Feb 02, 2010","Feb 02, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I hardly know what to think of this book, which I listened to. It takes place in the South during the time of slavery, the end of 1700s and beginning I hardly know what to think of this book, which I listened to. It takes place in the South during the time of slavery, the end of 1700s and beginning of the 1800s. It certainly had a lot of good qualities. It was well written and very descriptive, with characters that I cared about and that felt real, but there were so many horrible things that happened that it was hard to take in. I would take long breaks from it, weeks or months, and then decide to give it another chance, and then traumatic things would just keep happening. At one point I thought I should just throw in the towel, but I told myself that if I’m going to be a nurse I have to learn to accept that really bad things happen to people and learn to hear and deal with those stories, although if it had been poorly written or completely without merit I would have given it up. At times things started to look up a little and I could sort of imagine some possible happiness and thought I had gotten through the worst of it, but alas there was plenty more horrible stuff ahead of me. At the end I felt like the author owed me more than she gave me in wrapping it up. It did soften me some to hear the author’s account of how this story came to her almost outside of herself and how emotionally draining it was to write. Sometimes she would try to change certain parts to not be so awful, but then she would get blocked and couldn’t move on from that point until she changed it back. That was interesting and I guess helps explain all the darkness. Slavery was dark. People can do unspeakable things to each other. Life can throw accidents and illnesses and all kinds of terrible things at you. I kind of knew those things and I’m not sure if it was educational or enlightening to be exposed to it all like that, but it does make me appreciate more what I have, the life that I live, the freedoms I have, and the people who love me and treat me well, so I guess that is one valuable reminder I can take from this book....more",Notes are private!,0,1,1,not set,"Jan 13, 2015","Jan 13, 2015",,Paperback,view (with text),/book/show/6837103-the-kitchen-house
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rosie Project        (Don Tillman, #1)","Simsion, Graeme*",1476729085,9781476729084,1476729085,292        pp,4.02,"556,315","Jan 30, 2013","Oct 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"That was just a thoroughly enjoyable book. I laughed. A lot. It was kind of a perfect vacation book, mostly light and entertaining, but there were somThat was just a thoroughly enjoyable book. I laughed. A lot. It was kind of a perfect vacation book, mostly light and entertaining, but there were some interesting things to think about as well. The main character is a 39-year-old genetics professor with characteristics of Asperger's syndrome. In studying about Asperger's syndrome he says, ""I formed a provisional conclusion that most of these [symptoms of Asperger's syndrome] were simply variations in human brain function that had been inappropriately medicalized because they did not fit social norms--constructed social norms--that reflected the most common human configurations rather than the full range."" So there is a wide range of normal human behavior and we've decided to make a syndrome for those who are on the outskirts of normal. I see that point, but I also think it can be helpful to identify people that have these characteristics (or symptoms) so that they can get the extra help they need functioning in a very social world. I think identifying with a particular “syndrome” helps them see that there are others like them in the world. I liked when he said, “Asperger’s isn’t a fault. It’s a variant. It’s potentially a major advantage. Asperger’s syndrome is associated with organization, focus, innovative thinking, and rational detachment.” There was some good food for thought, but mostly this book wasn’t about Asperger’s syndrome. It was about a man who is very bright, very organized, very structured in his life and schedule, and very clueless and awkward socially, who decides he wants to find a wife and tries to go about it in a scientific way. There were some confusing or hard to believe aspects to the story, but overall it was funny, charming, sometimes quite touching, and satisfying. The F word was used liberally, unfortunately, by way of warning. Apparently it was originally written as a screenplay and I could definitely imagine it as a movie....more",Notes are private!,0,0,1,not set,"Jan 02, 2015","Jan 02, 2015",,Hardcover,view (with text),/book/show/16181775-the-rosie-project
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,343","May 06, 2014","Jan 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 27, 2015","Jan 01, 2015",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
