,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Charlene's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kill Show,"Sweren-Becker, Daniel",0063321408,9780063321403,0063321408,240        pp,3.80,"3,009","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/75668302-kill-show
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.23,"10,534","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/174156145-the-hunter
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old Friends,"Kidder, Tracy",039571088X,9780395710883,039571088X,unknown,3.96,950,"Sep 01, 1993","Jan 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/86698.Old_Friends
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place for Us,"Mirza, Fatima Farheen*",1524763578,,B0776JJ5YR,377        pp,4.17,"59,912","Jun 12, 2018","Jun 12, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Nov 17, 2023","Nov 21, 2023","Nov 16, 2023",,Kindle Edition,view,/book/show/49003654-a-place-for-us
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Betrayal,"Sigurðardóttir, Lilja*",1913193411,,B088671XP2,262        pp,3.87,943,Oct 2018,"Jul 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2023",,Kindle Edition,view,/book/show/53444167-betrayal
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Street,"Petry, Ann",0358187540,9780358187547,0358187540,378        pp,4.26,"11,811",1946,"Jan 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2023",,Paperback,view,/book/show/44087805-the-street
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Please Look After Mom,"Shin, Kyung-Sook",0307593916,9780307593917,0307593916,237        pp,3.90,"41,511","Nov 05, 2008","Jan 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2023",,Hardcover,view,/book/show/8574333-please-look-after-mom
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dinner Then Dessert: Satisfying Meals Using Only 3, 5, or 7 Ingredients","Snyder, Sabrina",0062995413,9780062995414,0062995413,224        pp,3.72,76,unknown,"Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2023",,Hardcover,view,/book/show/54333475-dinner-then-dessert
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Time I Lied,"Sager, Riley*",,,,402        pp,4.04,"158,232","Jul 03, 2018","Jul 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2023",,Kindle Edition,view,/book/show/36626748-the-last-time-i-lied
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"14th Deadly Sin        (Women’s Murder Club, #14)","Patterson, James*",1780892888,9781780892887,1780892888,349        pp,4.09,"40,650","May 04, 2015","Jan 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A page turner for me. Love the short chapters packed with lots of action. And, of course, love the setting. Will continue with this series.",Notes are private!,0,2,1,"Oct 13, 2023","Oct 14, 2023","Oct 12, 2023",,Paperback,view (with text),/book/show/23346918-14th-deadly-sin
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shades of Mercy        (Porter Beck, #2)","Borgos, Bruce*",1250848091,9781250848093,1250848091,352        pp,4.35,54,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Hardcover,view,/book/show/195790542-shades-of-mercy
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Big Sky        (Jackson Brodie, #5)","Atkinson, Kate",,,B07L3FP1S5,352        pp,3.92,"30,529","Jun 18, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Kindle Edition,view,/book/show/43107933-big-sky
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Housemaid        (The Housemaid, #1)","McFadden, Freida*",,,B09TWSRMCB,338        pp,4.33,"1,064,107","Apr 26, 2022","Apr 26, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Oct 14, 2023","Oct 30, 2023","Aug 02, 2023",,Kindle Edition,view,/book/show/60556912-the-housemaid
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,"Bird, Kai*",,,,721        pp,4.31,"42,613","Apr 05, 2005","Dec 18, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,Paperback,view,/book/show/80571.American_Prometheus
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Generations: The Real Differences Between Gen Z, Millennials, Gen X, Boomers, and Silents―and What They Mean for America's Future","Twenge, Jean M.",1982181613,9781982181611,1982181613,560        pp,4.06,"2,802",Apr 2023,"Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,Hardcover,view,/book/show/61273798-generations
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bitter Past        (Porter Beck, #1)","Borgos, Bruce*",1250848075,9781250848079,1250848075,320        pp,4.08,"1,464","Jul 18, 2023","Jul 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Sep 06, 2023","Oct 06, 2023","Jul 25, 2023",,Hardcover,view,/book/show/61884882-the-bitter-past
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zero Days,"Ware, Ruth*",1982155299,9781982155292,1982155299,356        pp,3.66,"75,103","Jun 20, 2023","Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 25, 2023",,Hardcover,view,/book/show/62919765-zero-days
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fast Like a Girl: A Woman's Guide to Using the Healing Power of Fasting to Burn Fat, Boost Energy, and Balance Hormones","Pelz, Mindy",1401969933,9781401969936,B09WMBSV39,328        pp,4.26,"7,671",unknown,"Dec 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lots of interesting info in this one.,Notes are private!,0,0,1,"Jul 13, 2023","Jan 18, 2024","Jul 13, 2023",,ebook,view (with text),/book/show/61370808-fast-like-a-girl
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs Pankhurst's Bodyguard: On the Trail of 'Kitty' Marshall and the Met Police 'Cats',"Godfrey, Emelyne",,,B0BJ19JGMP,376        pp,4.00,2,unknown,"Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2023",,Kindle Edition,view,/book/show/81519401-mrs-pankhurst-s-bodyguard
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wonder Drug: The Secret History of Thalidomide in America and Its Hidden Victims,"Vanderbes, Jennifer*",0525512268,9780525512264,0525512268,432        pp,4.41,866,"Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 28, 2023",,Hardcover,view,/book/show/62802667-wonder-drug
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gentle Art of Swedish Death Cleaning: How to Free Yourself and Your Family from a Lifetime of Clutter,"Magnusson, Margareta",1501173243,9781501173240,1501173243,117        pp,3.41,"23,983","Oct 06, 2017","Jan 02, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I mainly read this book for suggestions and inspiration about de-cluttering and downsizing. Some things didn't apply to me, but there was a lot that hI mainly read this book for suggestions and inspiration about de-cluttering and downsizing. Some things didn't apply to me, but there was a lot that hit home. So much of what we have is just stuff and do we really need to keep it. I did like her suggestions on giving things away rather than sending stuff to a landfill. Her question wasn't whether something gave us joy, but rather will we - or anyone else for that matter - be happy that we kept it. ...more",Notes are private!,0,5,1,"Jun 28, 2023","Jul 06, 2023","Jun 25, 2023",,Hardcover,view (with text),/book/show/35297297-the-gentle-art-of-swedish-death-cleaning
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Island        (Hidden Iceland, #2)","Jónasson, Ragnar*",1250193370,9781250193377,1250193370,336        pp,3.79,"9,677","Oct 28, 2016","May 21, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2023",,Hardcover,view,/book/show/41150509-the-island
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alter of Eden,"Rollins, James*",,,,512        pp,4.04,"19,565","Dec 10, 2009","Dec 28, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2023",,Paperback,view,/book/show/17207211-alter-of-eden
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Hidden Genius,"Benedict, Marie*",1728229405,,B094XGRWW6,328        pp,3.94,"13,264","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 15, 2023",,Kindle Edition,view,/book/show/58108272-her-hidden-genius
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Gods,"Gaiman, Neil*",,,,635        pp,4.11,"925,143","Jun 19, 2001","Jun 21, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 03, 2023",,Kindle Edition,view,/book/show/30165203-american-gods
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Belonging: A Daughter's Search for Identity Through Loss and Love,"Miller, Michelle",0063220431,9780063220430,0063220431,320        pp,4.26,"1,134",unknown,"Mar 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Jun 2023,"Jul 04, 2023","Jun 01, 2023",,Hardcover,view,/book/show/61319752-belonging
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Demon-Haunted World: Science as a Candle in the Dark,"Sagan, Carl",0345409469,9780345409461,0345409469,459        pp,4.29,"73,482","Feb 01, 1996","Feb 25, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2023",,Paperback,view,/book/show/17349.The_Demon_Haunted_World
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inmate,"McFadden, Freida*",,,B0B1XQTZ1R,388        pp,4.09,"371,309","Jun 13, 2022","Jun 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"May 29, 2023","Jun 25, 2023","May 29, 2023",,Kindle Edition,view,/book/show/61149872-the-inmate
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Pirate,"Brooks-Dalton, Lily*",1538708272,9781538708279,1538708272,336        pp,4.05,"27,728","Dec 06, 2022","Dec 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2023",,Hardcover,view,/book/show/60468332-the-light-pirate
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Mercies,"Lehane, Dennis*",0062129481,9780062129482,0062129481,303        pp,4.31,"43,561","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2023",,Hardcover,view,/book/show/61812308-small-mercies
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eden Test,"Sternbergh, Adam*",1250855667,9781250855664,1250855667,336        pp,3.40,"4,752","Apr 25, 2023","Apr 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"May 20, 2023","May 22, 2023","May 20, 2023",,Hardcover,view,/book/show/60784371-the-eden-test
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Maid        (Molly the Maid, #1)","Prose, Nita*",,,B091Y4KGFH,385        pp,3.78,"538,757","Jan 04, 2022","Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 28, 2023","May 12, 2023","Apr 28, 2023",,Kindle Edition,view,/book/show/57690123-the-maid
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them","Egan, Timothy*",0735225265,9780735225268,0735225265,432        pp,4.40,"23,886","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 23, 2023",,Hardcover,view,/book/show/61423989-a-fever-in-the-heartland
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mindwalker,"Dylan, Kate*",,978152939268,,315        pp,4.06,"1,387","Sep 01, 2022","Sep 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,,view,/book/show/58795554-mindwalker
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"387,754","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2023",,Hardcover,view,/book/show/59912428-mad-honey
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Odyssey of Phillis Wheatley: A Poet's Journeys Through American Slavery and Independence,"Waldstreicher, David",0809098245,9780809098248,0809098245,496        pp,3.84,180,"Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2023",,Hardcover,view,/book/show/60784754-the-odyssey-of-phillis-wheatley
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Wolf,"Kent, Kathleen*",0316280216,9780316280211,0316280216,400        pp,3.96,972,"Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2023",,Hardcover,view,/book/show/61237024-black-wolf
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Strange,"Ballingrud, Nathan*",1534449957,9781534449954,1534449957,304        pp,3.85,"2,131","Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2023",,Hardcover,view,/book/show/61272810-the-strange
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unlucky 13        (Women's Murder Club, #13)","Patterson, James*",031621129X,9780316211291,031621129X,384        pp,4.07,"43,460","May 05, 2014","May 05, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 05, 2023","Mar 20, 2023","Mar 05, 2023",,Hardcover,view,/book/show/18453095-unlucky-13
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Benjamin Franklin: An American Life,"Isaacson, Walter*",074325807X,9780743258074,074325807X,586        pp,4.04,"139,649","Jul 01, 2003",Jun 2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2023",,Paperback,view,/book/show/10883.Benjamin_Franklin
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"12th of Never        (Women's Murder Club, #12)","Patterson, James*",,,B009A9417A,368        pp,4.08,"45,578","Apr 29, 2013","Apr 29, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 25, 2023","Feb 26, 2023","Feb 25, 2023",,Kindle Edition,view,/book/show/15734464-12th-of-never
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,866","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2023",,Hardcover,view,/book/show/61053829-i-have-some-questions-for-you
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cobalt Red: How the Blood of the Congo Powers Our Lives,"Kara, Siddharth",1250284309,9781250284303,1250284309,288        pp,4.38,"6,492","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Hardcover,view,/book/show/60784614-cobalt-red
