,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,kelly powers's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Lovers,"Henry, Emily*",,,0593440870,377        pp,4.14,"1,049,662","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"sweet, simple, crushable",Notes are private!,0,2,1,"Jul 05, 2023","Jul 21, 2023","Jul 05, 2023",,Hardcover,view (with text),/book/show/58690308-book-lovers
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Want to Die But I Want to Eat Tteokpokki,"Baek, Se-hee",,9786237351030,,232        pp,3.31,"51,828","Jun 20, 2018",Aug 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/49228706-i-want-to-die-but-i-want-to-eat-tteokpokki
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Galatea,"Miller, Madeline*",1408848147,,B00CS0X58E,27        pp,3.93,"88,455","Aug 13, 2013","Jul 04, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,if you’ve heard the Greek myth of a sculpter so good the gods blessed him by making one of his women statues come to life — and wondered how the statuif you’ve heard the Greek myth of a sculpter so good the gods blessed him by making one of his women statues come to life — and wondered how the statue might feel about that ...more,Notes are private!,0,0,1,"May 28, 2023","May 28, 2023","May 28, 2023",,Kindle Edition,view (with text),/book/show/18162954-galatea
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Sur,"Kerouac, Jack",0143119230,9780143119234,0143119230,224        pp,3.84,"34,835","Sep 11, 1962","Apr 26, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 21, 2023",,Paperback,view,/book/show/9570805-big-sur
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perks of Being a Wallflower,"Chbosky, Stephen",,,,213        pp,4.23,"1,793,478","Feb 01, 1999",Feb 1999,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“even if we don’t have the power to choose where we come from, we can still choose where we go from there. we can still do things. and we can try to f“even if we don’t have the power to choose where we come from, we can still choose where we go from there. we can still do things. and we can try to feel okay about them.” — not me tearing up over coffee after reading the afterword ...more",Notes are private!,0,1,1,"May 02, 2023","May 09, 2023","May 02, 2023",,Paperback,view (with text),/book/show/22628.The_Perks_of_Being_a_Wallflower
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamnet,"O'Farrell, Maggie*",1472223799,9781472223791,1472223799,372        pp,4.20,"255,726","Mar 31, 2020","Mar 31, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 30, 2023",,Hardcover,view,/book/show/43890641-hamnet
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie,"King, Stephen*",1416524304,9781416524304,1416524304,272        pp,3.99,"721,550",1974,"Jan 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"the book that introduced the masses to Mr. King! not my favorite from him, but what a fast-paced book with a unique structure",Notes are private!,0,1,1,"Apr 29, 2023","May 14, 2023","Apr 30, 2023",,Mass Market Paperback,view (with text),/book/show/10592.Carrie
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"He Who Drowned the World        (The Radiant Emperor, #2)","Parker-Chan, Shelley*",1250621836,9781250621832,1250621836,486        pp,4.29,"6,709","Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2023",,ebook,view,/book/show/63132362-he-who-drowned-the-world
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",,,,355        pp,4.02,"139,066","Aug 30, 2022","Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i was sucked in to Lucré’s world, immersed in the author’s *vivid* storytelling — then shocked to look up and realize i burned through it in four daysi was sucked in to Lucré’s world, immersed in the author’s *vivid* storytelling — then shocked to look up and realize i burned through it in four days… fiction rooted in the true, heavy story of a 15-year-old duchess...more",Notes are private!,0,0,1,"Apr 26, 2023","Apr 29, 2023","Apr 26, 2023",,Hardcover,view (with text),/book/show/60353768-the-marriage-portrait
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Say Nothing: A True Story of Murder and Memory in Northern Ireland,"Keefe, Patrick Radden",0385521316,9780385521314,0385521316,441        pp,4.46,"104,729","Nov 01, 2018","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2023",,Hardcover,view,/book/show/40163119-say-nothing
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"468,840",Sep 2002,"Jan 03, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“This is pretty obvious, but until things happen, they haven’t happened. And often things aren’t what they seem.” what a ride. strange book, as it goe“This is pretty obvious, but until things happen, they haven’t happened. And often things aren’t what they seem.” what a ride. strange book, as it goes with Murakami, but the writing really sticks to you. ...more",Notes are private!,0,1,1,"Oct 05, 2023","Nov 13, 2023","Mar 27, 2023",,Paperback,view (with text),/book/show/4929.Kafka_on_the_Shore
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Song of Achilles,"Miller, Madeline*",,,,408        pp,4.33,"1,484,859","Sep 20, 2011","Aug 28, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2023",,Paperback,view,/book/show/13623848-the-song-of-achilles
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"She Who Became the Sun        (The Radiant Emperor, #1)","Parker-Chan, Shelley*",,,B08GZXND63,416        pp,3.87,"69,385","Jul 20, 2021","Jul 20, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"so much here. so much to discuss. fate, identity, desire, yin-yang — my only complaint is i’ve run out of pages.",Notes are private!,0,0,1,"Apr 14, 2023","Apr 25, 2023","Mar 14, 2023",,Kindle Edition,view (with text),/book/show/48727813-she-who-became-the-sun
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators","Farrow, Ronan",0316454133,9780316454131,0316454133,608        pp,4.41,"96,894","Oct 15, 2019","Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2023",,Hardcover,view,/book/show/51022071-catch-and-kill
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Noise,"DeLillo, Don",0140077022,9780140077025,0140077022,326        pp,3.86,"115,122","Jan 21, 1985","Jan 07, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"the writing. the constant connection to things around me today. slow burn, but a good one. “You could put your faith in technology. It got you here, ithe writing. the constant connection to things around me today. slow burn, but a good one. “You could put your faith in technology. It got you here, it can get you out. This is the whole point of technology. It creates an appetite for immortality on the one hand. It threatens universal extinction on the other.”...more",Notes are private!,0,1,1,"May 14, 2023","Jun 21, 2023","Feb 24, 2023",,Paperback,view (with text),/book/show/923693.White_Noise
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maame,"George, Jessica",1529395577,9781529395570,1529395577,391        pp,4.07,"83,314","Jan 31, 2023","Feb 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2023",,Hardcover,view,/book/show/61762803-maame
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lucy by the Sea        (Amgash, #4)","Strout, Elizabeth*",0593446062,9780593446065,0593446062,291        pp,3.92,"64,801","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Hardcover,view,/book/show/60657583-lucy-by-the-sea
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"387,885","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Hardcover,view,/book/show/59912428-mad-honey
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Into Thin Air: A Personal Account of the Mount Everest Disaster,"Krakauer, Jon*",,,,368        pp,4.24,"505,797","May 01, 1997","Oct 19, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“… in order to succeed you must be exceedingly driven, but if you're too driven you're likely to die. Above 26,000 feet, moreover, the line between ap“… in order to succeed you must be exceedingly driven, but if you're too driven you're likely to die. Above 26,000 feet, moreover, the line between appropriate zeal and reckless summit fever becomes grievously thin. Thus the slopes of Everest are littered with corpses.” idk no notes. incredible reporting and writing, even if harrowing. ...more",Notes are private!,0,2,1,"Nov 13, 2023","Nov 20, 2023","Feb 11, 2023",,Paperback,view (with text),/book/show/1898.Into_Thin_Air
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,245","Mar 31, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(see: 4.5) this one exceeded my expectations/assumptions — clever, quick and somehow equal parts frustrating and heartwarming. worth a read (and now l(see: 4.5) this one exceeded my expectations/assumptions — clever, quick and somehow equal parts frustrating and heartwarming. worth a read (and now likely a watch on Apple TV lol)...more",Notes are private!,0,2,1,"Oct 27, 2023","Nov 06, 2023","Feb 11, 2023",,Hardcover,view (with text),/book/show/58065033-lessons-in-chemistry
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matrix,"Groff, Lauren*",0593421191,9780593421192,0593421191,257        pp,3.68,"56,689","Sep 07, 2021",2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"wow im not sure ive read anything like this book — something touching on theological but solely about women / one powerful woman. i will not forget itwow im not sure ive read anything like this book — something touching on theological but solely about women / one powerful woman. i will not forget it. the writing was a little hard to connect with for me, esp without any quoted dialogue, but also beautiful ...more",Notes are private!,0,1,1,"Feb 11, 2023","Apr 14, 2023","Feb 11, 2023",,Paperback,view (with text),/book/show/59132008-matrix
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Final Harvest: Emily Dickinson's Poems,"Dickinson, Emily",,,,331        pp,4.28,"2,046","Jan 01, 1961",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 07, 2023",not set,"Feb 07, 2023",,Paperback,view,/book/show/108119.Final_Harvest
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Selected Writings: Sir Thomas Browne,"Browne, Thomas",1857546903,9781857546903,1857546903,168        pp,4.31,26,"Jan 01, 1968","May 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2023",,Paperback,view,/book/show/93301.Selected_Writings
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1Q84        (1Q84, #1-3)","Murakami, Haruki",0307593312,9780307593313,0307593312,944        pp,3.94,"259,614","May 28, 2009","Oct 25, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this book keeps you sucked-in for over 1,000 pages, then leaves you struggling to explain where you’ve been. as one character put the book inside thisthis book keeps you sucked-in for over 1,000 pages, then leaves you struggling to explain where you’ve been. as one character put the book inside this book: “The words and style of the young narrator were universally appealing—concise and, in most cases, pleasant—but they explained almost nothing about the events that unfolded. Rather, the girl simply let the narrative flow as she recounted what she had seen with her own eyes, never stopping to consider ‘What is going on here?’ or ‘What could this mean?’” ...more",Notes are private!,0,0,1,"Feb 27, 2023","Mar 27, 2023","Feb 02, 2023",,Hardcover,view (with text),/book/show/10357575-1q84
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,423","May 22, 2001","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"get lost in a tiny, deep world for over a hundred pages — then get snapped back to reality in just four.",Notes are private!,0,4,1,"Nov 30, 2023","Dec 20, 2023","Feb 02, 2023",,Paperback,view (with text),/book/show/5826.Bel_Canto
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night,"Wiesel, Elie",0553272535,9780553272536,0553272535,109        pp,4.37,"1,244,742",1956,1986,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2023",,Mass Market Paperback,view,/book/show/231614.Night
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,273","Mar 10, 2015","Mar 10, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2024",not set,"Jan 28, 2023",,Hardcover,view,/book/show/22822858-a-little-life
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Meander, Spiral, Explode: Design and Pattern in Narrative","Alison, Jane",1948226138,9781948226134,1948226138,272        pp,4.09,"1,724","Apr 01, 2019","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2023",,Paperback,view,/book/show/41735103-meander-spiral-explode
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,356","Nov 05, 2021","Nov 30, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this book was sort of like an extended short story — lovely writing and sensory detail — but i can’t help thinking it could have been set up differentthis book was sort of like an extended short story — lovely writing and sensory detail — but i can’t help thinking it could have been set up differently or done more if meant to note the Magdalen laundries / concealment, forced labor of women and girls in Ireland. powerful subject matter, but this work chose to almost focus on people’s often damning indifference to injustices witnessed, if it will disturb our “ordinary.” may need to read again. ...more",Notes are private!,0,0,1,"Jan 27, 2023",Feb 2023,"Jan 27, 2023",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Half,"Bennett, Brit*",,,,343        pp,4.15,"753,495","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2023",,Hardcover,view,/book/show/51791252-the-vanishing-half
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Roughest Draft,"Wibberley, Emily*",0593201930,9780593201930,0593201930,317        pp,3.59,"50,444","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2023",,Paperback,view,/book/show/57933316-the-roughest-draft
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Claire of the Sea Light,"Danticat, Edwidge",030727179X,9780307271792,030727179X,238        pp,3.67,"10,779",2013,"Aug 27, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/16280051-claire-of-the-sea-light
