,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Gail's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heartstopper: Volume Five        (Heartstopper, #5)","Oseman, Alice*",,,,336        pp,4.52,"108,732","Dec 07, 2023","Dec 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What I loved most about this book is how following along with Charlie and Nick’s latest adventures in their final months/year of high school took me rWhat I loved most about this book is how following along with Charlie and Nick’s latest adventures in their final months/year of high school took me right back to being in their position and being similarly consumed with the same teenage thoughts that, no matter your sexuality and no matter the decade, are pretty evergreen for that age. #iykyk Maybe the only thing I *didn’t* like about this latest installment in the Heartstopper series is coming to the final page and reading that Charlie and Nick’s story will conclude in Vol. 6. And here I wanted to follow them on through the rest of their life stages, be it marriage and babies or (sob!) whatever post-break up career paths they choose to follow. What a gift Alice Oseman has given us in sharing these characters with those of us so fervently devoted to them. ...more",Notes are private!,1,3,1,"Mar 24, 2024","Apr 04, 2024","Mar 24, 2024",,Paperback,view (with text),/book/show/53344030-heartstopper
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adventures of Huckleberry Finn,"Twain, Mark",0142437174,9780142437179,0142437174,327        pp,3.83,"1,265,486","Feb 18, 1884","Dec 31, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ernest Hemingway once said, ""All modern American literature comes from one book by Mark Twain called Huckleberry Finn. … It’s the best book we’ve had.Ernest Hemingway once said, ""All modern American literature comes from one book by Mark Twain called Huckleberry Finn. … It’s the best book we’ve had. All American writing comes from that. There was nothing before. There has been nothing as good since.”Shame on me for having never read this classic before! I can't for the life of me understand why not, other than the fact it was probably caught up in one of its many book bannings while I was in high school and passed over by the conservative school system that chose which novels I read for the mandatory curriculum I studied as a teenager. Oh well, I suppose it's better to come to a classic late than never at all, and this one I was all too happy to read ahead of diving into Percival Everett's new release, James. So glad I did, too, as I now have a richer appreciation not just for Twain's take on his clever characters' many escapades, but for how catching a ride on a raft down the mighty Mississippi represented a pathway to freedom for both a young boy named Huck and a runaway slave named Jim. [On a related note, I had about a dozen different versions of this book to choose from when it came to checking out a copy from Libby. To save time, I chose to listen to an abridged one narrated by the late Jack Lemmon, and I gotta say, he did a pretty solid job with all the dialects in this book—the first to really introduce the concept of dialect to American readers.]...more",Notes are private!,0,9,1,"Mar 21, 2024","Mar 24, 2024","Mar 24, 2024",,Paperback,view (with text),/book/show/2956.The_Adventures_of_Huckleberry_Finn
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,783","Jan 23, 2024","Jan 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is wildly inventive! A real smorgasbord of a read! Truly, I never knew what would happen next—or whose perspective Akbar would have me readiThis book is wildly inventive! A real smorgasbord of a read! Truly, I never knew what would happen next—or whose perspective Akbar would have me reading in—but I appreciated that narrator Arian Moayed sold the shit out of every character whose voice he gave life to in the audiobook, from Akbar's protagonist, Cyrus Shams, to Cyrus' dead mother, Roya, to Roya's brother, Arash, and so on.I really loved NPR's take on this one: ""Maybe you could think of it as something of an Iranian American spin on John Kennedy Toole's comic picaresque A Confederacy Of Dunces, wedded to Donna Tartt's The Goldfinch, another meditation on a missing mother and the unpredictable power of art.” That's about as good a description as you're going to get about a book that's a lesson in lyricism as much as a lesson in suffering. ...more",Notes are private!,2,5,1,"Mar 06, 2024","Mar 21, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/139400713-martyr
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Library,"Charles, Janet Skeslien*",1982134194,9781982134198,1982134194,368        pp,4.07,"122,676","Feb 09, 2021","Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/52761909-the-paris-library
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B. Jones and the  Stupid Smelly Bus        (Junie B. Jones, #1)","Park, Barbara",0679826424,9780679826422,B0073UQCB6,69        pp,3.97,"28,165","Jul 01, 1992","Jan 01, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It can feel like cheating to add children's books toward your GoodReads book count and yet, I *DID* read this book with my six-year-old daughter this It can feel like cheating to add children's books toward your GoodReads book count and yet, I *DID* read this book with my six-year-old daughter this past month and I *DO* want to remember that fact, especially since it's the first chapter book series she's sunk her teeth into and I LOVE THIS FOR HER.What to make of the pint-sized Ms. Jones? Well, I found her to be a bit of a brat, I'm not going to lie. But she's also very funny and the mistakes she makes (from mispronounced words to physical pratfalls) are very age appropriate. Sometimes I think writing a character like this is purposeful, as my daughter would occasionally love pointing out to me, ""Hey, that wasn't very nice of Junie, was it?"" (Love seeing her flex that emotional intelligence muscle as she listens to a story during bedtime.)I'll end this  by saying how much I absolutely adore reading books with my kids (and how fun it is to explore a popular series that my son didn't care to give the time of day when he was his sister's age). Audrey and I have now read about six or seven of the books in this series and I'll keep on reading them to her (there are so many!) for as long as she keeps on plucking them off the shelves of our local library!...more",Notes are private!,0,8,1,"Feb 10, 2024","Feb 23, 2024","Mar 02, 2024",,Paperback,view (with text),/book/show/958277.Junie_B_Jones_and_the_Stupid_Smelly_Bus
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,343","Jan 23, 2024","Jan 23, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wanted to love the newest release from Frankel as much as I loved her This is How It Always Is, but there was too much that didn't grab me the same.I wanted to love the newest release from Frankel as much as I loved her This is How It Always Is, but there was too much that didn't grab me the same. Or just made me scratch my head instead? For starters, the dialogue was too clever too much of the time. (I kept thinking, especially with the kids, 'Who talks this way in real life?') Then there was my bone to pick with the fact that, in wanting to write a novel that examined adoption through a flattering lens, Frankel had this to say on the topic: “There’s no shortage of books, TV, and movies about adopted families and orphans, and they’re all couched in this ‘oh, poor you, this is a tragedy’ language. I hate it!”I absolutely support what Frankel says here—and her decision to write about it—but what I hate is there are also no shortage of books, TV, and movies that portray Christians as homophobic, intolerant, or hateful. So, I guess I was just disappointed that this was the same language Frankel adopted here (to be so on the nose) when it came to providing a backstory of one of the tertiary characters in this book. A small thing to get stuck in my craw, but for a book that asks readers to be more open minded and accepting of other people, it's a message I felt the author ended up being pretty selective about herself. ...more",Notes are private!,0,0,1,"Mar 02, 2024","Mar 13, 2024","Mar 02, 2024",,Hardcover,view (with text),/book/show/127282881-family-family
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"No Crying in Baseball: The Inside Story of A League of Their Own: Big Stars, Dugout Drama, and a Home Run for Hollywood","Carlson, Erin",0306830183,9780306830181,0306830183,320        pp,3.71,570,"Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A vivid memory from childhood is seeing ""A League of Their Own"" in the theater with classmates, all of us piling into the minivan driven by the motherA vivid memory from childhood is seeing ""A League of Their Own"" in the theater with classmates, all of us piling into the minivan driven by the mother of my best friend, Tracy, whose birthday that November afternoon*** we were celebrating. Before the credits rolled, I knew ""League"" had cemented itself onto my heart as one of my favorite films (the imprint of which remains to this day). I share this story to explain why my great love of ""League""—the most record-breaking movie about baseball of all time—makes it impossible for me to give this book anything less than a five-star .But even for readers who aren't super stans, there's still plenty within its pages to enjoy. The chapters are chock full of tidbits about the shoot (more on that in a moment), sprinkled into a narrative that offers a fascinating deep dive both into the biography of its director, Penny Marshall, and a history of the All-American Girls Professional Baseball League.Here were a few anecdotes that, combined with all the on-set tea spilled by cast members, made this a home run read for me:• I had no idea until reading this that the beloved character of Betty Spaghetti was portrayed by Penny's daughter, Tracy Reiner (the story of how she gets involved in casting was delightful)! • A who's who list of actresses and actors were in the running for the major roles of this film before Penny finally settled on the familiar names who were cast. Can you imagine Debra Winger as Dottie Hinson? Jim Belushi as Jimmy Dugan? We came thisclose to their names being on the movie poster! • Much of the movie was filmed in Indiana, with locals around Evansville (where the majority was shot) cast for supporting roles. Among them was local softball player DeLisa Chinn-Tyler, who portrayed the Black bystander who threw the ball in the iconic scene where words were unnecessary to convey the injustice that was Black women being shut out of the league. The fact her story is included in this book (when her name was left out of the credits) was a small sliver of justice served. • Penny shot so much film for this movie—about TWO MILLION feet—that Kodak threw her and the cast a party, complete with plenty of bottles of champagne to go 'round.***Given when I saw this film as a kid, I always assumed it came out in the second half of 1992. I was SHOCKED to learn while reading this that it actually debuted on July 1, 1992....which means it was still playing on the big screen five months later, when I saw it. It was probably at the $1 movie theater by then (remember those?!) but still, how incredible that this film—a commercial success that ended up earning $130+ million against a budget of $40 million—spent roughly a half-year in theaters!...more",Notes are private!,0,6,1,"Mar 02, 2024","Mar 07, 2024","Mar 02, 2024",,Hardcover,view (with text),/book/show/75593481-no-crying-in-baseball
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lies and Weddings,"Kwan, Kevin*",0385546297,9780385546294,0385546297,448        pp,4.02,283,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/197144545-lies-and-weddings
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hits, Flops, and Other Illusions: My Fortysomething Years in Hollywood","Zwick, Ed",1668046997,9781668046999,1668046997,304        pp,4.13,741,"Feb 13, 2024","Feb 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Until this year, I had no idea writer-producer-director Ed Zwick was responsible for some of the greatest TV series and films that have defined my entUntil this year, I had no idea writer-producer-director Ed Zwick was responsible for some of the greatest TV series and films that have defined my entire life, basically.Take, for example, his role as co-creator (with writing partner, Marshall Herskovitz**) of thirtysomething***, the poignant TV drama that captivated my mother (and thereby my)’s attention when it aired in the late ‘80s and early ‘90s. The influence of that one series cannot be overstated when you consider what Zwick has to say about the actors, writers, and producers he and Herskovitz hired to work on the series with them: “Their work has had an undeniable influence on the best television has had to offer,” he wrote in his new memoir. “Alias, My So-Called Life, Friday Night Lights, Brothers & Sisters, Grey’s Anatomy, Parenthood, New Amsterdam, Breaking Bad, Without a Trace, Nashville, Once and Again, Damages, Jane the Virgin, In Treatment, and This is Us, to name a few.”Ummmmmmm…. best television has had to offer INDEED!While it may have been my understanding of Zwick’s work on thirtysomething that initially drew me into this read, I was pulled along by discovering how many other projects he’s worked on that I love, most notably his role in producing and directing Legends of the Fall (aka, the film that took my teenage obsession of Brad Pitt to an 11).As Zwick says in his introduction, “I’ll be dropping a few names,” and indeed he does throughout his life story—from recounting his experience casting Matthew Broderick and Denzel Washington in Glory, to discovering Claire Danes during the casting process for My So Called Life to courting Julia Roberts for the lead in Shakespeare in Love (a project for which Harvey Weinstein swooped in and stole from him like the colossal bully he was). It truly is CRAZY how many legends this man has worked with over the years!I loved the unexpected discovery of this memoir landing onto my 2024 reading list as much as I loved all the behind-the-scenes anecdotes Zwick shared within its pages. This is a title that’ll stick with me for years to come and is a must-read for anyone who loves pop culture, the film industry, and/or creative professions as much as I do. **Multiple times while reading this book, I thought of Zwick and Herskvotiz as TV’s answer to the famed theater partnership of Rodgers and Hammerstein … I also LOVED learning Ed and Marshall’s production company is named Bedford Falls Productions after the fictional town in It’s a Wonderful Life, a film that resides on the “forever favorites” shelf in my heart. ***Since reading this book, I’ve started re-watching thirtysomething and it’s SUCH a nostalgic, Baby Boomer blast from the past—one that feels like the pop culture equivalent of being wrapped up in your grandma’s coziest afghan. I can’t get enough of the series and I’m already looking forward to rediscovering My So-Called Life next! ...more",Notes are private!,0,2,1,"Mar 28, 2024","Apr 08, 2024","Feb 21, 2024",,Hardcover,view (with text),/book/show/176443727-hits-flops-and-other-illusions
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Green Dot,"Gray, Madeleine",,,,256        pp,3.79,"9,969","Feb 27, 2024",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What Sally Rooney is to Irish novels about sad Millennials, Madeline Gray is to Australian novels about sad Millennials.I know lots of folks will loveWhat Sally Rooney is to Irish novels about sad Millennials, Madeline Gray is to Australian novels about sad Millennials.I know lots of folks will love this one for all its self-aware snark, but this Elder Millennial had a hard time rooting for main character Hera, whose ambition to have an affair supersedes her ambition to do anything else, like, I don't know, be good at her job, for starters? (See also: be a good daughter or good friend.)Maybe my favorite thing about this buzzy new read is the fact its title comes from the eponymous green dot that's always popping up on the screen of Hera's phone or computer as she waits for her co-worker, Arthur, to message her back. (God, Arthur...WHAT A LYING, CHEATING ASSHOLE.) It's a tie-in as clever as much of Gray's writing, even if I should have known better than to think all the positive press about this one could make me overlook my misgivings about any book centering on adultery. ...more",Notes are private!,2,1,1,"Mar 22, 2024","Mar 24, 2024","Feb 16, 2024",,Kindle Edition,view (with text),/book/show/61169593-green-dot
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,063","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Grit,"Portis, Charles",9781590204,,,235        pp,4.17,"59,297","May 21, 1968",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/60238909-true-grit
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rule Book,"Adams, Sarah*",0593723678,9780593723678,0593723678,368        pp,4.19,"7,070","Apr 02, 2024","Apr 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"How lucky was I to get an advance copy of Sarah Adams’ newest novel, The Rule Book? (So lucky.)To start reading said ARC on Super Bowl Sunday 2024? [NHow lucky was I to get an advance copy of Sarah Adams’ newest novel, The Rule Book? (So lucky.)To start reading said ARC on Super Bowl Sunday 2024? [Nothing like reading about one handsome tight end on the page while watching another make a 22-yard pass in the final two minutes of the Big Game to help his team cinch their third national title.](Luckier still.)To finish this “saucy second chance rom com” on freaking VALENTINE’S DAY? (To quote one Ben Folds, the luckiest.)Schmoopy jokes aside, I love Sarah Adams’ love stories. In her bio, she says that she aspires to create books that “leave you happier than when you started reading.”In that regard, this latest in her LA Sharks series is another home run …. errr .... I mean touchdown. Ha!...more",Notes are private!,0,5,1,"Feb 11, 2024","Feb 14, 2024","Feb 06, 2024",,Paperback,view (with text),/book/show/182484354-the-rule-book
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stoner,"Williams, John",1590171993,9781590171998,1590171993,288        pp,4.33,"166,216",1965,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/166997.Stoner
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ready or Not,"Bastone, Cara",0593595718,9780593595718,0593595718,400        pp,4.11,"17,217","Feb 13, 2024","Feb 13, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a really sweet book about a flighty (aren’t 90 percent of them?) female protagonist, Eve, who finds herself unexpectedly pregnant with a guy, This is a really sweet book about a flighty (aren’t 90 percent of them?) female protagonist, Eve, who finds herself unexpectedly pregnant with a guy, Ethan, who owns a dog-friendly (say what?) bar in Brooklyn. Ethan is a good guy, so this story doesn’t set out to paint this baby’s daddy in a negative light. Matter of fact, the author chooses instead to double down with her good guys by introducing Shep (the brother of Eve’s best friend), who quickly becomes the third point of this book’s literary love triangle.Shep may be the most perfect man to exist on paper — like, in a world of romantic tropes, his Golden Retriever energy is less single dog and more litter of adorable puppies. He’s cute. Eve’s cute. Ethan’s cute. And together the story that plays out between these three makes for a funny, feel-good read where nothing nefarious happens and a scenario you *think* could never work out does, resulting in a HEA so sweet you’d find it unbelievable if you didn’t love it so much.  For another take on this read, I loved what Lauren had to say about it: “Cute, charming, bubbly, perfectly displays the difference between gender and sex, characters not bound by toxic masculinity, A+ pronoun inclusion, and a wonderful depiction of motherly love, slow-burning romance, and co-parenting. Please give this book the chance it deserves!” ...more",Notes are private!,0,4,1,"Mar 02, 2024","Mar 08, 2024","Jan 30, 2024",,Paperback,view (with text),/book/show/154462768-ready-or-not
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lonesome Dove,"McMurtry, Larry",,,,858        pp,4.53,"190,847",1985,2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I'm spending the year reading this American classic in monthly installments as part of bookseller Annie Jone's From the Front Porch: Conquer a ClassicI'm spending the year reading this American classic in monthly installments as part of bookseller Annie Jone's From the Front Porch: Conquer a Classic reading series. Highly recommend you join us! ...more,Notes are private!,0,7,1,"Jan 19, 2024",not set,"Jan 30, 2024",,Paperback,view (with text),/book/show/54828959-lonesome-dove
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come and Get It,"Reid, Kiley",0593328205,9780593328200,0593328205,400        pp,3.45,"12,978","Jan 30, 2024","Jan 30, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is there anybody who writes modern-day cringe better than Kiley Reid? (I think not).As my friend Andy notes in his  of Reid’s newest novel, therIs there anybody who writes modern-day cringe better than Kiley Reid? (I think not).As my friend Andy notes in his  of Reid’s newest novel, there isn’t so much a plot to this book as there is a theme—and that theme is money, honey! Specifically, the relationship the book’s main characters (a Black RA, Millie Cousins, central among them) have to it and all its trappings.While this title may have started slow for me, once I let myself get immersed in the story (much of which takes place inside a single residence hall on the campus of the University of Arkansas) I.was.sucked.in! Mostly because Reid writes female characters so well. She knows these women and, thanks to her own stint as an RA for a year, has been a version of these women. I loved the nuances of their voices on the page, how well Reid nailed their insecure stutters and upspeak. In that sense, this book felt as true as if I were the the one who was eavesdropping outside of Millie’s dorm room, not Agatha Paul....more",Notes are private!,2,9,1,"Jan 23, 2024","Feb 05, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/127482608-come-and-get-it
