,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,piperitapitta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le cose della vita,"Guimard, Paul",8831312766,9788831312769,8831312766,114        pp,4.00,292,1967,"Jul 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/58621027-le-cose-della-vita
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frontiera: Perché sarà un nuovo secolo americano,"Costa, Francesco",8835732387,9788835732389,B0CW2ST9Y6,300        pp,3.88,458,unknown,"Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[image]Edward Burtynsky - Breezewood, Pennsylvania",Notes are private!,4,16,1,"Mar 05, 2024","Mar 29, 2024","Mar 05, 2024",,ebook,view (with text),/book/show/208926793-frontiera
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Riflessi in un occhio d'oro,"McCullers, Carson",8806192264,9788806192266,8806192264,148        pp,3.83,"6,328",1941,"Feb 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Feb 27, 2024",Mar 2024,"Feb 27, 2024",,Paperback,view,/book/show/9654600-riflessi-in-un-occhio-d-oro
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",8854528439,9788854528437,8854528439,654        pp,4.51,"397,775","Oct 18, 2022","Nov 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Case desolate[image]Poche righe, solo perché le sole stelline non riescono a trasmettere l’entusiasmo e l’apprezzamento che ho provato nel leggere queCase desolate[image]Poche righe, solo perché le sole stelline non riescono a trasmettere l’entusiasmo e l’apprezzamento che ho provato nel leggere questo romanzo.Le sue intenzioni, Barbara Kingsolver, le esplicita nei brevi ringraziamenti in calce al suo romanzo, quando ringrazia Charles Dickens per aver scritto «l’appassionata critica allo Stato che non è in grado di provvedere ai suoi cittadini più fragili e ai dannosi effetti prodotti sull’infanzia da tale situazione. Quei problemi» continua Kingsolver  «persistono ancora.»Allora immaginate di prendere “David Copperfield”, le oltre novecento pagine del romanzo, e di togliere tutto, proprio tutto (quasi tutto, via, se non lo ricordate aprite Wikipedia e leggete i nomi e le vicende principali del romanzo di Dickens!), e lasciarne l’ossatura, lo scheletro, per trasportarlo e adattarlo, mimetizzandolo, al nostro tempo e ai luoghi dell’autrice: gli Appalachi, la Virginia, la Lee County, terra di miniere e campagnoli, di hillbilly e di redneck. Il tempo, invece, è quello che partendo dalla fine dello scorso millennio attraversa il fallimento del welfare e la crisi degli oppiodi, testimoniati dallo sfruttamento dei minori, dall’emergenza sanitaria pubblica dovuta alla dipendenza da OxyContin, dallo stato di indigenza e ignoranza in cui vivono, in un circolo vizioso che è praticamente impossibile interrompere, le famiglie, gli anziani, i bambini.Protagonista e io narrante, ma soprattutto narratore a tratti onnisciente, è Damon, da subito Demon Copperhead, melungeon da parte di padre - un padre mai conosciuto - che sin da bambino ci accompagna con voce ironica e strafottente nel suo mondo, negli alti e bassi (tanti bassi, ma se qualcuno ha letto “David Copperfield”, o ne conosce a grandi righe la storia, lo sa) della sua giovane esistenza fatta di soprusi e privazioni, di violenza e di molto poco affetto e quasi nulle briciole di carità; nella sua passione per il disegno, coltivata attraverso il fumetto (c’è anche una citazione di The Complete Maus], che ho molto apprezzato!) e nella diseducazione sentimentale che lo accompagna per gran parte della sua infanzia; la sua voce cambia in maniera impercettibile durante l’adolescenza per diventare diventare più cupa e drammatica nell'avvicinarsi all'età adulta, fino a raggiungere consapevolezza della sua condizione ma, soprattutto, riuscire a comprendere che la sorte può anche offrirti delle carte migliori, ma che a giocarle, e a scegliere come farlo, sei sempre solo tu.[image]Se poi farete come me, che quel Dickens penso di averlo letto in versione per ragazzi prima ancora che Demon nascesse, ricordandolo solo sommariamente, e per questo andrete a leggervi la sinossi mentre siete ancora a due terzi di questo romanzo, non solo vi emozionerete comprendendo l’enorme lavoro fatto da Barbara Kingsolver (e quindi ci sta, mi è piaciuto molto Trust di Hernan Diaz, con il quale ha condiviso il Pulitzer 2023, se l’è meritato anche lei), ma capirete anche come va a finire. Se poi starete leggendo in contemporanea (sempre come stavo facendo io) persino Casa desolata, a questo punto il corto circuito sarà completo.Quattro stelle e mezza.«Nell’adattare il suo romanzo [David Copperfield] al mio luogo e al mio tempo, lavorando per anni in compagnia della sua indignazione, inventiva ed empatia, sono arrivata a considerarlo il mio amico geniale.» (Barbara Kingsolver)Le immagini sono quelle che accompagnano la recensione sul NY Times...more",Notes are private!,13,38,1,"Feb 15, 2024","Feb 26, 2024","Feb 18, 2024",,Paperback,view (with text),/book/show/201947490-demon-copperhead
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madre,"Goldbloom, Goldie*",,9788899452544,,270        pp,3.94,"1,668","Sep 17, 2019","Feb 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Feb 12, 2024","Feb 17, 2024","Feb 12, 2024",,Paperback,view,/book/show/131216226-madre
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verso Betlemme,"Didion, Joan",8842814814,9788842814818,8842814814,205        pp,4.19,"67,267",1968,"Feb 28, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,11,1,"Jan 31, 2024","Feb 17, 2024","Jan 31, 2024",,Paperback,view,/book/show/20871622-verso-betlemme
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'inferno di Treblinka,"Grossman, Vasily",884592484X,9788845924842,884592484X,79        pp,4.46,"1,078",1944,"May 05, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,20,1,"Jan 26, 2024","Jan 26, 2024","Jan 26, 2024",,Paperback,view,/book/show/9710946-l-inferno-di-treblinka
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una infanzia laconica,"Amigorena, Santiago H.",8854526517,9788854526518,B0BKLT3PXX,132        pp,2.00,2,"Apr 02, 1998","Nov 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Tanto mi è piaciuto Il ghetto interiore tanto mi ha annoiata (e sembrato un incomprensibile esercizio intellettuale egoriferito) questo.Tanto mi è piaciuto Il ghetto interiore tanto mi ha annoiata (e sembrato un incomprensibile esercizio intellettuale egoriferito) questo....more,Notes are private!,0,8,1,"Jan 24, 2024","Feb 07, 2024","Jan 24, 2024",,Paperback,view (with text),/book/show/121934286-una-infanzia-laconica
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il ghetto interiore,"Amigorena, Santiago H.",8854520616,9788854520615,8854520616,144        pp,3.91,"1,423","Aug 22, 2019","Sep 17, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Una vita laconica[image]Scrive in francese Santiago H. Amigorena, autore argentino emigrato in Francia (che dice di non amare - o meglio, dice di non Una vita laconica[image]Scrive in francese Santiago H. Amigorena, autore argentino emigrato in Francia (che dice di non amare - o meglio, dice di non amare vivere in Francia, ma di amare scrivere in francese) con la famiglia durante gli anni della dittatura, così come il nonno Vicente, originario dello di uno shtetl polacco Chełm, aveva deciso di partire da Varsavia alla volta dell’Argentina nel 1928 deluso da alcune scelte politiche del maresciallo Piłsudski (ma già in “Una infanzia laconica”, che ho appena iniziato a leggere, racconta che se ne andò perché non andava d’accordo con il padre).In Argentina si sposa, ha due figli, un buon lavoro legato alla “fàbrica” di mobili del suocero, impara lo spagnolo e dimentica persino l’yiddish.In Polonia, Vicente Rosenberg, nato Wincenty, che si era sempre sentito prima di tutto polacco, che amava la Germania e in particolare la lingua tedesca, lascia la madre, un fratello e una sorella con la sua famiglia, e quando iniziano le occupazioni tedesche e le prime discriminazioni razziali, inizia anche a comprendere cosa significhi essere ebreo. Perché in Argentina né la famiglia della moglie Rosita, Rusita, come la chiama Vicente, figlia di esuli russi, né lo stesso Vicente, si sentono ebrei più di quanto non si sentano polacchi, russi o, infine, argentini.«Vicente era un giovane ebreo. O un giovane polacco. O un giovane argentino. In realtà, quel 13 settembre 1940 Vicente Rosenberg non sapeva ancora di preciso chi fosse.»Il corto circuito che sprofonderà Vicente nella crisi di cui narra Amigorena è quello di non avere più notizie della madre, di non avere consapevolezza di quanto avvenga in Polonia, di non riuscire ad avere notizie certe - le notizie non ci sono e quando arrivano, sussurrate, vengono relegate alle pagine meno importanti dei quotidiani, e dunque non esistono, non sono, non possono, essere vere - di non avere insistito abbastanza, negli anni precedenti, per convincere la madre, almeno la madre, a raggiungerlo a Buenos Aires; perché lui la madre, e questa è la consapevolezza che lo sconvolge sino ad ammutolirlo, a relegarlo al “ghetto interiore” del titolo, è che lui la madre non voleva veramente che lo raggiungesse, perché in Argentina era finalmente libero, e quando si rende conto del pericolo è ormai troppo tardi: sono gli anni del ghetto di Varsavia, e poi della sua rivolta, sono gli anni in cui chi non morirà in quei giorni, chi non è già stato giustiziato e buttato in una fossa comune, chi non è stato messo subito in un treno per Auschwitz, finirà a Treblinka, il campo in cui, scrive Amigorena, non si andava per lavorare, ma solo per morire.Poche pagine per raccontare la storia della Shoah da un altro punto di vista, insolito per quanto riguarda le mie letture sul tema, perché offre lo sguardo di chi era dall’altra parte, di chi, in pena per la famiglia, era impossibilitato a riceverne notizie se non per lettera o per quelle scarne notizie giornalistiche che inizialmente, per la mostruosità del contenuto, furono sottovalutate, non credute possibili.Ho molto apprezzato la scelta di Amigorena di restare a margine della narrazione, di scomparire dalla storia di Vicente e Rosita se non per tornare a raccontarci, in conclusione, che tutto quello che ci aveva raccontato era successo a lui, alla sua famiglia.Interessanti, inoltre, alcune speculazioni di carattere linguistico e filosofico che l’autore fa sul significato e sulla scelta della parola Shoah rispetto a quella di Hurban (che non avevo mai sentito prima) e di Olocausto.«Non so quando di preciso Vicente abbia saputo che sua madre era stata deportata a Treblinka II, il campo dove non si era mai trattato di lavorare, dove nessuno moriva di stanchezza, di sfinimento, di fame; il campo che era più efficiente di tutti, il campo che era stato un’implacabile macchina destinata a uccidere il più gran numero di persone possibile - il campo dove, in un anno, i nazisti erano riusciti a eliminarne quasi un milione. Ma so che l’ha saputo.»Una bella intervista in spagnolo a Santiago H. Amigorena....more",Notes are private!,0,9,1,"Jan 22, 2024","Jan 23, 2024","Jan 22, 2024",,Paperback,view (with text),/book/show/55579651-il-ghetto-interiore
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le schegge,"Ellis, Bret Easton",8806260863,9788806260866,8806260863,752        pp,3.99,"20,594","Jan 17, 2023","Oct 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,"Jan 12, 2024","Jan 28, 2024","Jan 12, 2024",,Hardcover,view,/book/show/199107924-le-schegge
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracoli,"Beecher, Anna*",8899591512,9788899591519,8899591512,240        pp,4.31,286,"Feb 18, 2021",2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jan 06, 2024","Jan 10, 2024","Jan 07, 2024",,Paperback,view,/book/show/59642085-miracoli
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afferrare un'ombra. Vita di Jim Thorpe,"Giagni, Tommaso",,9788833894829,,unknown,4.17,6,unknown,"Sep 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"«Nessun autore di fiction si sarebbe azzardato a creare un personaggio favoloso come Jim Thorpe»ha scritto Arch Ward del Chicago Tribune[image]L'immag«Nessun autore di fiction si sarebbe azzardato a creare un personaggio favoloso come Jim Thorpe»ha scritto Arch Ward del Chicago Tribune[image]L'immagine di destra è della tenuta con la quale vinse la gara di corsa di decathlon alle Olimpiadi di Stoccolma nel 1912: si accorse negli spogliatoi che gli avevano rubate le scarpe, così corse con due scarpe spaiate trovate in giro e nella spazzatura; anche i calzini, come si può vedere, erano diversi.Una storia vera che ha dell’incredibile, almeno a partire dal suo epilogo, quando il cadavere di Thorpe, atleta nativo americano pluripremiato in varie discipline e in seguito anche attore e sindacalista, fu rubato dalla moglie durante il funerale tradizionale per essere poi rivenduto a una cittadina della Pennsylvania che prese il suo nome. Quattro e mezza, perché mi ha un po' destabilizzata l'andare avanti e indietro nel tempo, ma cinque per la scoperta di questo personaggio incredibile e per la scrittura di Giagni, che riesce a essere rigorosa, entusiasmante, capace di arricchire una storia già ricca di per sé contestualizzando e spaziando non solo nell'ambito sportivo e culturale della storia degli Stati Uniti, ma anche in quella di altri ambiti e di altri continenti.«Taciturno, tanto da sembrare costantemente a a disagio nella società statunitense, secondo la moglie Patricia. O chiacchierone, socievole. Una sintesi è nel giudizio di un amico, Albert Exendine: ""Tra gli indiani, era uno dei più loquaci. Ma i bianchi parlano un sacco"". Thorpe mostrava poi quell'alternanzache ricorre ovunque ci sia un palcoscenico, per esempio un campo di gioco, dove andare in scena. ""Quando serve è l'incarnazione del combattente, mentre in tutte le altre occasioni è un tipo gentile e cortese"", diceva Walter Lingo, il proprietario della franchigia degli Oorang Indians. E Jack Cusack, suo manager a Canton Bulldogs, osservava: ""Sul campo, Jim era un avversario feroce, assolutamente senza paura. Fuori, era un tipo adorabile, con il cuore grande e un buon senso dell'umorismo"".[image][image]Burt Lancaster interpreta Jim Thorpe nel 1951 nel film ""Jim Thorpe All-American"", da noi conosciuto con il titolo ""Pelle di rame"", in cui lo stesso Thorpe avrà un piccolo ruolo....more",Notes are private!,0,15,1,"Jan 03, 2024","Jan 07, 2024","Jan 03, 2024",,,view (with text),/book/show/199122213-afferrare-un-ombra-vita-di-jim-thorpe
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meno di zero,"Ellis, Bret Easton",,,,268        pp,3.60,"86,333",May 1985,1986,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sparire qui[image]Quando l'ho letto la prima volta, nel 1986, ero di un anno più piccola di quando BEE lo aveva scritto, e avevo letto subito prima LeSparire qui[image]Quando l'ho letto la prima volta, nel 1986, ero di un anno più piccola di quando BEE lo aveva scritto, e avevo letto subito prima Le mille luci di New York, che fu l'esordio, altrettanto deflagrante in quegli anni, di Jay McInerney. Che poi si sia trattato di esordi molto differenti, nonostante a lungo siano stati accomunati dalla definizione di post minimalisti, ce lo spiega molto bene Fernanda Pivano nella preziosissima postfazione al romanzo: gli anni di differenza fra McInerney (che è del 1955) e Ellis (1964) sono identificativi di un salto che se non è generazionale lo è sicuramente da un punto di vista identificativo, perché se il primo è, suo malgrado, rappresentante sulla East Coast della generazione yuppie degli anni Ottanta, l’altro appartiene, invece, per scrittura e vissuto, a quella che viene definita la MTV generation e cresce e scrive (ma studia in Vermont, così come Clay, il suo protagonista, frequenta l’università in New Hampshire) dalla parte opposta degli USA, in California. All’epoca fu una folgorazione, quella che mi portò a leggere, nell’arco di tre anni, seguendo le pubblicazioni della nostra editoria, “Le mille luci di New York-Meno di zero-Le regole dell'attrazione”, fascinazione che poi proseguì con la lettura di altri autori accomunati dalla stessa definizione di post-minimalisti, da Susan Minot a David Leavitt.Perché rileggerlo oggi, dopo che è trascorsa praticamente una vita?Perché leggerò Le Schegge con LIT, il gruppo di lettura della McMusa, che ci ha detto che aver letto prima questo sarebbe stato meglio, e dunque eccoci qua.Mi è piaciuto? Onestamente non tanto quanto la prima volta, segno che si tratta di un’opera forse più generazionale (e non per questo di minor valore) che non di un classico, ma di cui si riesce a percepire ancora oggi, a distanza di quasi quarant’anni, la forza d’urto, l’impatto che Meno di zero deve avere avuti in quegli anni sia negli Stati Uniti che da noi.In tal senso, torno a Fernanda Pivano, la sua postfazione è davvero un valore aggiunto, perché non si tratta di una paginetta di accompagnamento, ma di un vero e proprio saggio sugli autori americani di quell’epoca, di un excursus su quella letteratura agli albori e di uno strumento di comparazione con quelli che l’hanno preceduta, influenzata, formata, sia a livello letterario che generazionale.Una nota aggiuntiva sull’edizione d’epoca - Tullio Pironti Editore con traduzione di Francesco Durante - che ho letto comparandola a quella nuova di Einaudi, con traduzione di Marisa Caramella - che mostra più di qualche problema, evidenziato dalla lettura contemporanea di quella successiva: in alcuni passaggi non solo si mostrano evidenti i limiti della prima (eppure Durante è stato - non solo, anche professore universitario - un traduttore importante anche dell’opera di John Fante!), ma anche differenze sostanziali (per fortuna non decisive nella comprensione del romanzo) che fanno venire voglia di andare a controllare sulla versione originale chi dei due avesse ragione, e la sensazione che a tratti la versione di Durante, seppur datata, aiutasse a comprendere meglio la situazione. In ogni caso, a Pironti va senz’altro il merito di aver portato in Italia un’opera dirompente e l’attenzione e la curiosità che gli ho riservato questa volta (ma anche i mezzi, visto che all’epoca non esisteva ancora Internet per togliersi ogni curiosità) di avermi fatto scoprire grazie alla dedica iniziale di editore e traduttore, Annibale Ruccello che ”era entusiasta di questo romanzo e aveva deciso di farne una riduzione teatrale, alla quale, anzi, aveva già incominciato a lavorare pochi giorni prima di incontrare la sua tragica fine.”Annibale Ruccello, attore, regista, drammaturgo napoletano, a soli trent’anni, il 12 settembre 1986 muore in un incidente stradale sulla Roma-Napoli: tornava da Roma, insieme all’attore Stefano Tosi, dove presso il Ministero aveva ottenuto la sospirata qualifica di Stabile d’innovazione per il Teatro Nuovo di Napoli.	Riguardo alla copertina, poi, c'è un aneddoto interessante: nelle primissime pagine del romanzo il protagonista descrive il poster del tour Trust di Elvis Costello appeso nella sua camera, nel quale indossa un paio di occhiali da sole con le lenti una blu e l'altra rossa, che poi sono gli stessi che compaiono sulla copertina del romanzo. [image]Sparire qui, dunque, come il desiderio recondito, di Clay, suo malgrado incapace di sottrarsi a privilegi e meccanismi distorti, come il titolo del libro di Marta Ciccolari Micaldi: tutto torna, il mio cerchio si chiude.Tre stelline oggi, quattro allora.”Dice solo «Sparire qui» e anche se probabilmente è soltanto la pubblicità di qualche villaggio vacanze, quella scritta mi fa sballare, così picchio sull’acceleratore e la macchina schizza via stridendo oltre il semaforo. Mi metto gli occhiali da sole anche se fuori è ancora quasi buio e continuo a guardare nello specchietto retrovisore, con la strana sensazione che qualcuno mi stia seguendo.” (Marisa Caramella)“Dice soltanto «Scomparite qui», e anche se probabilmente si tratta della pubblicità di qualche posto di villeggiatura, devo dire che mi fa un certo effetto, cosicché pigio duro sul gas e la macchina sgomma ripartendo. Mi metto gli occhiali da sole anche se fuori è ancora buio e continuo a guardare nello specchietto retrovisore, con la strana sensazione che qualcuno mi stia seguendo.” (Francesco Durante)...more",Notes are private!,2,22,2,"Dec 30, 2023Jan 1986","Jan 02, 2024Jan 1986","Dec 30, 2023",,Hardcover,view (with text),/book/show/11165630-meno-di-zero
