,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,447","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.3/5I really loved what the author did in incorporating video games into every aspect of this book, subtle hints in language or dialogue just really 4.3/5I really loved what the author did in incorporating video games into every aspect of this book, subtle hints in language or dialogue just really brought everything together. The jumps forwards and backwards in time, as well as between perspectives, were also pretty nifty and I enjoyed that they were less defined than a lot of other books make them... It seemed much morel like one flowing story.A bit long and the ending was a bit mediocre, but I very much enjoyed the book nonetheless....more",Notes are private!,6,6,1,"Jan 28, 2024","Feb 10, 2024","Jul 12, 2023",,Hardcover,view (with text),/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,082","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storied Life of A.J. Fikry,"Zevin, Gabrielle*",1616203218,9781616203214,1616203218,260        pp,4.03,"298,467","Apr 01, 2014","Apr 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2023",,Hardcover,view,/book/show/18293427-the-storied-life-of-a-j-fikry
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Thousand Splendid Suns,"Hosseini, Khaled*",1594489505,9781594489501,B002FVPH5A,372        pp,4.43,"1,529,553",May 2007,"Jan 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really good, really sad... :(4.5/5, although it's possible that as I let this marinate, it'll increase.Really good, really sad... :(4.5/5, although it's possible that as I let this marinate, it'll increase....more",Notes are private!,0,1,1,"Jul 10, 2023","Jul 19, 2023","Jul 12, 2023",,Hardcover,view (with text),/book/show/128029.A_Thousand_Splendid_Suns
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",0525657746,9780525657743,0525657746,256        pp,4.27,"417,195","Apr 20, 2021","Apr 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 09, 2023",,Hardcover,view,/book/show/54814676-crying-in-h-mart
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",163557563X,9781635575637,163557563X,272        pp,4.23,"280,848","Sep 15, 2020","Sep 15, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 2023,"Jul 09, 2023",,Hardcover,view,/book/show/50202953-piranesi
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",1982121602,9781982121600,1982121602,336        pp,4.18,"633,774","Apr 25, 2019","Sep 08, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.6/5Really really good, a fun read with some surprisingly deep messages/moments/ideas. The plot is absolutely fantastic (like how do you even think o4.6/5Really really good, a fun read with some surprisingly deep messages/moments/ideas. The plot is absolutely fantastic (like how do you even think of these plot twists), but I think what really made it was the author's tone/style. Pretty different from a lot of other books I've read (probably because I don't read humor, like at all), but the casualness of it worked despite the subjects it covered. Funny, charming, moving, not much bad to say about this to be quite honest. This is the first pleasure book I've read in a while, so hopefully this will get me back onto the reading train :)...more",Notes are private!,6,4,1,"Nov 26, 2023","Dec 02, 2023","Jul 08, 2023",,Paperback,view (with text),/book/show/53799686-anxious-people
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm,"Orwell, George",0451526341,9780451526342,,141        pp,3.99,"3,884,027","Aug 17, 1945",Apr 1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Mass Market Paperback,view,/book/show/170448.Animal_Farm
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Neverwhere        (London Below, #1)","Gaiman, Neil*",0060557818,9780060557812,0060557818,370        pp,4.17,"529,989","Sep 16, 1996","Sep 02, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Paperback,view,/book/show/14497.Neverwhere
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,591","Apr 05, 2022","May 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Review! Overall rating: 4.2/5Pretty crazy tbh. Very readable, with lots of chapters and chapter breaks, as well as pretty rapid pacing. It took about Review! Overall rating: 4.2/5Pretty crazy tbh. Very readable, with lots of chapters and chapter breaks, as well as pretty rapid pacing. It took about half the book to get to the good part (I would've liked something a bit more interesting at the beginning), but afterwards I flew through the rest. Really unique take on time travel, and the type of book where you read the ending and want to go back to reread the beginning. Lots of really interesting twists, and by the end we're able to get a sense of some of the broader themes the book touches upon. Really fun overall, and I'd definitely recommend it to anyone who likes sci-fi/time travel type stuff... Reminded me of some Christopher Nolan movies (Momento anybody?)...more",Notes are private!,2,3,1,"Nov 10, 2023","Nov 19, 2023","Jul 08, 2023",,Hardcover,view (with text),/book/show/58446227-sea-of-tranquility
