,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Nina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fulgentius,"Aira, César",8439736843,9788439736844,8439736843,176        pp,3.85,192,unknown,"Feb 20, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With Aira, you always get something new, something different, and Fulgentius lives in the wild and new and playful. Fulgentius, a Roman general, returWith Aira, you always get something new, something different, and Fulgentius lives in the wild and new and playful. Fulgentius, a Roman general, returns to the battlefield, though his primary motivation is not to conquer, but to perform the play he wrote when he was 12 years old. Each conquered city provides a new opportunity to cast actors and watch the play again. He knows the words by heart and as the actor recites, he recites, too. The play is self-referential in a prescient way, and it's absurd because, of course, Fulgentius and his soldiers must kill, pillage, and destroy a place to have it performed. ...more",Notes are private!,0,0,1,"Aug 17, 2023","Aug 23, 2023","Aug 17, 2023",,Paperback,view (with text),/book/show/48919544-fulgentius
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Grammatology,"Derrida, Jacques",,,B01AIKKB1E,561        pp,3.96,"5,076",1967,"Jan 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Kindle Edition,view,/book/show/28593656-of-grammatology
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Masterpiece,"Morelli, Laura*",006320598X,9780063205987,006320598X,384        pp,4.00,"1,201","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2023",,Paperback,view,/book/show/62084306-the-last-masterpiece
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stella Maris        (The Passenger #2),"McCarthy, Cormac",,,,256        pp,3.88,"16,979","Dec 06, 2022","Nov 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Alicia checks herself into Stella Maris, a psych hospital because of suicidal ideations. She's extremely intelligent, a math aficionado, versed in psyAlicia checks herself into Stella Maris, a psych hospital because of suicidal ideations. She's extremely intelligent, a math aficionado, versed in psychology, philosophy, and other areas of studies, and yet, only 20. She's paired with a therapist who is, it seems, terrified and intimidated by her, and certainly inept. Every time they touch on a possible difficult topic, the therapist asks if Alicia wants to stop. He can't seem to turn her analytical mind upon herself. He lacks creativity, ingenuity, and an ability to reach her. The gap between them looms large and never closes. It is a case study on how not to be a therapist. ...more",Notes are private!,0,0,1,Aug 2023,"Aug 16, 2023","Aug 01, 2023",,Hardcover,view (with text),/book/show/60580208-stella-maris
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Butterfly Garden,"Stivers, Carole*",,,,93        pp,3.62,8,2019,2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 04, 2023",,ebook,view,/book/show/50114430-the-butterfly-garden
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mother Code,"Stivers, Carole*",1984806920,9781984806925,1984806920,352        pp,3.56,"2,421","May 05, 2020","Aug 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 04, 2023",,Hardcover,view,/book/show/50121213-the-mother-code
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Possibilities,"Goldstein-Love, Yael*",0593446488,9780593446485,,304        pp,3.50,881,"Jul 25, 2023","Jul 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Exciting read--full of unexpected turns and twists.,Notes are private!,0,1,1,"May 23, 2023","Jul 03, 2023","May 23, 2023",,Hardcover,view (with text),/book/show/62049709-the-possibilities
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best American Short Stories 2022,"Greer, Andrew Sean",0358664713,9780358664710,0358664713,352        pp,3.67,900,"Nov 01, 2022","Nov 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"May 07, 2023",,Paperback,view,/book/show/60012501-the-best-american-short-stories-2022
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sentience: The Invention of Consciousness,"Humphrey, Nicholas",0262047942,9780262047944,0262047942,256        pp,3.97,208,"Oct 27, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I appreciated Humphrey's clear views on the evolution of human consciousness. Why we have such a thing at all; how it helped us evolve as a species, aI appreciated Humphrey's clear views on the evolution of human consciousness. Why we have such a thing at all; how it helped us evolve as a species, and especially how it creates a unique sense of self. Of course, there are many other views of consciousness, and no one agrees where it is actually located or if it even exists, but this book added immensely to my understanding of consciousness--that is, how it feels; how it feels to see a red flower, hear a dog barking, the qualia of living....more",Notes are private!,0,2,1,"May 07, 2023","Jun 12, 2023","May 07, 2023",,Hardcover,view (with text),/book/show/61150882-sentience
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Disappeared: Stories,"Porter, Andrew*",0593534301,9780593534304,0593534301,240        pp,4.31,516,"Apr 11, 2023","Apr 11, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Each story moves through the terrain of a middle-aged male, navigating the uncertainties of life, including lost dreams, loves, aspirations, all the tEach story moves through the terrain of a middle-aged male, navigating the uncertainties of life, including lost dreams, loves, aspirations, all the things that can disappear. A psychologically moving portrayal of maleness in Texas. For writers looking for examples of how to weave the past into the present, his stories superbly execute this movement in time. ...more",Notes are private!,0,4,1,not set,not set,"Feb 11, 2023",,Hardcover,view (with text),/book/show/61327505-the-disappeared
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Time of Our History,"Pari, Susanne*",1496739264,9781496739261,1496739264,304        pp,4.06,"5,099","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2023",,Paperback,view,/book/show/60756719-in-the-time-of-our-history
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys,"Hafner, Katie*",1954118058,9781954118058,1954118058,256        pp,3.87,"3,123","Jul 26, 2022","Jul 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2022",,Hardcover,view,/book/show/60473858-the-boys
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vivaldi's Virgins,"Quick, Barbara*",0060890525,9780060890520,0060890525,284        pp,3.73,"2,764","Jul 03, 2007","Jul 03, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2022",,Hardcover,view,/book/show/1330645.Vivaldi_s_Virgins
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Disappears,"Quick, Barbara*",1646030753,9781646030750,1646030753,312        pp,3.71,52,"May 17, 2022","May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2022",,Paperback,view,/book/show/59485911-what-disappears
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night Flight to Paris        (Kate Rees, #2)","Black, Cara*",1641293551,9781641293556,1641293551,336        pp,3.71,"1,485","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2022",,Hardcover,view,/book/show/61342851-night-flight-to-paris
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flight Advice: a fabulary,"Hiller, Tobey",,9798985137132,B09NP7KMLD,88        pp,5.00,3,unknown,"Dec 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Kindle Edition,view,/book/show/59989968-flight-advice
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What the Moon Did,"Inclán, Jessica Barksdale*",,9798986245928,B0BJ8CNNY4,326        pp,4.46,28,2023,"Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Paperback,view,/book/show/63256257-what-the-moon-did
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chinese Groove,"Ma, Kathryn*",1640095667,9781640095663,1640095667,304        pp,3.98,"3,094","Jan 24, 2023","Jan 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Hardcover,view,/book/show/58978261-the-chinese-groove
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Assassin in Utopia: The True Story of a Nineteenth-Century Sex Cult and a President's Murder,"Wels, Susan*",1639363130,9781639363131,B0B3YDMSZD,269        pp,3.34,"1,077","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Kindle Edition,view,/book/show/61272014-an-assassin-in-utopia
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From Chernobyl with Love: Reporting from the Ruins of the Soviet Union,"Cengel, Katya*",1640122044,9781640122048,1640122044,304        pp,3.58,76,unknown,"Nov 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Hardcover,view,/book/show/44294953-from-chernobyl-with-love
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exiled: From the Killing Fields of Cambodia to California and Back,"Cengel, Katya*",1640120343,9781640120341,1640120343,344        pp,4.35,20,unknown,"Sep 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Hardcover,view,/book/show/38509526-exiled
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vegetarian,Han Kang,0553448188,9780553448184,0553448188,188        pp,3.58,"165,715","Oct 30, 2007","Feb 02, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 18, 2020",,Hardcover,view,/book/show/25489025-the-vegetarian
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beatrice and Virgil,"Martel, Yann",1400069262,9781400069262,1400069262,213        pp,3.18,"21,351","Apr 13, 2010","Apr 13, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yann Martel succeeds because so much of this book is unexpected. The ground rules are established early with Henry (there are two Henrys in this book)Yann Martel succeeds because so much of this book is unexpected. The ground rules are established early with Henry (there are two Henrys in this book) failing to sell his second novel. He wants to write a flip book--one part fiction, one part essay about the Holocaust. His editor, along with a bookseller and a couple others, summarily shoot it down. ""That terrifying event was overwhelmingly represented by a single school: historical realism. The story, always the same story, was always framed by the same dates, set in the same places, featuring the same cast of characters."" (p.12)Henry encounters a taxidermist who is writing a play-- a story about a donkey and a howler monkey--named Beatrice and Virgil. Soon, Henry is intimately involved with the taxidermist (also named Henry) and the initial set-up of the book is echoed in the play and his encounter with the taxidermist. I don't want to give too much away. But in the end, Martel wonderfully succeeds in using the imaginative space (fiction) to write about the Holocaust. ...more",Notes are private!,0,1,1,not set,"Jul 17, 2013","Jul 30, 2013",,Hardcover,view (with text),/book/show/7176578-beatrice-and-virgil
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Death in the Family,"Agee, James",0375701230,9780375701238,0375701230,320        pp,3.89,"16,496",1957,"Jul 28, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 04, 2013","Sep 02, 2013","Jul 04, 2013",,Paperback,view,/book/show/113091.A_Death_in_the_Family
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All That Is,"Salter, James",1400043131,9781400043132,1400043131,290        pp,3.37,"7,905",2013,"Apr 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2013",,Hardcover,view,/book/show/13330444-all-that-is
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Arabian Nights: Tales from a Thousand and One Nights,Anonymous,0375756752,9780375756757,0375756752,912        pp,4.03,"77,216",800,"Apr 10, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2013",,Paperback,view,/book/show/1088137.The_Arabian_Nights
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light Years,"Salter, James",0679740732,9780679740735,0679740732,308        pp,4.01,"6,939",1975,"Jan 31, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm smitten by his language. A metaphor or simile on every page that make such interesting and fresh comparisons. His style is pared-down elegance, a I'm smitten by his language. A metaphor or simile on every page that make such interesting and fresh comparisons. His style is pared-down elegance, a sensuality, which I really like. As you can see, language can carry me along, so much so that I give it five stars, though I didn't love the story. That Nedra (one of the main characters) left the marriage, and not the husband, Viri, was a refreshing change. A wonderful realization (Viri's): ""The feast was ended. Like the story he had read to them so many times, of the poor couple who were given three wishes and wasted them, he had not wanted enough. He saw that clearly. When all was said, he had wanted on thing, it was far too small: he had wanted them to grow up in the happiest of homes.""...more",Notes are private!,0,1,1,"May 13, 2013","May 22, 2013","May 13, 2013",,Paperback,view (with text),/book/show/174622.Light_Years
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Voice of the River,"Thon, Melanie Rae",1573661627,9781573661621,1573661627,216        pp,3.92,80,"Sep 09, 2011","Sep 09, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A love song to the world, that's what the prose sings to me. How love and then the loss of love brings together a community around the river, this artA love song to the world, that's what the prose sings to me. How love and then the loss of love brings together a community around the river, this artery of churning water coursing through this small town. Pitch perfect in terms of truth, with its insights into love and its shadow, loss. The ""You"" throughout is the boy lost in the river, and the ""you,"" blurs with all the rest of the characters in the book. Soon, you begin to feel there are no borders between people, objects, animals, trees, crows, the river. It is one voice speaking. If you interested in style, each page offers a gem. ...more",Notes are private!,0,0,1,"Apr 26, 2013","Apr 26, 2013","Apr 26, 2013",,Paperback,view (with text),/book/show/12472059-the-voice-of-the-river
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the Acts,"Woolf, Virginia",015611870X,9780156118705,015611870X,224        pp,3.61,"7,859",1941,"Oct 21, 1970",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 20, 2013","Nov 09, 2013","Apr 20, 2013",,Paperback,view,/book/show/46105.Between_the_Acts
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bluets,"Nelson, Maggie",1933517409,9781933517407,1933517409,112        pp,4.09,"45,205","Oct 01, 2009","Oct 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2013",,Paperback,view,/book/show/6798263-bluets
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gospel According to Jesus Christ,"Saramago, José",186046095X,9781860460951,186046095X,341        pp,4.31,"33,118",1991,"Dec 26, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2013",,Paperback,view,/book/show/28859.The_Gospel_According_to_Jesus_Christ
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Disquiet,"Pessoa, Fernando",0141183047,9780141183046,0141183047,544        pp,4.41,"30,717",1982,"Dec 31, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2013",,Paperback,view,/book/show/45974.The_Book_of_Disquiet
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Without Qualities: Volume I,"Musil, Robert",0679767878,9780679767879,0679767878,725        pp,4.27,"3,637",1930,"Dec 09, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2013",,Paperback,view,/book/show/191940.The_Man_Without_Qualities
