,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,BookOfCinz's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neighbors and Other Stories,"Oliver, Diane",,,,272        pp,4.11,626,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/128713517-neighbors-and-other-stories
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uncommon Wealth: Britain and the Aftermath of Empire,"Koram, Kojo",152933862X,9781529338621,152933862X,304        pp,4.27,320,unknown,"Jul 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I saw the author Kojo Koram speak at Ake Literary Festival and I had to get a copy of his book. This is what I call required reading. Koram does an exI saw the author Kojo Koram speak at Ake Literary Festival and I had to get a copy of his book. This is what I call required reading. Koram does an exceptional job of showcasing how Britain continues to use captialism to exploit other countries. It was in read this book that I learnt about how British Petroluem came to be and how to this day Britian benefits from them as a company. I particularly enjoyed the chapter about Jamaica, the IMF, Manley. If you love history, if you are curious about the British empire continues to empire, I highly recommend reading this. I will say, the book can read a bit academic at times, but if you push pass that, you will learn a lot. ...more",Notes are private!,0,15,1,"Feb 14, 2024","Feb 27, 2024","Feb 14, 2024",,Hardcover,view (with text),/book/show/59568580-uncommon-wealth
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Napoleon Could Not Do,"Nnuro, D.K.",0593420349,9780593420348,0593420349,368        pp,3.44,606,"Feb 07, 2023","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A thoroughly enjoyable read with an unforgettable cast of characters! An amazing debut novel from DK  We are taken to Ghana to a family meeting to di A thoroughly enjoyable read with an unforgettable cast of characters! An amazing debut novel from DK  We are taken to Ghana to a family meeting to dissolve a marriage, the marriage and divorce was done in absentia.  What Napoleon Could Not Do  opens with the families all stating whose fault it is that the divorce is happening. Jacob got married to Belinda in absentia with the hopes of getting a visa to move to America and live there. After being denied repeatedly, Belinda decides its best they divorce. Jacob met Belinda through his sister Nti who is currently living in America, married to a war veteran but is still without a green card. Jacob is mad that he is still in Ghana struggling to get to America. Nti is enraged that America won’t give her what she wants- a green card, even though she’s done everything. Both are resentful of each other. With a death in the family, they must each decide how to move forward. I really enjoyed this book. I enjoyed the characters and how layered they are, the situation they all find themselves in. There are diverse characters, I especially loved Jacob, the father and Nti- they each offered so much to move the plot along. I will say the section with Wilder threw me off and I really did not care to for his part of the story. I wish those pages were used to talk more about Nti or Jacob. I did want to hear more from Nti she seemed like the standout character for me. The one thing that stood out t me are the characters and how well crafted they were- they were believable and not your typical one dimensional cast. A very engaging read that will live rent free in your head. ...more",Notes are private!,1,27,1,"Jan 19, 2024","Jan 25, 2024","Jan 19, 2024",,Hardcover,view (with text),/book/show/61322636-what-napoleon-could-not-do
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,For What Are Butterflies Without Their Wings,"Onyango, Troy",,9789789987870,,236        pp,3.93,75,unknown,"Dec 12, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A brilliant collection of short stories from Kenyan author Troy Onyango! Fresh and unforgettable!  In this collection of 12 shorts stories we are tak A brilliant collection of short stories from Kenyan author Troy Onyango! Fresh and unforgettable!  In this collection of 12 shorts stories we are taken to Kenya to meet characters who are all going through different challenges, but at the core of all of these stories is the heart of the people we meet. The stories covers themes of belonging, identity, loneliness, love, romance, missed opportunities, family secrets and gives a snapshot of what it means to be human. Every single story felt deep and moving and it goes back to the brilliance of the writer. I feel so strongly for each character. My favourite stories were: THE MATCH THIS LITTLE LIGHT OF MINEWHIRLWINDORIGAMI GOODBYE, SO LONG LITTLE DA JU I still cannot shake the story of the man in the wheel chair who matched with someone on an app. The loneliness he described was palatable, I felt so much for the character. The friends who have to part ways because one wants to leave the village for the big city. The man who gets sent away for being gay and never seeing his lover until he finds out he dies. This collection is exceptional! If you loved A BROKEN PEOPLE’S PLAYLIST and WHERE THERE ARE MONSTERS you will enjoy this one. ...more",Notes are private!,0,30,1,"Jan 18, 2024","Jan 21, 2024","Jan 18, 2024",,Paperback,view (with text),/book/show/71402691-for-what-are-butterflies-without-their-wings
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like Water Like Sea,"Popoola, Olumide*",,9781913175627,,unknown,3.88,8,unknown,"May 28, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a brilliant book! We meet Nia in  Like Water Like Sea  who is a queer, bi/pansexual naturopath living in London. The book spans over thirty year What a brilliant book! We meet Nia in  Like Water Like Sea  who is a queer, bi/pansexual naturopath living in London. The book spans over thirty years of her life, we need her after the death of her sister and how she is dealing with her grief. Her mother is bipolar and that adds another layer of heaviness for her to work through. Nia decides to leave a party with a girl she’s been seeing on and off to go into the water to feel what it is like to drown. While she does that a couple jogging pass sees her and inquires after her, this leads to a friendship/ situationship. She tries figuring out who she is, what she wants for her life and how to navigate grief that means all consuming. I really enjoyed this book. It feels so fresh and biting. The characters are so flawed but I love the disastrous mistakes they make and their bid to make their life one that they are proud of. The journey was amazing to see unfold. I don’t want to compare this book to anything, but if you love Sally Rooney’s novels you will enjoy this book! ...more",Notes are private!,0,20,1,"Jan 18, 2024","Jan 21, 2024","Jan 17, 2024",,,view (with text),/book/show/204167683-like-water-like-sea
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This House is Not for Sale,"Osondu, E.C.",0061990884,9780061990885,0061990884,192        pp,3.49,223,"Feb 03, 2015","Feb 03, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Hardcover,view,/book/show/22249551-this-house-is-not-for-sale
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dominoes,"Mcintosh, Phoebe",0593596684,9780593596685,0593596684,329        pp,3.88,276,"Mar 07, 2024","Mar 12, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What an interesting read! I am still thinking about this days after finishing the book. In  Dominoes  we meet Layla, British-Jamaican woman living in What an interesting read! I am still thinking about this days after finishing the book. In  Dominoes  we meet Layla, British-Jamaican woman living in London. She’s got a Black Jamaican mother and a white father who she’s never met. Layla grew up with her Mom and her Grandfather with the company of her best friend Sera. The book opens with Layla and Sera going to a house party. Layla meets Andy and finds out they share the same last name: McKinnon. They instantly hit it off, they fall in love hard and fast. They move in together, Andy is attentive, a great listener, he’s everything Layla wants in a partner and in no time he proposes and they start planning their wedding. With 29 days to go til their wedding Sera shares her concerns about Layla marrying a white man who has her last name and is from a Scottish background. Could it be his forefathers were slave masters? Sera encourages Layla to research their past before committing to a marriage, because, “how are you going to marry a man whose family may have enslaved your family?” For the first time in her life Layla spends time researching her history, asking about her family. She must know about her history and identity and what role Andy’s family may have played in the slave trade. She visits Jamaica with her family to learn more, while she loves Andy, she is not able to attend the wedding until the knows the “truth”….This book really had my head spinning because… what you mean this is the premise of the book? You love a man but his generational wealth is from the slave trade?!!! I am not going to lie, I did have some moment where I went “mmmmm what is going on here?” I will say this book made me feel uncomfortable and I am sure it will give people that feeling as well. It is a really great read because it brings to the front questions we all need to answer and reckon with. ...more",Notes are private!,0,30,1,"Jan 08, 2024","Jan 21, 2024","Jan 08, 2024",,Paperback,view (with text),/book/show/62628930-dominoes
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unbury Our Dead with Song,"Ngugi, Mukoma wa",1911115995,9781911115991,B096T9VXCQ,227        pp,3.77,91,unknown,"Jun 22, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A heartwarming, moving, and deeply affecting! If you are a music lover, you are going to love this one! What an immersive experience, I loved every m A heartwarming, moving, and deeply affecting! If you are a music lover, you are going to love this one! What an immersive experience, I loved every moment of this book. Not only is it musical journey but you learn so much about Kenyan and Ethiopian history and culture. It is such a relevant piece of literary that saddles music and history in the most beautiful way. Did I mention it is HILAROUS! In  Unbury our Dead with Songs  we meet a Kenyan Journalist, John Thandi Manfredi who is a disappointment to his social ladder climbing parents because he is writer for a trashy newspaper. One night he is a bar where we witnesses four musicians in a competition to perform the best Tizita. Overcome by the beauty of Tizita he decides to write a story following the four musicians—The Diva, The Corporal, the Taliban Man, and Miriam. The reporter follows them to Ethiopia to know more about their upbringing and what makes them a great Tizita singer. He learns more about himself and the craft of Tizita than he set out for. This book is a gem and I enjoyed every moment of it! ...more",Notes are private!,0,20,1,"Feb 15, 2024","Feb 17, 2024","Dec 26, 2023",,Kindle Edition,view (with text),/book/show/58486936-unbury-our-dead-with-song
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eternal Audience of One,"Ngamije, Rémy",1982164433,9781982164430,1982164433,400        pp,3.82,785,"Jul 19, 2019","Jun 14, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I have never read a book that speaks about Namibia and I think having recently visited there I really enjoyed reading more about it. I really loved thI have never read a book that speaks about Namibia and I think having recently visited there I really enjoyed reading more about it. I really loved the first half of the book but then I think the book went on for a very long time without the plot really moving along. I wish the editor did a better job of tightening up things. Overall I enjoyed it and Ill read what he writes next....more,Notes are private!,0,9,1,"Dec 22, 2023","Dec 26, 2023","Dec 22, 2023",,Paperback,view (with text),/book/show/59366171-the-eternal-audience-of-one
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sun Sets in Singapore,"Fadipe, Kehinde",,9781538741498,,352        pp,3.40,"2,313","Jul 06, 2023","Oct 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While this may not be the best book ever, it really held my attention because I was here for all the drama. A great beach read.",Notes are private!,0,23,1,"Dec 19, 2023","Dec 26, 2023","Dec 19, 2023",,Hardcover,view (with text),/book/show/124949129-the-sun-sets-in-singapore
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,For Such a Time as This,"Akilah, Shani",,,B0CL5DG9T2,0        pp,0.00,0,unknown,"Jun 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Kindle Edition,view,/book/show/199898334-for-such-a-time-as-this
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It Waits in the Forest,"Dass, Sarah*",1368098339,9781368098335,1368098339,336        pp,4.33,36,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/196849307-it-waits-in-the-forest
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Next Door,"Omotoso, Yewande*",,,B01EFK633S,290        pp,3.61,"4,408","May 05, 2016","Feb 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A beautiful book about ageing, friendship, grief and change. An unforgettable read  In  The Woman Next Door  we meet Hortensia James, a Black renowne A beautiful book about ageing, friendship, grief and change. An unforgettable read  In  The Woman Next Door  we meet Hortensia James, a Black renowned designer from Barbados whose lived all over the world and decided to make Cape Town her retirement city. She moves into a rich neighbourhood and immediately feels unwelcomed. Hortensia husband is in palliative care at home so she has a lot of free time on her hands. She decides to be a part of the neighbourhood committee where she meets her next door neighbour. Marion Agostino is a white and has lived in Cape Town majority of her life. Recently widowed, she spends majority of her time with the neighbourhood committee, with her grandchild and her dog. Being the chairman of the neighbourhood watch may be Marion’s entire personality. That is until she finds out her dead husband left her for broke and she may lose everything she holds dear if she loses her house. I thoroughly enjoyed this book. I don’t know what it is about reading about older protagonist but I could not put this book down. The friendship was unlikely and I think it goes back to what makes this book so lovely. The author showed us the characters’ humanity. They were two miserable old ladies, but you felt for them in a genuine way. I really loved how everything played out. This is my first book by this author and I look forward to reading more. Truly a beautiful book! ...more",Notes are private!,0,26,1,"Jan 25, 2024","Jan 31, 2024","Dec 08, 2023",,Kindle Edition,view (with text),/book/show/40409231-the-woman-next-door
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All Your Children, Scattered","Mairesse, Beata Umubyeyi",1609457862,9781609457860,,192        pp,4.14,537,unknown,"Aug 23, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I heard the author speak at AKE LITERARY FESTIVAL and I had to go purchase her book. Truly a moving story about mother-daughter relationship and what I heard the author speak at AKE LITERARY FESTIVAL and I had to go purchase her book. Truly a moving story about mother-daughter relationship and what it means to be othered. ...more,Notes are private!,0,18,1,"Dec 08, 2023","Dec 15, 2023","Dec 08, 2023",,ebook,view (with text),/book/show/60465831-all-your-children-scattered
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boy to Beat the Gods,"Thorpe, Ashley",1805075632,9781805075639,1805075632,0        pp,4.80,5,unknown,"Jul 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/203409263-the-boy-to-beat-the-gods
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Small Thing,"McDonald, Orlaine",1800815603,9781800815605,B0CLDP4GH6,0        pp,0.00,0,unknown,"Jul 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Kindle Edition,view,/book/show/200262656-no-small-thing
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lagos Wife,"Walters, Vanessa*",1529153263,9781529153262,1529153263,296        pp,3.55,"3,996","May 02, 2023","Feb 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/141310691-the-lagos-wife
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unbearable Taste of Fruit and Wine,"Garcia, R.S.A.*",,,,unknown,0.00,0,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,,view,/book/show/203308086-the-unbearable-taste-of-fruit-and-wine
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dating Countdown        (Island Bites #3),"Peltier, N.G.*",,,B0CR1M955Q,398        pp,4.00,1,"Sep 03, 2024","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Kindle Edition,view,/book/show/204412153-the-dating-countdown
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Love Songs of Boysie Singh: FROM THE WINNER OF THE COSTA FIRST NOVEL AWARD,"Persaud, Ingrid*",0571386520,9780571386529,B0CP6WB3DW,577        pp,4.27,11,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Dec 05, 2023",,Kindle Edition,view,/book/show/202940665-the-lost-love-songs-of-boysie-singh
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where Was Goodbye?,"Mather, Janice Lynn",1665903953,9781665903950,1665903953,304        pp,3.75,20,unknown,"Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Hardcover,view,/book/show/176442833-where-was-goodbye
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sweetness in the Skin,"Robinson, Ishi*",0063334879,9780063334878,0063334879,368        pp,4.43,47,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Hardcover,view,/book/show/194897179-sweetness-in-the-skin
