,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,DeEtte's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Thing,"Zapata, Mariana*",0990429296,9780990429296,0990429296,478        pp,3.97,"34,753","Aug 07, 2019","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,paperback,view,/book/show/52176814-the-best-thing
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things You Save in a Fire,"Center, Katherine*",1250047323,9781250047328,1250047323,320        pp,4.02,"132,230","Aug 13, 2019","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/41150382-things-you-save-in-a-fire
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verity,"Hoover, Colleen*",1791392792,9781791392796,1791392792,323        pp,4.32,"2,673,966","Dec 07, 2018","Dec 10, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Paperback,view,/book/show/43225180-verity
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ninth House        (Alex Stern, #1)","Bardugo, Leigh*",1250313074,9781250313072,1250313074,461        pp,4.03,"305,542","Oct 08, 2019","Oct 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/43263680-ninth-house
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Girls,"Gilbert, Elizabeth*",1594634734,9781594634734,1594634734,470        pp,4.04,"289,151","Jun 04, 2019","Jun 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/42135029-city-of-girls
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Jones & The Six,"Reid, Taylor Jenkins*",1524798622,9781524798628,1524798622,355        pp,4.21,"1,486,583","Mar 05, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/40597810-daisy-jones-the-six
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookish Life of Nina Hill,"Waxman, Abbi*",0451491874,9780451491879,0451491874,333        pp,3.81,"101,534","Jul 09, 2019","Jul 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Paperback,view,/book/show/42431386-the-bookish-life-of-nina-hill
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal People,"Rooney, Sally*",1984822179,9781984822178,1984822179,273        pp,3.81,"1,385,215","Aug 28, 2018","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/41057294-normal-people
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood of Elves        (The Witcher, #1)","Sapkowski, Andrzej",,,B00276HAEY,324        pp,4.10,"206,187",1994,"May 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2020",not set,"Jan 02, 2020",,Kindle Edition,view,/book/show/40603669-blood-of-elves
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before We Were Yours,"Wingate, Lisa*",0425284689,9780425284681,0425284689,342        pp,4.40,"606,811","Jun 06, 2017","Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2018",,Hardcover,view,/book/show/32148570-before-we-were-yours
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vox,"Dalcher, Christina*",0440000785,9780440000785,0440000785,336        pp,3.54,"80,066","Aug 21, 2018","Aug 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2018",,Hardcover,view,/book/show/37796866-vox
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foolish Hearts,"Mills, Emma",1627799370,9781627799379,1627799370,320        pp,4.13,"14,876","Dec 05, 2017","Dec 05, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 Stars. Supa cute.,Notes are private!,0,0,1,Sep 2018,"Sep 04, 2018","Sep 04, 2018",,Hardcover,view (with text),/book/show/33275690-foolish-hearts
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"And I Darken        (The Conqueror's Saga, #1)","White, Kiersten*",0553522310,9780553522310,0553522310,475        pp,3.82,"51,306","Jun 28, 2016","Jun 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2018",,Hardcover,view,/book/show/27190613-and-i-darken
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Song Rising        (The Bone Season, #3)","Shannon, Samantha*",1632866242,9781632866240,1632866242,384        pp,4.18,"19,366","Mar 07, 2017","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2018",,Hardcover,view,/book/show/28260402-the-song-rising
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,More Than We Can Tell        (Letters to the Lost #2),"Kemmerer, Brigid*",,,B078GQJJJB,430        pp,4.27,"16,472","Mar 06, 2018","Mar 06, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 Stars,Notes are private!,0,0,1,"Aug 23, 2018","Aug 24, 2018","Aug 23, 2018",,Kindle Edition,view (with text),/book/show/37686247-more-than-we-can-tell
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Kill a Kingdom        (Hundred Kingdoms, #1)","Christo, Alexandra*",1250112680,9781250112682,1250112680,344        pp,3.74,"183,432","Mar 06, 2018","Mar 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2018",,Hardcover,view,/book/show/34499221-to-kill-a-kingdom
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Astonishing Color of After,"Pan, Emily X.R.*",,,,462        pp,4.06,"31,398","Mar 20, 2018","Mar 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2018",,Hardcover,view,/book/show/35604686-the-astonishing-color-of-after
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Oxford Year,"Whelan, Julia*",0062740652,9780062740656,0062740652,352        pp,3.89,"42,447","Apr 24, 2018","Apr 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2018",,ebook,view,/book/show/35068830-my-oxford-year
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Harry's Trees,"Cohen, Jon*",0778364151,9780778364153,0778364151,432        pp,4.19,"18,513","Jun 12, 2018","Jun 12, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2018",,Hardcover,view,/book/show/36540759-harry-s-trees
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lola Quartet,"Mandel, Emily St. John*",1609530799,9781609530792,1609530799,279        pp,3.55,"11,388","May 01, 2012","May 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2018",,Hardcover,view,/book/show/12856198-the-lola-quartet
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What We Were Promised,"Tan, Lucy*",0316437182,9780316437189,0316437182,328        pp,3.55,"5,560","Jul 10, 2018","Jul 10, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2018",,Hardcover,view,/book/show/32349400-what-we-were-promised
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Must Be the Place,"O'Farrell, Maggie*",1472230302,,B011IYIEW2,401        pp,3.98,"32,349","May 17, 2016","May 17, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2018",,Kindle Edition,view,/book/show/26128897-this-must-be-the-place
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay with Me,"Adebayo, Ayobami*",0451494601,9780451494603,0451494601,260        pp,4.06,"57,892","Mar 02, 2017","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2018",,Hardcover,view,/book/show/32969150-stay-with-me
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When the World Tips Over,"Nelson, Jandy*",0698195043,9780698195042,B0CQBRK85C,unknown,4.05,324,"Sep 24, 2024","Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 19, 2018",,Kindle Edition,view,/book/show/203819256-when-the-world-tips-over
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,32 Candles,"Carter, Ernessa T.*",0061957844,9780061957840,0061957844,335        pp,4.18,"5,692","Jun 08, 2010","Jun 22, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2018",,Hardcover,view,/book/show/7636909-32-candles
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sabriel        (Abhorsen, #1)","Nix, Garth*",,,,496        pp,4.17,"208,032",May 1995,"Oct 06, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 03, 2018","Jun 27, 2018","Jun 03, 2018",,Kindle Edition,view,/book/show/39964634-sabriel
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love and the Art of War,"Küng, Dinah Lee*",,,B006SFGNN4,388        pp,3.42,57,"Jan 01, 2012","Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 03, 2018",,Kindle Edition,view,/book/show/13359612-love-and-the-art-of-war
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Uncommon Reader,"Bennett, Alan",0374280967,9780374280963,0374280967,120        pp,3.74,"53,672",2007,"Sep 18, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 03, 2018",,Hardcover,view,/book/show/1096390.The_Uncommon_Reader
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Two Across,"Bartsch, Jeff*",1455554626,9781455554621,1455554626,304        pp,3.41,"1,665","Jun 09, 2015","Aug 04, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 03, 2018",,Hardcover,view,/book/show/23732460-two-across
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Smoke in the Sun        (Flame in the Mist, #2)","Ahdieh, Renee*",,,B074LTJ6FH,416        pp,3.80,"15,878","Jun 05, 2018","May 01, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,So so good!! I think I actually liked this better than the first book.,Notes are private!,0,0,1,"Jun 28, 2018","Jun 29, 2018","Jun 03, 2018",,Kindle Edition,view (with text),/book/show/36047286-smoke-in-the-sun
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dry        (Aaron Falk, #1)","Harper, Jane*",,,,336        pp,4.06,"239,173","Nov 08, 2016","Jan 10, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a page turner! Mystery/thriller is not generally a genre I like but I was hooked by the prologue. Ending was a teensy but weak, in my opinion, buWhat a page turner! Mystery/thriller is not generally a genre I like but I was hooked by the prologue. Ending was a teensy but weak, in my opinion, but I really enjoyed this!...more",Notes are private!,0,0,1,"May 28, 2018","Jun 03, 2018","May 28, 2018",,Kindle Edition,view (with text),/book/show/39978114-the-dry
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Smart Baseball: Why Pitching Wins Are for Losers, Batting Average is for Suckers, and Saves Don't Mean S***","Law, Keith",0062490257,9780062490254,,304        pp,3.96,"2,780","Apr 25, 2017","Apr 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 23, 2018",not set,"May 23, 2018",,ebook,view,/book/show/31307670-smart-baseball
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Family Fortune,"Horowitz, Laurie",0060875275,9780060875275,0060875275,295        pp,3.35,849,"May 02, 2006","Feb 27, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2018",,Paperback,view,/book/show/137059.The_Family_Fortune
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0735224293,9780735224292,0735224293,338        pp,4.08,"1,175,209","Sep 12, 2017","Sep 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2018",,Hardcover,view,/book/show/34273236-little-fires-everywhere
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are Never Meeting in Real Life.,"Irby, Samantha*",1101912197,9781101912195,1101912197,275        pp,3.90,"45,176","May 30, 2017","May 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2018",,Paperback,view,/book/show/33381433-we-are-never-meeting-in-real-life
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossing to Safety,"Stegner, Wallace",037575931X,9780375759314,037575931X,335        pp,4.16,"46,374",1987,"Apr 09, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2018",,Paperback,view,/book/show/9820.Crossing_to_Safety
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hazel Wood        (The Hazel Wood, #1)","Albert, Melissa*",1250147905,9781250147905,1250147905,359        pp,3.56,"94,242","Jan 30, 2018","Jan 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 16, 2018",,Hardcover,view,/book/show/34275232-the-hazel-wood
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place for Us,"Mirza, Fatima Farheen*",1524763551,9781524763558,1524763551,385        pp,4.17,"59,910","Jun 12, 2018","Jun 12, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 16, 2018",,Hardcover,view,/book/show/36840397-a-place-for-us
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lincoln in the Bardo,"Saunders, George",0812995341,9780812995343,0812995341,368        pp,3.75,"155,256",2017,"Feb 14, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’d say a solid 2.5 Stars. Closer to 3???? It’s really hard to say how I felt about this book....Following the advice of lots of s and a couple I’d say a solid 2.5 Stars. Closer to 3???? It’s really hard to say how I felt about this book....Following the advice of lots of s and a couple trusted podcasts, I went against my normal inclinations and bought the audio version of this book. And while others loved it, I feel like the constant change of voice was distracting and off putting for me. Every time the reader changes ( which was a LOT), it pulled me out of the story and I couldn’t connect emotionally. Not to mention that for the first 30-60 minutes, you’re just kind of confused.. That being said, I did find the book interesting. I especially loved all of the excerpts from actual historical books, and found all of the contradictory reports fascinating. Goes to show, you can never really know the whole truth of a person. Maybe there isn’t such a thing as “the truth”? Just one persons version of truth? Gave me a lot to think about. The characters in the “bardo” were a mixture of every condition of the human spirit. I found myself loving, hating, pitying, laughing. And mostly just wishing that they could all find peace. All in all, I think maybe I’m just not smart enough to get the point the author was making. I was entertained but not really sure what I was supposed to be getting from the story....Maybe it’s purpose was to demonstrate to me how dumb and shallow I am?🤷‍♀️...more",Notes are private!,0,0,1,"May 15, 2018","May 23, 2018","May 15, 2018",,Hardcover,view (with text),/book/show/29906980-lincoln-in-the-bardo
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cannery Row        (Cannery Row, #1)","Steinbeck, John",014200068X,9780142000687,014200068X,181        pp,4.06,"137,764",1945,"Feb 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2018",,Paperback,view,/book/show/4799.Cannery_Row
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Plot,"Eugenides, Jeffrey",0374203059,9780374203054,0374203059,406        pp,3.47,"120,971",Oct 2011,"Oct 11, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2018",,Hardcover,view,/book/show/10964693-the-marriage-plot
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middlesex,"Eugenides, Jeffrey",0312422156,9780312422158,0312422156,529        pp,4.03,"639,170","Sep 04, 2002","Sep 16, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2018",,Paperback,view,/book/show/2187.Middlesex
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Virgin Suicides,"Eugenides, Jeffrey",0747560595,9780747560593,0747560595,250        pp,3.80,"337,899",1993,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2018",,Paperback,view,/book/show/10956.The_Virgin_Suicides
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl In Between,"Daniels, Anna*",1760295302,9781760295301,1760295302,320        pp,3.48,589,unknown,"May 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 10, 2018",,Paperback,view,/book/show/34105907-girl-in-between
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crazy Rich Asians        (Crazy Rich Asians, #1)","Kwan, Kevin*",0385536976,9780385536974,0385536976,403        pp,3.90,"489,970","Jun 11, 2013","Jun 11, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 10, 2018",,Hardcover,view,/book/show/16085481-crazy-rich-asians
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be a Heroine,"Ellis, Samantha*",0701187514,9780701187514,0701187514,272        pp,3.71,"4,478","Jan 02, 2014","Jan 02, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 20, 2018","Aug 10, 2018","May 10, 2018",,Hardcover,view,/book/show/17801094-how-to-be-a-heroine
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jackaby        (Jackaby, #1)","Ritter, William*",,,,311        pp,3.83,"30,383","Sep 16, 2014","Sep 16, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 Stars. Fun! Sherlock Holmes meets Supernatural, but Watson is a girl with tons of moxie! Delightful.",Notes are private!,0,0,1,"May 11, 2018","May 28, 2018","May 10, 2018",,Kindle Edition,view (with text),/book/show/23003390-jackaby
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Alanna: The First Adventure        (Song of the Lioness, #1)","Pierce, Tamora*",0689878559,9780689878558,0689878559,274        pp,4.27,"130,444","Sep 01, 1983","Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 10, 2018",,Mass Market Paperback,view,/book/show/13831.Alanna
