,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Remy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Republic for Which It Stands: The United States during Reconstruction and the Gilded Age, 1865-1896","White, Richard",0199735816,9780199735815,0199735816,928        pp,4.17,"1,358","Sep 01, 2017","Sep 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/34379310-the-republic-for-which-it-stands
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trash: A Poor White Journey,"Monroe, Cedar",1506486274,9781506486277,1506486274,235        pp,3.97,32,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/176185993-trash
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ravens: The Men Who Flew In America's Secret War In Laos,"Robbins, Christopher",0517566125,9780517566121,0517566125,420        pp,4.24,720,Oct 1987,"Oct 14, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/1104712.The_Ravens
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The High Cost of Free Parking,"Shoup, Donald C.",1884829988,9781884829987,1884829988,733        pp,4.23,843,2004,"Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/101843.The_High_Cost_of_Free_Parking
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paved Paradise: How Parking Explains the World,"Grabar, Henry",1984881140,9781984881144,B0B9657N8R,368        pp,4.23,"2,626","May 09, 2023","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Kindle Edition,view,/book/show/63329951-paved-paradise
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Man in a White Coat: A Doctor's Reflections on Race and Medicine,"Tweedy, Damon*",1250044634,9781250044631,1250044634,294        pp,4.17,"4,936","Sep 08, 2015","Sep 08, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/22857246-black-man-in-a-white-coat
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fresh Fruit, Broken Bodies: Migrant Farmworkers in the United States","Holmes, Seth",0520275144,9780520275140,0520275144,234        pp,4.28,"1,970","Jan 01, 2013","May 25, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/16145154-fresh-fruit-broken-bodies
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pathologies of Power: Health, Human Rights and the New War on the Poor","Farmer, Paul",0520243269,9780520243262,0520243269,438        pp,4.27,"4,722","Apr 25, 2003","Nov 22, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/10232.Pathologies_of_Power
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We All Want Impossible Things,"Newman, Catherine*",0063230895,9780063230897,0063230895,224        pp,4.01,"28,369","Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/60410002-we-all-want-impossible-things
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Significant Others: Reimagining Life with Friendship at the Center,"Cohen, Rhaina*",1250280915,9781250280916,1250280915,320        pp,4.03,628,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/127305688-the-other-significant-others
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","Fadiman, Anne",0374525641,9780374525644,B007CFQ9QK,341        pp,4.20,"82,911",1997,"Jan 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 13, 2023",not set,"Dec 13, 2023",,Paperback,view,/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island,"Huxley, Aldous",0060085495,9780060085490,0060085495,354        pp,3.86,"31,893",1962,"Jul 30, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2023",,Paperback,view,/book/show/5130.Island
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Women Have Better Sex Under Socialism: And Other Arguments for Economic Independence,"Ghodsee, Kristen R.*",1568588909,9781568588902,1568588909,240        pp,4.01,"5,327","Nov 20, 2018","Nov 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2023",,Hardcover,view,/book/show/39089024-why-women-have-better-sex-under-socialism
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Trails: An Exploration,"Moor, Robert",1476739218,9781476739212,1476739218,352        pp,3.97,"7,695","Jul 12, 2016","Jul 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Hardcover,view,/book/show/27276431-on-trails
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wayfinding: The Science and Mystery of How Humans Navigate the World,"O'Connor, M.R.*",1250096960,9781250096968,1250096960,368        pp,4.01,542,unknown,"Apr 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Hardcover,view,/book/show/36742965-wayfinding
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Random Acts of Medicine: The Hidden Forces That Sway Doctors, Impact Patients, and Shape Our Health","Jena, Anupam B.",0385548818,9780385548816,0385548818,320        pp,3.68,"1,113","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2023",,Hardcover,view,/book/show/63018232-random-acts-of-medicine
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All God's Children: How Confronting Buried History Can Build Racial Solidarity,"Lester, Terence*",1514005956,9781514005958,,240        pp,4.81,81,unknown,"Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2023",,Paperback,view,/book/show/97375714-all-god-s-children
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Christi-Anarchy: Discovering a Radical Spirituality of Compassion,"Andrews, Dave",0745942342,9780745942346,0745942342,224        pp,3.95,40,"Jul 23, 1999","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Paperback,view,/book/show/1938605.Christi_Anarchy
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Women We Buried, Women We Burned: A Memoir","Snyder, Rachel Louise*",1635579120,9781635579123,1635579120,272        pp,3.95,"3,256","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Hardcover,view,/book/show/60784732-women-we-buried-women-we-burned
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Haida Gwaii Lesson: A Strategic Playbook for Indigenous Sovereignty,"Dowie, Mark",1942645554,9781942645559,1942645554,249        pp,4.00,30,unknown,"Aug 15, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Paperback,view,/book/show/31922136-the-haida-gwaii-lesson
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conservation Refugees: The Hundred-Year Conflict Between Global Conservation and Native Peoples,"Dowie, Mark",0262012618,9780262012614,0262012618,341        pp,3.99,115,"May 29, 2009","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Hardcover,view,/book/show/5374874-conservation-refugees
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Signal Fires,"Shapiro, Dani*",0593534727,9780593534724,0593534727,229        pp,3.92,"32,978","Oct 18, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 01, 2023",,Hardcover,view,/book/show/59573299-signal-fires
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Empire's Workshop: Latin America, the United States, and the Rise of the New Imperialism","Grandin, Greg*",0805083235,9780805083231,0805083235,320        pp,4.04,"1,189",2006,"May 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 14, 2023",,Paperback,view,/book/show/496683.Empire_s_Workshop
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Changes Everything: Capitalism vs. The Climate,"Klein, Naomi",1451697384,9781451697384,1451697384,576        pp,4.15,"25,740","Sep 16, 2014","Sep 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2023",,Hardcover,view,/book/show/21913812-this-changes-everything
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Storm Before the Calm: America's Discord, the Coming Crisis of the 2020s, and the Triumph Beyond","Friedman, George*",,,,256        pp,4.06,"1,928","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2023",,Hardcover,view,/book/show/49587256-the-storm-before-the-calm
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What's Our Problem?: A Self-Help Book for Societies,"Urban, Tim",,,B0BTJCTR58,746        pp,4.28,"3,647","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2023",,Kindle Edition,view,/book/show/102146148-what-s-our-problem
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wild Wisdom of Weeds: 13 Essential Plants for Human Survival,"Blair, Katrina",1603585168,9781603585163,1603585168,384        pp,4.04,135,"Oct 07, 2014","Oct 07, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2023",,Paperback,view,/book/show/22180821-the-wild-wisdom-of-weeds
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tides: The Science and Spirit of the Ocean,"White, Jonathan*",1595348050,9781595348050,1595348050,360        pp,4.17,752,"Feb 14, 2017","Jan 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2023",,Hardcover,view,/book/show/30652294-tides
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bijaboji: North to Alaska by Oar,"Carey, Betty Lowman",1550173928,9781550173925,1550173928,288        pp,4.02,59,2004,"Mar 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2023",,Paperback,view,/book/show/1494869.Bijaboji
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sowing Seeds in the Desert: Natural Farming, Global Restoration, and Ultimate Food Security","Fukuoka, Masanobu",1603584188,9781603584180,1603584188,208        pp,4.34,670,"May 14, 2012","May 28, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2023",,Hardcover,view,/book/show/13552345-sowing-seeds-in-the-desert
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manufacturing the Enemy: The Media War Against Cuba,"Bolender, Keith",0745340288,9780745340289,0745340288,224        pp,4.14,14,unknown,"Sep 20, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2023",,Hardcover,view,/book/show/46168361-manufacturing-the-enemy
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A More Beautiful and Terrible History: The Uses and Misuses of Civil Rights History,"Theoharis, Jeanne",0807075876,9780807075876,0807075876,278        pp,4.32,704,"Jan 30, 2018","Jan 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2023",,Hardcover,view,/book/show/35135273-a-more-beautiful-and-terrible-history
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From the War on Poverty to the War on Crime: The Making of Mass Incarceration in America,"Hinton, Elizabeth",0674737237,9780674737235,0674737237,464        pp,4.17,698,"May 09, 2016","May 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2023",,Hardcover,view,/book/show/27311802-from-the-war-on-poverty-to-the-war-on-crime
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sola Mysterium: Celebrating the Beautiful Uncertainty of Everything,"Giles, Keith*",1957007192,9781957007199,B0B4NV4947,179        pp,4.27,44,unknown,"Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2023",,Kindle Edition,view,/book/show/61364582-sola-mysterium
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beauty of What Remains: How Our Greatest Fear Becomes Our Greatest Gift,"Leder, Steve",,,B08D8J4D8Z,240        pp,4.46,"2,306","Jan 05, 2021","Jan 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2023",,Kindle Edition,view,/book/show/55119238-the-beauty-of-what-remains
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"This Land Is Their Land: The Wampanoag Indians, Plymouth Colony, and the Troubled History of Thanksgiving","Silverman, David J.",1632869241,9781632869241,1632869241,528        pp,4.22,854,"Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2022",,Hardcover,view,/book/show/42972016-this-land-is-their-land
